id,username,created_at,lang,favorite_count,retweet_count,text
1388512983899332617,Atul_Gawande,2021-05-01 15:17:47,en,1030,416,I highly recommend this thread. https://t.co/7sWJEpi0x6
1388347714136682505,Atul_Gawande,2021-05-01 04:21:03,en,0,2442,"RT @ashishkjha: Today, India became the only nation to pass 400K cases in one day: 402K

21% test +

3500 deaths

True infections, deaths l…"
1388270433057841155,Atul_Gawande,2021-04-30 23:13:58,en,314,96,"""It doesn’t have to be this way. India’s southern states of Kerala and Tamil Nadu have, for decades, been better ru… https://t.co/Ny0fsVtR5G"
1388155559778607105,Atul_Gawande,2021-04-30 15:37:30,en,87,33,"A succinct, if distressing, update on the state of India's COVID crisis. https://t.co/8x0Ir3ofYI"
1386371125807042561,Atul_Gawande,2021-04-25 17:26:48,en,510,80,Agree. Precisely the kind of concrete assistance needed — some with immediate effect and some with effect in weeks… https://t.co/Ybw1jl6k2n
1386005277137383426,Atul_Gawande,2021-04-24 17:13:03,en,0,124,"RT @BhramarBioStat: Right now regardless of the models, we know a tidal wave is hitting us and we have picket fences to beat it. We need in…"
1386004298878885890,Atul_Gawande,2021-04-24 17:09:10,en,545,229,"Another hospital, Sir Gangaram, is one of Delhi’s great hospitals—a place I have been a visiting surgeon—and had 25… https://t.co/1z3wCFB8iw"
1386004297889034243,Atul_Gawande,2021-04-24 17:09:09,en,493,193,This Delhi hospital has 345 COVID patients on oxygen but is nearly out of oxygen supplies. https://t.co/uR39urbp0d
1386004296421060610,Atul_Gawande,2021-04-24 17:09:09,en,5075,2727,"""Now my oxygen level is 50, and the guard at the Balrampur hospital is not letting me enter.”

Such a disturbing pi… https://t.co/Lf2QsQjRTk"
1385804242322173953,Atul_Gawande,2021-04-24 03:54:13,en,334,48,These are so good. https://t.co/X464mbQrhL
1385704887607037952,Atul_Gawande,2021-04-23 21:19:25,en,5,0,Oop. I meant @kakape does.
1385704627862188033,Atul_Gawande,2021-04-23 21:18:23,en,25,2,.@kakapo has the stats from the advisory meeting on just how rare. https://t.co/3Rvm2CEr75
1385704626419376129,Atul_Gawande,2021-04-23 21:18:22,en,62,13,The vote recommends lift long the pause on the JNJ vaccine and adding a warning that in rare cases it has caused cl… https://t.co/G1TQ0IpZvO
1385600289072427008,Atul_Gawande,2021-04-23 14:23:46,en,2475,413,"Also clear: a 50% vaccination rate for HCWs in such settings is not acceptable. 

This case tells me that requiring… https://t.co/4rWfbnFKde"
1385600288174792705,Atul_Gawande,2021-04-23 14:23:46,en,871,169,"Vaccine effectiveness against symptomatic infection was 87%. Protection against death was 94%. 

Clearly, in nursin… https://t.co/H62Ymv9yzn"
1385600285943504896,Atul_Gawande,2021-04-23 14:23:46,en,761,259,"Let's unpack the details. 

Q: Did the vax (2 doses of Pfizer) work? Absolutely. It was remarkable - but not perfec… https://t.co/bFIeEb7mPE"
1385600281052860419,Atul_Gawande,2021-04-23 14:23:44,en,4924,2540,"This outbreak is vital to understand. It shows what we still face if younger folks go unvaccinated. 

47% of health… https://t.co/Av03xEbpPO"
1385423226080309252,Atul_Gawande,2021-04-23 02:40:11,en,0,519,"RT @apoorva_nyc: BREAKING: The Pfizer-BioNTech and Moderna vaccines will effectively prevent serious illness and death from B.1526, the var…"
1385350242661453824,Atul_Gawande,2021-04-22 21:50:11,en,372,45,Incredible. Thank you America. https://t.co/A2HpTbfT1C
1385349502136094722,Atul_Gawande,2021-04-22 21:47:14,en,653,161,"The measures people have taken to limit the coronavirus have absolutely crushed influenza. 

Which is why masking c… https://t.co/jZ65IWXHSh"
1385347657506381826,Atul_Gawande,2021-04-22 21:39:54,en,0,480,"RT @EricTopol: With addition of the new reports yesterday,  the ""breakthrough"" infection rate after full mRNA vaccination has been consiste…"
1385194633475633152,Atul_Gawande,2021-04-22 11:31:50,en,0,1378,"RT @EricTopol: The J&amp;J vaccine Phase 3 trial is published @NEJM today
At post &gt;14 days 67% efficacy;  &gt;28 days 75% (85% vs severe/critical)…"
1385192841522163713,Atul_Gawande,2021-04-22 11:24:43,en,104,23,"By comparison, pregnant women with COVID-19 have increased risk of severe illness and death. Protection against COV… https://t.co/RqVPD3PQ1S"
1385192837931802651,Atul_Gawande,2021-04-22 11:24:42,en,238,61,"Good news. More follow up needed. But findings were:
- Pregnant women reported headache, muscle aches, chills, feve… https://t.co/W7XDy4bpDd"
1384959177127251969,Atul_Gawande,2021-04-21 19:56:13,en,182,54,"My one suggested add - if you can't get a home oxygen probe: 
- a moderate illness indicator is shortness of breath… https://t.co/chYWAJtRQh"
1384959175386705923,Atul_Gawande,2021-04-21 19:56:13,en,718,421,"What India is now facing with COVID is horrifying. 

But this is smart, invaluable, evidence-based information for… https://t.co/dJ2qpKUE75"
1384846396457693184,Atul_Gawande,2021-04-21 12:28:04,en,131,44,What is going on? Attention is focusing on a new variant - B.1.617 - that appears significantly more infectious (li… https://t.co/nI8LjZw4pF
1384846395308400641,Atul_Gawande,2021-04-21 12:28:04,en,389,94,This is extremely frightening. Seeing this go through entire households of my family there. https://t.co/wpF492Cxte
1384624833292644352,Atul_Gawande,2021-04-20 21:47:39,en,0,117,RT @HrishiHirway: I have never been so relieved to have my worst fears proven wrong.
1384595847728541697,Atul_Gawande,2021-04-20 19:52:29,en,240,43,"With vaccination &gt;80% for people 65+, the group to focus on to reduce the most deaths are those aged 50-64. 

Is re… https://t.co/kZSefb0ZFA"
1384594787383320577,Atul_Gawande,2021-04-20 19:48:16,en,87,17,"Below are the current vaccination rates by age group. 

https://t.co/qUdefatd3i https://t.co/z9uaKvTJcr"
1384594785059618824,Atul_Gawande,2021-04-20 19:48:15,en,96,22,"@Bob_Wachter has an excellent piece outlining why vaccination is key, given local officials unwillingness to give u… https://t.co/28fvSrD5VL"
1384594783570640897,Atul_Gawande,2021-04-20 19:48:15,en,172,78,"Here's the change in distribution of COVID deaths by age. 

- In Dec, 63% of all deaths were in ages 75+.
- In Mar,… https://t.co/hDx8UHUNQJ"
