id,username,created_at,lang,favorite_count,retweet_count,text
1389821170791292930,AyushmanHWCs,2021-05-05 05:56:03,en,16,8,The communities and the health workers of #Meghalaya came together for the celebration of the 3rd anniversary of… https://t.co/9a67xyU86q
1389819652021256200,AyushmanHWCs,2021-05-05 05:50:01,en,0,90,"RT @MoHFW_INDIA: Let’s create a safe environment for the people around us by following simple COVID Appropriate Behaviours, everytime. Be c…"
1389818870681116673,AyushmanHWCs,2021-05-05 05:46:55,en,0,50,"RT @mygovindia: #Positive stories of ordinary Indians making things better. Till then, #MaskUpIndia 

#IndiaFightsCorona #COVID19 

@MoHFW_…"
1389818808102047750,AyushmanHWCs,2021-05-05 05:46:40,en,0,57,"RT @mygovindia: Empathy &amp; Compassion is the Essence of Humanity!
Stigmatisation of #CovidSurvivors, #HealthWorkers and patients weakens our…"
1389466692753887232,AyushmanHWCs,2021-05-04 06:27:29,en,0,273,"RT @MoHFW_INDIA: Don't feel stressed during #COVID19. Here are some tips to manage stress. 

#Unite2FightCorona https://t.co/rknMPyJyyh"
1389466673132888065,AyushmanHWCs,2021-05-04 06:27:24,hi,0,41,"RT @MoRD_GOI: आपका पासवर्ड भी मास्क के बिना असुरक्षित है। तो मास्क लगाकर खुद को सुरक्षित बनाने में देर ना करें!

#Unite2FightCorona https:/…"
1389466656540266498,AyushmanHWCs,2021-05-04 06:27:20,und,0,253,RT @MoHFW_INDIA: #LargestVaccineDrive https://t.co/QeBLofn4mb
1389452246228738048,AyushmanHWCs,2021-05-04 05:30:04,en,9,2,Health workers and communities in #Meghalaya celebrate the 3rd anniversary of #AB_HealthAndWellnessCentres with spo… https://t.co/8yFP0Cdxpb
1389122186300989440,AyushmanHWCs,2021-05-03 07:38:32,en,0,281,"RT @drharshvardhan: Protecting your mental health is important for your overall well-being. 

In these challenging times, inculcate healthy…"
1389116223779004416,AyushmanHWCs,2021-05-03 07:14:50,hi,6,3,स्वास्थ्य देखभाल के तरीकों को उपचारात्मक से निवारक में बदलने पर भारत की स्वास्थ्य प्रणाली में उल्लेखनीय बदलाव देखने… https://t.co/Qz2VWZ80X8
1389116218695585794,AyushmanHWCs,2021-05-03 07:14:49,en,80,17,"Transforming India's health care system by focusing on preventive, promotive, rehabilitative, and curative healthca… https://t.co/3Q0h2rJ4fm"
1388714818962481156,AyushmanHWCs,2021-05-02 04:39:48,en,245,64,Saluting the five pillars who have helped #AB_HealthAndWellnessCentres provide quality health services to all.… https://t.co/KZKWVKYq5B
1388408338728112136,AyushmanHWCs,2021-05-01 08:21:57,hi,39,12,टीका हमारी #COVID19 से सुरक्षा करते हुए सामान्य जीवन का मार्ग सुनिश्चित करता है। इस विश्व टीकाकरण सप्ताह पर अपनेटी… https://t.co/ynfJhMRaBS
1388408334236061701,AyushmanHWCs,2021-05-01 08:21:56,en,71,16,#Vaccines offer us the clearest path back to normal in #COVID19. On this #WorldImmunizationWeek let’s pledge to cre… https://t.co/cEYFFaFvfZ
1388093764149800964,AyushmanHWCs,2021-04-30 11:31:57,hi,0,76,"RT @MoHFW_INDIA: #COVID19 के संक्रमण से सुरक्षित रहने के लिए मास्क पहनना ज़रूरी है। याद रखें, सफाई, दवाई, कड़ाई, जीतेंगे कोरोना से लड़ाई।…"
1388025338156834819,AyushmanHWCs,2021-04-30 07:00:03,hi,8,5,#AB_HealthAndWellnessCentres पर #GenderEquity का पुरजोर समर्थन किया जाता है। यहां देखभाल करने वालों की 90% महिलाएं… https://t.co/TvkcBtLtXV
1388025333803147265,AyushmanHWCs,2021-04-30 07:00:02,en,14,5,#AB_HealthAndWellnessCentres stand for #GenderEquity with 90%  women healthcare workers and 54.4% women beneficiari… https://t.co/1umboa0Y8y
1387670733552111616,AyushmanHWCs,2021-04-29 07:30:59,en,0,177,"RT @MoHFW_INDIA: #LargestVaccineDrive #Unite2FightCorona 

How to book a #COVID19 Vaccination appointment on CoWIN if you're 18 years or ol…"
1387636736407130112,AyushmanHWCs,2021-04-29 05:15:53,hi,3,1,देशभर के #AB_HealthAndWellnessCentres सक्रिय टेलीकंसल्टेशन के माध्यम से समुदायों को गुणवत्तापूर्ण स्वास्थ्य सेवाओं… https://t.co/M8OOR3bRIZ
1387636731122315268,AyushmanHWCs,2021-04-29 05:15:52,en,60,17,#AB_HealthAndWellnessCentres provide access to communities for comprehensive quality healthcare through teleconsult… https://t.co/OBzNnkE30R
1387405890483941376,AyushmanHWCs,2021-04-28 13:58:35,hi,7,4,3 वर्षों से समुदायों को व्यापक स्वास्थ्य देखभाल सेवाएँ प्रदान कर भारत अपने #UniversalHealthCoverage के सपने साकार क… https://t.co/iDzJ85srju
1387405608874246150,AyushmanHWCs,2021-04-28 13:57:28,en,14,9,"Transforming India's health care system, realising India’s vision of #UniversalHealthCoverage. Providing comprehens… https://t.co/weLUQiVaaM"
1387295621330071556,AyushmanHWCs,2021-04-28 06:40:25,en,0,9,"RT @MoRD_GOI: Mukhiya Ji brings to you the ideal way of protecting oneself from #COVID19

#Unite2FightCorona https://t.co/2aeUxUmCTa"
1387295539423633409,AyushmanHWCs,2021-04-28 06:40:05,en,0,2359,"RT @drharshvardhan: Calling all citizens aged 18+ to gear up to get vaccinated against #COVID19 May 1 onwards.

Registrations open up tomor…"
1387007662802362369,AyushmanHWCs,2021-04-27 11:36:10,en,0,202,"RT @MoHFW_INDIA: Avoid allowing visitors at home and letting anyone visit your home. Be safe. Remember, Safai, Dawai, Kadai, Jeetenge coron…"
1386971548288831491,AyushmanHWCs,2021-04-27 09:12:40,en,0,108,"RT @WHOSEARO: We are #InThisTogether to beat #COVID19. Take these 👇🏽 precautions:

😷 Wear a #mask 
🧼 Clean your hands
↔️ Keep physical dist…"
1386968474509922305,AyushmanHWCs,2021-04-27 09:00:27,en,0,82,"RT @UNICEFIndia: India has a proud history of successfully defeating infectious and life-threatening diseases.

#VaccinesWork #WorldImmuniz…"
