id,username,created_at,lang,favorite_count,retweet_count,text
1391477782451048449,ChrisHammer180,2021-05-09 19:38:50,en,2,0,"Darts fans out there, hope you can get involved in this poll about the greatest World Matchplay performances. Very… https://t.co/5Id1ff0KPM"
1391058346233446403,ChrisHammer180,2021-05-08 15:52:09,en,3,0,"November: Bolton slump to 20th and captain Antoni Sarcevic says: ""Honestly, it hurts me. The lads need to understan… https://t.co/IZKDonoz7Z"
1391056329113014273,ChrisHammer180,2021-05-08 15:44:08,en,5,0,This brilliant run and finish from captain Antoni Sarcevic pretty much sums up Bolton's run to go from 19th in Febr… https://t.co/qnaUMlDUfh
1390767287267995650,ChrisHammer180,2021-05-07 20:35:35,en,4,0,"Gary Anderson said last night that he hoped some ""old grannies"" had put 10p on him at 40/1 to win the title. At thi… https://t.co/bGFGkqK2uZ"
1390035746287980547,ChrisHammer180,2021-05-05 20:08:42,en,1,0,"@tomsportsjourno I went with Wade, de sousa and MVG at 10/1 so well done you and hard lines me! I don't normally ba… https://t.co/wdDbzdqxoc"
1390034270626922504,ChrisHammer180,2021-05-05 20:02:50,en,2,0,"@DanDartsDawson He's back, he's finished, he's back, he's finished, he's back, he's finished, he's back. He'll be p… https://t.co/5CAkuTgWb3"
1390033574640988170,ChrisHammer180,2021-05-05 20:00:04,en,10,0,"Michael van Gerwen's PL averages this season: 100.16, 92.16, 107.58, 90.91, 99.71, 87.63, 98.25, 104.72, 91.01 and… https://t.co/s3ZYtrkkFG"
1389509473040060416,ChrisHammer180,2021-05-04 09:17:28,en,55,4,"All Mark Selby's daughter wants from her dad's £500,000 is a doll and a remote control car costing a combined £12!… https://t.co/f79otl3n2q"
1389335628450615298,ChrisHammer180,2021-05-03 21:46:41,en,1,0,@rikgreen10 To be fair I'm not having a pop at Ronnie - it's more how well Mark Selby has bounced back despite all… https://t.co/TpvDb18caK
1389330207929257984,ChrisHammer180,2021-05-03 21:25:08,en,8,0,"Ronnie O'Sullivan on Mark Selby before the World Championship: ""It doesn’t seem like he’s able to get over it (last… https://t.co/EKRMyS4zUY"
1389326186287931396,ChrisHammer180,2021-05-03 21:09:09,en,230,12,"John Virgo's commentary, the shot and the reaction from Stephen Hendry and the crowd 😂 https://t.co/vnqKfIbFDq"
1389317373207908353,ChrisHammer180,2021-05-03 20:34:08,en,2,0,@SnookerLoopy_ I don't think he deliberately takes extra time deciding on his shot once he's already made up his mi… https://t.co/wwPEhnnBHH
1389316294684647424,ChrisHammer180,2021-05-03 20:29:51,en,0,0,@TheSniper147 Bingham's red off the cushion looked the most unusual (rivalling McGill's) but it didn't make the top three on BBC
1389311386149347331,ChrisHammer180,2021-05-03 20:10:21,en,5,1,But Neal Foulds and Jimmy White on Eurosport agreed the Shot of the Championship was Shaun Murphy's black against K… https://t.co/M6FwmTFXOi
1389309711661641732,ChrisHammer180,2021-05-03 20:03:42,en,15,2,"BBC viewers voted this pot from Ronnie O'Sullivan as the Shot of the Championship. 

https://t.co/54rFwb8bXD"
1387895575211819009,ChrisHammer180,2021-04-29 22:24:25,en,18,4,The way @KyrenWilson completed his third century in four frames tonight was stunning. Even when he was out of posit… https://t.co/2kjZEw6umD
1387861058799476738,ChrisHammer180,2021-04-29 20:07:16,en,2,0,"@philhaigh_ JV ""I was thinking how to describe it. I'd say firing on all cylinders."""
1386764858310500359,ChrisHammer180,2021-04-26 19:31:21,en,0,1,"RT @SportingLife: 🏆🎯 World Cup of Great Darts Performances: Group A!

🤔 Four epic Ally Pally displays but which is your favourite?

1⃣ @Rob…"
1386334132993658885,ChrisHammer180,2021-04-25 14:59:48,en,1,0,@TomC_22 I was looking forward to your observation and you didn't disappoint!
1385709150982787074,ChrisHammer180,2021-04-23 21:36:21,en,34,5,"""The Snooker Gods did the right thing."" Ronnie O'Sullivan congratulates Anthony McGill after their thriller https://t.co/1TH3LH4xFo"
1385662995825676289,ChrisHammer180,2021-04-23 18:32:57,en,55,7,"After Anthony McGill leaves the white ball as close to the pocket as you can possibly get, Ronnie O'Sullivan's pot… https://t.co/K27l1wYShS"
1385510951860981760,ChrisHammer180,2021-04-23 08:28:47,en,1,0,@GWSnookerTips 😂 What about the occasional variety when it's a different ball heading for a pocket?
1385510772365795329,ChrisHammer180,2021-04-23 08:28:04,en,1,0,"@SnookerLoopy_ Agreed. It's not as if they have to pretend to have watched lots of the ""unknown"" players matches, t… https://t.co/w1HnW51OKI"
1385509479844831233,ChrisHammer180,2021-04-23 08:22:56,en,1,0,"@GWSnookerTips Has ""where's the cue ball going"" lost its magic for you?!"
1385339116208934912,ChrisHammer180,2021-04-22 21:05:58,en,0,0,"@harry_rason You need to create more of these of iconic frames and do a ""guess which frame"" competition!"
1384997538831519745,ChrisHammer180,2021-04-21 22:28:39,en,0,0,@trousersoflife He finally got to the end about 10 minutes later!
1384997386792091650,ChrisHammer180,2021-04-21 22:28:03,en,2,1,@GWSnookerTips @SnookerLoopy_ It took 3 minutes for a ball to be potted in Cliff's one but that's obviously the poi… https://t.co/cKufEGtrKS
1384957710152699907,ChrisHammer180,2021-04-21 19:50:24,en,6,0,@tbuckleythinks I wouldn't mind watching all the 147s simultaneously in that layout like some kind of maximum race!
1384955971408175108,ChrisHammer180,2021-04-21 19:43:29,en,897,173,"To mark the anniversary of Ronnie O'Sullivan's record-breaking 147, here's how the tables of all the Crucible maxim… https://t.co/3eOJGBXcNp"
1384612399945338881,ChrisHammer180,2021-04-20 20:58:15,en,8,0,"Florentino Perez answering his phone calls tonight

https://t.co/q90X1HYcox"
1384586707589292033,ChrisHammer180,2021-04-20 19:16:10,en,0,155,RT @OfficialPDC: Football fans right now 🕺 https://t.co/TGQSIfIJOH
1384583142883958790,ChrisHammer180,2021-04-20 19:02:00,en,0,397,RT @DavidBrentMovie: When the Big 6 are forced to apologise to their fans. https://t.co/37I4mOcwOh
1384578696946802690,ChrisHammer180,2021-04-20 18:44:20,en,0,116,RT @SportingLifeFC: 💪 Never underestimate the power of football fans https://t.co/0Vqv4yxbx4
1384562466286411778,ChrisHammer180,2021-04-20 17:39:50,en,0,6,"RT @SportingLifeFC: 🏆  Wolves &amp; Southampton declared themselves as former Premier League champions, so here's all the previous winners

🏆🏆🏆…"
1384265473127116806,ChrisHammer180,2021-04-19 21:59:41,en,51947,4533,😂 How Gary Neville closed out Monday Night Football https://t.co/Mdsju1aEje
1384257064982114307,ChrisHammer180,2021-04-19 21:26:17,en,0,17,"RT @SportingLifeFC: 👏 Liverpool captain James Milner on the European Super League: ""I can only say my opinion and I don't like it and hopef…"
1384239508179222528,ChrisHammer180,2021-04-19 20:16:31,en,1,0,@JAKEOZZ @SportingLifeFC @InfogolApp Good read that Jake - but Jose will still claim his methods are the best around though!
1384238359376056324,ChrisHammer180,2021-04-19 20:11:57,en,0,0,"@TomC_22 I guess with no fans, the real villains in all this nowhere to be seen and the fact there's now an element… https://t.co/suPqEKjxJM"
1384076750351519746,ChrisHammer180,2021-04-19 09:29:46,en,0,0,"We go again in the Premier League this week - here's some stats and predictions for tonight's action...

https://t.co/WlBksI2UsB"
1384059572776624128,ChrisHammer180,2021-04-19 08:21:31,en,9,0,The only European Super League I recognise https://t.co/FT8kMTC7lz
1383876385492459534,ChrisHammer180,2021-04-18 20:13:36,en,11,2,Relegate the big six for being unloyal...disloyal https://t.co/8fnfP5q2Eq
1383873627251113991,ChrisHammer180,2021-04-18 20:02:38,en,0,0,@TomC_22 Great find!
1383834245433487375,ChrisHammer180,2021-04-18 17:26:09,en,0,174,"RT @SportingLifeFC: 😡 Gary Neville brands the European Super League as a ""criminal act against football fans in this country"" during this e…"
1383451487406153728,ChrisHammer180,2021-04-17 16:05:12,en,0,1,"RT @SportingLife: 🚀 Ronnie O'Sullivan x3
🏆 Stephen Hendry x3
🇨🇦 Cliff Thorburn 
🌪️ Jimmy White
🏴󠁧󠁢󠁷󠁬󠁳󠁿 Mark Williams
✈️ Ali Carter
🧙‍♂️ Joh…"
1383162348442157064,ChrisHammer180,2021-04-16 20:56:16,en,13,2,Ronnie O'Sullivan's reaction to Mark Selby's snooker followed by his incredible escape in 'that' semi-final comebac… https://t.co/JzaoHdkz7n
1383047785231044613,ChrisHammer180,2021-04-16 13:21:02,en,0,0,@philhaigh_ If its any consolation whenever I look at head to head stats for darts or snooker I always raise my eye… https://t.co/51HaCysiNU
1380933348818878470,ChrisHammer180,2021-04-10 17:19:01,en,0,11,"RT @SportingLife: 🙌 History is made!

🏇 Rachael Blackmore becomes the first female rider EVER to win the Grand National aboard Minella Time…"
1380252239617531904,ChrisHammer180,2021-04-08 20:12:32,en,11,1,"October: Hits a TV nine-darter (Euro Champ)
Last night: Has a nine-darter hit against him by Clayton
Tonight: Hits… https://t.co/Nodes5yIXT"
