id,username,created_at,lang,favorite_count,retweet_count,text
1390056476702617604,Devanayagam,2021-05-05 21:31:04,en,1,0,@PeruVaikala6 Oh ok..thanks for the info
1390056330690502659,Devanayagam,2021-05-05 21:30:29,en,0,6347,RT @ESPNFC: Christian Pulisic &amp; Mason Mount have come a long way 😍 https://t.co/coLyYHd9UM
1390050104829218817,Devanayagam,2021-05-05 21:05:45,en,0,3,"RT @90sCricketKid: Those were the days man 🥲, those were the days. If you hear properly you can hear ABD ABD chants at 0.37 and that shot o…"
1390049899014729730,Devanayagam,2021-05-05 21:04:56,und,0,1,"RT @Navaneethan1740: 💉❤️🤤
#ABdeVilliers 
@ABdeVilliers17 😍"
1390049789384052744,Devanayagam,2021-05-05 21:04:30,en,0,1,RT @ohnoorii: HE'S A FREAK. THAT'S ALL I HAVE TO SAY.
1390049774473289739,Devanayagam,2021-05-05 21:04:26,en,0,1,RT @rishiii328: The ab de Villiers show 😍 at Chinnaswamy stadium @RCBTweets
1390049752096645123,Devanayagam,2021-05-05 21:04:21,en,0,1,RT @Prashant_Nation: Take a bow ! ABD 🙏🏻
1390049738423156740,Devanayagam,2021-05-05 21:04:18,en,0,1,RT @abhinavkotak: Had the pleasure of watching this at Chinaswammy! Havent seen anything better than this! #IPL
1390048871489888262,Devanayagam,2021-05-05 21:00:51,en,0,1,"RT @ITGDsports: ""I don’t know what AB’s situation is, it all depends on how he feels and how the coach feels and the selectors too. But, le…"
1390048769685786624,Devanayagam,2021-05-05 21:00:27,en,0,1,RT @Harshal_de: @TwitterSports Hadn't found him yet! #ABdeVilliers https://t.co/iK8GTCuxmF
1390048561954496518,Devanayagam,2021-05-05 20:59:37,und,0,12,"RT @AbdianArmy: #comebackab 
@ABdeVilliers17 
#ABdeVilliers https://t.co/gyljsYJ4ct"
1390048495558664203,Devanayagam,2021-05-05 20:59:21,en,0,1,"RT @her_lost_ojz: My Fan Art for MR.360° @ABdeVilliers17 ❤
@RCBTweets 

@RCBTweets @imVkohli @ABdeVilliers17 #ABdeVilliers #ABD #ViratKohli…"
1390047036159012867,Devanayagam,2021-05-05 20:53:33,en,0,20,"RT @InswingingY: Fewest sixes conceded by a bowler in an IPL Season (Min. 250 balls)
2 - Lord Dale Steyn (280 balls) 2012
2 - Mitch Starc (…"
1390046532322435079,Devanayagam,2021-05-05 20:51:33,en,0,0,@PeruVaikala6 Is there a bug issue with space??..its showing 'could not fetch space' msg
1390046223579717632,Devanayagam,2021-05-05 20:50:20,en,1,0,"Freakish..touch of God @ABdeVilliers17
🐐 #ABD #ABdeVilliers #OTD #OnThisDay #06May2012 

https://t.co/Q8NgZJKHoR"
1390042006299234305,Devanayagam,2021-05-05 20:33:34,en,0,1,"RT @Im_Amith8: @InswingingY @ABdeVilliers17 I remember Turing off TV thinking this is not gonna happen, woke up next to the genius of AB"
1390041987827568643,Devanayagam,2021-05-05 20:33:30,en,0,1,"RT @khasims21775869: @InswingingY @ABdeVilliers17 It doesn't matter how many series ABD had won, how many matches made it to win for team,…"
1390041924749385729,Devanayagam,2021-05-05 20:33:15,en,26,1,@InswingingY @ABdeVilliers17 God mode @ABdeVilliers17🐐👽 That six over Extra cover still remains as the GREATEST SHO… https://t.co/xrbypY2Lut
1390041244215218177,Devanayagam,2021-05-05 20:30:32,en,0,697,RT @InswingingY: 6 May 2012: When @ABdeVilliers17  gained cult fan following from RCB fans https://t.co/CxDWGwJEi9
1390025042973634567,Devanayagam,2021-05-05 19:26:10,en,0,0,"160M views... #VaathiComing rage continues.. #Master @actorvijay

https://t.co/yzC9XyZ4wa"
1390003851676184576,Devanayagam,2021-05-05 18:01:57,en,0,15,RT @Rezaahm20162243: Miss U Sir @ABdeVilliers17 #ABdeVilliers https://t.co/C7gyr4ipHn
1389908442056331265,Devanayagam,2021-05-05 11:42:50,en,0,443,"RT @TheYashVijayFC: . @prashanth_neel About @actorvijay 💙💥

#Thalapathy65 #KGFChapter2 https://t.co/eCY3rr76Ip"
1389904465591898117,Devanayagam,2021-05-05 11:27:02,en,0,290,"RT @SriLankaVijayFc: Nothing Personal Just Service ❤️ 

Today Srilanka Trincomalee District Foundation Of Vijay Charity Team Members @Vijay…"
1389886077041844225,Devanayagam,2021-05-05 10:13:58,en,0,64,RT @Indianteam100: A List of Records held by AB de Villiers in international cricket - https://t.co/PcVjJFN788
1389843866027704321,Devanayagam,2021-05-05 07:26:14,und,0,1254,RT @VijayFansTrends: #WearAMask https://t.co/qPK2CllSU6
1389816712233635842,Devanayagam,2021-05-05 05:38:20,und,0,171,"RT @ComeOnCricket: Highest IPL Average where team scored 180+
[min. 1000 runs]

88.7: de Villiers (SR 193)
62.7: Warner (SR 171)
61.8: Raha…"
1389816501398646784,Devanayagam,2021-05-05 05:37:30,en,5,2,@trishtrashers Happy birthday Trisha.. @trishtrashers https://t.co/2IHFnaJQoE
1389816367952678915,Devanayagam,2021-05-05 05:36:58,en,5,1,@TheAakashavaani The ultimate one.. #Master @actorvijay https://t.co/W6aOrwWKfm
1389816350135160832,Devanayagam,2021-05-05 05:36:54,und,0,883,RT @trishtrashers: https://t.co/JyK1GxKm6F
1389815988603035651,Devanayagam,2021-05-05 05:35:27,ta,0,1154,"RT @SunTV: உனக்காக வாழ நினைக்கிறேன்! &lt;3 

பிகில் | மே 9 | 6.30 PM

#Bigil #BigilOnSunTV #SunTV https://t.co/gHvOJSP4rR"
1389661299332759562,Devanayagam,2021-05-04 19:20:47,ta,0,844,RT @Iamseaking: பெருமளவு ஆதரவளிப்போம்...! 🙏 https://t.co/yw0z4phTat
1389607261606227973,Devanayagam,2021-05-04 15:46:03,en,2,0,@archanakalpathi RIP sir..true inspirational citizen
1389586704932110340,Devanayagam,2021-05-04 14:24:22,tr,6,4,@HBK_Memes @actorvijay #Bigil Rayappan! #Master @actorvijay https://t.co/cm2B8IF38m
1389586481677627399,Devanayagam,2021-05-04 14:23:29,en,0,52,RT @DeborahAnnWoll: May the 4th be you! #MayThe4thBeWithYou https://t.co/HJDi3EMkJc
