id,username,created_at,lang,favorite_count,retweet_count,text
1390088710935482368,DocVatsa,2021-05-05 23:39:09,en,0,0,@zahangir85 @ChaitanyaSetty1 @SonuSood As u said diff to comment clinically. But Remdesivir does not have evidence of benefit.
1390088313189634059,DocVatsa,2021-05-05 23:37:35,en,0,0,@tweetingpritha Not if symptoms are under control. Only if breathing becomes an issue and Oxygen levels dip. And th… https://t.co/R7iDpRjZ25
1390087850478157826,DocVatsa,2021-05-05 23:35:44,en,3,0,@somyalakhani Really sorry to hear that. That sudden deterioration is very tricky to handle and counter. And famili… https://t.co/i3YASz2IjU
1390070810354782213,DocVatsa,2021-05-05 22:28:02,en,35,7,The quickness in deterioration and demise of loved ones in Covid is adding another dimension to the shock. Sadly it… https://t.co/dFNbx29dtC
1390069319275630593,DocVatsa,2021-05-05 22:22:06,en,1,0,@VISHSAI Thanks
1390069116371931136,DocVatsa,2021-05-05 22:21:18,en,0,736,"RT @aditipriya_0301: We are recording deaths due to lack of oxygen all over India in this thread. This is an ongoing crisis, and recording…"
1390069091952730114,DocVatsa,2021-05-05 22:21:12,en,4,1,"Commendable effort!
Please do share the collation, city wise whenever you get time.

Numbers might indicate some ex… https://t.co/7NkbV5ZmnN"
1390065289212145673,DocVatsa,2021-05-05 22:06:05,en,43,12,Anyone keeping count of deaths due to oxygen shortage?
1390063766361018373,DocVatsa,2021-05-05 22:00:02,en,6,0,"Meanwhile, the file has finally moved and has been signed. https://t.co/LCGFRL0TpX"
1390061919776743427,DocVatsa,2021-05-05 21:52:42,en,1,0,"@MPwala4 @abhisar_sharma That's the point, it does not save lives."
1390061735030181896,DocVatsa,2021-05-05 21:51:58,en,0,0,"@Brucelively9 @abhisar_sharma Complex issue, but they know no better largely sure to lack of rigorous scientific advise from central bodies."
1390061258922135558,DocVatsa,2021-05-05 21:50:04,en,8,7,"It seems the death toll is way beyond the counted.
Economy takes a much larger hit when large chunk of the populati… https://t.co/mIuu7BQbDb"
1390043643466104845,DocVatsa,2021-05-05 20:40:05,hi,0,0,"@TenguriyaDeepak @ranvijaylive @TwitterSpaces नॉट पॉसिबल , स्पेस आज बंद है मेरे लिए"
1390038155097739270,DocVatsa,2021-05-05 20:18:16,hi,6,1,"@ranvijaylive @TwitterSpaces कोशिश की मैंने लेकिन रोना नहीं आया  , सोचा बिना आंसुओं के  इंस्टाग्राम पर जाने का भी… https://t.co/sn0ybEUcoE"
1390007295107600385,DocVatsa,2021-05-05 18:15:38,en,1,0,@aLadyDon Really sorry to hear about your loss! :(
1390005719819341831,DocVatsa,2021-05-05 18:09:23,en,2,0,"@AnticaaD For me the 'blame' is all on the powers, least on public.... hence the feeder not the fed."
1390005339970543620,DocVatsa,2021-05-05 18:07:52,en,1,1,"@iamag001 @Tirangawasi yeah no need to repeat RT PCR after 10th day, unless may be u suspect severe ongoing infecti… https://t.co/1w8ZdNyPgV"
1390004813107277832,DocVatsa,2021-05-05 18:05:47,it,0,0,@Ramande14745441 @TwitterSpaces discriminatory!! :)
1390003703323713541,DocVatsa,2021-05-05 18:01:22,en,0,0,"@eshanoza @TwitterSpaces Okay, thanks."
1390001772836556802,DocVatsa,2021-05-05 17:53:42,en,20,0,What's wrong with @TwitterSpaces  today? Any solution?
