id,username,created_at,lang,favorite_count,retweet_count,text
1390028421992833024,DoctorLFC,2021-05-05 19:39:35,en,0,108,"RT @Ateendriyo: Yeah, no thanks. This is medical misinformation"
1390024510477246465,DoctorLFC,2021-05-05 19:24:03,und,18,0,@ANI https://t.co/NOp4xm2Qvg
1390023566687567874,DoctorLFC,2021-05-05 19:20:18,en,75,2,The things in our daily routine that kept us sane. The things we took for granted.
1390009855562289154,DoctorLFC,2021-05-05 18:25:49,en,1,0,@meta_morphopsia Hourly sugar readings for a few hours thereafter 2 hourly and insulin infusion adjustment. Seems s… https://t.co/HcZi4Tqc8R
1390007523650936837,DoctorLFC,2021-05-05 18:16:33,en,12,0,@meta_morphopsia Patient with blood sugar level of 520
1389981199985123330,DoctorLFC,2021-05-05 16:31:57,hi,3,0,@kaafinashedaar @DrVikasPadha sir ki baat nahi taal sakte :)
1389980367461904385,DoctorLFC,2021-05-05 16:28:38,en,16,1,"https://t.co/JlWbMvJX6D

Will be here for a bit to talk about Diabetes in COVID19."
1389974853415956485,DoctorLFC,2021-05-05 16:06:44,en,92,11,I am not an expert in topics related to bureaucracy and healthcare administration. The essence of a democracy is to… https://t.co/sywBLP54cO
1389963900087537664,DoctorLFC,2021-05-05 15:23:12,en,7,2,"@Harneetsin Covishield can push it to even 12 weeks.

Covaxin should not push it too long. 28-40 days."
1389959322155634689,DoctorLFC,2021-05-05 15:05:01,en,0,0,@smitadeshmukh Perfect - i am hoping there will be better arrangements by then.
1389948785313284101,DoctorLFC,2021-05-05 14:23:09,en,1,0,@rvgandhi Yes. I think it is a wise decision to not proceed if there is a rush and try again later.
1389947227959742466,DoctorLFC,2021-05-05 14:16:57,en,151,56,"An urgent plea to 45+ individuals in Mumbai who are rushing to take their second Covishield dose at 6 weeks, please… https://t.co/WCr7vCDzzQ"
1389935971278278656,DoctorLFC,2021-05-05 13:32:13,en,4,0,"@nowme_datta Same thing, same dose. 100%"
1389820048840163329,DoctorLFC,2021-05-05 05:51:35,en,1,0,"@raunak028 Total doses 16 crore (1st and 2nd doses combined)
Total individuals 13 crore"
1389810221137072129,DoctorLFC,2021-05-05 05:12:32,en,0,0,@ameya_speaks A mechanism to channelise all of it. Intent to have enough professionals to do so. Incentives for hos… https://t.co/srlReK63Mn
1389809985123622918,DoctorLFC,2021-05-05 05:11:36,en,3,0,@debjani_ghosh_ True. Just a small example. By now we should have had official data on how many people post how man… https://t.co/ipDJk9ArsP
1389806869309394948,DoctorLFC,2021-05-05 04:59:13,en,81,4,If only we valued our data a little more.
1389784199393988610,DoctorLFC,2021-05-05 03:29:08,en,7,0,@soumikgoswami Doctors and healthcare personnel can administer but cannot manufacture vaccines. We are actually ext… https://t.co/hcLiasTi1m
1389762650913923072,DoctorLFC,2021-05-05 02:03:31,und,1,0,@singh_meelu https://t.co/OkpC4RoOje
