id,username,created_at,lang,favorite_count,retweet_count,text
1389938392285302786,DougAndres,2021-05-05 13:41:51,en,13,8,"President Joe Biden’s American Families Plan would cost far more than the White House estimates, and it would incre… https://t.co/z62EiNhp95"
1389689176908435456,DougAndres,2021-05-04 21:11:33,en,0,39,"RT @seungminkim: ""[S]ome progressives have not updated their behavior based on the new information. And in their eagerness to protect thems…"
1389687823528349699,DougAndres,2021-05-04 21:06:10,und,0,0,@MattOrtega Yes!!
1389687056721489921,DougAndres,2021-05-04 21:03:08,en,1,0,@MEPFuller You really can’t at this point. Or can you? I’m a riddle wrapped up in an enigma
1389686494865002496,DougAndres,2021-05-04 21:00:54,en,1,0,@MEPFuller I never claimed to be anything but fake news.
1389681266665086985,DougAndres,2021-05-04 20:40:07,en,11,0,Slight filter added to emphasize rage
1389681031515623432,DougAndres,2021-05-04 20:39:11,en,210,11,"The sky was angry that day, my friends https://t.co/luNLzwxnMr"
1389662873530601474,DougAndres,2021-05-04 19:27:02,en,0,4,RT @SenJoniErnst: Hemp production is a new frontier for Greg Nicholas &amp; one way he’s working to diversify his farm. During my #99CountyTour…
1389584385972875267,DougAndres,2021-05-04 14:15:09,sv,3,0,@DougHeye strong hashtag
1389583594050531337,DougAndres,2021-05-04 14:12:00,en,0,1,"RT @davidpopp: Whoops 

https://t.co/aYXr7JHtP4"
1388569168824442885,DougAndres,2021-05-01 19:01:02,en,0,5,"RT @StephaniePenn: Elected representatives of the Horse Capital of the World, @LeaderMcConnell &amp; @RepAndyBarr, in the @courierjournal on @K…"
1388235952619991040,DougAndres,2021-04-30 20:56:57,en,0,203,RT @LeaderMcConnell: A number of Senate Republicans wrote President Biden’s @USEdGov today opposing a new proposal to skew civics and U.S.…
1388210137790353411,DougAndres,2021-04-30 19:14:23,en,0,312,RT @postpolitics: Sen. Joe Manchin III says he doesn’t support D.C. statehood bill https://t.co/CTkkphCgqO
1388199744493719553,DougAndres,2021-04-30 18:33:05,en,6,2,"Manchin, Sinema filibuster support scores political points back home, GOP poll shows https://t.co/pXhZiSc00Y"
1388161867441377280,DougAndres,2021-04-30 16:02:34,en,3,2,Senate Republicans to Biden Education Department: Withdraw Proposal to Skew U.S. History and Civics Toward “a Polit… https://t.co/WUCTQP2k7a
