id,username,created_at,lang,favorite_count,retweet_count,text
1383152469279145985,DrMaurieMarkman,2021-04-16 20:17:01,en,1,1,Register for the 2021 Extraordinary Healer® celebration honoring the selfless achievements of extraordinary oncolog… https://t.co/NlHc5gSwDe
1383151070487179268,DrMaurieMarkman,2021-04-16 20:11:27,en,0,2,"RT @OncLive: In the cancer arena, #COVID-19 information problems highlight the critical role of effective communication w/ the public, pati…"
1362055787628093440,DrMaurieMarkman,2021-02-17 15:06:20,en,4,3,"I challenge @rschilsky, @RareOvarCancers, @DrGeorgeDaneker, @DrBonillaOnc, @DrAnkurParikh, and @eugeneahn to nomina… https://t.co/kQM2lDRvmp"
1362054939938353154,DrMaurieMarkman,2021-02-17 15:02:58,en,0,0,"Beyond COVID-19: Can mRNA Treat Diseases, Too? https://t.co/jym7DBtHv5 via @medscape"
1357420022126288897,DrMaurieMarkman,2021-02-04 20:05:27,en,0,3,"RT @CancerCenter: Each year, @AmericanCancer compiles the most recent data on population‐based cancer occurrence. We asked @DrMaurieMarkman…"
1357419885928792064,DrMaurieMarkman,2021-02-04 20:04:55,en,2,0,"@CancerCenter @AmericanCancer In order to combat this potential cancer #shadowcurve, it’s important that, as a heal… https://t.co/595SeyJqUX"
1357419475214204931,DrMaurieMarkman,2021-02-04 20:03:17,en,2,0,"@CancerCenter @AmericanCancer Lastly, the report notes the #COVID19 pandemic’s undetermined impact on health care a… https://t.co/GKpqRqYAe7"
1357419310407376899,DrMaurieMarkman,2021-02-04 20:02:37,en,0,0,@CancerCenter @AmericanCancer This concerning reality is one the health care community must address head-on in orde… https://t.co/69z20Ei9MI
1357419169730465794,DrMaurieMarkman,2021-02-04 20:02:04,en,0,0,"@CancerCenter @AmericanCancer Another key area to highlight is the disparities data, which shows that racial, socio… https://t.co/Vf5mRZAsZM"
1357419033059024898,DrMaurieMarkman,2021-02-04 20:01:31,en,0,0,"@CancerCenter @AmericanCancer #Lungcancer, which remains the leading cause of U.S. cancer deaths, is also responsib… https://t.co/OBLaJT5hHF"
1357418864758452227,DrMaurieMarkman,2021-02-04 20:00:51,en,0,0,@CancerCenter @AmericanCancer The major headline from this year’s Cancer Facts &amp; Figures report is the record drop… https://t.co/JQX31SCQL5
1356663034547216394,DrMaurieMarkman,2021-02-02 17:57:27,en,1,0,"Data from the 2021 Cancer Facts &amp; Figures report show a concerning reality: Racial, socioeconomic and geographic di… https://t.co/bONqWQujAE"
1352652352914915330,DrMaurieMarkman,2021-01-22 16:20:26,en,0,5,"RT @CancerCenter: We’re proud to share that in 2020, CTCA hospitals were among the top five enrolling sites for the #TAPUR Study, a groundb…"
1349396832737234945,DrMaurieMarkman,2021-01-13 16:44:10,en,0,5,RT @chaguturu: Our new collaborative program with @CancerCenter is designed to allow immunocompromised patients with cancer to receive infu…
1346522998841487366,DrMaurieMarkman,2021-01-05 18:24:34,en,0,45,RT @ASCO: 🚨 Should pts w #cancer get the #COVID19 vaccine? Learn more about this important issue on our new resource page ➡️ https://t.co/m…
1343975043898990592,DrMaurieMarkman,2020-12-29 17:39:54,en,0,2,RT @CancerCenter: All five parts of Advancements in Cancer Management are now available on demand for primary care providers. Visit https:/…
1341119379367407625,DrMaurieMarkman,2020-12-21 20:32:31,en,3,1,It was a pleasure participating in this year's Molecular Tumor Board series alongside my @CancerCenter colleagues a… https://t.co/kqPznRjkgR
1334985413992321029,DrMaurieMarkman,2020-12-04 22:18:20,en,0,4,"RT @patbasu: Important read from @DrMaurieMarkman: The repercussions of delays in diagnosing cancer, through screening or early symptoms, a…"
1334880311252029446,DrMaurieMarkman,2020-12-04 15:20:41,en,0,4,RT @CancerCenter: We’re excited to welcome @ASCO Chief Medical Officer @rschilsky to our #FocusOnCancer live series. Tune in this Tuesday a…
1334869929875615745,DrMaurieMarkman,2020-12-04 14:39:26,en,0,3,"RT @OncLive: In women w/ documented BRCA mutations, the PFS HR for active treatment have been in the 0.30 or even lower range, an impressiv…"
1331291546767986689,DrMaurieMarkman,2020-11-24 17:40:13,en,4,0,Congratulations to our nurses at CTCA Philadelphia on this outstanding achievement! #ANCCMagnet… https://t.co/Dl9dk2fecC
1331291279637028873,DrMaurieMarkman,2020-11-24 17:39:09,en,0,4,"RT @OncLive: Though PARP inhibitors are generally well tolerated compared w/ platinum &amp; other cytotoxic antineoplastic drugs, the majority…"
1326928562037923840,DrMaurieMarkman,2020-11-12 16:43:16,en,0,4,"RT @CancerCenter: “Not all cancers are the same even within the same site of origin, not all cancer treatments are equal, and not everyone…"
1326626266133520384,DrMaurieMarkman,2020-11-11 20:42:04,en,0,3,RT @donnashort: What a great group. Looking forward to another memorable year! @hoperugo @PatrickBorgenMD @DrMaurieMarkman @Daniel_J_George…
1323351666180194306,DrMaurieMarkman,2020-11-02 19:49:58,en,0,6,RT @OncLive: HPV Vaccination Is a Battle That Must be Won @DrMaurieMarkman @CancerCenter #gyncsm https://t.co/TrVvTZZlZ9
1321867807345250304,DrMaurieMarkman,2020-10-29 17:33:39,en,0,3,"RT @CancerCenter: Dr. Nathan Neufeld, Pain and Palliative Care Program Specialist at CTCA, discusses his experience of the “life-altering i…"
1321563742119874560,DrMaurieMarkman,2020-10-28 21:25:24,en,0,7,"RT @CancerCenter: A recent article by our CMO, @DrJulianSchink, on “#Immunotherapy Versus Chemotherapy for Methotrexate-Resistant Low-Risk…"
1319319594037858308,DrMaurieMarkman,2020-10-22 16:47:57,en,3,1,@precisionforum @DrLen @DorothyErlanger @SaraBadreh Thank you for providing a platform to shine light on this impor… https://t.co/O46CmbSKtH
1319270178723680256,DrMaurieMarkman,2020-10-22 13:31:36,en,0,5,RT @DrLen: Looking forward to our discussion today where I will be joining in regarding #cancer care—especially cancer screening—in the era…
1316462868590669825,DrMaurieMarkman,2020-10-14 19:36:21,en,0,5,RT @NCICancerCtrl: Study Confirms HPV Vaccine Prevents Cervical Cancer https://t.co/FCSeGpkfYr
1316121064645287939,DrMaurieMarkman,2020-10-13 20:58:08,en,0,3,RT @OncLive: Complex Clinical Trial Issues Require an Ethical Balancing Act @DrMaurieMarkman @CancerCenter #oncology https://t.co/7bSwt19Odp
1316029597658550273,DrMaurieMarkman,2020-10-13 14:54:41,en,0,2,"RT @CancerCenter: Join @DrJulianSchink and Chevon Rariy, MD, at 4 p.m. EDT tomorrow, as they discuss management of ovarian and adrenal lesi…"
1315769952557830146,DrMaurieMarkman,2020-10-12 21:42:57,en,0,4,"RT @precisionforum: 📢 MEET THE SPEAKERS 📢

These are some of the experts that will be joining us on October 22 for our first Virtual Panel…"
1314293650780819456,DrMaurieMarkman,2020-10-08 19:56:39,en,0,0,"@CancerCenter A10: A second opinion is always appropriate if patients have questions regarding their care. And no,… https://t.co/jaxxrQ499M"
1314291232710025216,DrMaurieMarkman,2020-10-08 19:47:02,en,0,0,"@CancerCenter A9: For a breast cancer patient, for example, it may include physical therapy to help her regain mobi… https://t.co/uPacdxdH2Y"
1314291124761133056,DrMaurieMarkman,2020-10-08 19:46:37,en,0,0,@CancerCenter A9: Integrative care is a therapeutic approach that focuses on a patient’s specific needs during her/… https://t.co/6BkX6OvexH
1314289514190340099,DrMaurieMarkman,2020-10-08 19:40:13,en,0,0,"@CancerCenter A8: The drug does come with side effects, which include hot flashes, vaginal dryness, sleep problems,… https://t.co/HBKk3w9Tpa"
1314289438797762562,DrMaurieMarkman,2020-10-08 19:39:55,en,0,0,@CancerCenter A8: There is very solid evidence supporting the prolonged administration of hormonal approaches (incl… https://t.co/ukOix9P1jc
1314289293830094857,DrMaurieMarkman,2020-10-08 19:39:20,en,0,0,"@CancerCenter A7: Patients should always feel comfortable discussing possible modifications in a treatment plan, es… https://t.co/yJT8Q5eGPv"
1314287062661693446,DrMaurieMarkman,2020-10-08 19:30:28,en,0,0,"@CancerCenter A6: That’s why it’s important for each patient to make the decision, in consultation with her oncolog… https://t.co/xQPQyfJkFU"
1314286953035169794,DrMaurieMarkman,2020-10-08 19:30:02,en,0,0,"@CancerCenter A6: Clinical trials are offered at multiple points in the breast cancer journey, including the initia… https://t.co/cW24h22dAI"
1314285802290118656,DrMaurieMarkman,2020-10-08 19:25:28,en,0,0,@CancerCenter A5: But age is only one of many considerations for determining a breast cancer treatment regimen. Oth… https://t.co/ddw9twMJcQ
1314285644101955584,DrMaurieMarkman,2020-10-08 19:24:50,en,0,0,"@CancerCenter A5: Age alone doesn’t have a major impact on the outcomes for breast cancer treatment, but it may pla… https://t.co/Ibj2fYFnM9"
