id,username,created_at,lang,favorite_count,retweet_count,text
1389733939611320323,DrSidMukherjee,2021-05-05 00:09:25,en,4,0,@barttels2 @Phari @chadinabhan @DrNikitaMehra @Aiims1742 @BldCancerDoc @IshwariaMD @VivekSubbiah @neerajaiims… https://t.co/N5xUBqSqOi
1389245144386445319,DrSidMukherjee,2021-05-03 15:47:08,en,17,1,@tegel35574003 And lots and lots of underreporting !
1389244987901104129,DrSidMukherjee,2021-05-03 15:46:30,en,38,1,"@tegel35574003 Done already. Nothing's changed. Occham's patchwork remains: in India's case, poor policy decisions… https://t.co/VVx7A8XadP"
1389244174801805314,DrSidMukherjee,2021-05-03 15:43:16,en,705,103,"And yes, please please get vaccinated. This is not an anti-vaccination manifesto. Quite the opposite: GET VACCINATE… https://t.co/ORVtn3TtJu"
1389243618360188931,DrSidMukherjee,2021-05-03 15:41:04,en,666,142,"I got a thousand replies to my questions, but not any that I needed/wanted. 1. I know the lab data... do we have HU… https://t.co/6m6s7Y3GAJ"
1389175965008474112,DrSidMukherjee,2021-05-03 11:12:14,en,81,11,If only this was done systematically with some Control group of doctors (or others)... but it’s a start https://t.co/IL4bgh1EMG
1389144612988768258,DrSidMukherjee,2021-05-03 09:07:39,en,26,6,"19/n I know it’s easy to opine from far away, but I’ve taken care of Covid patients. Follow @PSampathkumarMD and… https://t.co/zZ8sw4BsuI"
1389144223044284416,DrSidMukherjee,2021-05-03 09:06:06,en,33,3,"18/n If the situation worsens (how can it worsen?), contemplate a 2 week nationwide lockdown AS A LAST RESORT. Plan… https://t.co/3man1zZAuE"
1389143608482226182,DrSidMukherjee,2021-05-03 09:03:39,en,31,1,17/n STAY AT HOME; wear a mask. Isolate. Do not attend crowded places (rallies or melas) with poor ventilation.
1389143226859368451,DrSidMukherjee,2021-05-03 09:02:08,en,19,0,16/n The three pillars of response (oxygen supply chain /hospital logistics and vaccine virology and distribution)… https://t.co/cbDMMKnVcq
1389142419040575493,DrSidMukherjee,2021-05-03 08:58:56,en,376,59,"6. Open green lanes for ambulances to bring people to the hospital that need more acute and urgent care.

7. Waive… https://t.co/2elrNw6Mhc"
1389141910300864513,DrSidMukherjee,2021-05-03 08:56:55,en,249,42,5. Create field hospitals where oxygen sats can be checked and lower level Covid care (as above can be administered… https://t.co/LnzvQMlOhU
1389141350935900163,DrSidMukherjee,2021-05-03 08:54:41,en,227,35,"3. Transport oxygen by airlift or train if possible. Start refitting industrial plants for medical oxygen. 

4.  Re… https://t.co/V9ApEdqRZH"
1389141127006150657,DrSidMukherjee,2021-05-03 08:53:48,en,281,57,"14/n So overall suggestions
1. Release data or appoint from a clinical body to assess the reality of viral breakthr… https://t.co/I6rojdldPS"
1389140218985451521,DrSidMukherjee,2021-05-03 08:50:11,en,239,49,"13/n If oxygen saturation falls below that, go to hospital in
an ambulance that has a working oxygen tank. Prone po… https://t.co/iw1CJ5Sg6A"
1389139293571100676,DrSidMukherjee,2021-05-03 08:46:31,en,333,74,"12/n 1. If Oxygen sat above 92 percent, stay home, use fever medicines, lie prone, drink water and use Budesonide i… https://t.co/lc3TqbCn7U"
1389138817752485891,DrSidMukherjee,2021-05-03 08:44:37,en,207,28,"11/n Are there field hospitals being set up ? If so, would people be comfortable with the army corps being deployed… https://t.co/2igUjzwSbM"
1389138231355117570,DrSidMukherjee,2021-05-03 08:42:17,en,360,78,10/n The GOI keeps telling us it’s under control. But the testimonies of people tell us a completely opposite story… https://t.co/H9z17Xexji
1389137797148196865,DrSidMukherjee,2021-05-03 08:40:34,en,257,37,"9/n Turning away from virology, where does one get an assessment of the oxygen situation in the worst affected States ?"
1389137502158610432,DrSidMukherjee,2021-05-03 08:39:24,en,257,43,8/n And what do we know about the virulence of B1617. B117 (UK variant) is clearly more pathogenic— although protec… https://t.co/azewCLzZlc
1389136990117969922,DrSidMukherjee,2021-05-03 08:37:22,en,313,55,"7/n In Israel, a SMALL study suggests that the Pfizer vaccine protects against B 1617. We KNOW it protects against… https://t.co/IEVZYsu6hk"
1389136537653231617,DrSidMukherjee,2021-05-03 08:35:34,en,299,42,6/n Last two questions from the virological point of view. In vitro evidence suggests that the B117 and B1617 strai… https://t.co/FRebbCyUhV
1389136116733861889,DrSidMukherjee,2021-05-03 08:33:53,en,355,45,5/n Also crucial to know if vaccines reduce hospitalization or severity. Is there an inoculum dose response ? And i… https://t.co/L1muDtEz4h
1389135407145705473,DrSidMukherjee,2021-05-03 08:31:04,en,366,32,4/n Such a study should be relatively easy to launch — I’d be happy to contribute thoughts on study design @AskDrShashank or others.
1389135106372259840,DrSidMukherjee,2021-05-03 08:29:52,en,440,49,"3/n Or the true effectiveness of the vaccines in the field are substantially lower. In which case, we need to measu… https://t.co/TKIxooNT0e"
1389134233579425793,DrSidMukherjee,2021-05-03 08:26:24,en,4316,1257,1/n The anecdotal stories about the number of people in India getting COVID after AZ or Covaxin need to be addressed.
1389023642756030465,DrSidMukherjee,2021-05-03 01:06:57,en,72,48,This is an example of a crowdsourced survey of real world protection from Covid by the vaccine. Not the strongest d… https://t.co/LhKqJyC4qZ
1388987385216708611,DrSidMukherjee,2021-05-02 22:42:53,en,182,29,@EricTopol I know the Israel data on B1617. The question is whether AZ or Covaxin have any real world (or randomize… https://t.co/f3X9ntBfCn
1388986182332203012,DrSidMukherjee,2021-05-02 22:38:06,en,1011,205,"This is a perfect study for a global alliance (including WHO) to launch. We really, really need to establish whethe… https://t.co/wezU0ih05f"
1388983914488868866,DrSidMukherjee,2021-05-02 22:29:05,en,69,4,All the data thus far seem to be either anecdotal or lab-based (in vitro assays). There must be someone doing a hum… https://t.co/F2SX64gKya
1388973540972638215,DrSidMukherjee,2021-05-02 21:47:52,en,456,43,Is there any evidence in humans that either the Indian strain is more pathogenic or infectious ? Or that AZ is prot… https://t.co/AwX6Wv7qNx
1388100008373899267,DrSidMukherjee,2021-04-30 11:56:46,en,54,19,2/n another one is https://t.co/rCyN0t9A1e
1388099722754379783,DrSidMukherjee,2021-04-30 11:55:38,en,126,66,1/n lots of people have been asking about where to donate for Covid in India. I haven’t vetted any organization. Bu… https://t.co/dS7QzQ3GnZ
1387945441363431424,DrSidMukherjee,2021-04-30 01:42:34,en,27,1,"Again full disclosure: I founded $VOR, and my conflicts are disclosed and public. These are model studies; I’m exci… https://t.co/B280ySWou5"
1387791846852681729,DrSidMukherjee,2021-04-29 15:32:14,en,18,1,"Plus, two abstracts/ podium session from $VOR Biopharma at ASCGT, and one from Hans-Peter Kiem. Congrats to everyon… https://t.co/ah7idvxmzg"
1387789814154600453,DrSidMukherjee,2021-04-29 15:24:10,en,14,0,@PSampathkumarMD @the_hindu @paimadhu @MayoClinicINFD @GargiRawat @ICMRDELHI Priya: please repost your very thought… https://t.co/tmFFHkEJzy
1387786175285547009,DrSidMukherjee,2021-04-29 15:09:42,en,26,2,"Off target effects, using circle seq, are minimal, and the base edited cells are functionally viable. Again, step b… https://t.co/wDywJb6DNm"
1387785026134216705,DrSidMukherjee,2021-04-29 15:05:08,en,16,2,$VOR has also a shown that CD33 negative human transplant-ready cells can be made at scale under GMP. Another poste… https://t.co/jQ2XMjXa3t
1387784525716021251,DrSidMukherjee,2021-04-29 15:03:09,en,86,7,"Beautiful, from F. Borot, in collab. with David Liu's lab-""base editing"" can render human blood cells ""immune"" to C… https://t.co/jQGlLIcXgj"
1387131709976727556,DrSidMukherjee,2021-04-27 19:49:05,en,697,179,What would it take to make this image viral ? https://t.co/OBYxIgPBb4
1387025251029159936,DrSidMukherjee,2021-04-27 12:46:04,en,3,0,@ajumathew_ @muradbanaji @KurtadikarKetan @EricTopol @antonystanley09 Yup. I thought so. The B16.17 frequency was l… https://t.co/alHD1B1ST9
1387024741920350212,DrSidMukherjee,2021-04-27 12:44:02,en,46,7,4/n “Perhaps any analysis would prove premature. If new viral strains [...]were to sweep through every prediction o… https://t.co/D7kGJrL7Xt
1387024465100431365,DrSidMukherjee,2021-04-27 12:42:56,en,59,6,3/n “ Was the “demographic structure” of a population the real factor? Were the disparities exaggerated by undercou… https://t.co/ec3UzqrZNL
1387023485407465476,DrSidMukherjee,2021-04-27 12:39:03,en,107,14,"2/n As I had pointed out in the New Yorker, many potential factors, and still a mystery ...
1. Massive public ralli… https://t.co/9fuhXSvhZL"
1387023020800319488,DrSidMukherjee,2021-04-27 12:37:12,en,150,38,1/n Lots of folks asking about India’s devastating second wave after it had seemingly escaped the worst of the first...
1387022383307952128,DrSidMukherjee,2021-04-27 12:34:40,en,2,0,@ajumathew_ @muradbanaji @KurtadikarKetan @EricTopol Do you know the B16.17 variant frequency in ernakulum ?
1387020752298332162,DrSidMukherjee,2021-04-27 12:28:11,en,2610,64,My mom !!! A covid hero... ventured out by herself and is vaccinated https://t.co/fvS7RFIXOd
1387013214970519552,DrSidMukherjee,2021-04-27 11:58:14,en,64,18,Also worth emphasizing that T cell immunity remains unimpacted. https://t.co/vTgcDfW1T3
1387013064617234436,DrSidMukherjee,2021-04-27 11:57:38,en,2,0,@HenrikVogt @EricTopol Also worth emphasizing that T cell immunity remains un impacted.
1387011646447628292,DrSidMukherjee,2021-04-27 11:52:00,en,0,0,@muradbanaji @ajumathew_ @KurtadikarKetan @EricTopol This was a mix of AZ and covaxin ?
1386996946234118147,DrSidMukherjee,2021-04-27 10:53:35,en,0,5,RT @mushfiq_econ: @dondee_don @DrSidMukherjee Please see here - https://t.co/gtr9eN6kTY This deck is geared towards working with government…
1386994732262469633,DrSidMukherjee,2021-04-27 10:44:47,en,0,0,@ajumathew_ @EricTopol What does this show ?
1386990307099779074,DrSidMukherjee,2021-04-27 10:27:12,en,48,3,@EricTopol and others: Do we have data that the AZ vaccine is effective against the Indian variant ? Against severe… https://t.co/J8GQ6vvFbe
1386653790191984640,DrSidMukherjee,2021-04-26 12:10:01,en,401,75,1/2 Ok. Phew. A major victory with the US govt today after a week of advocating through multiple channels. Thank yo… https://t.co/izNMPqDUZ6
1386361234761605124,DrSidMukherjee,2021-04-25 16:47:30,en,394,154,"And now, we can't even THINK of believing the official numbers....https://t.co/t25sUw7o44"
1386359585565515778,DrSidMukherjee,2021-04-25 16:40:57,en,0,0,"@71stUSsecretary @POTUS 
Please read the below thread...
https://t.co/zj35pm9zyb"
1386353357791629318,DrSidMukherjee,2021-04-25 16:16:12,en,253,105,"The full thread is here, if anyone wants it
https://t.co/zj35pm9zyb"
1386347085700730880,DrSidMukherjee,2021-04-25 15:51:16,en,1190,255,"7/n 4. Vaccine raw materials. The US needs to approve a ""waiver"" so that vaccine manufacture can continue. Leadersh… https://t.co/HP2JRmn8FX"
1386346349642256385,DrSidMukherjee,2021-04-25 15:48:21,en,564,83,6/n 3. Dexamethasone and inhaled steroids are apparently in supply. But we are checking to see if adequate supplies… https://t.co/0GzBeD94my
1386346015507329026,DrSidMukherjee,2021-04-25 15:47:01,en,530,84,5/n 2. Military grade oxygen concentrators and refillable tanks. This is one example: https://t.co/UfQNrN43D2
1386345876269015041,DrSidMukherjee,2021-04-25 15:46:28,en,742,138,"4/nThe most immediate requirements are:
1. Liquid oxygen in tanks. The requirement is about 40-50,000 metric tons t… https://t.co/XLtki2RaTZ"
1386345427478454273,DrSidMukherjee,2021-04-25 15:44:41,en,657,86,"3/n Now, let's get practical. I've spoken to several people on the ground in India, and here are the immediate need… https://t.co/djJ40dbvnz"
1386345141213011978,DrSidMukherjee,2021-04-25 15:43:33,en,915,139,"2/n This is, or was, a moment of historic importance for the US/ Biden administration to show leadership and solida… https://t.co/fkMIA1VO7s"
1386344743907569672,DrSidMukherjee,2021-04-25 15:41:58,en,7389,2323,"1/n Long thread, but of crucial importance. The COVID-19 situation in India is as dire as can be. And it is not jus… https://t.co/Jj6zXZP5gz"
1386341804954509314,DrSidMukherjee,2021-04-25 15:30:17,en,1,1,@PSampathkumarMD This thread from @nemesisalo gives a very good translation https://t.co/5XVThBdhwt
1386011824168919040,DrSidMukherjee,2021-04-24 17:39:04,en,65,1,"And a HUGE thanks to the Mayo team, esp @PSampathkumarMD"
1385998772417744902,DrSidMukherjee,2021-04-24 16:47:12,en,815,214,"OK, I know it's not pretty, or perfect, but it is the best I could do.... apologies to perfectionists. https://t.co/9Deks80Voz"
1385986205108609026,DrSidMukherjee,2021-04-24 15:57:16,en,122,6,I am going to have this translated into Bengali...
