id,username,created_at,lang,favorite_count,retweet_count,text
1393545606350602242,FHF_Official,2021-05-15 12:35:38,en,2,1,"Arguably, “Kisan Kanya” (1937) directed by Moti Gidwani lays claims to being the first Indian colour film to be mad… https://t.co/HAFhaJeez0"
1393457177780625409,FHF_Official,2021-05-15 06:44:15,en,3,3,Arun A.K. writes in The Quint  on the relevance of Satyajit Ray’s film “Hirak Rajar Deshe” in contemporary times. H… https://t.co/tQqSrJVYnT
1393183508143644673,FHF_Official,2021-05-14 12:36:47,en,4,2,"Featured in P.K. Nair’s list of top 10 lost films of India, V. Shantaram made what is widely believed to be India’s… https://t.co/u6WJGegZMB"
1393092294031466496,FHF_Official,2021-05-14 06:34:19,en,2,0,"Nandini Ramnath’s piece in Scroll revisits the 1984 film “Saaransh” directed by Mahesh Bhatt, which lead actor Anup… https://t.co/1grM3s9Lbq"
1392820386102870020,FHF_Official,2021-05-13 12:33:52,en,4,3,"Few people are aware that in 1932, Fram Madan introduced colour to Indian cinema with the film “Bilwamangal” where… https://t.co/a7zCn8zLlO"
1392731469714391041,FHF_Official,2021-05-13 06:40:32,en,6,3,"As Brazil’s cultural institutions are facing an onslaught of funding cuts, closures and employee layoffs not to men… https://t.co/bH6xhglQ4Z"
1392458573662146565,FHF_Official,2021-05-12 12:36:09,en,5,3,"From the beginning of motion picture history, films were shot on black-and-white film stock, but as Natalie Kalmus… https://t.co/JngGHNBHLF"
1392368028612894725,FHF_Official,2021-05-12 06:36:21,en,3,1,Nyay Bhushan’s piece in The Hollywood Reporter studies the impact of the pandemic on India’s entertainment industry… https://t.co/26GXHbH9E8
1392095467538841608,FHF_Official,2021-05-11 12:33:18,en,7,0,Acclaimed filmmaker Adoor Gopalakrishnan’s evocative personal piece in Open magazine on his relationship with Satya… https://t.co/JMmHpYIXSY
1392005420097572866,FHF_Official,2021-05-11 06:35:29,en,0,0,Ganesh Vancheeswaran’s piece on @scroll_in examines the undiscovered memorable tunes of the flamboyant music compos… https://t.co/VW4rqncR5o
1391733529856282626,FHF_Official,2021-05-10 12:35:05,en,2,0,Anand Bakshi contributed over 3000 songs in Hindi cinema during a six decade long career. His simple lyrics and con… https://t.co/iSnJ2IcahO
1391644326359273476,FHF_Official,2021-05-10 06:40:37,en,12,1,"Jane Borges of Sunday Midday speaks to single-screen cinema owners around the country in Mumbai, Purnea, Patiala an… https://t.co/P4mVjZCCu7"
1391009124121382916,FHF_Official,2021-05-08 12:36:33,en,95,32,Anupama Subramanian of the Deccan Chronicle covers Film Heritage Foundation’s pioneering 8 K digitization project o… https://t.co/b72uXpITuc
1390917799787188225,FHF_Official,2021-05-08 06:33:40,en,5,0,Sohini Chattopadhyay writes on how Satyajit Ray through his oeuvre of Bengali films located the world in a grain of… https://t.co/JPABFVsPsz
1390651017612521479,FHF_Official,2021-05-07 12:53:34,en,2,0,"Shwetant Kumar’s piece in Scroll looks back at the career of legendary music composer Vanraj Bhatia, whose music is… https://t.co/hBbMy64oCd"
1390555216601260032,FHF_Official,2021-05-07 06:32:53,en,2,1,Legendary music composer and National Award winner Vanraj Bhatia passed away today at the age of 93. The Padma Shre… https://t.co/aPm2mpLySm
1390283291610079238,FHF_Official,2021-05-06 12:32:21,en,4,1,Shrabonti Bagchi writes about how beautifully and sensitively Satyajit Ray wrote about childhood in his short stori… https://t.co/rpJGQX2SVO
