id,username,created_at,lang,favorite_count,retweet_count,text
1390160342894866435,GidMK,2021-05-06 04:23:48,en,0,0,@Explosive_Nicka What if COVID increases the long term risk of cancer?
1390156624837312515,GidMK,2021-05-06 04:09:01,en,62,15,Worth remembering that the alternative to unknown long-term side-effects of COVID-19 vaccines for children is the u… https://t.co/qeq43H5J83
1390123382461517828,GidMK,2021-05-06 01:56:56,en,0,8,"RT @migga: I'll start.

Proportionate response
Wicked/insidius virus
Federal responsibility/dedicated quarantine
Covid detectives
We make n…"
1390116019662843906,GidMK,2021-05-06 01:27:40,en,2,0,"@Glaven1994 ""It's not a variant of concern"" - looks like it's an Indian variant but not one that's been investigated much"
1390114659361976320,GidMK,2021-05-06 01:22:16,en,1,0,"@Glaven1994 Anything's possible, but until they identify one I'm not going to guess!"
1390114566579712002,GidMK,2021-05-06 01:21:54,en,7,0,@migga You should put together a COVID-19 presser bingo card for next time
1390114004090069000,GidMK,2021-05-06 01:19:40,en,1,0,"@Glaven1994 I don't think they actually mentioned variants in the presser, they just said the person was from the US as far as I heard"
1390113168383348736,GidMK,2021-05-06 01:16:21,en,7,0,@migga Scrambling to respond
1390113090037981186,GidMK,2021-05-06 01:16:02,en,1,0,"@msabouri What an odd thing to say. No closure of venues, looks like a relatively normal weekend. I believe the gam… https://t.co/boqKrQTPoc"
1390111518155448321,GidMK,2021-05-06 01:09:47,en,0,0,@Reasonableques3 Tonight 5pm
1390110445516726272,GidMK,2021-05-06 01:05:31,en,3,0,"Restrictions just for greater Sydney, not the whole of NSW"
1390110173558018048,GidMK,2021-05-06 01:04:27,en,11,0,"New restrictions for NSW over the weekend - no singing or dancing (except weddings), &lt;20 people inside homes, mask-… https://t.co/nLEwLDcJX9"
1390109838202396672,GidMK,2021-05-06 01:03:07,en,32,3,"NSW COVID-19: ""Our health detectives have managed to identify the source of this case"" GOOD NEWS #COVID19nsw"
1390088092753686528,GidMK,2021-05-05 23:36:42,en,4,0,@bluntshovels It's vague enough that you could argue it's true - if the NDIS total spending keeps increasing at thi… https://t.co/gwecA2NcNV
1390084594901217282,GidMK,2021-05-05 23:22:48,en,8,6,"@bluntshovels So, in the most recent budget papers Medicare cost $36.5 billion and NDIS' full cost (incl state cont… https://t.co/MqZ3wzKa1T"
1390079018179862529,GidMK,2021-05-05 23:00:39,en,1,0,@gemcarey Maybe she means rurality rather than or in addition to IRSAD?
1390071828299730947,GidMK,2021-05-05 22:32:04,en,0,0,@greg_travis Also good points!
1390065195716792321,GidMK,2021-05-05 22:05:43,en,30,1,"My favourite Teams design flaw is placing the ""leave meeting"" button right next to the most-used ""share screen"" but… https://t.co/IE0ktQEBTi"
1390064644350353408,GidMK,2021-05-05 22:03:32,en,89,3,"We can quibble endlessly about children, but there's no question that for the vast majority of people getting vacci… https://t.co/dzxHXdWmDR"
1390064643037536259,GidMK,2021-05-05 22:03:31,en,175,9,"""Every previous pandemic ended without a vaccine"" - sure Jim, but people DIED"
1390050106867552262,GidMK,2021-05-05 21:05:46,en,0,347,"RT @angie_rasmussen: Public health people are often accused of ""enjoying"" the pandemic. Now some say that anxiety about reopening is actual…"
1389872669298921473,GidMK,2021-05-05 09:20:41,en,0,286,"RT @Blyth_Crawford: CW: Transphobia

Something that basically everyone who’s spent any time on far-right social media is aware of is that t…"
1389816637830811648,GidMK,2021-05-05 05:38:02,en,35,1,"On the plus side, the amazing work of @NSWHealth on display yet again. Positive test this morning, by early afterno… https://t.co/SjEykVhGPl"
1389814377751093251,GidMK,2021-05-05 05:29:03,en,3,1,"@GordyPls ""It is surprisingly easy to rob banks: an academic investigation"""
1389809117452148737,GidMK,2021-05-05 05:08:09,en,0,5,RT @WEpi2021: Hello Twitter! We're the new Twitter account for the #WCEpi2021 World Congress of Epidemiology. The congress will be on 3-6 S…
1389784196713906179,GidMK,2021-05-05 03:29:08,en,51,8,"Worrying that we don't know where this came from yet, stay safe everyone 👍 https://t.co/z0R49cUePc"
1389774961045229569,GidMK,2021-05-05 02:52:26,en,2,0,"@psuedo_science @migga I'm quite confused, I personally think that HQ has been managed well on the whole. What are you trying to say?"
1389760296152043521,GidMK,2021-05-05 01:54:09,en,16,3,"@migga Gotta say, reading the actual words of the breaches is to me very reassuring. Most of these seem to be both… https://t.co/YlgA8aTMGg"
1389757197945475073,GidMK,2021-05-05 01:41:51,en,1,0,@greg_travis @picardonhealth Your guess is as good as mine
1389754940059312129,GidMK,2021-05-05 01:32:52,en,1,0,"@greg_travis @picardonhealth Part of the article is explaining this - we have different definitions of the term ""he… https://t.co/sHh9xwMBCP"
1389750568424382467,GidMK,2021-05-05 01:15:30,en,0,1,"@WesPegden @pafournier @AlastairMcA30 @sdbaral @VPrasadMDMPH As to whether the risks are the same or greater, it do… https://t.co/QHBlkRFp32"
