id,username,created_at,lang,favorite_count,retweet_count,text
1390134661716877312,Jai__Malik,2021-05-06 02:41:45,en,3,0,@yadavajay Crazy world we live in. Narratives are seemingly much easier to buy into than actual data
1390084255355707398,Jai__Malik,2021-05-05 23:21:27,en,0,0,@funfintweets Great way of articulating it! Thanks for sharing
1390005437269938177,Jai__Malik,2021-05-05 18:08:15,en,1,0,"@vickie__b Pre-seed makes more sense than seed these days, weirdly enough"
1390001026632142856,Jai__Malik,2021-05-05 17:50:44,en,1,0,@millerannette @sarita_menon What she said ^
1390000949213683719,Jai__Malik,2021-05-05 17:50:25,en,2,0,@ShaunTiwari @martyrdison All star list
1389994806470922242,Jai__Malik,2021-05-05 17:26:01,en,1,0,"@ProudFounderess Yea, this is a good point. Hard to say, no one size fits all"
1389987755455913993,Jai__Malik,2021-05-05 16:58:00,en,0,0,"@Nick_Spiller Most that want to raise a lot, you mean?"
1389982258312908803,Jai__Malik,2021-05-05 16:36:09,en,2,0,"@McStack_88 I agree on the founder side, but these labels are heuristics for funds. When those information supporti… https://t.co/I4UQcXlMrj"
1389980893922668546,Jai__Malik,2021-05-05 16:30:44,en,2,0,"@millerannette Wow, can't say I'm surprised with the ""in this town!"" comment (same thing here lol). 

The crazy thi… https://t.co/lO2sca24YK"
1389980570910871560,Jai__Malik,2021-05-05 16:29:27,en,1,0,@ktaylor Definitely other variables at play imo. Second-time founders are able to raise at a premium
1389973771377954819,Jai__Malik,2021-05-05 16:02:26,en,0,0,@dynamicdynamics Interesting take. Do you think early signs of PMF are now necessary for Seed?
1389964319404736520,Jai__Malik,2021-05-05 15:24:52,en,7,0,@StartupPablo I agree.  That’s why I’ve started referring to myself as a pre-seed investor as opposed to early stage
1389960875491082240,Jai__Malik,2021-05-05 15:11:11,en,1,0,"@NeerajEmotion Wow, that’s nuts"
1389943783622578176,Jai__Malik,2021-05-05 14:03:16,en,1,0,"@mrlee_2u That’s the tricky part. A lot of founders ask what the correct amount looks like for seed, and right now 🤷‍♂️"
1389940983039680513,Jai__Malik,2021-05-05 13:52:08,en,1,0,@mfouladirad Thanks!
1389940682308079618,Jai__Malik,2021-05-05 13:50:57,en,1,0,@martyrdison Such a smart move. Wish more founders would
1389939577708810243,Jai__Malik,2021-05-05 13:46:33,en,0,0,@martyrdison Damn thought you’d be getting Tiger Global instead
1389939201618108418,Jai__Malik,2021-05-05 13:45:04,en,3,0,"@martyrdison Omg congrats, can’t wait for the fundraising announcement"
1389938765985198082,Jai__Malik,2021-05-05 13:43:20,en,172,15,"Seed rounds are at such an odd place right now.

On one hand, some founders are now raising $8m+ rounds from VCs wi… https://t.co/cQNCp7CmPS"
