id,username,created_at,lang,favorite_count,retweet_count,text
1388568974842081282,JasonRobertsRD,2021-05-01 19:00:16,en,0,2,RT @LAndromalos: So proud of this issue of @DiabetesDPG OTCE: managing the dynamic duo of #obesity &amp; #diabetes Thank you to my amazing team…
1388568667881975818,JasonRobertsRD,2021-05-01 18:59:03,und,1,0,@FrugalDietitian 😳
1388489552126427140,JasonRobertsRD,2021-05-01 13:44:40,en,14,0,@nutrigirl @AnneElizabethRD @abkay @BarbRuhsRD @carrierd @StreetSmartRD @DishWithDina @Enjoyfood_ @JennaTalleda… https://t.co/sajDlMhGQ6
1388285298040320002,JasonRobertsRD,2021-05-01 00:13:02,en,0,576,"RT @Reds: 300 × bang = 300 bangs

Home run number 3️⃣0️⃣0️⃣ in the career of Joseph Daniel Votto‼️ https://t.co/bYfqA3RExF"
1387884305859416064,JasonRobertsRD,2021-04-29 21:39:38,en,0,3798,"RT @Reds: 🚨 PRIZE GIVEAWAY 🚨

RETWEET to enter to win an @MLBNetwork tote bag filled with swag plus baseballs signed by Sonny Gray and Luis…"
1387435766704390151,JasonRobertsRD,2021-04-28 15:57:18,en,0,2,RT @DiabetesDPG: CDCES scholarship applications open now through May 31. The program supports the journey for health professionals in the s…
1387075162634432513,JasonRobertsRD,2021-04-27 16:04:24,en,3,1,Take action today to promote diversity in allied health professions! #eatrightPRO https://t.co/PDIgxm42HJ
1386459122510536706,JasonRobertsRD,2021-04-25 23:16:28,en,5,0,@QueenJackene @nutrigirl @AnneElizabethRD @abkay @BarbRuhsRD @carrierd @StreetSmartRD @DishWithDina @vfergrd… https://t.co/Q9Uv9mgLKN
1386454949354254337,JasonRobertsRD,2021-04-25 22:59:53,en,3,0,@QueenJackene @nutrigirl @AnneElizabethRD @abkay @BarbRuhsRD @carrierd @StreetSmartRD @DishWithDina @vfergrd… https://t.co/ys47TTdgtr
1386453177898348544,JasonRobertsRD,2021-04-25 22:52:51,en,2,0,@QueenJackene @nutrigirl @AnneElizabethRD @abkay @BarbRuhsRD @StreetSmartRD @carrierd @DishWithDina @Enjoyfood_… https://t.co/0FlsAnnSHM
1386451413555892233,JasonRobertsRD,2021-04-25 22:45:50,en,7,0,@nutrigirl @AnneElizabethRD @abkay @BarbRuhsRD @StreetSmartRD @carrierd @DishWithDina @Enjoyfood_ @gingerbouvier1… https://t.co/wRBakWBqec
1386439789809860609,JasonRobertsRD,2021-04-25 21:59:39,en,2,0,@KSkorupskiRD @theamericanrd @TrekBikes I love my Trek. I have a dual sport.
1385381303072198656,JasonRobertsRD,2021-04-22 23:53:36,und,0,0,@KelseyOgletree 👋🏼
1384199227740364800,JasonRobertsRD,2021-04-19 17:36:27,en,0,2,"RT @DiabetesDPG: Have you listened to our #DDPG podcast “Elevating our Profession with Amanda Kirpatch, Policy &amp; Advocacy Leader”? https://…"
1383938838138003465,JasonRobertsRD,2021-04-19 00:21:46,en,0,1,"RT @GingerHultinRD: Donations to the Foundation help fund awards, grants, scholarships, programs and more. Please support the only charity…"
1383928236808183809,JasonRobertsRD,2021-04-18 23:39:38,en,4,0,@JennaTalleda @FrugalDietitian @nutrigirl @AnneElizabethRD @abkay @BarbRuhsRD @StreetSmartRD @carrierd… https://t.co/KYLCsS8kjx
1383801649844477954,JasonRobertsRD,2021-04-18 15:16:37,en,0,1,"RT @JeanRagalieRD: Forest bathing is a thing @JasonRobertsRD walking in nature relieve stress and  helps mentally, physically and spiritual…"
1383801619184189442,JasonRobertsRD,2021-04-18 15:16:30,en,2,0,@JeanRagalieRD 😍 so very true! I wish I could take a forest bath daily! ❤️ our national &amp; state parks.
1383565335874314244,JasonRobertsRD,2021-04-17 23:37:36,und,1,0,@MLB @nikediamond #BostonStrong ⚾️
1383413407919972355,JasonRobertsRD,2021-04-17 13:33:53,en,11,0,@nutrigirl @AnneElizabethRD @abkay @BarbRuhsRD @StreetSmartRD @carrierd @DishWithDina @Enjoyfood_ @gingerbouvier1… https://t.co/kenN6sgyQA
1383231737770086403,JasonRobertsRD,2021-04-17 01:32:00,en,7,0,Great presentation by two awesome #RDs at the #OAND 100th annual conference. https://t.co/uBxQnqKU4S
1383103300808151044,JasonRobertsRD,2021-04-16 17:01:38,en,0,2,RT @kbakies: Looking forward to @KimKirchherr presentation this afternoon. If you are attending @EatRightOhio annual meeting please be sure…
1383075650106449921,JasonRobertsRD,2021-04-16 15:11:45,en,0,1,RT @DiabetesDPG: Remember to check your email for the #DDPG e-update or you can find the latest e-update here https://t.co/mQ7wfHg3u3
1383070266146820097,JasonRobertsRD,2021-04-16 14:50:22,en,1,0,@AnnaG_thebeefRD My co-attendee is too 🤣 #OAND #OANDvirtualConference #CatRDay https://t.co/HDRkvwiqgN
1383066835109752833,JasonRobertsRD,2021-04-16 14:36:44,en,1,0,"@kbakies Yes, thank you conference committee! Great sessions so far 😁"
1383051061917810691,JasonRobertsRD,2021-04-16 13:34:03,und,0,0,@AnnaG_thebeefRD 👏🏼 🤣
1383044847712501763,JasonRobertsRD,2021-04-16 13:09:22,en,0,1,RT @PaigeWagnerRDN: @MJLudy always representing BGSU and OAND well. 😀 https://t.co/tneLc2hHnV
1383040956677681158,JasonRobertsRD,2021-04-16 12:53:54,en,6,0,Who else is attending virtual #OAND 2021? https://t.co/JYj1FjquoP
1383040795851259904,JasonRobertsRD,2021-04-16 12:53:16,en,0,2,RT @EatRightOhio: Good morning #OAND followers! Today is #virtualOANDconference day! The General Session Keynote “Bridging the Gap: Cultiva…
1382863673614553091,JasonRobertsRD,2021-04-16 01:09:26,und,0,0,@MikesCarwash 28 🎉
1382125407374303244,JasonRobertsRD,2021-04-14 00:15:50,en,0,2,"RT @EatRightOhio: Don’t miss your chance to register for the 100th Annual OAND Conference, which will be held virtually this Friday, April…"
1380323468403744771,JasonRobertsRD,2021-04-09 00:55:34,en,0,0,Seems like we visited another world or should I say a galaxy far far away? #DuneSea #mesquitesanddunes @ Death Vall… https://t.co/z3lm4P1qaK
1379091481646878723,JasonRobertsRD,2021-04-05 15:20:06,en,0,1,"RT @eatrightPRO: For resources to drive referrals to #RDNs for medical nutrition therapy, along with information on ""no show"" fees, read th…"
1378371706432102400,JasonRobertsRD,2021-04-03 15:39:58,en,14,0,@nutrigirl @AnneElizabethRD @abkay @AmyRHollar @AmyGorin @BarbRuhsRD @StreetSmartRD @carrierd @DishWithDina… https://t.co/RRdG43zhkO
1377817767051722753,JasonRobertsRD,2021-04-02 02:58:48,en,0,0,"Happy last day of NNM! Food preparation can be fun, quick, and easy.  Personalize your plate by learning skills to… https://t.co/DY0dEPmCaE"
1377762827339980802,JasonRobertsRD,2021-04-01 23:20:30,en,2,0,Help out students and get some punny stickers #WINWIN #SASI #Students https://t.co/ilLY8v9PjB
1375268076292300807,JasonRobertsRD,2021-03-26 02:07:15,en,0,2,"RT @eatrightPRO: Attn #eatrightPRO members providing DSMES/T and MNT services: 
Access your free Diabetes Services Order Form, developed in…"
1375256481101135878,JasonRobertsRD,2021-03-26 01:21:10,en,0,2,RT @EatRightOhio: School nutrition professionals must have the proper kitchen equipment to provide students with nutritious meals. Be sure…
1374895458313768962,JasonRobertsRD,2021-03-25 01:26:36,en,0,1,"RT @EatRightOhio: Have you donated to #SASI yet? If not, don’t miss out on your chance to help provide #OAND student members a $50 reductio…"
1374535882116567040,JasonRobertsRD,2021-03-24 01:37:46,en,0,46,"RT @HawaiianAir: Choose your favorite hiking view.🚶
RT for our mountains and waterfalls. Like for ocean views. 

Either way, we promise the…"
1373405583651508227,JasonRobertsRD,2021-03-20 22:46:22,und,1,0,@nutrigirl @AnneElizabethRD @xtian_daveRND @AmyRHollar @abkay @BarbRuhsRD @StreetSmartRD @carrierd @DishWithDina… https://t.co/9Hf9z422iD
1373297327079833605,JasonRobertsRD,2021-03-20 15:36:12,en,2,0,@nutrigirl @AnneElizabethRD @xtian_daveRND @AmyRHollar @abkay @BarbRuhsRD @StreetSmartRD @carrierd @DishWithDina… https://t.co/e73NBkSYCW
1373283634938052612,JasonRobertsRD,2021-03-20 14:41:47,en,11,0,@nutrigirl @AnneElizabethRD @AmyRHollar @abkay @BarbRuhsRD @StreetSmartRD @carrierd @DishWithDina @Enjoyfood_… https://t.co/J9fXXId3kY
1372587460316835842,JasonRobertsRD,2021-03-18 16:35:26,en,1,3,Please help support #nutrition #dietetic students! #OAND @EatRightOhio @EatRightCincy @gcandpr @EatRightCbus  #SASI https://t.co/JQ9G8x3QTh
1372009951929978883,JasonRobertsRD,2021-03-17 02:20:37,en,0,2,"RT @EatRightOhio: TODAY (March 16th) is the last day to receive the early bird discount for the 100th Annual OAND Conference, which will be…"
1371994484792303622,JasonRobertsRD,2021-03-17 01:19:10,en,0,7,"RT @VeteransHealth: You don’t have to go to cooking school to be a creative cook. Try these tips for creative, healthy, delicious meals: ht…"
1371994323710046208,JasonRobertsRD,2021-03-17 01:18:31,en,0,3,"RT @GingerHultinRD: By completing the Academy Foundation’s online scholarship application, you are automatically considered for hundreds of…"
1371520859396059136,JasonRobertsRD,2021-03-15 17:57:09,en,0,1,RT @EatRightOhio: Your voice matters! Members of Congress want to hear how #nutrition education and intervention programs impact their cons…
1371083118216634368,JasonRobertsRD,2021-03-14 12:57:43,en,11,0,@nutrigirl @AnneElizabethRD @abkay @BarbRuhsRD @AmyRHollar @AmyGorin @StreetSmartRD @DishWithDina @Enjoyfood_… https://t.co/ywUGPKnjFU
