id,username,created_at,lang,favorite_count,retweet_count,text
1389710909250183168,KamenIntheLoop,2021-05-04 22:37:55,en,0,0,"Caught On Hot Mic, McCarthy Reportedly Throws Cheney Entirely Under The Bus https://t.co/DYS8nPXA5d via @TPM"
1389705268380856321,KamenIntheLoop,2021-05-04 22:15:30,en,1,2,Judge Accuses DOJ Of Misleading Her About Key Doc Related Mueller Report Release https://t.co/ywXIpSBDmD via @TPM
1389704126955626497,KamenIntheLoop,2021-05-04 22:10:57,en,0,27,RT @NormOrnstein: @ProjectLincoln @michaelsozan Reckless endangerment. Knowing reckless endangerment.
1389703836399460354,KamenIntheLoop,2021-05-04 22:09:48,en,0,839,"RT @MaxBoot: We have become mediocre: our minimum wage is #15 in the world, our infrastructure #13, our students rank #11 in science and #3…"
1389702802885120002,KamenIntheLoop,2021-05-04 22:05:42,en,0,0,Agree. But should note that they may drink a lot more red wine than we do? https://t.co/DaqKkbw8fX
1389702109910773760,KamenIntheLoop,2021-05-04 22:02:57,en,0,942,RT @FPWellman: @tedcruz Jason Bourne is a fictional character who illegally assassinated people after being programmed to do so through tor…
1389702018277593089,KamenIntheLoop,2021-05-04 22:02:35,en,0,1141,"RT @SecBlinken: We need to work together to call out Russia’s behavior, hold Russia accountable for its actions, and press Moscow to adhere…"
1389701511563862019,KamenIntheLoop,2021-05-04 22:00:34,en,0,366,"RT @GlennKesslerWP: Trump's new ""blog"" is all about the money. It even has the recurring donation box conveniently checked for you already.…"
1389589643474132992,KamenIntheLoop,2021-05-04 14:36:02,en,0,0,Opinion | Cuomo plays cat-and-mouse with New York media https://t.co/WXHLFI5PFk
1389561160098320387,KamenIntheLoop,2021-05-04 12:42:52,en,0,70,RT @RWPUSA: If you are a psychiatrist and you say anything about our (former) Dear Leader Donald Trump or about his defender @AlanDersh you…
1389560868787171337,KamenIntheLoop,2021-05-04 12:41:42,en,0,0,Democrats and Republicans need a translator when speaking infrastructure - The Washington Post https://t.co/b9BixBo8r5
1389559882915926017,KamenIntheLoop,2021-05-04 12:37:47,en,0,1,RT @ThurberTeam: Excellent news!
1389558312824451076,KamenIntheLoop,2021-05-04 12:31:33,en,1,0,Why New York State’s Population Growth Surprised Experts https://t.co/0pEcJA48yf
1389557924301770755,KamenIntheLoop,2021-05-04 12:30:00,en,0,1,RT @lindajkillian: Having broken from a monarchical system - despotism was one of the things the founders feared most about what might happ…
1389557620772589568,KamenIntheLoop,2021-05-04 12:28:48,en,0,3770,"RT @matthewjdowd: The dividing line in America today is not liberal/conservative, those terms have become almost meaningless.  The dividing…"
1389557082580525061,KamenIntheLoop,2021-05-04 12:26:39,en,0,148,"RT @axios: Responding to efforts to oust Liz Cheney from GOP leadership, the WSJ editorial board warns that ""if bowing before all things Tr…"
1389556735883595776,KamenIntheLoop,2021-05-04 12:25:17,en,0,30,"RT @mollymotoole: When a boat loaded with Mexican migrants sank, Navy men dived into the sea to save them  https://t.co/TB3Uv96Rfx @brittny…"
1389556631902605312,KamenIntheLoop,2021-05-04 12:24:52,en,0,45,"RT @JoJoFromJerz: Try this shit with my fifth grader. 
I dare you. 🤨"
1389556221540278274,KamenIntheLoop,2021-05-04 12:23:14,en,0,348,RT @YouTube: “William!!”...is all of us right now. What are you looking forward to?
1389555633800818689,KamenIntheLoop,2021-05-04 12:20:54,en,0,7,"RT @PostOpinions: While the competition with China is far different from the Cold War with the Soviet Union, it still offers useful lessons…"
1389555561386201089,KamenIntheLoop,2021-05-04 12:20:37,en,0,3,"RT @wpinvestigates: Grocery workers, already reeling from the pandemic, face new trauma from store shootings @abhabhattarai  https://t.co/t…"
1389555046891855872,KamenIntheLoop,2021-05-04 12:18:34,en,0,2,"RT @JGaffneyUSN: @thehill @TheHillOpinion Even by the incredibly low standards of Hill Opinion (""Hey, Mom, I got published!) - this is absu…"
1389554456216363009,KamenIntheLoop,2021-05-04 12:16:13,en,0,295,"RT @SykesCharlie: As the boos intensified, Romney asked the crowd:

“Aren’t you embarrassed?”

That question seems to hang in the air. How…"
1389554353258778625,KamenIntheLoop,2021-05-04 12:15:49,en,0,2,RT @UpshotNYT: News analysis: The increasing racial diversity among American voters isn’t doing quite as much to help Democrats as liberals…
1389554163223171078,KamenIntheLoop,2021-05-04 12:15:03,en,0,28,"RT @davidfrum: I get that Democratic administrations never want to argue, ""The foreign threat of the moment - while real - is less terrifyi…"
1389553490213679106,KamenIntheLoop,2021-05-04 12:12:23,en,0,6946,RT @waltshaub: You got engaged to remove the most corrupt president in history. But he was just the tip of the spear. A fascist movement is…
1389552533799116807,KamenIntheLoop,2021-05-04 12:08:35,en,1,0,"Trump's favorability, unfavorable ratings nearly level 100 days after leaving office: poll  https://t.co/WI5jlpA2CM"
1389551600121917440,KamenIntheLoop,2021-05-04 12:04:52,en,0,218,"RT @CNNPolitics: Former President Bush says if GOP stands for ""White Anglo-Saxon Protestantism, then it's not going to win anything"" https:…"
1389551488893165573,KamenIntheLoop,2021-05-04 12:04:26,en,0,4835,"RT @malonebarry: Super cute. Ireland's President Michael D. Higgins gives a TV interview while his Bernese Mountain Dog puppy, Misneach, vi…"
