id,username,created_at,lang,favorite_count,retweet_count,text
1387858207008194561,KarinaCBell,2021-04-29 19:55:56,en,2,2,"Feeling energized after sharing the Zoom ""stage"" w @JamesLoduca, Cristina Hernandez &amp; @maria_mamedran.

Glad to mod… https://t.co/Pej1g6BLWs"
1387144718480330754,KarinaCBell,2021-04-27 20:40:47,und,1,0,@nancysnegron @POTUS @VP @CommerceGov @A_Y_Castillo 🙌🏽🙌🏽🙌🏽
1384615900049932303,KarinaCBell,2021-04-20 21:12:10,en,0,3,"RT @batnib: PRAISE GOD! 

Finally. Justice. New Hope."
1384615373891276805,KarinaCBell,2021-04-20 21:10:04,en,0,11407,RT @Yamiche: Jury finds Derek Chauvin GUILTY of all charges in the death of George Floyd.
1383959546419318785,KarinaCBell,2021-04-19 01:44:03,en,0,352,RT @uche_blackstock: “You can’t take criticism and feedback from people who are not being brave with their lives. It just will crush you.”…
1382448298296971264,KarinaCBell,2021-04-14 21:38:53,en,1,0,@mongeliliana hahah! I hate when that happens!
1381830235516149760,KarinaCBell,2021-04-13 04:42:55,en,0,45,RT @MarlonCNichols: Hard things come before good things. Stay focused and stay strong!
1381646520521388033,KarinaCBell,2021-04-12 16:32:54,en,4,0,@operaqueenie @MicheleJawando Two of my favorite ladies working together for good?! Feeling hopeful! #dreamteam!
1380710397091581954,KarinaCBell,2021-04-10 02:33:05,und,2,0,@EddaColeman @MicheleJawando 🙌🏽🙌🏽🙌🏽🙌🏽
1377792844086210560,KarinaCBell,2021-04-02 01:19:46,en,1,0,@GioLockhart @PaidLeaveUS Yes!! Thanks for fighting for us! Excited for you and us!
1377729529330851842,KarinaCBell,2021-04-01 21:08:11,en,0,0,"@theodore_beza @petite1908 April fools, right?! 🧐"
1377299310644129792,KarinaCBell,2021-03-31 16:38:39,en,0,9,"RT @barbarawhye: Trans rights are human rights. End of story.

To our trans and gender non-confirming family, we see you and we honor you.…"
1376540096837472260,KarinaCBell,2021-03-29 14:21:48,en,0,24,"RT @harpersbazaarus: ""The diversity, equity, and inclusion industry lacks a compass guiding it back toward the politics of class and racial…"
1375677575675060227,KarinaCBell,2021-03-27 05:14:27,und,0,0,@19thnews @AyannaPressley @girlsleadership
1375527995918721025,KarinaCBell,2021-03-26 19:20:04,en,3,0,"@MicheleJawando How incredibly cruel. You have to ask who exactly are these officers protecting, if not the most vulnerable? 💔"
1374852819061075968,KarinaCBell,2021-03-24 22:37:10,en,0,56172,RT @maie_lynn: No we're not. Please pay us more.
1374783591649923073,KarinaCBell,2021-03-24 18:02:05,en,0,0,"Pls don't take your interns for granted. You never know what impact you will have on someone's life. 

Today I rece… https://t.co/KDXvEiNyxk"
1374541731463536645,KarinaCBell,2021-03-24 02:01:01,en,0,13442,"RT @ndungca: don’t just check on your AAPI friends. read up on the Chinese Exclusion Act, US occupation of the Philippines, Japanese intern…"
1373778601519149059,KarinaCBell,2021-03-21 23:28:36,en,3,0,@GoAngelo I think the time for a reorganization at @MeetThePress has come. This panel proves it.
1373748607174676481,KarinaCBell,2021-03-21 21:29:25,und,0,0,@soledadobrien 👀
1373089888543801347,KarinaCBell,2021-03-20 01:51:54,en,0,706,"RT @BillieJeanKing: Equal time, equal access, equal facilities, equal treatment. 

The #NCAA must do better. 

#EqualityForAll https://t.co…"
1372544065779036162,KarinaCBell,2021-03-18 13:43:00,en,1,1,This schema captures perfectly why solely focusing on hiring people of color will not solve your diversity problem.… https://t.co/3VppjFEOIO
1372223271882481666,KarinaCBell,2021-03-17 16:28:17,en,1,0,Sending love to my Asian family (via marriage) and friends. I am here for you. ❤️ #StopAsianHate
1372222812077785089,KarinaCBell,2021-03-17 16:26:27,en,0,0,"“If we know, then we must fight for your life as though it were our own-which it is- and render impassable with our… https://t.co/9e4os2Blln"
1372221952278994944,KarinaCBell,2021-03-17 16:23:02,en,0,1,Standing with the Asian community against hate &amp; these senseless acts of violence. What happened in Atlanta was a… https://t.co/L1SgVzk6cA
1371867168975953923,KarinaCBell,2021-03-16 16:53:15,en,0,0,"@binajv @DrIbram @the_emancipator @GlobeOpinion @AntiracismCtr This is powerful. Can't wait to read, support and amplify it!"
1371554797778731008,KarinaCBell,2021-03-15 20:12:00,en,1,1,"There is so much to unpack here namely this:  

""some have the ability to fluctuate between the standard and the ma… https://t.co/Mq5R8dE7t7"
1371253149273444358,KarinaCBell,2021-03-15 00:13:22,und,1,0,@franciscojarceo https://t.co/Ntx3EY3gYN
1370521833926127616,KarinaCBell,2021-03-12 23:47:22,en,1,0,@amber_puga So beautiful. Thank you for sharing. Sometimes we look for the celebrity or people with the most power.… https://t.co/x9dDPwWS9f
1370511715217989634,KarinaCBell,2021-03-12 23:07:10,en,2,0,"On #LatinaHistoryDay, I honor my mother.  

Here is an article why I selected her: https://t.co/mwriPbqTbc 

My for… https://t.co/ih88IqhU0Q"
