id,username,created_at,lang,favorite_count,retweet_count,text
1163993438154395648,KimikoGlenn,2019-08-21 01:57:16,en,0,11,"RT @BenBlacker: @TheGoodWife_CBS @lindseyrosin @cruelmusical @DavidRadcliff @ForeverDogTeam There's a live DEAD PILOTS SOCIETY on 9/14, 2pm…"
1154651820725288960,KimikoGlenn,2019-07-26 07:17:01,in,7,0,@morgxn Hi bb 👋🏼🐭
1154195037766340608,KimikoGlenn,2019-07-25 01:01:55,en,118,13,THIS WAS SO MESSED UP https://t.co/5ZqXTmyTX1
1154194403054870528,KimikoGlenn,2019-07-25 00:59:24,en,0,18,"RT @Nerdzilla76: Omfg what just HAPPENED?!??
@NevSchulman 
 @LauraPerlongo #catfish @CatfishMTV https://t.co/Ko2Mq3YOAX"
1154194382578319360,KimikoGlenn,2019-07-25 00:59:19,en,0,51,RT @CatfishMTV: WHAT JUST HAPPENED??? #Catfish https://t.co/2ayToKdXmn
1154188545956798464,KimikoGlenn,2019-07-25 00:36:07,en,185,10,Wait WHHHHAATTTT ?!?! @CatfishMTV https://t.co/JOkAAE9bP5
1154186669798461440,KimikoGlenn,2019-07-25 00:28:40,en,0,1,"RT @LauraPerlongo: hasina, have you ha seen him? #catfish"
1154184938561781760,KimikoGlenn,2019-07-25 00:21:47,en,0,3,RT @LauraPerlongo: kimiko’s laugh tho #catfish https://t.co/KsYe4caqxZ
1154184925425221632,KimikoGlenn,2019-07-25 00:21:44,en,0,9,RT @LauraPerlongo: was on my way to the strip club but then stopped for a root canal real quick  #catfish https://t.co/3LTzW8eUAN
1154180408231092226,KimikoGlenn,2019-07-25 00:03:47,en,0,63,RT @NevSchulman: Who’s watching with us??? #catfish https://t.co/joPUv6FIqN
1154179425920901120,KimikoGlenn,2019-07-24 23:59:53,und,63,2,https://t.co/kE1LLB9oGD
1154140107575660545,KimikoGlenn,2019-07-24 21:23:39,en,63,3,Guyssss!! I cohosted an episode of @CatfishMTV &amp; what went down is nuts. I actually can’t wait to see it.. 8/7c TON… https://t.co/IB7zCFHkmj
1140081572730683392,KimikoGlenn,2019-06-16 02:20:03,und,121,1,@thetzechun 🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️
1138122156322070529,KimikoGlenn,2019-06-10 16:34:02,en,18,3,Do you believe diversity is important? So do I! That’s why I took the #IActOn pledge w @CEOAction &amp; u should too! I… https://t.co/rwMI1ih1Qt
1110132260198445058,KimikoGlenn,2019-03-25 10:52:10,und,0,8,RT @teamsuper_NYC: @lizakoshy @KimikoGlenn https://t.co/8YACIUP4bT
1095886453622652928,KimikoGlenn,2019-02-14 03:24:25,en,4,1,@litchfielt Happy belated :-)
1085183017046470656,KimikoGlenn,2019-01-15 14:32:47,en,0,6675,"RT @BBC6Music: David, this internet thing will never catch on... 🤦‍♀️ #davidbowie @timberners_lee  https://t.co/XKoSBVqZGU"
1085041122081153024,KimikoGlenn,2019-01-15 05:08:57,ht,43,3,Lmao https://t.co/3izthxMkgS
1085040691623923714,KimikoGlenn,2019-01-15 05:07:14,en,0,91,"RT @ArtDenkin: Into the SP//DR Bots | Paint Tool Sai

Thought it would be fun to play with the idea that the voice actress of Gwen Stacy is…"
1083540027714482176,KimikoGlenn,2019-01-11 01:44:08,en,0,163,"RT @Marvel: .@KimikoGlenn joins the #MarvelsVoices podcast to talk about voicing Peni Parker in ""Spider-Man: Into the @SpiderVerse"" and mor…"
1083256187808821248,KimikoGlenn,2019-01-10 06:56:15,und,27,0,@Lin_Manuel 🥰😘
1083161446710738945,KimikoGlenn,2019-01-10 00:39:47,en,304,20,Lol nice https://t.co/l3UgmGqW66
1081393901741588480,KimikoGlenn,2019-01-05 03:36:12,en,0,14,"RT @AM2DM: #SpiderVerse star @KimikoGlenn joins #AM2DM to talk Spider-Man, diversity in Hollywood, and more https://t.co/TT4aWXXGwU"
1081393857927864321,KimikoGlenn,2019-01-05 03:36:01,en,0,5,"RT @Backstage: From Netflix's OITNB to @SpiderVerse, @KimikoGlenn emerges as the voice of a generation. Catch her cover story here: https:/…"
1075226496720089088,KimikoGlenn,2018-12-19 03:09:08,en,0,53,"RT @NoisyPaperDr: 3 more days till #SpiderManIntoTheSpiderVerse Here’s Lena from #DuckTales as Peni Parker. 
(Both voiced by @KimikoGlenn.)…"
1068017049748807685,KimikoGlenn,2018-11-29 05:41:22,en,0,48248,RT @ABC: WELCOME HOME: A soldier's worry her beloved dog wouldn't remember her while she was deployed in Africa quickly dissolved by the pu…
1066014314199433217,KimikoGlenn,2018-11-23 17:03:12,en,0,4,"RT @unhappyhourpod: Come for the pilgrim takedown, stay for the moment @KimikoGlenn and @MattBellassai discover they're both obsessed with…"
1061689546847539200,KimikoGlenn,2018-11-11 18:38:07,en,27,10,Thousands of firefighters are bravely battling 3 wildfires and getting people to safety. Help support them and dona… https://t.co/isffqRK8HO
1054422966472069120,KimikoGlenn,2018-10-22 17:23:20,en,0,7,RT @guestbooktbs: .@KimikoGlenn: expert actress. Amateur toe matcher. An all-new season of The Guest Book begins tomorrow at 10|9c on @TBSN…
1054422895865122816,KimikoGlenn,2018-10-22 17:23:03,en,0,1253,"RT @whoisgreggarcia: $50,000 &amp; Free Good Karma! For every retweet this gets until the premiere of The Guest Book tomorrow at 10:00 I’ll don…"
1054186518191849472,KimikoGlenn,2018-10-22 01:43:46,en,44,7,#LizaOnDemand won a @streamys at the Premiere Awards last night! THANK YOU! Be sure to watch the LIVE show MONDAY 9… https://t.co/1zcbyQpn6V
1054186152620478464,KimikoGlenn,2018-10-22 01:42:19,en,0,2,RT @PopEntCom: Congratulations to @KimikoGlenn @lizakoshy and Travis Coles for their win at the 8th annual @streamys - Photo creds: Getty I…
1053725583824179205,KimikoGlenn,2018-10-20 19:12:11,en,0,86,"RT @whoisgreggarcia: The Guest Book TBS Oct 23rd.  @MichaelRapaport @madflavor @arnettwill @MarthaPlimpton Pete Davidson, @KimikoGlenn @Car…"
1053725497102716929,KimikoGlenn,2018-10-20 19:11:50,ht,5,0,@seangrandillo Gordonbell
1053725476038955008,KimikoGlenn,2018-10-20 19:11:45,en,4,0,@seangrandillo Gardbell
1052730325107765248,KimikoGlenn,2018-10-18 01:17:22,en,0,3,RT @buchwaldtalent: @KimikoGlenn looked lovely  at last night's premiere of the @guestbooktbs! Looking forward to all new hilarity in #Seas…
1050347421509832705,KimikoGlenn,2018-10-11 11:28:34,en,0,546,RT @getFANDOM: Peni Parker jumped out the #SpiderVerse  trailer &amp; into our hearts 📈 https://t.co/XBwHizGK8o
1047853233895612416,KimikoGlenn,2018-10-04 14:17:33,en,0,3,RT @guestbooktbs: A fresh start with some new faces. Leave a 👋 to welcome @KimikoGlenn to #TheGuestBook cast. https://t.co/Q3smnVnChs
1047853214643707904,KimikoGlenn,2018-10-04 14:17:29,en,0,7,"RT @AllGeektoMeNet: If you need something bright in your day, watch the latest trailer for #SpidermanintotheSpiderVerse. Also, where can on…"
1044459286682775552,KimikoGlenn,2018-09-25 05:31:13,en,26,2,Interesting thread. Worth a read (read to the end) https://t.co/IbZjstBVWo
1043516139228286976,KimikoGlenn,2018-09-22 15:03:29,en,0,5,"RT @buchwaldtalent: Ready to check in? Because #Season2 of @guestbooktbs, featuring the always hilarious @KimikoGlenn, is almost here! #hav…"
1040961812232122368,KimikoGlenn,2018-09-15 13:53:30,en,0,4,"RT @ImagineaWorldNJ: Thank you so much to @cantorfitzgerld and the amazing, kind, and beautiful @KimikoGlenn for being our celebrity ambass…"
1039525580620931073,KimikoGlenn,2018-09-11 14:46:26,en,10,0,@morgxn Wait. Did u just break up with me?!
1037520200042774528,KimikoGlenn,2018-09-06 01:57:46,en,0,22,"RT @DisneyTVA: Some news from the pridelands! with some broadway stars on Season 3 like @ChrisisSingin, @heatherheadley @MichaelLuwoye @jel…"
1036075488995942400,KimikoGlenn,2018-09-02 02:17:00,en,0,6,RT @yahoo7be: We chatted to the fab @KimikoGlenn who's here for #VidConAUS https://t.co/nq7mAWEEuO
1030944237427335168,KimikoGlenn,2018-08-18 22:27:14,en,0,107331,"RT @kimmythepooh: You’re 8 years old.
Your 3rd grade class orders chinese food &amp; your father delivers it. You are so excited to see your po…"
1029794979827392513,KimikoGlenn,2018-08-15 18:20:30,en,0,233,"RT @TIME: ""'Crazy Rich Asians' is going to change Hollywood. It’s about time"" https://t.co/VtRxt6SmAD"
1029730832095866880,KimikoGlenn,2018-08-15 14:05:36,en,0,387,RT @danieldaekim: “The chicken-or-egg problem applies: how do you get a well-known Asian actor if you don’t ever cast Asians in leading rol…
1029730473822568448,KimikoGlenn,2018-08-15 14:04:11,en,0,261,RT @franklinleonard: Can confirm that #CrazyRichAsians is the best studio romantic comedy in years
1029729071889043457,KimikoGlenn,2018-08-15 13:58:36,en,0,1388,"RT @EugeneLeeYang: Yes, #CrazyRichAsians has stellar Asian-American representation, but let's also talk about how it's the best rom-com I'v…"
1029728819228360710,KimikoGlenn,2018-08-15 13:57:36,en,0,100,"RT @JamesLimSays: Planning to watch the film ""Crazy Rich Asians"" later this week. It will be the first time in my life that the majority of…"
1029728449349464064,KimikoGlenn,2018-08-15 13:56:08,en,0,836,"RT @CrazyRichMovie: See why the critics are calling @CrazyRichAsians ""the reason you go to the movies."" Get tickets: https://t.co/AEDsINDixO"
1029727030735196160,KimikoGlenn,2018-08-15 13:50:30,en,0,231,RT @jonmchu: Oh wow. The eve of the release of #CrazyRichAsians . I never thought we’d get here...😳...Whatever happens just know that we al…
1026860320273379328,KimikoGlenn,2018-08-07 15:59:13,en,0,93,RT @VidCon: New #VidConAU Featured Creators! We're so happy @emmachamberlain @KimikoGlenn and @KristenMcAtee are joining us in Australia!…
1025544567716802560,KimikoGlenn,2018-08-04 00:50:53,en,64,2,"Well, I guess technically, this isn’t an interview. ...Activity? 🤤"
