id,username,created_at,lang,favorite_count,retweet_count,text
1390133297813102594,MacConwell,2021-05-06 02:36:20,en,0,1,"RT @brookessinclair: @MacConwell @Amanimalc @unspun_io @FastCompany @RarebreedVC When I was in 7th grade I hit a growth spurt, but being a…"
1390132918857703433,MacConwell,2021-05-06 02:34:49,en,0,1,RT @NitaBS: @yoheinakajima @MacConwell I have to say that some of the most mind blowing things have happened through my investor @timringel…
1390132694550552578,MacConwell,2021-05-06 02:33:56,und,2,0,@robbizle7 🙏🏾
1390101008571830274,MacConwell,2021-05-06 00:28:01,en,5,1,@yoheinakajima That's freaking awesome man
1390100968092704768,MacConwell,2021-05-06 00:27:52,en,0,2,"RT @yoheinakajima: Just found out a portfolio company closed a big partnership thru an intro I made.

Interestingly, I don't even know them…"
1390088590525227009,MacConwell,2021-05-05 23:38:41,en,0,2,"RT @ADotConnector: Talking Term Sheets with some of the biggest brains. It must be Startup Hotline Time 👀 
@MacConwell @dunkhippo33 @jefiel…"
1390088541896597504,MacConwell,2021-05-05 23:38:29,en,0,4,RT @HamayalC: Have learned more about the whole venture funding process from @dunkhippo33’s &amp; @MacConwell’s tweets &amp; CH rooms than incubato…
1390080637252608000,MacConwell,2021-05-05 23:07:05,en,12,0,Happening right now in clubhouse https://t.co/xJNy1qe1Ud
1390069971938594821,MacConwell,2021-05-05 22:24:42,en,0,1,RT @kevinmart_in: love this! Can I enter? 😉
1390054554377523205,MacConwell,2021-05-05 21:23:26,und,0,1,RT @vivianahurtado: 🔥💥🚀😍 https://t.co/ZCxaI3UsFf
1390038793676369927,MacConwell,2021-05-05 20:20:48,fr,2,0,@neildevani 🤣🤣🤣 fair
1390034633518161924,MacConwell,2021-05-05 20:04:16,en,2,0,@neildevani I was calling you out bro. you keep beating me on great deal
1390033396102045701,MacConwell,2021-05-05 19:59:21,en,0,2,RT @iamshellybell: Round 2 turned the heat all the way up. It’s now voting time y'all ! 🗳@themossymob and @drinkaguabonita need your help t…
1390032390882537477,MacConwell,2021-05-05 19:55:22,en,9,0,@neildevani I'm down. Let's do this
1390032057951211521,MacConwell,2021-05-05 19:54:02,en,0,9,RT @MacConwell: We are so excited about @unspun_io being named as one of 2021's World-Changing Ideas by @FastCompany that we at @RarebreedV…
1390029125188980736,MacConwell,2021-05-05 19:42:23,en,0,1,RT @SlicingPie: @lordmj @MacConwell Right! It's for bootstrapping....
1390009403861045248,MacConwell,2021-05-05 18:24:01,en,0,1,"RT @HONORTHEV: @MacConwell @unspun_io @FastCompany @RarebreedVC Big thighs, smaller waist, chapped thighs from horrible material. I could b…"
1390007816996499461,MacConwell,2021-05-05 18:17:43,en,0,1,"RT @HamayalC: @MacConwell @unspun_io @FastCompany @RarebreedVC 6’2”, with most of the height in my legs. Always a compromise of waist or le…"
1390007592106270726,MacConwell,2021-05-05 18:16:49,en,0,1,"RT @lightedstar: @MacConwell  and @noramayc are making it plain in @SEC Office of the Advocate for Small Business Capital Formation...

htt…"
1390007420076929025,MacConwell,2021-05-05 18:16:08,en,0,42,"RT @Claire: News: I put on a Handmaid's costume and flew to surprise my pregnant founder with a crazy question. ""Can I step in for two mont…"
1390007062680072192,MacConwell,2021-05-05 18:14:43,en,0,1,"RT @Claire: @MacConwell @RarebreedVC recorded his twice, and both times were fantastic (lol)

https://t.co/IhiHEdZu0g"
1390006388231966724,MacConwell,2021-05-05 18:12:02,en,0,2,RT @HONORTHEV: @rbottoms @myfriendjanine @MacConwell I'm not gonna lie though.. some are brutally honest and are not in my space (social me…
1390000547831418886,MacConwell,2021-05-05 17:48:50,en,0,11,"RT @_xxteam: Our new website is live and applications are open: https://t.co/yClmMLXyG7 

We're investing $70,000 in builders who are just…"
1389996945041764352,MacConwell,2021-05-05 17:34:31,en,0,23,"RT @myfriendjanine: Miss me with the lip service. Let’s see some change in VC! 

Tag your favorite investor funding Black, founders, women,…"
1389994716704428033,MacConwell,2021-05-05 17:25:39,und,0,1,RT @unspun_io: 👇👇👇 https://t.co/x1FUHf9NXc
1389994585192079363,MacConwell,2021-05-05 17:25:08,en,0,8,RT @MacConwell: I'm so excited for this fireside chat as it is going to be a special one for @AllRaise on May 20th. It is special because I…
1389994553277624336,MacConwell,2021-05-05 17:25:01,en,0,1,RT @AllRaise: @MacConwell @women2 @adonicashaw Can't wait for this one! 🔥
1389986746218258437,MacConwell,2021-05-05 16:53:59,en,0,1,RT @AnnaRaptis01: @MacConwell @unspun_io @FastCompany @RarebreedVC Mac I have been in sweat pants the last year - stuck in the house with m…
1389986336694804480,MacConwell,2021-05-05 16:52:22,und,1,0,@jim_bisenius @heybereket 🙏🏾
1389986226124513285,MacConwell,2021-05-05 16:51:55,en,0,1,"RT @Shaye61564262: @MacConwell @unspun_io @FastCompany @RarebreedVC Not a horror story by any means.  Good strong legs mean long hikes, ski…"
1389985725173620736,MacConwell,2021-05-05 16:49:56,en,0,3,"RT @SEC_News: @MacConwell @noramayc @_Han_Shen_ Starting soon! Our #SECSmallbiz virtual panel discussion with @MacConwell, @noramayc and @_…"
1389980345647472649,MacConwell,2021-05-05 16:28:33,en,0,1,RT @Jmillsapps: @MacConwell @unspun_io @FastCompany @RarebreedVC 6’3 275 pounds. Jamming my butt and thighs into a pair of regular jeans me…
1389980248016658434,MacConwell,2021-05-05 16:28:10,en,0,1,"RT @andrewfielding: @MacConwell @unspun_io @FastCompany @RarebreedVC Jeans? Haven’t found ones that fit in a while, it’s why I’ve moved on…"
1389980212511879170,MacConwell,2021-05-05 16:28:01,en,0,1,RT @steveniweiss: @iWalkingCorpse @MacConwell @unspun_io @FastCompany @RarebreedVC Emmitt Smith or someone in his family gave interviews ta…
