id,username,created_at,lang,favorite_count,retweet_count,text
1389990640285478915,MicrobiomDigest,2021-05-05 17:09:28,und,0,0,@Rbor700 @DCSZ14 @Pimp81383235 @BorgerPieter @hollander50plus @pjvanerp wut
1389990407480610819,MicrobiomDigest,2021-05-05 17:08:32,en,0,2,"RT @CScienceEditors: Coming up 1:30 pm EDT Today

2021 CSE Annual Meeting Session KEY3

Oxford Debate: Ethics Whistleblowers and the Respon…"
1389969216300748803,MicrobiomDigest,2021-05-05 15:44:20,en,1,0,@jaapdemmendaal @harryhol @BorgerPieter Dank!
1389960410002980865,MicrobiomDigest,2021-05-05 15:09:20,en,0,0,@BorgerPieter @pjvanerp When did you ask me to do that?
1389959347132788743,MicrobiomDigest,2021-05-05 15:05:07,nl,3,0,@BorgerPieter @kimvaneck1 @harryhol Wat?? Wetenschap werkt WEL met bewijzen. Ik dacht dat je een PhD had. Misschien… https://t.co/FCCXbouvIq
1389958729903214602,MicrobiomDigest,2021-05-05 15:02:40,en,0,0,"@BorgerPieter Where and when was I lying, Pieter? That is a big accusation to make."
1389958079551135746,MicrobiomDigest,2021-05-05 15:00:04,nl,0,0,@BorgerPieter @DrDeuce6 @harryhol De korte termijn effecten (1000en minder doden) zijn anders behoorlijk indrukwekk… https://t.co/DG0F49cFBy
1389957673991376901,MicrobiomDigest,2021-05-05 14:58:28,en,2,0,@BorgerPieter @raistlin6 @harryhol Citation needed
1389957224739459072,MicrobiomDigest,2021-05-05 14:56:41,nl,8,0,@BorgerPieter @KopArjan @harryhol @nallath Fijn dat je van de wetenschap houdt. Maar ben je ook een wetenschapper?
1389956897155944448,MicrobiomDigest,2021-05-05 14:55:23,nl,7,0,"@BorgerPieter @harryhol Dat is WEL jouw taak. Je presenteert je graag als wetenschapper , dan moet je je ook aan de beroepscode houden."
1389956542233862149,MicrobiomDigest,2021-05-05 14:53:58,nl,2,0,@jaapdemmendaal @harryhol @BorgerPieter Heb je een screenshot? Ik spaar plaatjes van mensen die mij beledigen.
1389956359655858176,MicrobiomDigest,2021-05-05 14:53:14,nl,1,0,"@jaapdemmendaal @harryhol @BorgerPieter Hartelijk dank, Jaap."
1389956110757470210,MicrobiomDigest,2021-05-05 14:52:15,nl,5,0,@jebentzelf_een @harryhol Pieter roept een heleboel dingen maar levert geen bewijs. En als je als wetenschapper kri… https://t.co/Dh7Xg8wwXv
1389955150568071171,MicrobiomDigest,2021-05-05 14:48:26,nl,0,0,"@BorgerPieter @pjvanerp Misschien moet jij ook eens een opfriscursus wetenschap volgen, Pieter. De basis vaardighed… https://t.co/gcrc49V6g3"
1389954272725397504,MicrobiomDigest,2021-05-05 14:44:57,nl,0,0,@BorgerPieter @jaapdemmendaal Heel goed. Je beschuldigt mij van liegen maar intussen lijkt jouw timeline 1 lange li… https://t.co/tEI2OI19PT
1389953258748203019,MicrobiomDigest,2021-05-05 14:40:55,en,2,0,@BorgerPieter @harryhol Citation needed.
1389952690319355905,MicrobiomDigest,2021-05-05 14:38:40,nl,7,0,"@harryhol @BorgerPieter Ja, Pieter, ik zou ook graag dat bewijs zien. Citations needed, zou ik als peer reviewer ze… https://t.co/NEPsvnTxDB"
1389950244847198214,MicrobiomDigest,2021-05-05 14:28:57,nl,1,0,@BorgerPieter @JokeBruis38 @TheBigGizmo @kolknitram @harry59degroot @jndkgrf Laat eens zien waar de experts dat zeggen.
1389949978630508544,MicrobiomDigest,2021-05-05 14:27:53,nl,2,0,@BorgerPieter Kun je misschien vertellen op welke leugen je me betrapt hebt? Dat is nogal een zware beschuldiging.… https://t.co/6KHrGW61Br
1389948350762340352,MicrobiomDigest,2021-05-05 14:21:25,en,0,7,"RT @AlexSamTG: For those who don't follow mails and don't like newsletter, but still want to see news from Leonid Schneider's forbetterscie…"
1389879090241409028,MicrobiomDigest,2021-05-05 09:46:12,en,0,4,"RT @knstnr: Todays @MicrobiomDigest covers
-subgingival microbiome and periodontitis
-several gut microbiome reviews
-gut microbiome in lab…"
1389878032148533249,MicrobiomDigest,2021-05-05 09:42:00,en,15,0,@Lybsoo My DM is open for you 😁
1389837193087127564,MicrobiomDigest,2021-05-05 06:59:43,en,4,0,@Thatsregrettab1 Your grin is enough for me. Thank you!
1389837100636274690,MicrobiomDigest,2021-05-05 06:59:21,en,2,0,@DrChromo Consent given hahaha. Thank you!
1389836918456651778,MicrobiomDigest,2021-05-05 06:58:37,en,3,0,"@OuEstLeBignou I do not think so, but I am not sure. You will need to include another person, preferably someone wh… https://t.co/Qee4WU9ORt"
1389831606941011969,MicrobiomDigest,2021-05-05 06:37:31,en,96,2,Those are the types of tweets I get sent at on a daily basis. Just for trying to raise concerns about scientific pa… https://t.co/h33kWFW7ov
1389831252144836610,MicrobiomDigest,2021-05-05 06:36:06,en,54,3,This collage were the responses I got when I was tweeting that I was sitting next to my dying father (who passed aw… https://t.co/9RIyGGhoi5
1389830535820636161,MicrobiomDigest,2021-05-05 06:33:16,en,9,0,"Some recent beauties can be found by doing this search:
""from:@TwitterHandle (@microbiomdigest OR Bik)""
with the ha… https://t.co/UwH1kSwuNu"
1389829511731027969,MicrobiomDigest,2021-05-05 06:29:12,en,11,0,Let's not forget this one from December 2020: https://t.co/SiwrmVAlPg
1389829286341742595,MicrobiomDigest,2021-05-05 06:28:18,en,10,0,Some more: https://t.co/NF0xwFfh01
1389829207337803779,MicrobiomDigest,2021-05-05 06:27:59,en,14,4,A little collage from last year: https://t.co/IESLpvA55p
1389793871719112713,MicrobiomDigest,2021-05-05 04:07:34,en,13,0,"@ducatiwhite Well, Dr. Anthony Fauci won last year 😀"
1389786797895417857,MicrobiomDigest,2021-05-05 03:39:28,en,6,0,@Joepdl Thank you! ❤️
1389775066095751174,MicrobiomDigest,2021-05-05 02:52:51,und,0,0,@prof_brunt @nature @PubPeer ❤️
1389774289428123650,MicrobiomDigest,2021-05-05 02:49:46,en,0,0,@TruxanXiao @nature @senseaboutsci I learned from the best.
1389774100906713093,MicrobiomDigest,2021-05-05 02:49:01,nl,4,0,"@BorgerPieter Duh, je had me ook gewoon op kunnen zoeken. Of in mijn bio kunnen kijken. Moest een ander je dat nou… https://t.co/EQG6gTnqOz"
1389773507173617664,MicrobiomDigest,2021-05-05 02:46:39,en,3,0,@BorgerPieter @pjvanerp @c_drosten I try to check all papers that come across my path - yours happened to be one of… https://t.co/Z6sMXKrWB9
1389772295971827713,MicrobiomDigest,2021-05-05 02:41:50,nl,10,0,"@BorgerPieter @Pimp81383235 @hollander50plus @pjvanerp Goh, wat flauw. Is dat hoe je hebt geleerd om wetenschap te… https://t.co/XOPHjg0Uao"
1389771775609692161,MicrobiomDigest,2021-05-05 02:39:46,nl,27,0,"@BorgerPieter @harryhol En dus totaal niet bewezen. 
Gek, ik dacht dat je een PhD in moleculair biologie had?"
1389771525532782594,MicrobiomDigest,2021-05-05 02:38:47,nl,6,0,@BorgerPieter @kimvaneck1 @harryhol Zeg je nu dat het virus in alle genen van een cel integreert? 😂
1389770668393177088,MicrobiomDigest,2021-05-05 02:35:22,en,0,0,"@TruxanXiao Thank you again, Xiao, for showing your loyalty. You can nominate me for the John Maddox Prize @Nature… https://t.co/tDJsWsTGZ6"
1389770031173488642,MicrobiomDigest,2021-05-05 02:32:50,en,11,0,"@prof_brunt @nature @PubPeer Thank you! But although I am a frequent PubPeer user, I am not one of the founders / e… https://t.co/Otlj9XijsU"
1389763170688897025,MicrobiomDigest,2021-05-05 02:05:35,en,4,0,@archymck @amayor Thank you for making me laugh! Need that. 🏅👑🎉
1389743225452208131,MicrobiomDigest,2021-05-05 00:46:19,en,0,0,@ffphG76GPvnwbh1 @MicrobioSoc hank you!
1389742847323115522,MicrobiomDigest,2021-05-05 00:44:49,en,114,3,"And thank you, loyal trolles, for making the hostility section very long this year. With every tweet you increase m… https://t.co/v5PfrOS7Ff"
1389742374125924353,MicrobiomDigest,2021-05-05 00:42:56,en,58,6,'The prize brings into the spotlight the difficulty faced by many who fight to share the results of research eviden… https://t.co/JAT6m81uoE
1389741008452132864,MicrobiomDigest,2021-05-05 00:37:31,en,409,105,"Just in case you know a scientist who has ""shown great courage and integrity in standing up for science and scienti… https://t.co/FhoBzNkG46"
1389714381013884931,MicrobiomDigest,2021-05-04 22:51:42,en,6,0,"@BorgerPieter @pjvanerp @c_drosten Also, this is the first time you asked me this specific question, Pieter - or di… https://t.co/mI2DxfoxIP"
1389712847689506819,MicrobiomDigest,2021-05-04 22:45:37,en,6,0,"@BorgerPieter @pjvanerp @c_drosten No one asked me to do that, Pieter."
1389704937936850946,MicrobiomDigest,2021-05-04 22:14:11,en,35,1,"@BorgerPieter @pjvanerp So far, of all those people, you stood out as the only person who was rude. You asked us to… https://t.co/zCm3o9FtJ5"
1389681977758912514,MicrobiomDigest,2021-05-04 20:42:57,en,51,1,@BorgerPieter @pjvanerp I get dozens of request to help each day so I might have missed a tweet or email. That does… https://t.co/vGc67pPP9U
1389679673429299207,MicrobiomDigest,2021-05-04 20:33:47,en,8,0,@BorgerPieter @pjvanerp When did you ask me to do that? Happy to help.
1389649157346848772,MicrobiomDigest,2021-05-04 18:32:32,en,2,0,@BorgerPieter @pjvanerp GFY? Really? That is how you try to do science?
1389610705834319880,MicrobiomDigest,2021-05-04 15:59:44,en,27,3,@cunegonde1944 @LapercheBl @PubPeer @BorisBarbour Thank you. You are one of my most loyal trolls. I am so happy tha… https://t.co/EcZz7RFXlB
1389602880944967681,MicrobiomDigest,2021-05-04 15:28:39,en,29,1,"@BorgerPieter @pjvanerp So let me know how I can help you. You wanted to retract your own paper, right ? Happy to help you with that."
1389601732594868234,MicrobiomDigest,2021-05-04 15:24:05,en,3,0,@ishasha98773193 @KennethWWitwer So happy to hear that. 🎉
1389601589208383489,MicrobiomDigest,2021-05-04 15:23:31,en,5,0,"@Miniforce5 @mortenoxe @Thatsregrettab1 @TigerBB8 I do not see a problem here, but looking an a tiny screen. Those… https://t.co/6XYeTIum0X"
1389601041767800832,MicrobiomDigest,2021-05-04 15:21:20,en,0,0,@BorgerPieter @pjvanerp * What
1389598836935434249,MicrobiomDigest,2021-05-04 15:12:34,en,52,4,"@BorgerPieter @pjvanerp If you want to work with specialists in scientific integrity, Pieter, you have to come with… https://t.co/AW8rrdCofL"
1389597947910709248,MicrobiomDigest,2021-05-04 15:09:02,en,84,1,"@BorgerPieter @pjvanerp I actually think we all have the same goal, which is good and honest science. But it is har… https://t.co/swDb1fVYyK"
1389596469502480393,MicrobiomDigest,2021-05-04 15:03:10,en,37,1,"@BorgerPieter @pjvanerp I check everyone’s papers, Pieter. Why made you think it was about you?"
1389596162689175553,MicrobiomDigest,2021-05-04 15:01:57,en,64,3,@BorgerPieter @pjvanerp Not correct. I stepped out of the email convo because you were writing unkind and insulting… https://t.co/5XIWLk9QGA
1389593692915175429,MicrobiomDigest,2021-05-04 14:52:08,en,0,10,"RT @DavidSandersRep: The Fake-Science Detectives--A #podcast  #interview with @MicrobiomDigest and me by @fayeflam on #PeerReview , Scienti…"
1389593584572141571,MicrobiomDigest,2021-05-04 14:51:42,en,9,1,New Microbiome Digest - May 4th 2021 https://t.co/R5geT25CSJ
1389593227993305095,MicrobiomDigest,2021-05-04 14:50:17,en,0,0,@william_tan1 Why would that be a problem ?
1389498650028478467,MicrobiomDigest,2021-05-04 08:34:28,en,0,3,"RT @LapercheBl: We will be pleased to welcome Elisabeth Bik @MicrobiomDigest, Emmanuelle Picard and David Autretsch, as keynote speakers! C…"
1389449544622956544,MicrobiomDigest,2021-05-04 05:19:20,nl,3,0,"@BobSiegerink @Nieuwsuur Aha, @Nieuwsuur weer. Goed programma met goede topics."
1389424926457622530,MicrobiomDigest,2021-05-04 03:41:31,en,15,1,From the Andes to the desert: 16S rRNA metabarcoding characterization of aquatic bacterial communities in the Rimac… https://t.co/qWmnA7iLW8
1389423548062572546,MicrobiomDigest,2021-05-04 03:36:02,en,35,7,A rich meconium metabolome in human infants is associated with early-life gut microbiota composition and reduced al… https://t.co/3IKF0YKFdb
1389422576326221825,MicrobiomDigest,2021-05-04 03:32:11,en,9,1,"New Microbiome Digest, May 3, 2021, by Aleksi Husso.
* microbial diversity of wastewater treatment plant (including… https://t.co/1CLL293Sta"
1389415594521366528,MicrobiomDigest,2021-05-04 03:04:26,en,5,0,@spy_sci @PubPeer I had missed the other tweets down your thread and that you already found the possible overlappin… https://t.co/mK3BMRSRyV
1389405380761976834,MicrobiomDigest,2021-05-04 02:23:51,en,5,0,@AmandaLynGunn You earned it: 👏🏻👏🏻👏🏻👏🏻👏🏻
1389400671032463363,MicrobiomDigest,2021-05-04 02:05:08,en,3,0,@ishasha98773193 @KennethWWitwer Let me know if they don't. I am happy to write them a stern letter.
1389344201402314754,MicrobiomDigest,2021-05-03 22:20:45,en,3,0,@ClaudeSteve6 @DrGusTheChemist @DragonSliver1 @Nibor_Tolum @amelie_for_you Don't forget the lamp!
1389338813487484929,MicrobiomDigest,2021-05-03 21:59:20,en,7,0,@sephi712 Check down the thread for the concerns I raised with this study - possible conflicts of interest and image concerns.
1389330765184323584,MicrobiomDigest,2021-05-03 21:27:21,en,2,0,@TimKersjes Much appreciated.
1389330044804165633,MicrobiomDigest,2021-05-03 21:24:29,fr,0,0,@KoudijsHenk En de rest? Spontaneous generation?
1389329512194658305,MicrobiomDigest,2021-05-03 21:22:22,en,33,1,"Small correction to the first tweet in this thread: 
The proposed method is to treat (convalescent) plasma, to ensu… https://t.co/GAtXaFB1Tz"
1389328864661307392,MicrobiomDigest,2021-05-03 21:19:48,en,30,0,"I have posted my concerns here on @PubPeer and asked the authors to please share their raw measurements.
https://t.co/9bpGyOKLK4"
1389328647052414978,MicrobiomDigest,2021-05-03 21:18:56,en,26,2,"Thirdly, Figure 2 appears to look .... so perfect. All error bars are small and identical. Now, again, I might be w… https://t.co/HVbO2Bdukf"
1389327563382657024,MicrobiomDigest,2021-05-03 21:14:38,en,36,1,"Another problem: Figure 1 appears to show four overlapping panels. Now, the legend is a bit unclear, and does not s… https://t.co/VX4DnSNU3C"
1389326928100794369,MicrobiomDigest,2021-05-03 21:12:06,en,21,0,"The two references mentioned in the Introduction - 18 and 19 - are two patents, presumably from the same authors. https://t.co/YWE9vOMkOQ"
1389325092744617985,MicrobiomDigest,2021-05-03 21:04:49,en,42,1,"Now, this is not necessarily a problem. (Who knows, this might be a Wonderful Machine! It might even say Ping! -… https://t.co/WaH6bQAvla"
1389325019956744192,MicrobiomDigest,2021-05-03 21:04:31,en,24,1,"Problem 1. Conflicts of interest.
The treatment is performed in an ""BX-1 AIDS treatment instrument"",  developed by… https://t.co/Vdw0DXTg6S"
1389321001603768321,MicrobiomDigest,2021-05-03 20:48:33,en,25,1,I found several problems with this paper. All of these could have been raised during peer review/editorial screening.
1389320489261101057,MicrobiomDigest,2021-05-03 20:46:31,en,29,1,"In short, the authors claim this:
Cells infected with viruses are treated with methylene blue (MB). Then, cells are… https://t.co/ao5N9BvhaZ"
1389317144928686080,MicrobiomDigest,2021-05-03 20:33:14,en,246,56,Let's take a look at this @BMC Infectious Diseases paper claiming that methylene blue can be used to treat COVID-19… https://t.co/9bXSolIHh9
1389315944921538561,MicrobiomDigest,2021-05-03 20:28:28,nl,0,0,"@PeterHebly @MinVWS @nytimes @WHO Ah, ik zie dat u geen wetenschapper bent."
1389315254673285124,MicrobiomDigest,2021-05-03 20:25:43,en,5,0,@gaattagca @spy_sci @Thatsregrettab1 @ForBetterSci @SmutClyde One more (F left) but YES you are the winner of today… https://t.co/tk500Hb7uL
1389312259696959488,MicrobiomDigest,2021-05-03 20:13:49,en,1,0,@Thatsregrettab1 @spy_sci @ForBetterSci @SmutClyde Still adding more - wait and shiver
1389310653370814465,MicrobiomDigest,2021-05-03 20:07:26,en,0,2,"RT @MicrobiomDigest: @spy_sci @Thatsregrettab1 @ForBetterSci @SmutClyde You might be on to something. 
Let's play #ImageForensics on this f…"
1389310623394111488,MicrobiomDigest,2021-05-03 20:07:19,en,2,0,"@Thatsregrettab1 @spy_sci @ForBetterSci @SmutClyde Here:
https://t.co/9bpGyOKLK4"
1389307003734880259,MicrobiomDigest,2021-05-03 19:52:56,nl,1,0,@HelgaDulfer @MinVWS In ieder geval lijken ze geen persoon te hebben die de ratio van hun tweets in de gaten houdt 😀
1389306352204349441,MicrobiomDigest,2021-05-03 19:50:21,en,15,2,"@spy_sci @Thatsregrettab1 @ForBetterSci @SmutClyde You might be on to something. 
Let's play #ImageForensics on thi… https://t.co/0c2IOAa3l7"
1389302156340064257,MicrobiomDigest,2021-05-03 19:33:40,nl,0,0,"@HelgaDulfer @MinVWS Het is na 17:00 uur, dus misschien zijn de ambtenaren verantwoordelijk voor de Volksgezondheid allemaal naar huis."
1389299061639942144,MicrobiomDigest,2021-05-03 19:21:22,en,0,8,RT @BobSiegerink: @MicrobiomDigest I am so astonished by the Dutch COVID communication - the lack of focus airborne transmission of SARS-Co…
1389297199607996417,MicrobiomDigest,2021-05-03 19:13:58,nl,3,0,"@MinVWS @nytimes @WHO De meeste besmettingen treden daarom waarschijnlijk binnen op, in slecht geventileerde ruimte… https://t.co/CNrLnTbCmz"
1389296448877989890,MicrobiomDigest,2021-05-03 19:10:59,nl,2,0,@Pimp81383235 @MinVWS Nee. Maar ik ben me wel bewust van alle misinformatie verspreid door random mensen zonder wet… https://t.co/nue3vjIfkh
1389296005296787457,MicrobiomDigest,2021-05-03 19:09:14,nl,6,2,@MinVWS @nytimes Coronavirus besmettingen worden voornamelijk via druppeltjes (zichtbaar of microscopisch klein) ov… https://t.co/Rm28QXOZsL
1389295074056425473,MicrobiomDigest,2021-05-03 19:05:32,nl,23,5,"@MinVWS Het is prima om mensen aan te moedigen om handen te wassen (na toilet bezoek, voor het bereiden van eten) m… https://t.co/qt4oMmIz5B"
1389293981662466048,MicrobiomDigest,2021-05-03 19:01:11,nl,2,0,@Go4greatest @keawijkstra @pimjoosten @MinVWS Met een gratis heel zacht roze washandje hahaha
1389293882005880836,MicrobiomDigest,2021-05-03 19:00:47,fr,0,16,"RT @Sonic_urticant: 🔥📣[BLOG de REFERENCE]

La spécialiste mondiale de la

FRAUDE SCIENTIFIQUE est Elisabeth BIK @MicrobiomDigest.

Mais con…"
1389293744231391232,MicrobiomDigest,2021-05-03 19:00:15,en,6,0,@spy_sci @Thatsregrettab1 @ForBetterSci @SmutClyde I picture all treated patients looking like Smurfs 😀
1389293278596517888,MicrobiomDigest,2021-05-03 18:58:24,en,0,0,@WendyBruening This guy came by every time I was working late. He was mopping the floor and spending lots of time i… https://t.co/2eYMC42GED
1389292311071256580,MicrobiomDigest,2021-05-03 18:54:33,en,15,0,@CabirolGerard All his tweets have been de-embedded (is that a word?). Maybe he can return the favor by deleting al… https://t.co/DlblSjUKW3
1389291634282565635,MicrobiomDigest,2021-05-03 18:51:52,en,20,1,"@CabirolGerard Yes, he was tweeting about how easy duplications can be found in scientific papers, and anyone could… https://t.co/NXEqdbQyF3"
1389290711074234368,MicrobiomDigest,2021-05-03 18:48:11,en,2,1,"@ishasha98773193 @FrenchJeanGuy1 @AustinGroups1 Again, I would contact the Frontiers editors, to explain the situat… https://t.co/TkNkq1vQBJ"
1389290159896625152,MicrobiomDigest,2021-05-03 18:46:00,en,12,2,"@BobSiegerink Agreed. People I talk to mention that they all sit inside with ""1.5 m distance"" between them at the s… https://t.co/MuzUhEqDJf"
1389238103693402113,MicrobiomDigest,2021-05-03 15:19:09,en,0,0,@ishasha98773193 To which journal did you submit the paper first?
1389237820179374080,MicrobiomDigest,2021-05-03 15:18:01,en,1,0,"@ishasha98773193 If it is published, you might not be able to submit and publish it elsewhere, as that would be con… https://t.co/1antq58yDN"
1389237276765351948,MicrobiomDigest,2021-05-03 15:15:52,en,1,0,@ishasha98773193 I am sorry that you fell prey to that scam. I hope you can tell your story and prevent others from making the same mistake.
1389228606044311556,MicrobiomDigest,2021-05-03 14:41:24,en,235,74,Dutch Ministry of Public Health spreading incorrect advice claiming the coronavirus spreads via hands. https://t.co/pT31DlLNfG
1389228102186717189,MicrobiomDigest,2021-05-03 14:39:24,nl,151,30,@MinVWS Dit is incorrecte informatie. Het coronavirus verspreidt zich voornamelijk via aerosolen. Lees de WHO informatie maar eens.
1389137946305994755,MicrobiomDigest,2021-05-03 08:41:09,en,4,0,@ProofigLTD @C0PE @Image_Integrity Credit should go to @Image_Integrity @mortenoxe and @SmutClyde - I was not the first to identify these.
1389137042446032897,MicrobiomDigest,2021-05-03 08:37:34,en,3,0,"@TruxanXiao I explained already that I cannot remove these myself, but I have asked the moderators to do so. Not su… https://t.co/VVYUePiwDU"
1389133948530294786,MicrobiomDigest,2021-05-03 08:25:16,en,0,0,@TruxanXiao But I will ask the mods to remove it.
1389133689959829505,MicrobiomDigest,2021-05-03 08:24:15,en,2,0,"@TruxanXiao @IHU_Marseille I was just giving you credit since you posted this finding first, but I will ask the mods to remove it."
1389132454582095873,MicrobiomDigest,2021-05-03 08:19:20,en,1,0,"@TruxanXiao Just giving you and your anonymous friend credit. But since you asked me to remove it, I did this for o… https://t.co/G3De72bDuf"
1389131258203054088,MicrobiomDigest,2021-05-03 08:14:35,en,2,0,"@TruxanXiao I was just giving you credit, and you posted these publicly on Twitter. Alas I cannot delete some of th… https://t.co/4QYlrS2cYv"
1389097893475151872,MicrobiomDigest,2021-05-03 06:02:00,en,332,35,"A Q&amp;A with Robert Will of the @MicrobioSoc, which awarded my the Peter Wildy Prize 2021. 

It was just an absolutel… https://t.co/qiGHoDOXT4"
1389071362237497347,MicrobiomDigest,2021-05-03 04:16:35,en,0,444,"RT @lonnibesancon: Remember that ""study from Stanford that shows that masks are useless against #COVID19"" that Great Barrington folks and s…"
1389016077980426242,MicrobiomDigest,2021-05-03 00:36:54,en,26,3,@BRAINCURES @SpeakUpAtWork Krzysztof - I hereby ask you again to remove your tweet and to never ever use one of my… https://t.co/aRPEaRgP65
