id,username,created_at,lang,favorite_count,retweet_count,text
1389896629881294852,Neuro_Skeptic,2021-05-05 10:55:54,en,20,1,Arrested Development may be partly to blame https://t.co/wlblvCJ83I
1389896082604363780,Neuro_Skeptic,2021-05-05 10:53:43,en,57,14,"The belief that women who have casual sex have low self-esteem is widespread, but inaccurate https://t.co/0vUytqGJtt https://t.co/pH2QVsaKEc"
1389586506772267022,Neuro_Skeptic,2021-05-04 14:23:35,en,2,0,"@SmutClyde So I did write about a similar thing, nearly 10 years ago https://t.co/FtTbXQEl0l Seems to a different t… https://t.co/yEmvQF20CP"
1389585665071980544,Neuro_Skeptic,2021-05-04 14:20:14,en,6,2,Has GWAS lost its status as a paragon of open science? https://t.co/xlvnFuPSKa ask @callie_h_burt &amp; @MarcusMunafo https://t.co/38J3I9IOOm
1389583698031529990,Neuro_Skeptic,2021-05-04 14:12:25,en,1,0,"@SmutClyde I'll take a look! Quite apart from anything else that Mol Psych paper has the longest abstract I ever saw, over 700 words!"
1389268647386955777,Neuro_Skeptic,2021-05-03 17:20:31,en,2,0,@rogerha uh-oh
1389240570304942081,Neuro_Skeptic,2021-05-03 15:28:57,en,0,6,RT @ofelia__kerr: @Neuro_Skeptic I fixed the small typo in the study name. https://t.co/9o6Yknxo35
1389206347061895168,Neuro_Skeptic,2021-05-03 13:12:58,en,58,10,Contact with money makes people think they're taller https://t.co/OLfxAUsWFh hmm. It is true if the contact is that… https://t.co/ylsUQMv513
1388933720023785472,Neuro_Skeptic,2021-05-02 19:09:38,en,128,11,"If humans were a cross between chimpanzees and something else, what would the 'something else' be?"
1388462182015324164,Neuro_Skeptic,2021-05-01 11:55:55,en,5,0,@Clew_less @neurobollocks I feel like I've seen this so many times before...
1388215597033459716,Neuro_Skeptic,2021-04-30 19:36:04,en,128,24,"From the age of 5, we think strangers like us less than we like them. https://t.co/ofKiwJvmd5 4 year olds don't suf… https://t.co/iNMyEcdecI"
1388030222474399744,Neuro_Skeptic,2021-04-30 07:19:28,en,0,223,RT @wandedob: Did I forget something? 😅 https://t.co/3RTNnh0PiK
1387808555160506373,Neuro_Skeptic,2021-04-29 16:38:38,en,1,0,"@shsa_usa @onetryckponi No but I have done many EEGs and it's a lot of work to get a good signal, you have to put e… https://t.co/xRI5EhnIKD"
1387807634368180227,Neuro_Skeptic,2021-04-29 16:34:58,en,13,0,"@dchackethal Well, there's just not much evidence for it. There may be small differences in the function of the lef… https://t.co/DeMXHsRDWE"
1387796350377635841,Neuro_Skeptic,2021-04-29 15:50:08,en,1,0,@vineettiruvadi Yes - they are very different!
1387777192764059663,Neuro_Skeptic,2021-04-29 14:34:01,en,352,48,"The ""logical left brain vs. emotional right brain"" idea is bad neuroscience but it reflects a 2500 year tradition.… https://t.co/hNXgVCim46"
1387674519381450754,Neuro_Skeptic,2021-04-29 07:46:01,en,450,78,"Grey matter is the new ""left brain"", white matter is the new ""right brain"", and people who come up with this stuff… https://t.co/cIBmcn6hSY"
1387674128178679808,Neuro_Skeptic,2021-04-29 07:44:28,en,1,0,"@dougaparry @lieberothdk @m_wall ""Dopaming fasting"" is a good example of an idea which is not bad in itself, just c… https://t.co/4U73cZL8Al"
1387673220665548801,Neuro_Skeptic,2021-04-29 07:40:52,en,0,125,"RT @m_wall: A colleague sent me this - she is seething, and rightly so. I am too. Arrant fucking nonsense, and extremely sexist.
https://t.…"
1387669994138488832,Neuro_Skeptic,2021-04-29 07:28:02,en,27,0,"I think this implies that many people who you think find you supportive will disagree. But, on the other hand, it m… https://t.co/l17kbziC3z"
1387667640932519939,Neuro_Skeptic,2021-04-29 07:18:41,en,33,3,Two people often disagree on whether they are mutually supportive. When one person feels the relationship is suppor… https://t.co/w0twRO0VmX
1387400387561414662,Neuro_Skeptic,2021-04-28 13:36:43,en,0,47,RT @chazfirestone: Human faces are located faster than inanimate objects in visual search. But what about objects that have illusory faces…
1387369409598173185,Neuro_Skeptic,2021-04-28 11:33:37,en,0,3,"RT @raphavisses: @BorisBarbour @surt_lab I keep coming back to this 2014 (time flies) @Neuro_Skeptic piece: what is ""post-publication peer…"
1387294280369287172,Neuro_Skeptic,2021-04-28 06:35:05,en,0,0,"@JohannShultz @YamilVidal_arg @AcademicChatter It depends what you mean by ""top"" - the 'face template' is at the to… https://t.co/OqoMPa1sBn"
1387157484301922306,Neuro_Skeptic,2021-04-27 21:31:31,en,0,0,@JamilliaReign @YamilVidal_arg @AcademicChatter I think so. It's interesting that one photo of a person can look mo… https://t.co/N2gG0TM2Td
1387135426893434887,Neuro_Skeptic,2021-04-27 20:03:52,en,42,3,@YamilVidal_arg @AcademicChatter Great example! It's the same as seeing a face in this washing machine. What it tel… https://t.co/c5FnN5oaLy
1387029895470096385,Neuro_Skeptic,2021-04-27 13:04:31,en,0,1,RT @NickSidorenkoCH: @Neuro_Skeptic That feeling when an MRI scanner cares about your brain more than you do...
1386977771046555649,Neuro_Skeptic,2021-04-27 09:37:24,en,145,5,"EEG and MEG, on the other hand, use much less wholesome methods to get the brain's secrets. Hacking, catfishing... it's a scandal tbh."
1386973927205965824,Neuro_Skeptic,2021-04-27 09:22:07,en,518,75,"fMRI doesn't really measure brain activity.

Instead, the MRI scanner simply asks the brain how it's doing, and the… https://t.co/dM7HMnFOcg"
1386710159242760192,Neuro_Skeptic,2021-04-26 15:54:00,en,0,1,"RT @ParisCritical: @Neuro_Skeptic @RetractionWatch PICT Voices #25: Ivan Oransky, The Use and Abuse of Science
Our twenty-fifth interview i…"
1386686436091510785,Neuro_Skeptic,2021-04-26 14:19:44,en,46,7,"On a hot date, ""women tend to overestimate the duration of that meeting, whereas men tend to underestimate its dura… https://t.co/E6v04Tb65t"
1386615020918816768,Neuro_Skeptic,2021-04-26 09:35:57,en,0,0,@richarddmorey @EJWagenmakers @bmwiernik Many thanks! Very helpful. So in a nutshell Jeffrey's says: the uninformat… https://t.co/u8jw1WmblA
1386606283344777221,Neuro_Skeptic,2021-04-26 09:01:14,en,0,0,"@richarddmorey @EJWagenmakers @bmwiernik I'm not sure I understand Jeffrey's Principle, I've only seen mathematical… https://t.co/pFTzrsiVGF"
1386325044494839817,Neuro_Skeptic,2021-04-25 14:23:41,en,38,7,I've been reading about the likelihood principle and it's quite mind-bending https://t.co/m9yAPtoeDR Should our inf… https://t.co/idsWUoTtLo
1385949932121645060,Neuro_Skeptic,2021-04-24 13:33:08,en,0,1,RT @V_Giampietro: I know of a @Neuro_Skeptic brain with googly eyes who may want an upgrade! Thanks @Louiestowell for the tip!
1385606269797535747,Neuro_Skeptic,2021-04-23 14:47:32,en,73,7,"""Current neuroscience lacks the conceptual wherewithal required to deal with the meaning of mind and soul""… https://t.co/9DfWdXa0ol"
1385502007377731588,Neuro_Skeptic,2021-04-23 07:53:14,en,7,0,@EikoFried @PJawinski @OSFramework @ReproducibiliT @GermanRepro @Plotly I call this an avalanche plot: p-values rolling down the 0.05 slope!
1385501829698629632,Neuro_Skeptic,2021-04-23 07:52:32,en,0,20,RT @PJawinski: It's my first semester teaching behavioral genetics and I'm eager to discuss candidate gene controversies. I made an interac…
1385286650788524040,Neuro_Skeptic,2021-04-22 17:37:29,en,0,0,@LearningPirate @eLearningMitch Oh no...!
1385259691555659777,Neuro_Skeptic,2021-04-22 15:50:22,en,2,0,@brembs @BrettButtliere @BrianNosek @Stew I can't think of any data on that. But there should be data on open access fees
1384920377508380682,Neuro_Skeptic,2021-04-21 17:22:03,en,1,1,@onetryckponi I don't know much about #TargetedIndividuals but if they believe people are reading their minds remot… https://t.co/lw7Noc5acM
1384507584506302464,Neuro_Skeptic,2021-04-20 14:01:45,en,0,43,RT @blake__bordelon: How does the brain learn to perform new tasks from a such a small budget of sensory experience and supervision signals…
1384504225619533824,Neuro_Skeptic,2021-04-20 13:48:24,en,0,0,@DKThomp @tannahillglen Ah right... thanks!
1384502832431173635,Neuro_Skeptic,2021-04-20 13:42:52,en,0,0,@DKThomp @tannahillglen Do you have the data on accidental deaths? It's not in the paper
1384500891139547141,Neuro_Skeptic,2021-04-20 13:35:09,en,1,0,@tannahillglen @DKThomp Hmm... suicides could be misclassified as accidental deaths. So I agree this needs a close look
1384471423465398274,Neuro_Skeptic,2021-04-20 11:38:04,en,1,0,@seeingwithsound Nope! I meant I didn't expect the paper to come so soon. I didn't foresee how fast COVID science would become!
1384471188303273987,Neuro_Skeptic,2021-04-20 11:37:08,en,2,0,"@Alex_on_A14 @Zhaey_ one lesson of this should be that increased suicide rates are *not* inevitable whenever ""bad s… https://t.co/71LSKnSZ5e"
