id,username,created_at,lang,favorite_count,retweet_count,text
1389982832496312326,Nidhi,2021-05-05 16:38:26,en,0,245,"RT @IndianExpress: Before he joined politics, Srinivas was a cricketer who represented Karnataka in the under-19 team. https://t.co/3xb36cO…"
1389979165042962432,Nidhi,2021-05-05 16:23:52,en,0,591,"RT @NYGovCuomo: NEW: Broadway shows will be ready to open September 14 at 100% capacity. Tickets go on sale starting tomorrow.

Broadway is…"
1389952754412527617,Nidhi,2021-05-05 14:38:55,en,82,3,@AmanKayamHai_ Take care Aman. Just listen to the doctor
1389952523419541509,Nidhi,2021-05-05 14:38:00,en,406,60,"At a time when India is facing the worst of the pandemic, we talked about how lack of transparency regarding Covid… https://t.co/4nu0QMbPun"
1389951153694146560,Nidhi,2021-05-05 14:32:33,en,0,105,"RT @nytimes: India is experiencing a devastating coronavirus crisis, and it will probably worsen before it gets better.

Donors around the…"
1389936211473485827,Nidhi,2021-05-05 13:33:11,en,0,247,"RT @GargiRawat: Look at how vaccinations have come down 🤦🏽‍♀️ We should have been doing 50 lakh a day, on Tuesday was below 15 lakh. Acute…"
1389922259268083712,Nidhi,2021-05-05 12:37:44,en,0,18,"RT @MattLaemon: Covid-19 Warriors: Volunteers from J&amp;K
The #SOSJK team works round-the-clock on ground and on social media to ensure ambula…"
1389919322487750656,Nidhi,2021-05-05 12:26:04,en,42,2,@Priyascorner @RommelTickoo Thanks Priya
1389917580832362498,Nidhi,2021-05-05 12:19:09,en,18,0,@PiyuK @AmbarishSatwik That’s why one shouldn’t google symptoms also
1389907686846656515,Nidhi,2021-05-05 11:39:50,en,63,1,@AmbarishSatwik @PiyuK Sigh. I read these words and think I have all of it
1389902395090497540,Nidhi,2021-05-05 11:18:48,en,0,329,"RT @ANI: A phase three is inevitable, given the higher levels of circulating virus but it is not clear on what time scale this phase three…"
