id,username,created_at,lang,favorite_count,retweet_count,text
1387123161263747078,PiyaSRoy,2021-04-27 19:15:07,en,15,3,"If you haven’t already, RUN to @bbcthree @BBCiPlayer asap and binge all of #Starstruck because @iNikeshPatel and… https://t.co/50MD9zOuKI"
1386819726848970755,PiyaSRoy,2021-04-26 23:09:23,en,0,0,@derekschulte @Terri_Schwartz @RogueCheddar You guyssss are the cutest ❤️
1386804534325006337,PiyaSRoy,2021-04-26 22:09:01,und,1,0,@MonitaRajpal 👏🏽👏🏽👏🏽
1386777270904295427,PiyaSRoy,2021-04-26 20:20:41,en,18,0,White journalists need to stop asking POC creators what their work/win “means for the community.” This isn’t a good… https://t.co/4pL5iNtMb5
1386777268937187328,PiyaSRoy,2021-04-26 20:20:40,en,34,4,"I’ve seen these “mistakes” happen pretty much every year during awards season, mainly to Black actors, actresses an… https://t.co/PBxmM7tlSh"
1386582577671200768,PiyaSRoy,2021-04-26 07:27:02,en,2,0,First time in 11 years that I didn’t cover or watch #Oscars(spent the day with my family instead). Congratulations… https://t.co/ynmPZyS4Z8
1384635730253815813,PiyaSRoy,2021-04-20 22:30:58,en,8,2,"Darnella Frazier should never have had to witness this tragedy but had she not recorded it, this statement would ha… https://t.co/ZjVwPiVRXY"
1384629516111319041,PiyaSRoy,2021-04-20 22:06:16,en,5,3,George Floyd. Breonna Taylor. Duante Wright. Elijah McClain. Rayshard Brooks. Philando Castile. Alton Sterling. San… https://t.co/59Nw1qPEMS
1384617176519299072,PiyaSRoy,2021-04-20 21:17:14,en,14,0,"Guilty. Guilty. Guilty. Still such a long way to go but hopefully this sets a precedent for accountability, justice… https://t.co/ZMMEliyUrg"
1382759033950572553,PiyaSRoy,2021-04-15 18:13:38,en,2,0,"If you have an hour free tonight, highly recommend spending it with @iNikeshPatel and @SiansUniverse in this funny,… https://t.co/1ONDdIAUTJ"
1382672556629622786,PiyaSRoy,2021-04-15 12:30:00,en,8,0,People outside of England have no idea how dramatic this Colin the Caterpillar Cake lawsuit is gonna be... https://t.co/WlOdIoscZI
1382601766756356100,PiyaSRoy,2021-04-15 07:48:43,en,1,0,"@lindazge Love this, congratulations!!"
1381975022575714307,PiyaSRoy,2021-04-13 14:18:15,en,7,0,Netflix couldn’t be getting a better one than the brilliant @Terri_Schwartz! So excited for you T! ❤️💥 https://t.co/S5mPJMEilE
1381956333998632961,PiyaSRoy,2021-04-13 13:04:00,en,22,0,The Arclight was a staple in the decade I’ve lived in LA. I saw Indiana Jones at the Dome and did so many screening… https://t.co/XEWHgBh5ED
1379900756824838148,PiyaSRoy,2021-04-07 20:55:52,und,1,0,@audreycleo @DinoRay https://t.co/stMFHJd93l
1379899828902236167,PiyaSRoy,2021-04-07 20:52:11,en,17,2,I don’t think any journalist has amplified and elevated BIPOC creators and projects as much as @DinoRay has done. T… https://t.co/4DDZkEvGth
1379816491055480834,PiyaSRoy,2021-04-07 15:21:01,en,14,0,Scott Rudin’s behavior and antics have been such an open secret for years in Hollywood (don’t try to “cancel cultur… https://t.co/37e9gbVi7b
1379512146539728904,PiyaSRoy,2021-04-06 19:11:40,en,1,0,@DinoRay @jenyamato @amandanduka @DEADLINE @glaad Yaaayyyy Dino!!! Congratulations ❤️
1379494224891158534,PiyaSRoy,2021-04-06 18:00:27,en,2,1,The same Geoff Johns refused to take advice from @ray8fisher on how to portray a Black character. This is how racia… https://t.co/LbG7zAFMCO
1379171122013478918,PiyaSRoy,2021-04-05 20:36:33,en,7,1,Imagine one wrongly-spelled credit erasing your real name in your professional career? Always love how raw and witt… https://t.co/IO4qZCfKCE
1379168727623684099,PiyaSRoy,2021-04-05 20:27:03,en,1,0,Every damn time I see people sharing  “statements” (lies) from that Florida man. https://t.co/PPPzxhMn2b
1378013091242315780,PiyaSRoy,2021-04-02 15:54:57,und,1,0,@sarayublue 👏🏽👏🏽👏🏽
1377648398866726912,PiyaSRoy,2021-04-01 15:45:48,en,17,1,My perpetual response to April Fool’s Day. https://t.co/lLa6uiWphi
1377308367144820738,PiyaSRoy,2021-03-31 17:14:38,en,2,0,"I can’t believe it’s been so long since I saw #ZolaMovie at Sundance but so happy this absolutely wild, surreal, me… https://t.co/TFE2pzwwmS"
1377229595376807939,PiyaSRoy,2021-03-31 12:01:37,en,5,1,"Is this the same study that declared Prince William sexiest bald guy? 

🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡 https://t.co/o5vLd8iEFA"
1376998314277736453,PiyaSRoy,2021-03-30 20:42:36,en,3,1,The darling and brilliant @richardpickard has written a beautiful book for kids (and adults!) that I’m completely o… https://t.co/RXe8quTZfV
1376871172877529093,PiyaSRoy,2021-03-30 12:17:23,en,1,0,It is ASTOUNDING to me that I've not seen a single person - ONE SINGLE PERSON - wearing a mask outside in London or… https://t.co/znGwNBQDRi
1376183235688984576,PiyaSRoy,2021-03-28 14:43:46,en,8,0,Absolute perfection. ❤️ Bowen Yang https://t.co/p1LjjRj20X
1375938583144583173,PiyaSRoy,2021-03-27 22:31:36,en,26,4,"Hey #truecrime fans, binge #ForHeavensSake on @paramountplus asap! It’s about @mikemildon and his friend Jackson in… https://t.co/DYDnNXiyEb"
1375927987443482630,PiyaSRoy,2021-03-27 21:49:30,en,6,0,"Sad to not be with my #AAPI family in LA today but I stand with you. Our community is strong, beautiful and America… https://t.co/kBkgX89flG"
1375487674132398088,PiyaSRoy,2021-03-26 16:39:51,en,1,0,"Yah, looks fun, love a shark bro. Also, love Harley’s outfit. https://t.co/7C5duRlZLW"
1375451387488829442,PiyaSRoy,2021-03-26 14:15:40,en,3,0,Didn’t think @LilNasX would be the one to make Dante’s Inferno fetch again but I like where 2021 is headed. 🔥👹💎 https://t.co/ZCQqeNcLmn
1375279932847218694,PiyaSRoy,2021-03-26 02:54:22,en,18,1,"Watching Arrested Development to fall asleep to, as per usual. And watching Jessica Walter being her brilliant, hil… https://t.co/ALfAqE8n5p"
1375165321783443458,PiyaSRoy,2021-03-25 19:18:56,en,51,7,Honestly so saddened at this loss. Jessica Walter was a masterclass in comedic timing and searing delivery. Truly a… https://t.co/jFvLqd4l7S
1374856133832290304,PiyaSRoy,2021-03-24 22:50:20,en,1,0,Dyiiing from giggles watching this! #MasterChef https://t.co/cUfTwBKzhu
1374525708827987969,PiyaSRoy,2021-03-24 00:57:21,en,3,0,Now’s probably a good time to declare that I have never eaten any General Mills Cereal. I’m a Kellogg’s girl and I’… https://t.co/hFYQE86xvF
1374448104678723595,PiyaSRoy,2021-03-23 19:48:58,en,4,0,@MarkDuplass @nataliemorales @sxsw Congratulations!! Can’t wait to see it!
1374412634590605316,PiyaSRoy,2021-03-23 17:28:02,en,4,0,"I’m available for any and all Bob’s Burgers discourses, @joshuahorowitz https://t.co/5Dw7mpIHiN"
1374097896921034756,PiyaSRoy,2021-03-22 20:37:22,en,18,1,"“Where are you from?” is fine.

“But where are you really from?” shows the racist clownery. https://t.co/0nagjXZJEo"
1373647628945260551,PiyaSRoy,2021-03-21 14:48:10,en,7,0,Evergreen reminder: you’re not “doing the work” if you’re doing the work wrong. 🤷🏽‍♀️😎 https://t.co/oDV6GdF63m
1373623786558402561,PiyaSRoy,2021-03-21 13:13:26,en,0,0,"@Mara_Webster Because baked beans don’t deserve cheese, they suck! (I’m very anti baked beans)"
1373396365011734530,PiyaSRoy,2021-03-20 22:09:44,en,4,1,"Lol and we Brits are like, YAH WE KNOW, THANKS CHRISSY

(The struggle is real to get a damn jacket potato in LA. In… https://t.co/XGZFBUzEKu"
1372954113663713281,PiyaSRoy,2021-03-19 16:52:23,en,0,3,"RT @audreycleo: Oh, and follow people like @jenyamato @DinoRay @insidethetube @PiyaSRoy @Hanhonymous @LakshmiGandhi (this list isn't exhaus…"
1372954086467895296,PiyaSRoy,2021-03-19 16:52:17,en,6,2,Yes to all of this. Read this thread re: AAPI voices in the newsroom 👇🏽👇🏽👇🏽 https://t.co/TrFGCT5IEY
1372899414050758663,PiyaSRoy,2021-03-19 13:15:02,en,1,0,@MarkDuplass @duplaselton Yesss Katie!! Cannot wait for this! 🙌🏽
1372323304661475331,PiyaSRoy,2021-03-17 23:05:47,en,2,1,Reupping this to highlight the inherent problem with news reporting on crimes against BIPOC. News media shapes the… https://t.co/OR1meK2POh
1372309778798686211,PiyaSRoy,2021-03-17 22:12:02,und,0,0,@ava 👏🏽👏🏽👏🏽
1372283299452882946,PiyaSRoy,2021-03-17 20:26:49,en,0,0,@jenyamato This is absolutely disgusting.
1372254041313583111,PiyaSRoy,2021-03-17 18:30:33,en,0,3,RT @audreycleo: Career violence is a thing.
1372217526822825991,PiyaSRoy,2021-03-17 16:05:27,en,20,3,I’m watching how the narratives around “he was having a bad day” and “we don’t know the motivation” are being playe… https://t.co/Q0ytVnxF13
1372192308440002568,PiyaSRoy,2021-03-17 14:25:15,en,10,3,"To every editor-in-chief who hasn’t thought to hire, nurture and elevate Asian-American reporters and perspectives… https://t.co/NCkNAFnZKC"
1372190253272944643,PiyaSRoy,2021-03-17 14:17:05,en,2,0,"@DinoRay Love you, Dino ❤️❤️❤️"
1372182219654062084,PiyaSRoy,2021-03-17 13:45:09,en,11,3,Hard-working grandparents have been killed. AAPI are being attacked in the streets daily. Our #AAPI community needs… https://t.co/MoE6FMj8Q6
1372182175118987266,PiyaSRoy,2021-03-17 13:44:59,en,4,1,We need to drastically redefine what it means to be American. Asian-Americans ARE AMERICAN. The AAPI community dese… https://t.co/wDlbl2liZ5
1372182173848117253,PiyaSRoy,2021-03-17 13:44:58,en,2,1,I stand with my Asian and SE-Asian family. I’m angry at the lack of news coverage of these senseless crimes; I’m an… https://t.co/ol8nySq844
1372182172363280388,PiyaSRoy,2021-03-17 13:44:58,en,30,10,"Sickened, devastated and furious at the horrific targeted killings in Atlanta. The hatred and violence against the… https://t.co/yyFohTgX9j"
1371905912697405443,PiyaSRoy,2021-03-16 19:27:13,und,1,0,@ShotgunSpr https://t.co/SnPZ6p37Ec
1371887740439166981,PiyaSRoy,2021-03-16 18:15:00,en,2,0,Surburbia is glitching. https://t.co/wgYtzwtfHC
1371887340390645763,PiyaSRoy,2021-03-16 18:13:25,en,0,0,"@subrawoman goddamn, let's do it!"
1371887202444177415,PiyaSRoy,2021-03-16 18:12:52,en,3,0,"Natasha Lyonne x @rianjohnson
x Mystery of the Week = ""Programming Exclusively For Piya"" 😍🕵🏽‍♀️ https://t.co/YYRkxuIGWU"
1371886354171314183,PiyaSRoy,2021-03-16 18:09:29,en,7,0,Shotgun the movie rights to this! https://t.co/GzvPzo6nn3
1371500697691230211,PiyaSRoy,2021-03-15 16:37:02,en,3,0,"Hell YES, @SevOhanian!! The first of many to come. #JudasAndTheBlackMessiah https://t.co/j4QazQC67e"
1371477031549079554,PiyaSRoy,2021-03-15 15:02:59,und,1,0,@adityasood 👏🏽👏🏽👏🏽
1371468725895987200,PiyaSRoy,2021-03-15 14:29:59,en,2,0,So happy to see this incredible team recognized. Sound of Metal truly resonated in a year of isolation. Congratulat… https://t.co/TNL7qg3qOA
1371463218372218884,PiyaSRoy,2021-03-15 14:08:06,en,6,1,"Good time to shout out one of my favourite @steveyeun performances! 

(Watch @tucaandbertie, it’s amazing) https://t.co/HydEtg6VaP"
1371456535646380034,PiyaSRoy,2021-03-15 13:41:33,en,4,1,"After that atrocious Juergen Teller mess, I appreciate @wmag giving us this Zendaya and John David Washington gorge… https://t.co/05Kx8gWqTa"
1371454404021338112,PiyaSRoy,2021-03-15 13:33:04,en,6,1,"If I can’t see @iNikeshPatel in person, I’ll have to settle for watching him on my telly alongside the hilarious… https://t.co/l8XLcoUqMy"
1371451004764483585,PiyaSRoy,2021-03-15 13:19:34,en,10,0,"A groundbreaking AMERICAN story. So, so happy for #Minari! 🌱 https://t.co/Nx1epXdIkn"
1371447469213618179,PiyaSRoy,2021-03-15 13:05:31,en,88,23,"With Riz Ahmed in the Best Actor race as well, it’s incredible to see two Asian actors in a category that has for s… https://t.co/uBR4Awo80k"
1371445164774985731,PiyaSRoy,2021-03-15 12:56:22,en,0,0,No major surprises in this list but interested to see next year’s rule in effect to nominate the full 10 best pictu… https://t.co/KZYn3F9k2v
1371430321628012544,PiyaSRoy,2021-03-15 11:57:23,en,6,0,"First time in over a decade that I’m not getting up at 3am (let’s be honest, I never slept the night before) to cov… https://t.co/XzB0nRvVCK"
1370861880261152774,PiyaSRoy,2021-03-13 22:18:36,en,0,3220,"RT @ava: Jonathan Mattingly.
Brett Hankison.
Myles Cosgrove.

They murdered Breonna Taylor. 
They walk free today. 
Say their names too. 
O…"
