id,username,created_at,lang,favorite_count,retweet_count,text
1389994374877138948,RiyueSunnyBao,2021-05-05 17:24:18,en,4,1,"Excited to participate in the upcoming #SITC #WIN #Leadership #Institute, August 2-3, 2021!!!!… https://t.co/8QjLMCEK4i"
1389939030507327494,RiyueSunnyBao,2021-05-05 13:44:23,und,1,0,@sitcancer @UPMCHillmanCC @Pitt_PMI @PittDeptofMed @CMUCompBio @ImmunoTiil https://t.co/c5iF4ccvOQ
1389938089624211459,RiyueSunnyBao,2021-05-05 13:40:39,en,5,3,"The #SITC #Computational #Immuno #Oncology #webinar series kicks off next week!

Topics range from #immunogenomics… https://t.co/bFyOcNoePI"
1389696839788777472,RiyueSunnyBao,2021-05-04 21:42:00,en,0,11,"RT @nilshomer: Varlociraptor can automatically generate a “test case” file for the authors to debug .

Have a oddly called variant? Easily…"
1389694611883429895,RiyueSunnyBao,2021-05-04 21:33:09,en,2,0,@jasonlukemd @ASCO_pubs @DanielOlsonMD @Merck @NCCN @UPMCHillmanCC @MoffittNews @UCCancerCenter @MelanomaReAlli… https://t.co/TX20W8WEQf
1389694445856120838,RiyueSunnyBao,2021-05-04 21:32:29,en,0,1,RT @ImmunoTiil: Congrats to @ImmunoTiil PIs Dr Luke and Dr Bao on a great study changing practice in #melanoma #immunotherapy! @UPMCHillman…
1389404837972938763,RiyueSunnyBao,2021-05-04 02:21:41,en,4,1,"@drugmonkeyblog Heavy metal + bubble tea tasting 
Hiking + taking pictures of foods"
1389400964734623755,RiyueSunnyBao,2021-05-04 02:06:18,en,1,0,@PaulMinda1 I am enjoying it. The thieves are my favorite
1389399501157306368,RiyueSunnyBao,2021-05-04 02:00:29,en,1,0,What is he eating? 🐿 https://t.co/251BYVkr02
1389399344151998464,RiyueSunnyBao,2021-05-04 01:59:52,en,3,0,"#pitt after spring rain

The sky, the tree, the round squirrel https://t.co/TLnhEcCftc"
1389393991813173259,RiyueSunnyBao,2021-05-04 01:38:35,en,1,0,@VdaGeraldine @nanopore Good news: the reference genome seems to be available too! Wonder if they are from the same… https://t.co/V2YiZI5T27
1389392576676040711,RiyueSunnyBao,2021-05-04 01:32:58,en,0,2,RT @AlbertVilella: A novel framework for #singlecell Hi-C clustering based on graph-convolution-based imputation and two-phase-based featur…
1389382341852794882,RiyueSunnyBao,2021-05-04 00:52:18,en,0,0,"@wessidepraxis So far my most positive experience for #controlled #access data is #dbGAP @NIH. For #EGA, the DAC is… https://t.co/imcoZHHrCx"
1389080200047169541,RiyueSunnyBao,2021-05-03 04:51:42,en,1,0,@AlexGuseman Pizza twist !! They are awesome 🤩 I also like people’s
1389069248467722240,RiyueSunnyBao,2021-05-03 04:08:11,en,0,6004,"RT @GidMK: ""I got COVID-19 and it was fine"" https://t.co/5tsY0KWJ9J"
1389068776881131523,RiyueSunnyBao,2021-05-03 04:06:18,en,0,0,"@AlexGuseman I have yet to find a place at #PGH that does a proper pizza, they made me miss $7 pizza in Michigan.… https://t.co/aROxD24Gms"
1389058907386023936,RiyueSunnyBao,2021-05-03 03:27:05,en,15,2,@chelysheva_i When not too many dots I do boxplot + jittered individual points; when too many dots I do boxplot + v… https://t.co/1oVF9rhHNG
1389057531448856576,RiyueSunnyBao,2021-05-03 03:21:37,en,0,402,RT @patilindrajeets: I am often asked why I insist on complicating a plot by overlaying a violin plot on top of a box plot when the latter…
1389038190615531523,RiyueSunnyBao,2021-05-03 02:04:46,en,2,0,"Sunday dinner - brown sugar #bourbon #chicken with light fried #apple chunks 😋

Fast prep - about 30 mins!

🐿 https://t.co/MXMemMR8cY"
