id,username,created_at,lang,favorite_count,retweet_count,text
1389826914462748674,ShamikaRavi,2021-05-05 06:18:52,en,1,0,@SatishKTM Best to look at 7 day moving averages of everything - rather than day to day fluctuations.
1389825954277597188,ShamikaRavi,2021-05-05 06:15:03,in,327,63,"Daily cases: stabilizing across several states - MH, KL, UP, DL, CT, GJ, MP, TS, JH, GA...🤞🏼🤞🏼 https://t.co/E9VjbYsXIH"
1389825941862420481,ShamikaRavi,2021-05-05 06:15:00,en,312,43,Daily testing across states: falling in some stages (not good!) https://t.co/7euE9FtUGB
1389825930294489091,ShamikaRavi,2021-05-05 06:14:58,en,306,41,Daily testing continues to grow https://t.co/UdIACf6R7N
1389825919095762944,ShamikaRavi,2021-05-05 06:14:55,en,362,89,"Daily recovery rising
Daily deaths stabilizing
Daily new active cases: falling sharply https://t.co/0KjnDoqn4o"
1389825905720135684,ShamikaRavi,2021-05-05 06:14:52,en,327,61,Daily cases stabilizing... https://t.co/E4t3XhR6Yl
1389825893581811714,ShamikaRavi,2021-05-05 06:14:49,en,2466,525,#COVID19India The growth rate of active cases continues to fall &amp; is now = 2.1% https://t.co/1Bsp8drF0d
1389490923852111874,ShamikaRavi,2021-05-04 08:03:46,en,7285,533,"Well, today’s update is that the RTPCR results are here. Everyone in the household is positive. I’ll be away from c… https://t.co/MOs6uzkf8v"
1389243878805446661,ShamikaRavi,2021-05-03 15:42:06,und,2,0,@tanvi_tanuja 🙏🤞🏼
1389238629063557124,ShamikaRavi,2021-05-03 15:21:14,en,222,42,"It usually takes careful empirical study to gauge what people vote for in any election. For instance, in Bihar asse… https://t.co/Nz9sHskPei"
1389217875269873666,ShamikaRavi,2021-05-03 13:58:46,en,9,0,@abhijeet_pradha Thank you for sharing Abhijeet.
1389217638497222657,ShamikaRavi,2021-05-03 13:57:50,en,7538,1802,"I got an RTPCR done yesterday, and noticed a glaring error when the sample was collected. No information was collec… https://t.co/HShBICagWi"
1389213999191904259,ShamikaRavi,2021-05-03 13:43:22,en,66,9,@TVMohandasPai Mohan- we generate ~100 stats daily (sorry I’m able to share only few). But recall that India had li… https://t.co/nAfCVxxrKK
1389178294214434816,ShamikaRavi,2021-05-03 11:21:29,en,0,37,RT @bharat_radhika: Please share @ShamikaRavi @samirsaran @GiveIndia @maya206 @CSR_India @NGOBOX @IndiaBusinessDN @socialpwds @ranjanakumar…
1389142878404808710,ShamikaRavi,2021-05-03 09:00:45,en,0,13,"RT @natashajha: This paper from last year by @ShamikaRavi for #BrookingsIndia 
COVID-19 | Is India’s health infrastructure equipped to hand…"
1389135822897631233,ShamikaRavi,2021-05-03 08:32:43,en,267,29,People vaccinated: latest figures https://t.co/6dBYJSkNB7
1389135809769480193,ShamikaRavi,2021-05-03 08:32:40,en,971,141,#COVID19India The growth rate of active cases = 2.9% 🤞🏼 https://t.co/TN5kCQCvka
1389122590640197638,ShamikaRavi,2021-05-03 07:40:08,en,521,186,"Daily deaths: 
First wave Vs. second wave https://t.co/w4XG6YUh7f"
1389122582247448576,ShamikaRavi,2021-05-03 07:40:06,en,2153,716,"Daily cases: 
First wave Vs. Second wave https://t.co/7zkaz8vAKp"
1388746752908423172,ShamikaRavi,2021-05-02 06:46:42,en,400,49,Meanwhile in a parallel universe.... https://t.co/hfhyXYmGdv
1388561657907978240,ShamikaRavi,2021-05-01 18:31:12,en,903,172,Priorities for India’s National Health Policy - our 2016 paper - holds more relevance now than ever. India cannot h… https://t.co/ea4agfF64I
1388553187385253889,ShamikaRavi,2021-05-01 17:57:32,en,0,8,"RT @orfonline: “The uncertainty of the virus is being overshadowed by the growing uncertainty from #VaccineNationalism,” says @ShamikaRavi.…"
1388540335781867521,ShamikaRavi,2021-05-01 17:06:28,en,818,150,"As researchers, we can only provide the evidence (for policymaking). We raised the alarm of a second wave from mid… https://t.co/GicbZE60xV"
1388500645645221888,ShamikaRavi,2021-05-01 14:28:45,en,2816,504,Kerala has the second largest number of COVID19 cases in India (after Maharashtra). But it has successfully maintai… https://t.co/cwZ1n1zCjY
1388455510593077248,ShamikaRavi,2021-05-01 11:29:24,en,197,51,"This story is from Barabanki and Unnao. Meanwhile in nearby Kannauj district hospital, very few are showing up for… https://t.co/J2IZsrchw3"
1388428165916200960,ShamikaRavi,2021-05-01 09:40:45,en,1665,333,"Under normal times, approx 25% of Indian households reported catastrophic health expenditure (more than 10% of thei… https://t.co/InHP5Fpysh"
1388408663757393920,ShamikaRavi,2021-05-01 08:23:15,en,31,0,@oommen Take care Oommen! Happy to hear of recovery.
1388346717855092737,ShamikaRavi,2021-05-01 04:17:06,und,13,0,"@Writer_Rishabh Civil Registry System, MHA"
1388345001059356675,ShamikaRavi,2021-05-01 04:10:17,en,395,125,2017 data shows that we have limited capacity across states to implement the constitutionally mandated Registration… https://t.co/xLvOInMhq5
1388331564287676418,ShamikaRavi,2021-05-01 03:16:53,en,0,16,RT @SyedNazakat: India faces significant challenges in delivering affordable #healthcare to its 1.4 billion population – the biggest of whi…
1388330984861421568,ShamikaRavi,2021-05-01 03:14:35,en,301,68,"Vaccine preparedness across states: As vaccine eligibility widened over successive phases, some states were able to… https://t.co/4GNS6jbVLZ"
1388195314960535552,ShamikaRavi,2021-04-30 18:15:29,en,0,56,"RT @ShamikaRavi: Reaction 2) India has fared ""better"" than many affluent nations: 
-Well it depends on the available health infrastructure…"
1388191084015079424,ShamikaRavi,2021-04-30 17:58:40,en,7,1,@AnkushG18855928 Huge
1388157451451572224,ShamikaRavi,2021-04-30 15:45:01,en,0,0,@devanikindia Devanik - pls read the tweet carefully (both parts) and let me know what you disagree with.
1388154423709376515,ShamikaRavi,2021-04-30 15:32:59,en,427,56,"Reaction 2) India has fared ""better"" than many affluent nations: 
-Well it depends on the available health infrastr… https://t.co/CUIZ5HpRtJ"
1388139781297561601,ShamikaRavi,2021-04-30 14:34:48,en,871,241,"#COVID19India An international perspective: India has 13,316 cases per million (ranked 78). There will be 2 common… https://t.co/pjdN93Z2hu"
1388129529542057986,ShamikaRavi,2021-04-30 13:54:04,en,206,37,"What fraction of the population is vaccinated?
India: 90,000 per million
Smaller states &amp; UTs have covered larger p… https://t.co/ABktcdUQWO"
1388129523535802369,ShamikaRavi,2021-04-30 13:54:03,hi,184,48,"Highest Case Fatality Rate: 
Punjab
Sikkim
Maharashtra 
Himachal Pradesh
Uttarakhand
Delhi... https://t.co/MnbyJmPemz"
1388129515403059200,ShamikaRavi,2021-04-30 13:54:01,en,147,27,"Overall given the rising infection, India's testing is inadequate. The TPR is seeing a ominous rise. https://t.co/fMWjk2V3nl"
1388129508423655425,ShamikaRavi,2021-04-30 13:53:59,en,210,55,"Daily testing is rising across most states of India. Except:
1) It is falling in Delhi and Telangana (!)
2) Stopped… https://t.co/w09kvI43ko"
1388129502421676037,ShamikaRavi,2021-04-30 13:53:58,en,124,25,Overall testing is rising (but not everywhere: see below) https://t.co/kHaSdN1Q6u
1388129495136161797,ShamikaRavi,2021-04-30 13:53:56,en,159,39,"Our hotspots - Delhi, Maharashtra and Chhattisgarh - report slowdown/reduction in daily cases. Meanwhile, the sprea… https://t.co/p5VireEP9K"
1388129487007621120,ShamikaRavi,2021-04-30 13:53:54,en,172,34,"Daily recovery increasing at 1.7%
Daily deaths rising at 1.6% https://t.co/DgaySsR9sJ"
1388129479654973446,ShamikaRavi,2021-04-30 13:53:52,en,170,29,"As daily cases continue to rise (386,654 yesterday) https://t.co/nYltHcBW6g"
1388129471761317893,ShamikaRavi,2021-04-30 13:53:50,en,1899,408,"#COVID19India Growth of active cases = 3.5% &amp; declining.🤞
(Statistics in the daily thread is meant to give you an o… https://t.co/Keo0KaJ99Z"
1388023671038431239,ShamikaRavi,2021-04-30 06:53:26,en,0,74,"RT @muditkapoor: On Feb 19th, alarm was raised. @ShamikaRavi"
1387671534957830144,ShamikaRavi,2021-04-29 07:34:10,en,42,1,@snikhil_social Not at all. Get whichever is available.
1387669926224138241,ShamikaRavi,2021-04-29 07:27:46,en,3457,180,Fully COVAXIN-ed. 💉 👍 https://t.co/B3hu3omFjb
1387655045710114817,ShamikaRavi,2021-04-29 06:28:38,en,668,52,Good. It’s the responsible thing to do. https://t.co/R9j93B8LjK
1387653411311546368,ShamikaRavi,2021-04-29 06:22:09,en,152,11,One of my favorite painters. #RajaRaviVarma https://t.co/g0ah8ChAht
1387652664331096064,ShamikaRavi,2021-04-29 06:19:11,en,0,27,"RT @KirkDBorne: @ShamikaRavi [1/2] I see a time lag here. The infection rate increases some time after the vaccination rate increases, sugg…"
1387443938894639106,ShamikaRavi,2021-04-28 16:29:47,en,722,220,“As mental health professionals we can tell you that specific information empowers people and prepares them to face… https://t.co/RHnKiLkrAR
1387442424096595968,ShamikaRavi,2021-04-28 16:23:45,en,323,8,“This is so suffercating!” - the younger one hasn’t met his friend for 2 whole weeks now. #Delhi
1387395551780433929,ShamikaRavi,2021-04-28 13:17:30,en,95,3,"Baptism by fire🙏
(Strict time limits on Twitter is v helpful.) https://t.co/mfIjEepT30"
1387380887206064128,ShamikaRavi,2021-04-28 12:19:14,en,81,9,"@RijoMJohn Pls read the title of graph carefully Rijo. The tweet does have a typo, it should have said 'eligible'..… https://t.co/gWDYGAdjFW"
1387330029156134912,ShamikaRavi,2021-04-28 08:57:08,en,0,312,"RT @VPSecretariat: India has more than 3400 Business schools with around a million enrolments, but the employability of MBA graduates is at…"
1387305526623543300,ShamikaRavi,2021-04-28 07:19:47,en,0,269,RT @ShamikaRavi: This #COVID pandemic should be a wake up call for administrators who ignore #healthcare as a “social sector concern”. Heal…
1387300387300864006,ShamikaRavi,2021-04-28 06:59:21,en,0,0,@AnuragBishnoi Study test positivity rates pls.
1387281579295137799,ShamikaRavi,2021-04-28 05:44:37,en,335,93,"What proportion of people are completely vaccinated (both doses) in each state?
All India: 6.84%
Top 3: northeaster… https://t.co/AOHskSexLP"
1387281572978589698,ShamikaRavi,2021-04-28 05:44:36,en,291,70,"Beyond national level trends, it is insightful to see how states are faring in the vaccination drive. Here are the… https://t.co/hzinMCbcaU"
1387281567823720453,ShamikaRavi,2021-04-28 05:44:34,en,307,64,The second wave of infections is simultaneous with the vaccination drive across the country. Current growth rate of… https://t.co/W14Sg4VOkf
1387281562710929411,ShamikaRavi,2021-04-28 05:44:33,en,365,103,"Daily testing has been rising sharply overall. But the infection is rising faster, as is reflected in the rising Te… https://t.co/8ZZs6LpoUH"
1387281556910211072,ShamikaRavi,2021-04-28 05:44:32,en,403,76,"While daily confirmed cases continue to rise (362,757 yesterday), the daily recovered cases are also sharply rising. https://t.co/CXo4Bl1YNP"
1387281551734415366,ShamikaRavi,2021-04-28 05:44:31,en,623,125,It means that the new active cases have been falling. So the daily additional burden on the health infrastructure h… https://t.co/xiNPpEC1Pg
1387281546722168832,ShamikaRavi,2021-04-28 05:44:29,en,2685,700,"#COVID19India Growth of active cases = 4.4%
There's been a consistent decline for 10 days. https://t.co/XGShnj5oCT"
1387241729330348032,ShamikaRavi,2021-04-28 03:06:16,en,15,0,@kashmiriRefuge @amitsurg @centerofright 👏 nice work. Keep it coming!
1387087135073701891,ShamikaRavi,2021-04-27 16:51:58,en,1,0,"@vsharma71 @JoyAgnost @WHO ‘He’ is a scholar and friend, who’s work &amp; opinions I care about greatly. No trolling pls."
1387078668397072385,ShamikaRavi,2021-04-27 16:18:19,en,13,0,"@JoyAgnost There’s a difference between ‘sufficient testing’ (TPR&lt;5%, @who benchmark) and “discouraging” testing. Over ‘n out. 🙏"
1387077050016550914,ShamikaRavi,2021-04-27 16:11:54,en,7,0,@JoyAgnost Here’s the disaggregated data for states (including UP): daily testing https://t.co/UkTAs4srPs
1387076109041209344,ShamikaRavi,2021-04-27 16:08:09,en,107,9,@JoyAgnost This is just not true Sanjoy. https://t.co/mklCiDoqlJ
1387071672918831104,ShamikaRavi,2021-04-27 15:50:32,en,0,2360,"RT @drharshvardhan: Calling all citizens aged 18+ to gear up to get vaccinated against #COVID19 May 1 onwards.

Registrations open up tomor…"
1387046386844147720,ShamikaRavi,2021-04-27 14:10:03,en,1068,285,What is happening in Tamil Nadu? The state has one of the finest public health infrastructure in the country - and… https://t.co/WTPW1FbNbw
1387039690197323779,ShamikaRavi,2021-04-27 13:43:26,en,180,29,This is reassuring. #GetVaccinated if you're eligible! https://t.co/uLImcHgeKn
1387034739962384388,ShamikaRavi,2021-04-27 13:23:46,en,293,28,Thank you #DelhiHighCourt 👍 https://t.co/rVOO7akqre
1386999508282736644,ShamikaRavi,2021-04-27 11:03:46,en,10,0,@aiyannabelly Thank you!
1386944589995536384,ShamikaRavi,2021-04-27 07:25:33,en,0,103,"RT @ShamikaRavi: Growth rate of active cases: 4.9%
(9 consecutive days of decline🤞) https://t.co/wkmUO2a5to"
1386941159163924488,ShamikaRavi,2021-04-27 07:11:55,en,350,117,But not everywhere in the country. Delhi is reporting consistent decline in daily testing. This is leading to long… https://t.co/oN6crx6qYI
1386941153992265731,ShamikaRavi,2021-04-27 07:11:53,en,274,62,Another factor to scrutinise closely is the daily testing: which is rising sharply overall (7 day moving average) https://t.co/slUtz5JxVN
1386941149068230657,ShamikaRavi,2021-04-27 07:11:52,en,261,61,"While we only focus on daily new cases (through new media etc.), it is important to monitor daily recovered cases t… https://t.co/mUDpu6olmq"
1386941143758163968,ShamikaRavi,2021-04-27 07:11:51,en,423,103,"Growth rate of active cases: 4.9%
(9 consecutive days of decline🤞) https://t.co/wkmUO2a5to"
1386936349966553089,ShamikaRavi,2021-04-27 06:52:48,en,355,69,"Eventually, the vaccination drive is not only a race against the virus (which is spreading fast right now) but also… https://t.co/lclH0hqzS1"
1386936344337809408,ShamikaRavi,2021-04-27 06:52:47,en,271,61,"Total doses administered: 142,524,947
First dose: 119,886,252
Second dose: 22,638,695 https://t.co/ShpWNgxydA"
1386936339006853122,ShamikaRavi,2021-04-27 06:52:45,en,251,49,"Total number of people vaccinated: 119,886,252
Male: 62,534,884
Female: 57,335,805
Third gender: 15,563 https://t.co/oyuiVF0rlz"
1386936333608751106,ShamikaRavi,2021-04-27 06:52:44,en,2072,713,"Some analysis on the #VaccinationDrive of #COVID19India 
1) India has vaccinated 35% of the current eligible popula… https://t.co/nU05HaQMm6"
1386886039193612288,ShamikaRavi,2021-04-27 03:32:53,en,15032,5510,"How we judge others - Vs - How we judge ourselves.
Same day! #VIPCulture https://t.co/Y6LXzhTN5j"
