id,username,created_at,lang,favorite_count,retweet_count,text
1389995495116787714,ShekharGupta,2021-05-05 17:28:45,en,30,1,Good idea. Soon enough! https://t.co/3WdHg5XWQG
1389991912749166597,ShekharGupta,2021-05-05 17:14:31,en,62,8,"How China is mocking the Covid-19 situation in India....

‘See, how the Chinese light a fire and how the Indians do… https://t.co/VM0bBE85eR"
1389984613620076546,ShekharGupta,2021-05-05 16:45:31,en,0,12,RT @ThePrintIndia: Mortality rate has gone down drastically among the vaccinated. There hav been rare infections among BMC employees vaccin…
1389981756661452818,ShekharGupta,2021-05-05 16:34:10,en,0,3,"RT @RuhiTewari: How will RBI's funds relief for healthcare help fight Covid?

In #GovernmentMatters with me, @remyanair4 brings in her usua…"
1389978648782934016,ShekharGupta,2021-05-05 16:21:49,en,56,19,"India should brace for a third Covid wave, it is inevitable, scientific advisor to Modi govt warns

Abantika Ghosh… https://t.co/cAcR3gzTXR"
1389977857175089154,ShekharGupta,2021-05-05 16:18:40,hi,49,18,"UP के इस गांव में कोविड से एक के बाद एक हुईं 25 और मौतें, लेकिन ख़ामोश हैं ऑफिशियल डेटा

#ThePrintHealth

दिप्रिंट… https://t.co/e6A4qhlLir"
1389977419121971201,ShekharGupta,2021-05-05 16:16:55,en,164,52,"Tejasvi Surya 'communalises' Covid fight by accusing Muslim volunteers of beds allotment racket

@Rohini_Swamy repo… https://t.co/X4G6y8w0n2"
1389976931798380544,ShekharGupta,2021-05-05 16:14:59,en,0,12,RT @ThePrintIndia: All private hospitals cooperated willingly. Whether you go to a Breach Candy hospital or to any other hospital for Covid…
1389967199289237509,ShekharGupta,2021-05-05 15:36:19,en,80,12,"Govt lab likely to release first batch of Sputnik V next week after quality tests

@ChandnaHimani reports… https://t.co/eUYI70LyeD"
1389965554098655240,ShekharGupta,2021-05-05 15:29:47,en,0,9,"RT @ThePrintIndia: “Setting up ward-level war rooms was a game changer,” @mybmc Commissioner Iqbal Singh Chahal tells @ShekharGupta at #The…"
1389965122911703040,ShekharGupta,2021-05-05 15:28:04,en,0,8,"RT @ThePrintIndia: People rush for ICU beds, but in these 3 lakh cases, only 2,000 people have gone to the ventilator. Almost 86% are asymp…"
1389964416930619394,ShekharGupta,2021-05-05 15:25:15,en,0,52,RT @jyotiyadaav: The Panchayat head of this village claimed that he had distributed 4 masks for each person but the villagers prefer their…
1389964019490910209,ShekharGupta,2021-05-05 15:23:41,en,29,3,Terrific video journalism from the ground @sajid_ali_mir .... https://t.co/8pnAZ9HhY1
1389943001321918470,ShekharGupta,2021-05-05 14:00:10,en,0,27,"RT @sneheshphilip: Jagmohan’s death a personal loss for Kashmiri Pandits. He saved us, became a victim of lies 

Writes @AdityaRajKaul 

ht…"
1389942503583870976,ShekharGupta,2021-05-05 13:58:11,hi,71,28,"UP के इस गांव में कोविड से एक के बाद एक हुईं 25 और मौतें, लेकिन ख़ामोश हैं ऑफिशियल डेटा

#ThePrintHealth

दिप्रिंट… https://t.co/JK05BsDzfY"
1389942373044559876,ShekharGupta,2021-05-05 13:57:40,en,41,6,We are going live in just a few minutes. Pl do tune in https://t.co/dIto99I1fh
1389941675863134210,ShekharGupta,2021-05-05 13:54:54,en,0,252,"RT @RishikaSadam: There is no new/unique strain in #AndhraPradesh, particularly Vizag, and it is NOT 15 times more virulent. Debunking all…"
1389935101744541702,ShekharGupta,2021-05-05 13:28:46,en,30,2,"MVA-BJP blame game begins after SC Maratha quota order, Uddhav nudges PM for ‘speedy decision’

Manasi Phadke… https://t.co/1XqcXEL8DW"
1389923922385129473,ShekharGupta,2021-05-05 12:44:21,en,80,23,"‘Jagmohan’s death a personal loss for Kashmiri Pandits. He saved us, became a victim of lies’

Journalist… https://t.co/UTj54OuCKr"
1389923465877102597,ShekharGupta,2021-05-05 12:42:32,en,55,14,"17 climbers at Mt Everest base camp test Covid positive, raise fears of an outbreak

Tenzin Zompa @Zompaaaa reports… https://t.co/BrtdTBGb5v"
1389923162792415232,ShekharGupta,2021-05-05 12:41:20,en,226,58,"Surprise, surprise, Bihar’s Buxar has 6 ventilators. No surprise: No one to operate them

@jyotiyadaav reports from… https://t.co/viG1jIydXI"
