id,username,created_at,lang,favorite_count,retweet_count,text
1389280065423347719,SteveBPrice,2021-05-03 18:05:53,en,1,0,@chrizmillr @philiplord @michaelrianda It's brilliant.   Watched it with my daughter last night and loved it.  Thank you.
1385252719875723270,SteveBPrice,2021-04-22 15:22:39,en,1,0,@filmsonwax Cheers Charlie!  Hope you're well.
1385252673218392064,SteveBPrice,2021-04-22 15:22:28,en,2,0,@jonbrowntv Thank you Jon!
1385216136086708227,SteveBPrice,2021-04-22 12:57:17,en,1,0,@JediJoeMC Thank you!
1385216097444638720,SteveBPrice,2021-04-22 12:57:08,en,2,0,@AdamKrysinski @SonySoundtracks @VareseSarabande @MilanRecLabel @watertowermusic @ourplanet @BBCEarth Thank you!
1382708246918598662,SteveBPrice,2021-04-15 14:51:50,en,2,0,"@atbarryisland @VOGCouncil @EcoSchoolsWales Looks like some beautiful work is being done.  Well done everyone, and… https://t.co/tobixgVwPp"
1382708012993941505,SteveBPrice,2021-04-15 14:50:54,en,2,0,@JediJoeMC Many thanks!
1379067939886878726,SteveBPrice,2021-04-05 13:46:33,en,0,4,"RT @philharmonia: Two years ago today, Our Planet, @netflix's extraordinary documentary series with David Attenborough dropped worldwide -…"
1371508185115267080,SteveBPrice,2021-03-15 17:06:47,en,50,3,Thrilled to see Over the Moon get an Academy nomination today.  Working with @GlenKeanePrd and the team in scoring… https://t.co/nWVK6YiAUb
1371471122919788545,SteveBPrice,2021-03-15 14:39:31,en,4,0,@DANIELPEMBERTON @celeste @TheAcademy Massive congratulations to you both!
1368210707477626881,SteveBPrice,2021-03-06 14:43:47,en,2,0,@ohman4_BTB Glad it still works!!
1368205762028265474,SteveBPrice,2021-03-06 14:24:08,en,41,3,Ten years!!!! https://t.co/ux2JQbY7Hw
1367185268399349760,SteveBPrice,2021-03-03 18:49:03,en,2,0,@sandravets @ASCAP @DavidALifeFilm Thank you!
1367166148463230977,SteveBPrice,2021-03-03 17:33:05,en,2,0,@AppleMan365 Thank you for the very kind words!
1367165918997082113,SteveBPrice,2021-03-03 17:32:10,en,2,0,@AvonFoerster @ASCAP @DavidALifeFilm Thanks kindly!
1367137671898890244,SteveBPrice,2021-03-03 15:39:55,en,43,0,Thrilled to be nominated in the @ASCAP Composer Choice Awards.  Congratulations to all the nominees. Scoring… https://t.co/Uaa0rbw98L
1364229200480243712,SteveBPrice,2021-02-23 15:02:42,en,0,443,"RT @MickJagger: Tom Harper has directed this short film to celebrate the @RoyalAlbertHall's 150th anniversary, which I was delighted to nar…"
1364180936376651780,SteveBPrice,2021-02-23 11:50:55,en,0,19,"RT @tomharps: We made this film in lockdown, not just about the Royal Albert Hall, but also all the other empty rooms, venues and theatres…"
1364149753488015363,SteveBPrice,2021-02-23 09:47:00,en,67,10,An honour to provide the score for this film celebrating @RoyalAlbertHall  I for one can't wait to be back. https://t.co/JWFaLZBdZu
1362480520563724300,SteveBPrice,2021-02-18 19:14:04,en,7,0,"@mrchriswillis @_DavidFleming Congratulations to you, Chris.  Brilliant score."
1357068079105249291,SteveBPrice,2021-02-03 20:46:57,en,1,0,@SpiderMovies1 @The_SCL Thank you.
1356900818717462531,SteveBPrice,2021-02-03 09:42:19,en,2,0,"@GavinThurston @The_SCL @netflix Thank YOU, sir.  What an amazing job you did."
1356696132089438210,SteveBPrice,2021-02-02 20:08:58,en,2,0,@mcleod_myles @The_SCL @netflix Thank you!
1356629451103211521,SteveBPrice,2021-02-02 15:44:00,en,86,5,Thank you so much to all at @The_SCL for this nomination.  Incredibly proud to have been a contributor to Sir David… https://t.co/LovZcUBwPY
1352565112100581377,SteveBPrice,2021-01-22 10:33:46,en,59,2,I couldn't be more proud of this film...  And I definitely couldn't be more excited about the idea of seeing it in… https://t.co/blFoeWi0k9
1351308246414483456,SteveBPrice,2021-01-18 23:19:26,en,10,0,@davechensky This made my day.  Thank you.
1351160560159752194,SteveBPrice,2021-01-18 13:32:35,en,0,50,"RT @GavRov: Archive drops in the UK today! If you enjoy robots, contemplative sci-fi, and ever wondered what might happen when you die, get…"
1350942005174685701,SteveBPrice,2021-01-17 23:04:07,en,1,0,"@robinparker55 Excellent work.  Our eldest thought it was hilarious to see me squirm, to be fair.  Youngest still f… https://t.co/L1m6AXch4a"
1350940638775283717,SteveBPrice,2021-01-17 22:58:42,en,1,0,@robinparker55 Yep... that caught us out too....
1350140713363791874,SteveBPrice,2021-01-15 18:00:05,en,1,0,"@RHicksMusic @SoundWorksTweet Thanks for listening, Robert!"
1349771789820420097,SteveBPrice,2021-01-14 17:34:06,en,16,0,Very much enjoyed chatting with @SoundWorksTweet about some recently released projects. https://t.co/myDACrohuo
1348768737911050244,SteveBPrice,2021-01-11 23:08:20,en,2,0,@FrontlineFire @GavRov Thank you Matthew!
1348768614015528960,SteveBPrice,2021-01-11 23:07:51,en,6,0,@DANIELPEMBERTON is as kind as he is brilliant.  Thank you sir. https://t.co/aTeNNzmLFN
1348724754283376645,SteveBPrice,2021-01-11 20:13:34,en,0,32,RT @GavRov: Seven days to go UK! https://t.co/HFaNcz3RuW
1346838669672534023,SteveBPrice,2021-01-06 15:18:56,en,0,82,RT @edgarwright: I'm excited for you to see it... #LastNightInSoho https://t.co/6SyBWFYeLW
1346102701860511747,SteveBPrice,2021-01-04 14:34:28,en,2,0,"@jonniehughes @ElizaRoseFlute Seconded!  Many thanks @ElizaRoseFlute , and Happy New Year to you both."
1345835719487533056,SteveBPrice,2021-01-03 20:53:34,en,2,0,@Al3xand3r_ACH Those decisions were absolutely nothing to do with me.  I just wrote the original score.  Thanks for… https://t.co/jN6zlGBglg
1345802269116289027,SteveBPrice,2021-01-03 18:40:39,en,3,0,@lorlyjane @IAmTheEggPod @BBCSounds This was absolutely wonderful.  Loved every second.  Thank you.
1344952961890476032,SteveBPrice,2021-01-01 10:25:48,en,1,0,"@frankilfman And to you, sir"
1344799206645653505,SteveBPrice,2021-01-01 00:14:50,en,62,2,"Wishing a happy, kind, and healthy New Year to you all.  Here’s to better times ahead."
1343936199103303680,SteveBPrice,2020-12-29 15:05:33,en,2,0,@Howard_Goodall And to you Howard.  And a huge thank you for your work in bringing clarity and detail to this.
1343934118812381185,SteveBPrice,2020-12-29 14:57:17,en,7,0,"Brilliant, important thread.  What a mess we now find ourselves in. https://t.co/dS7L4XWyOr"
1341853419284426756,SteveBPrice,2020-12-23 21:09:20,en,11,0,Thank you to all @oldvictheatre and @jackthorne for making it possible to continue our  #TheChristmasCarol family t… https://t.co/rg8NVuGybS
1341018091648593921,SteveBPrice,2020-12-21 13:50:02,en,2,0,"@mcleod_myles Isn't it just.  Feels like the right man is directing it.  I mean, his cutting room looks like a Beatles museum/shrine."
1341017879278444544,SteveBPrice,2020-12-21 13:49:11,en,2,0,"@mikegeorgiades Exciting, isn't it?  Just full of joy."
1340956296003145729,SteveBPrice,2020-12-21 09:44:29,en,16,2,Well this is a lovely thing to see... can't wait for the full movie next year.  Hopefully in a cinema with the musi… https://t.co/85LPiZiYE5
1339299461244350471,SteveBPrice,2020-12-16 20:00:49,en,3,0,@TheFilmScorer @NetflixFilm @AdamHalogen @Lustmord @ImChrisYoung @possessormovie @SonySoundtracks @LakeshoreRecs Th… https://t.co/mLIk3VnxGB
1337167025123233792,SteveBPrice,2020-12-10 22:47:16,en,2,0,@simonlincs Loved doing that podcast!  Glad you enjoyed it.
1335710932715122695,SteveBPrice,2020-12-06 22:21:17,en,1,0,@JediJoeMC @Spotify Thank you for listening and for all of the support this year.  Much appreciated!
1335706906493657089,SteveBPrice,2020-12-06 22:05:17,en,2,0,@jackthorne Happy Birthday to you!
1334931599868227585,SteveBPrice,2020-12-04 18:44:29,en,2,0,@mcleod_myles Thanks Myles!  All the best to you.
1334931446142803968,SteveBPrice,2020-12-04 18:43:53,en,2,0,@lilliepharris Thanks Lillie.  Hope you're doing well!
1334459047853105153,SteveBPrice,2020-12-03 11:26:44,en,3,0,@theatreStephie @Spotify Thank you for listening!
1334434454346063874,SteveBPrice,2020-12-03 09:49:01,en,2,0,@RAJ_RPATEL @Spotify Thank you for listening!
1332000482521473024,SteveBPrice,2020-11-26 16:37:17,en,5,0,@ohman4_BTB @ArchiveTheMovie Very glad you enjoyed it!
1331286312352092165,SteveBPrice,2020-11-24 17:19:25,en,9,0,I very much endorse this message.  Congrats DP! https://t.co/XKWtxVBXfr
1331283497059807234,SteveBPrice,2020-11-24 17:08:14,en,2,0,@jonburlingame @DANIELPEMBERTON Thank you Jon!
1328349868226727938,SteveBPrice,2020-11-16 14:51:02,en,1,0,"@Ibpsack I'd like to get them out one day, yes... maybe an anniversary release down the line?  No plans at the moment though, I'm afraid."
1327315983925719040,SteveBPrice,2020-11-13 18:22:45,en,2,0,"@Kwokwokwokwok Thanks for listening, Chloe!"
1325754747618516992,SteveBPrice,2020-11-09 10:58:57,en,2,0,@mistreatedme Yes.  Sorry!
1325107334654418944,SteveBPrice,2020-11-07 16:06:22,en,23,3,Loved doing this podcast.  @soundtrackinguk is brilliant... @edibow  is such an amazing supporter of music for film… https://t.co/MilZFLIfIT
1324770133441740801,SteveBPrice,2020-11-06 17:46:27,en,7,0,Glad to see @GavRov's great film coming to the UK in early 2021! https://t.co/RYs3g2NAUt
1324381107530420225,SteveBPrice,2020-11-05 16:00:36,en,12,1,Nice piece about my score for Over The Moon... thank you @flickeringmyth and @frontage2 https://t.co/7l8sGHrjIg
1324324923217686530,SteveBPrice,2020-11-05 12:17:21,en,1,0,"@EdwardPatrickW1 @DavidALifeFilm Still can't quite believe it happened, tbh.  Hope you're good, sir."
1324280372029513729,SteveBPrice,2020-11-05 09:20:19,en,2,0,@frontage2 @londoncritics @collegefilm @_Andrea_Ricca @Legacycorp @DrinkintheMovie Thank you Martin... was great to speak with you!
1324129060298100743,SteveBPrice,2020-11-04 23:19:03,en,10,0,@jonburlingame A beautiful piece about a wonderful person.  A huge loss.
1324118127827890177,SteveBPrice,2020-11-04 22:35:37,en,3,0,@erranbc @DavidALifeFilm Thank you sir... and congrats on your latest !  Loved it.
1324101611757752321,SteveBPrice,2020-11-04 21:29:59,en,3,0,"@jonniehughes Lovely bit of footage.  Made my day!  Hope you’re well, sir."
1324041386522480643,SteveBPrice,2020-11-04 17:30:40,en,1,0,@_dankeen @DavidALifeFilm Thank you Dan... much appreciated!
1324041320026046472,SteveBPrice,2020-11-04 17:30:24,en,0,0,@SusanBrodie17 @AbbeyRoad @DavidALifeFilm @wwf_uk Thank you.
1324020530316529666,SteveBPrice,2020-11-04 16:07:48,en,18,4,... and here's how the piece he was listening to turned out in the end!  https://t.co/0oaWV0XRKP
1324014994502144002,SteveBPrice,2020-11-04 15:45:48,en,89,8,"I had no idea this moment had been filmed...  What a day it was.  Please, if you can, watch @DavidALifeFilm on Netf… https://t.co/sZB6dYqhZX"
1322893472114888706,SteveBPrice,2020-11-01 13:29:16,en,3,0,@AdamKrysinski @BBCEarth @SonySoundtracks Thank you Adam... five years!?!!
1322305474067419137,SteveBPrice,2020-10-30 22:32:46,en,1,0,@TaniaEsteban_ @GlenKeanePrd Hi Tania!  Glad you enjoyed it!  Hope you’re very well.
1321749369096409088,SteveBPrice,2020-10-29 09:43:01,nl,1,0,@buckingabout Congrats Nigel!
1321509092188368897,SteveBPrice,2020-10-28 17:48:14,en,0,0,@ClareOwensMusic Thank you!  Much appreciated!
1321496054680924160,SteveBPrice,2020-10-28 16:56:26,en,2,0,@AndriaMoore2 It was lovely to talk with you Andria.  Thank you!
1320287012092579840,SteveBPrice,2020-10-25 08:52:08,en,2,0,@carolkuswanto Thank you Carol!
1319891015122227200,SteveBPrice,2020-10-24 06:38:35,en,3,0,@edibow What a lovely start to the day.  Thank you for watching! Sx
1319887985534554112,SteveBPrice,2020-10-24 06:26:32,en,10,0,@CLennertz Thanks so much sir.  Means a huge amount to hear that from you.  Thanks for watching and all the best to you and yours.
1319717339504562181,SteveBPrice,2020-10-23 19:08:27,en,1,0,@EdwardPatrickW1 Cheers sir!  Hope you and yours are keeping well.
1319670361710014466,SteveBPrice,2020-10-23 16:01:47,en,1,0,@mcleod_myles Cheers Myles!  Have a good weekend.
1319668334149931015,SteveBPrice,2020-10-23 15:53:43,en,35,3,New music released today!  The Over the Moon Soundtrack can be found in the following places...… https://t.co/QHQ8jY6dYH
1319592657203712001,SteveBPrice,2020-10-23 10:53:00,en,1,0,@grantolding @GlenKeanePrd Thank you Grant... It was a lovely project to work on.  Hope all's as well as can be wit… https://t.co/btGKJRuSRc
1319591040307896321,SteveBPrice,2020-10-23 10:46:35,en,70,9,Out today on Netflix!  I wrote the score to this beautiful animated movie from @GlenKeanePrd.  The soundtrack is al… https://t.co/Gzkk6dSKad
1319573482942902272,SteveBPrice,2020-10-23 09:36:49,en,1,0,@chazharris Thank YOU for watching / listening
