id,username,created_at,lang,favorite_count,retweet_count,text
1390071845517283332,ToastedChels,2021-05-05 22:32:08,it,1,0,@FabrizioRomano Pessi news?
1390068046467899393,ToastedChels,2021-05-05 22:17:03,en,8,0,@goal Better than pessi
1390060682167693317,ToastedChels,2021-05-05 21:47:47,en,46,0,@goal Better than pessi
1390058358565183489,ToastedChels,2021-05-05 21:38:33,en,7,0,@goal Better than pessi
1390058219960250372,ToastedChels,2021-05-05 21:38:00,en,28,0,@TimoWerner @ChelseaFC Better than pessi
1390034003139387392,ToastedChels,2021-05-05 20:01:46,en,8,0,@KSI Won’t buy
1390025682105905153,ToastedChels,2021-05-05 19:28:42,en,0,0,@Jay_RMA Fuck offf😂😂😂
1390008961982681093,ToastedChels,2021-05-05 18:22:16,en,21,0,@goal Not pessi
1390008170546962436,ToastedChels,2021-05-05 18:19:07,en,0,0,@ChampionsLeague @ChelseaFC Not pessi
1390002434576031745,ToastedChels,2021-05-05 17:56:20,en,1,0,@goal Better than pessi
1389993402108841988,ToastedChels,2021-05-05 17:20:26,und,2,0,@ckaay_13 @Jay_RMA https://t.co/7VxBAiy3zB
1389991691331936256,ToastedChels,2021-05-05 17:13:38,en,5,0,@goal Better than pessi
1389976998764851204,ToastedChels,2021-05-05 16:15:15,en,5,0,"@ChampionsLeague @PlayStationEU Every day, Pessi gets exposed. Every day we get closer and closer to our goal of ex… https://t.co/aStNoj87qn"
1389971492457299973,ToastedChels,2021-05-05 15:53:22,en,26,0,@Schule7i Greatest of all time in my books
1389908846634745860,ToastedChels,2021-05-05 11:44:26,en,5,0,@goal Better than pessi
1389868266827313157,ToastedChels,2021-05-05 09:03:11,en,4,0,@goal @Raul_Jimenez9 Better than pessi
1389818421039271941,ToastedChels,2021-05-05 05:45:07,en,2,0,@goal Better than pessi
1389704976964915203,ToastedChels,2021-05-04 22:14:20,en,4,0,@goal Farmers league
1389695326336872448,ToastedChels,2021-05-04 21:35:59,en,0,0,@FCBarcelona Pessi is finished
1389686913678839813,ToastedChels,2021-05-04 21:02:34,en,39,1,@whoisaddison U need a JOB
1389685034206961665,ToastedChels,2021-05-04 20:55:05,en,16,0,@goal Losing to chelsea
1389683446583201793,ToastedChels,2021-05-04 20:48:47,und,1,0,@_CFMoe 😭😭
1389683135076474882,ToastedChels,2021-05-04 20:47:33,en,0,0,@amitrmfc Own goal😹😹
1389680893980258307,ToastedChels,2021-05-04 20:38:38,und,0,0,@ftbllew Add
1389678829023600641,ToastedChels,2021-05-04 20:30:26,en,0,0,@goal Better than pessi
1389676759549886478,ToastedChels,2021-05-04 20:22:13,en,1,0,@Jay_RMA Come back to me when Neymar does this https://t.co/c9OvId1OuS
1389676463612383242,ToastedChels,2021-05-04 20:21:02,en,1,0,@Jay_RMA Hazard is clear
1389667234902069253,ToastedChels,2021-05-04 19:44:22,en,2,0,@goal Pessi is finished
1389664653685391360,ToastedChels,2021-05-04 19:34:06,und,1,0,@dixiedamelio JOB
1389659820018393091,ToastedChels,2021-05-04 19:14:54,en,2,0,@goal Better than pessi
