id,username,created_at,lang,favorite_count,retweet_count,text
1389998461341286403,Wake_Up_Mitron,2021-05-05 17:40:32,en,1,0,"Sorry mitron, space crashed!🥸"
1389970150296797190,Wake_Up_Mitron,2021-05-05 15:48:02,hi,7,2,पहले दूसरी लहर से बचे इंसान तब तो तीसरी लहर की तैयारी करे। https://t.co/SZpbucO5Cg
1389953560499081220,Wake_Up_Mitron,2021-05-05 14:42:07,hi,0,1734,"RT @varungrover: क्या ग़ुबारे, कैंची, और रिबन हमारे संस्कारों पर पश्चिमी सभ्यता का हमला नहीं माना जाता है? https://t.co/7Z94451nOI"
1389930567953698820,Wake_Up_Mitron,2021-05-05 13:10:45,en,0,29,RT @CatWomaniya: This is what Tejasvi Surya is doing in the middle of a deadly pandemic. https://t.co/l8kcYhoBqT
1389927042808958981,Wake_Up_Mitron,2021-05-05 12:56:45,en,0,514,RT @kapsology: Name one Prime Minister or President of any democracy in the world who has not taken questions from media during this pandem…
1389910726131818497,Wake_Up_Mitron,2021-05-05 11:51:55,en,0,51,RT @ndtv: High rise societies in Ghaziabad have become #COVID19 hotspots. NDTV's Saurabh Shukla reports https://t.co/nzxFKnDLJy
1389906977850109955,Wake_Up_Mitron,2021-05-05 11:37:01,en,2,0,Aur jao sab Goa!! https://t.co/C7AQMrtY1C
1389906844227981323,Wake_Up_Mitron,2021-05-05 11:36:29,en,0,170,"RT @ndtv: Third Wave Inevitable: Grim Warning From Government's Scientific Adviser https://t.co/mmjjCl8932

#COVID19 https://t.co/MqwPuzdEMu"
1389897192010395648,Wake_Up_Mitron,2021-05-05 10:58:08,en,1,0,"@itsallryt you will be totally fine, rest well and stay hydrated, matter of 2-3 days."
1389896457537343489,Wake_Up_Mitron,2021-05-05 10:55:13,en,0,0,"@itsallryt how are you feeling? mild fever hai to don't worry, just check oxygen level and stay in touch with docto… https://t.co/YAQyPkOW2I"
1389895937162678273,Wake_Up_Mitron,2021-05-05 10:53:09,hi,4,0,@Aam_Nationalist @hallagullaboy Inhone pahle hi lagwa liya tha jab 60+ ko de rahe the
1389894493361647618,Wake_Up_Mitron,2021-05-05 10:47:24,en,0,255,RT @kapsology: World media on Modi made COVID disaster https://t.co/95WxNoNQPs
1389892604058288132,Wake_Up_Mitron,2021-05-05 10:39:54,en,38,27,Post West Bengal loss - guns are out in open in BJP. Hardcore BJP supporters are trending #SpinelessBJP and blaming… https://t.co/BPuRGKgRZj
1389884507751424001,Wake_Up_Mitron,2021-05-05 10:07:44,en,0,50,"RT @ndtv: Delhi Police ASI, stationed at Lodhi Road Crematorium, helps in cremation of people who died due to COVID. ""I have helped nearly…"
1389881849531535365,Wake_Up_Mitron,2021-05-05 09:57:10,en,4,0,"@Aam_Nationalist @KolkataPolice @MrsGandhi @MumbaiPolice @JoeBiden Her husband is omnipresent, how can he miss this opportunity?"
1389879997331087362,Wake_Up_Mitron,2021-05-05 09:49:48,hi,2,0,@AKPandey89 @KolkataPolice @MrsGandhi @MumbaiPolice @JoeBiden khud aayega airport😹😹 https://t.co/s6fZePxnHo
1389879262296121344,Wake_Up_Mitron,2021-05-05 09:46:53,en,86,39,"Great job @KolkataPolice. This lady @MrsGandhi is perpetual offender, arrest her immediately. If she is in Mumbai t… https://t.co/QAHtPSPVX9"
1389876505384210433,Wake_Up_Mitron,2021-05-05 09:35:56,hi,8,2,@Aam_Nationalist Kuchh bahut bada pak raha hai! Ya to BJP pe sankat aane wali hai yae phir desh pe! 😐
1389875358997045248,Wake_Up_Mitron,2021-05-05 09:31:22,en,1,0,@AKPandey89 Great news. Ask her for good rest for few weeks.
1389873393454002177,Wake_Up_Mitron,2021-05-05 09:23:34,en,0,64,RT @ANI: West Bengal CM Mamata Banerjee reinstates IPS officer Virendra as Bengal DGP. Jawed Shamim reinstated as ADG Law and Order. EC app…
1389873346221912066,Wake_Up_Mitron,2021-05-05 09:23:22,hi,0,38,RT @Aam_Nationalist: आज से नहीं चल पाएगा क्योंकि आज से पुलिस का कन्ट्रोल इनके हाथ से निकल जायेगा.... और अगर पुलिस चाहे तो 24 घंटे से ज्यादा…
1389872069718982658,Wake_Up_Mitron,2021-05-05 09:18:18,en,0,31,"RT @Ikumar7: Urgent #SOSDelhi - Injection needed! 

Patients name- Mrs. Sarita 
Age- 49 years 
Admitted in Human Care Medical Charitable Tr…"
1389872000286531584,Wake_Up_Mitron,2021-05-05 09:18:02,en,23,3,@raghav_chadha Great job Raghav by putting this in public domain for full transparency while trying your best to me… https://t.co/fxUeeOA5cK
1389871646857646082,Wake_Up_Mitron,2021-05-05 09:16:37,en,0,371,RT @raghav_chadha: Delhi's oxygen bulletin for 4th of May 2021 https://t.co/2UYTmDAPsN
1389870704489861123,Wake_Up_Mitron,2021-05-05 09:12:53,hi,3,0,"@divya_amanna @Aam_Nationalist haan hamesha mujhe call karti rehti hain, ek baar inko bhi kar lijiye"
1389869358709608448,Wake_Up_Mitron,2021-05-05 09:07:32,und,1,0,@Jha__Pooja 😂😂
1389869006593667073,Wake_Up_Mitron,2021-05-05 09:06:08,hi,5,0,"@Jha__Pooja Kaagaz ki kashti hai aur baarish ka zamana hai..... 
Chhoti ganga bol kar bhakton ko gande naale mein nahana hai...."
1389868843103838209,Wake_Up_Mitron,2021-05-05 09:05:29,hi,0,18,RT @Jha__Pooja: Kaagaz ki kashti hai aur baarish ka zamana hai..... https://t.co/1NLY5j6NVx
1389867236425445376,Wake_Up_Mitron,2021-05-05 08:59:06,en,11,12,"Indian Tax Payer's money is being used for
-Central Vista: 20,000 crores
-Sardar Patel Statue: 3000 crores
-PM Modi… https://t.co/3HP7iTLmM4"
1389694088040099843,Wake_Up_Mitron,2021-05-04 21:31:04,en,0,18,RT @ndtv: #IPL2021 Postponed After Several Players Test Positive For #COVID19 https://t.co/uSeUx382f9 https://t.co/efCC8CKh2H
1389681851237797896,Wake_Up_Mitron,2021-05-04 20:42:27,en,0,701,RT @appurv_gupta: A Request and An Appeal 🙏🏻🙏🏻 https://t.co/mJQrKLlKQa
1389676821617197056,Wake_Up_Mitron,2021-05-04 20:22:27,hi,0,1112,"RT @AmarUjalaNews: संकट: ऑक्सीजन की कमी से मर रहे लोग, बत्रा हॉस्पिटल के चीफ बोले- पता नहीं देश कौन चला रहा
#CoronavirusIndia #Oxigenindia…"
1389676499930910725,Wake_Up_Mitron,2021-05-04 20:21:11,hi,0,0,@DesiRaj78593628 I'm aatm-nirbhar
1389676429806239747,Wake_Up_Mitron,2021-05-04 20:20:54,hi,0,0,@narangi_khatmal chai ke saath dhokha?
1389672064378970118,Wake_Up_Mitron,2021-05-04 20:03:33,hi,6,0,So gaye mitron?
1389652377423208450,Wake_Up_Mitron,2021-05-04 18:45:19,und,1,0,@bawari_kudi 😭
1389650313184006150,Wake_Up_Mitron,2021-05-04 18:37:07,hi,2,0,@Being_Sanskaari Yogi ji kuchh bol rahe hain 😭😂
1389649443964833795,Wake_Up_Mitron,2021-05-04 18:33:40,en,59,25,Please spare 2 minutes and enlighten yourself! Don’t miss the end!!!🙏😂😂 https://t.co/5trlSIoLVk
1389620619923369986,Wake_Up_Mitron,2021-05-04 16:39:08,en,59,13,I love the way she hits back to this fattu BJP goons. Way to go @MahuaMoitra!👍 https://t.co/4BmQTTPepb
1389617703594438660,Wake_Up_Mitron,2021-05-04 16:27:33,en,15,7,"Who is he?
-Ex-CM and senior BJP leader

Which party's govt is in centre?
-BJP

PM and HM is from which party?
-BJP… https://t.co/xt5XfEb4VG"
