id,username,created_at,lang,favorite_count,retweet_count,text
1390120210498310151,WtephenWurrySZN,2021-05-06 01:44:20,en,1,0,"@danicakaiab @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Hacked sadly, photoshop"
1390120138565996545,WtephenWurrySZN,2021-05-06 01:44:02,en,2,0,@NBA Team player
1390120093619822595,WtephenWurrySZN,2021-05-06 01:43:52,en,0,0,@spiritualkai @mateosaga_ @Peaceful_Kai @KyrieCapalot @bryan_toop I approve sadly
1390119978318405633,WtephenWurrySZN,2021-05-06 01:43:24,und,0,0,@danicakaiab @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Ren*
1390119949616754690,WtephenWurrySZN,2021-05-06 01:43:17,en,0,0,@danicakaiab @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ We gonna talk about how my spouse is not ten
1390119884701552640,WtephenWurrySZN,2021-05-06 01:43:02,en,1,0,@Lakerssuck10 @Ba5icallyKanye @TheHoopCentral @DaneMooreNBA Own that bozo
1390119777620930563,WtephenWurrySZN,2021-05-06 01:42:36,und,1,0,@mateosaga_ @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop OWN
1390119741113741313,WtephenWurrySZN,2021-05-06 01:42:28,en,0,0,@bryan_toop @spiritualkai @Peaceful_Kai @KyrieCapalot @mateosaga_ Good
1390119442135359488,WtephenWurrySZN,2021-05-06 01:41:16,und,1,0,@spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Ok😡😡😡😡
1390118205125971974,WtephenWurrySZN,2021-05-06 01:36:21,en,1,0,@spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Wassup
1390118160775348227,WtephenWurrySZN,2021-05-06 01:36:11,en,1,0,"@mateosaga_ @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop Good, about to log off"
1390117700186345472,WtephenWurrySZN,2021-05-06 01:34:21,en,1,0,@bryan_toop @KyrieCapalot @spiritualkai @mateosaga_ @Peaceful_Kai Sure
1390117676610097154,WtephenWurrySZN,2021-05-06 01:34:15,und,3,0,@mateosaga_ @spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop Yo
1390117602878492681,WtephenWurrySZN,2021-05-06 01:33:58,und,2,0,@spiritualkai @Peaceful_Kai @KyrieCapalot @bryan_toop @mateosaga_ Heyyyyyyy
1390114010545147904,WtephenWurrySZN,2021-05-06 01:19:41,und,2,0,@BealBurner3 @mateosaga_ @RenCruzi W
1390113888176328704,WtephenWurrySZN,2021-05-06 01:19:12,en,1,0,@PamiBetter @Jose34131062 @TheNBACentral Ratio then
1390113833855995909,WtephenWurrySZN,2021-05-06 01:18:59,und,1,0,@RogerExplainer @mateosaga_ @RenCruzi W
1390113815484903427,WtephenWurrySZN,2021-05-06 01:18:55,en,1,0,@mateosaga_ @RenCruzi W babe I’ll make sure to do that when u at 3.8k
1390113729195479046,WtephenWurrySZN,2021-05-06 01:18:34,en,0,0,@mateosaga_ @RenCruzi I have since 1k
1390113272175673344,WtephenWurrySZN,2021-05-06 01:16:45,en,1,0,@mateosaga_ @RenCruzi Possibly 😳
1390113229054021636,WtephenWurrySZN,2021-05-06 01:16:35,und,1,0,@mateosaga_ @RenCruzi W
1390113164021338118,WtephenWurrySZN,2021-05-06 01:16:20,en,6,0,@TheNBACentral Underrated
1390113127090503682,WtephenWurrySZN,2021-05-06 01:16:11,en,1,0,@mateosaga_ @RenCruzi No one has my notis on anyways
1390113078398816260,WtephenWurrySZN,2021-05-06 01:15:59,und,1,0,@mateosaga_ @RenCruzi https://t.co/2cv2idsCDq
1390112869874868224,WtephenWurrySZN,2021-05-06 01:15:09,en,3,0,"@mateosaga_ @RenCruzi -shouted me out and I gradually gained 40 followers, W bae in my 📚"
1390112663515148294,WtephenWurrySZN,2021-05-06 01:14:20,tr,2,0,@mvpjmk @BleacherReport Banger wmk
1390101979892961280,WtephenWurrySZN,2021-05-06 00:31:53,en,1,0,@Giannis34SZN what if I love Giannis
1390097760964198403,WtephenWurrySZN,2021-05-06 00:15:07,en,2,0,@whoscreep back on trolling
1390097361188364288,WtephenWurrySZN,2021-05-06 00:13:32,en,2,0,@washedbev @espn rare W
1390097323359981568,WtephenWurrySZN,2021-05-06 00:13:23,en,4,0,@espn didnt ask sadly
1390096373694058501,WtephenWurrySZN,2021-05-06 00:09:36,en,1,0,@hatingkimani24 @honestfan252v2 @BleacherReport common W
1390096265900404743,WtephenWurrySZN,2021-05-06 00:09:11,en,6,0,@monte284729 @BleacherReport understandable but I would never slander westgoat
1390096160136773634,WtephenWurrySZN,2021-05-06 00:08:45,en,0,0,@honestfan252v2 @BleacherReport 37 on 50-45-90 is a pretty good note imo
1390096022324535301,WtephenWurrySZN,2021-05-06 00:08:13,und,39,0,@monte284729 @BleacherReport .
1390096010379202567,WtephenWurrySZN,2021-05-06 00:08:10,en,0,0,@BleacherReport there is a reason he is from oakland
1390095391832616964,WtephenWurrySZN,2021-05-06 00:05:42,en,8,0,@FlamesNBA21 he was on Twitter today 100%
1390094563017207810,WtephenWurrySZN,2021-05-06 00:02:25,en,1,0,@GoatedLillard W then
1390094486378778629,WtephenWurrySZN,2021-05-06 00:02:06,en,0,0,@FvvIsaGoat @warriors @NBA @StephenCurry30 respect
1390094058178101249,WtephenWurrySZN,2021-05-06 00:00:24,ht,1,0,@Dame_Wrld LMAOOOOO
1390093947679219717,WtephenWurrySZN,2021-05-05 23:59:58,en,22,0,"@warriors @NBA @StephenCurry30 not surprised, my goat"
