id,username,created_at,lang,favorite_count,retweet_count,text
1390061508059549699,YeshwantChitte,2021-05-05 21:51:04,en,1,0,@KING__Ro45 Count me in.
1390060123226132483,YeshwantChitte,2021-05-05 21:45:34,en,0,25,"RT @Tennis: ""When you make a salad and you are putting ingredients inside the salad, he has plenty of ingredients to become a great player.…"
1390058973315751937,YeshwantChitte,2021-05-05 21:40:59,en,2,0,@ADSutherland_ Your reply was just 🔥🔥 especially the last line.
1390058027730890752,YeshwantChitte,2021-05-05 21:37:14,en,0,126,RT @ADSutherland_: @piersmorgan I was once stood up by a woman who wasn't interested in me Piers. I accepted it and got on with life. I did…
1390042888885604353,YeshwantChitte,2021-05-05 20:37:05,en,0,40,"RT @NatalieGermanos: I would like to help any aspiring commentators 
If you need any tips or maybe just someone to talk to - I am here
Its…"
1390038362111700992,YeshwantChitte,2021-05-05 20:19:05,en,0,42,RT @The_Sleigher: @Rohits_warrior_ I hate RCB because I'm MI fan I hate CSK because I'm human
1390037788741967876,YeshwantChitte,2021-05-05 20:16:49,en,0,67,"RT @Petra_Kvitova: Too good today @ashbarty 👏  

Proud of my tournament here in Madrid - hasta la proxima! 🇪🇸

@MutuaMadridOpen https://t.c…"
1390035656072597507,YeshwantChitte,2021-05-05 20:08:20,en,3,1,Steve Waugh then gave a piece of it to Marlon Samuels after Samuels insisted Waugh that he needed some luck in 2001… https://t.co/cotu0D0om6
1390025267687526405,YeshwantChitte,2021-05-05 19:27:03,und,0,10,RT @Petra_Kvitova: @ashbarty 🙏🤗
1390025224507203586,YeshwantChitte,2021-05-05 19:26:53,en,0,66,"RT @ashbarty: Always a pleasure, my friend ✨ @Petra_Kvitova https://t.co/3iFuw7tsjh"
1390015933180043264,YeshwantChitte,2021-05-05 18:49:58,no,0,82,"RT @jhumkawali: #Mumbai 
⚠️ FRAUD ALERT 🚨 https://t.co/Oga0uH2eY8"
1390014919244845057,YeshwantChitte,2021-05-05 18:45:56,en,0,100,RT @MOU53RAT: Any kind soul be willing to donate plasma in Thane by tomorrow? Blood Group A+ve. Please DM me for details
1390013873088917506,YeshwantChitte,2021-05-05 18:41:47,en,0,826,"RT @DaleSteyn62: The band playing, sea breeze over the left shoulder, little reverse swing, recipe for disaster for any batting team. https…"
1390013265497919489,YeshwantChitte,2021-05-05 18:39:22,en,0,0,Happy Birthday🎂@SabalenkaA. Wish you have great success as a singles player in the coming tournaments. Blessed be.❤️ https://t.co/vfFrhnKfeI
1390011016591802368,YeshwantChitte,2021-05-05 18:30:26,und,1,0,🤣🤣🤣🤣 https://t.co/xFKQDtY2eF
1390001285789749248,YeshwantChitte,2021-05-05 17:51:46,en,1,0,@RituD307 @Petra_Kvitova @ashbarty Same. Ash in other matches.
1390000183119806469,YeshwantChitte,2021-05-05 17:47:23,en,0,4533,RT @josbuttler: India is a special country going through a very difficult time. Thank you for welcoming me and my family like you always do…
1390000106145865730,YeshwantChitte,2021-05-05 17:47:04,es,0,160,"RT @MutuaMadridOpen: ""No te la comas toda"" 🎂😂

¡Cumpleaños feliz, Carlos! 😘

@alcarazcarlos03 | @RafaelNadal | #MMOPEN https://t.co/GZHR5PO…"
1389999715698110465,YeshwantChitte,2021-05-05 17:45:31,en,0,24,"RT @AminulI02758757: Boss @ABdeVilliers17 💙💖💚❤️
#AbDevillers 
@AbdeFansTrends 
@RezaAhm14537503 
@Rezaahm20162243 https://t.co/0eeythwALG"
1389998379615232001,YeshwantChitte,2021-05-05 17:40:13,en,1,0,@RituD307 @Petra_Kvitova @ashbarty Whom do you support when two play? Me Petra.
1389979103550349316,YeshwantChitte,2021-05-05 16:23:37,pl,0,140,"RT @iga_swiatek: Jakiś czas temu, w trochę innym wydaniu. Dla odmiany... 

Some time ago, in different style than usual...

#casual

📸 K.Mi…"
1389978458579619840,YeshwantChitte,2021-05-05 16:21:03,en,0,1,"RT @tennis_gifs: @NastiaPav Super chill match, huh ? 😅👏

https://t.co/We10P7xIeH"
1389975058756497412,YeshwantChitte,2021-05-05 16:07:33,en,0,115,"RT @MemewalaS: *🩸Plasma Emergency Requirement 🩸* 

*Patient Name:- Suguna Devi*

       *Plasma Blood Group :- 🅰️➕Ve. Plasma* 

*Hospital N…"
1389967731294818304,YeshwantChitte,2021-05-05 15:38:26,en,0,11,RT @Fancricket12: This is interesting. https://t.co/zTZD8a7u61 via @cricbuzz
1389967262346465280,YeshwantChitte,2021-05-05 15:36:34,en,0,357,"RT @CrickeTendulkar: In 2005: Teenage Piyush Chawala Dismissed Sachin By Googly.

2006: This happened when Chawala met @sachin_rt Again.🤯…"
1389966809273487363,YeshwantChitte,2021-05-05 15:34:46,en,0,119,"RT @TennisTV: A sweet ending 🎂

@alcarazcarlos03 is joined by @feliciano_lopez and @RafaelNadal to share his 18th birthday cake! 🤗

#MMOpen…"
1389966163229118466,YeshwantChitte,2021-05-05 15:32:12,en,0,20,"RT @WTA_insider: ""It is the best moment of my career without a doubt.""

Paula Badosa in Spanish press, on her journey from winning 2015 Rol…"
1389965303635869697,YeshwantChitte,2021-05-05 15:28:47,en,0,3,"RT @tennis_gifs: ""Wait. I'm not done eating from the changeover"" 

#Pavlyuchenkova #MMOpen #notrealquote https://t.co/axJP6rPEtq"
1389965147498696712,YeshwantChitte,2021-05-05 15:28:10,hi,1,0,@siyaagrawal18 Space kab se tha? Mein aaya aur band ho gaya.
1389957815431663621,YeshwantChitte,2021-05-05 14:59:02,et,1,0,"@doublecentury45 @Pri45_ Tweet thode hi serious tha, maine toh aise hi tera last reply dekha, aur uska naam liya."
1389956844378935297,YeshwantChitte,2021-05-05 14:55:10,de,0,0,"@InsideOutLoftSM Par mere sab aate rehenge, Women, Men, Tennis."
1389956473568980992,YeshwantChitte,2021-05-05 14:53:42,en,0,0,@SpiderMannie__ Use Words cautiously.
1389954575784841216,YeshwantChitte,2021-05-05 14:46:09,en,1,0,"@RyanIke4 Not a fan, sorry Virat."
1389954328857780227,YeshwantChitte,2021-05-05 14:45:10,und,0,0,@im_akash196 @AnejaDevang @4 @sreelekha183 😂😂
1389953855849320450,YeshwantChitte,2021-05-05 14:43:17,en,0,134,"RT @SunaliniMathew: Recieved from @Hemkunt_Fdn: Sonu Verma, age 35, SPO2 level 58 with oxygen, urgently needs an ICU bed in and around Delh…"
1389953705479327744,YeshwantChitte,2021-05-05 14:42:42,mr,0,881,RT @SVTMumbai: 🙏गणपती बाप्पा मोरया 🌺 मंगलमूर्ती मोरया 🙏 ०५/०५/२०२१ https://t.co/kARxoHWoSP
1389952476313395204,YeshwantChitte,2021-05-05 14:37:49,en,0,293,RT @Puneite_: This is ridiculous. How can the BCCI be so careless ffs. https://t.co/1AAJcrAaVl
1389951966118256647,YeshwantChitte,2021-05-05 14:35:47,en,0,0,"@roshni45_ No excuse then, better cover next time."
1389951545442144258,YeshwantChitte,2021-05-05 14:34:07,en,0,0,@roshni45_ Forgot or under prepared?
1389950909568876545,YeshwantChitte,2021-05-05 14:31:35,en,7,1,Shane Warne banned for 1 year after he was sent home from 2003 WC for testing positive for banned substance. Came b… https://t.co/33wAQmOQou
1389939033623588864,YeshwantChitte,2021-05-05 13:44:24,en,0,0,"@bhawnakohli5 Dravid
Kallis
Warne
Pollock
Sangakkara

I wanted Warne as bowler, but then there would be no genuine… https://t.co/2vhAwhUpM5"
1389932807988727820,YeshwantChitte,2021-05-05 13:19:39,hi,0,0,"@doublecentury45 @Pri45_ 3-4 se kya hota hai bro, aaj kal to sab chalta hai. Sachin, Kareena, Abhishek should be your inspiration."
1389931647873675266,YeshwantChitte,2021-05-05 13:15:03,und,0,0,@doublecentury45 @Pri45_
1389931043885445121,YeshwantChitte,2021-05-05 13:12:39,en,0,0,@siyaagrawal18 RCB me kya history hai?
1389930434516062215,YeshwantChitte,2021-05-05 13:10:13,in,0,0,@InsideOutLoftSM @nikhikalpita Ye tera naya id hai kya?
1389926426485268486,YeshwantChitte,2021-05-05 12:54:18,en,1,0,"@siyaagrawal18 @ImRaghav_4507 I just saw your last interaction with him, so answered his name."
1389925675625193480,YeshwantChitte,2021-05-05 12:51:19,hi,0,0,"@nikhikalpita Google kar le, maine ek bar saare ek saath, comments aur like, delete kiye the, waise hi ho sakta hai followers ke liye bhi."
1389924214304481280,YeshwantChitte,2021-05-05 12:45:30,in,0,0,"@nikhikalpita Toh phele Jo bola tha unfollow kar de, woh hi sahi tha."
1389923755510558721,YeshwantChitte,2021-05-05 12:43:41,en,0,787,"RT @AskDrShashank: Mumbai today
* 7409 beds available 
* 2428 oxygen beds available 
* 100 icu beds available 
Source : #BMC dashboard 
#CO…"
1389923590301048838,YeshwantChitte,2021-05-05 12:43:02,und,1,0,@siyaagrawal18 @ImRaghav_4507
1389923288973910018,YeshwantChitte,2021-05-05 12:41:50,in,0,0,@nikhikalpita Jo bhi follow karega usko block Kar de.
1389922876212408320,YeshwantChitte,2021-05-05 12:40:11,in,0,0,@nikhikalpita Unfollow kar de.
1389908460922228736,YeshwantChitte,2021-05-05 11:42:54,en,0,14,"RT @gurkiratsgill: For all those who have been vaccinated so far, or will be getting vaccinated soon, please don't worry in case you get fe…"
1389905565657227264,YeshwantChitte,2021-05-05 11:31:24,es,28,0,@rajasthanroyals Jofra Archer https://t.co/ZgSwxvkGYc
1389888309166440452,YeshwantChitte,2021-05-05 10:22:50,en,0,51,RT @QuickWristSpin: AMPLIFY ❗ https://t.co/be0qwWpFCH
1389885210632736777,YeshwantChitte,2021-05-05 10:10:31,hi,0,0,@Jagdeepjaswal Arshdeep Singh &amp; Chetan Sakariya.
1389884821220913152,YeshwantChitte,2021-05-05 10:08:58,en,0,4,RT @arshdeepsinghh: @Jagdeepjaswal Rajveer Singh caught my attention in IPL 2021 👶🏼
1389884549908209665,YeshwantChitte,2021-05-05 10:07:54,in,0,0,Novak Djokovic https://t.co/Mptvwiq57u https://t.co/uQm7koZr4k
1389870306437722113,YeshwantChitte,2021-05-05 09:11:18,en,0,196,RT @shrutihaasan: Delhi !!!! We need your help !!! This patient has been waiting for 26 hours !! Any leads will help
1389861474604969987,YeshwantChitte,2021-05-05 08:36:12,in,1,0,@rajdeep189 @im_akash196 Jadeja wkt keeping nahi karta hai. Sachin bhi wkt leta hai par wkt keeping me picche rah jata hai.
1389860997611933697,YeshwantChitte,2021-05-05 08:34:18,hi,0,0,"@im_akash196 @rajdeep189 Jane de, ABD thik hai phir, Kedar Jadhav se."
1389858158596685826,YeshwantChitte,2021-05-05 08:23:01,en,0,811,RT @HassanNatha: Bill Gates's marriage couldn't excel anymore
1389857457929809921,YeshwantChitte,2021-05-05 08:20:14,en,1,0,@surreycricket Going down. Not out.
1389856682038071297,YeshwantChitte,2021-05-05 08:17:09,in,0,0,"@im_akash196 @rajdeep189 Hamesha thodi karta hai. Laxman aur Dravid be bhi wkt nikale hai, toh kya dependable bowler maan le?"
1389855469582180360,YeshwantChitte,2021-05-05 08:12:20,hi,1,0,@rajdeep189 @im_akash196 Chal thik hai.
1389854837546778631,YeshwantChitte,2021-05-05 08:09:50,hi,1,0,@im_akash196 @rajdeep189 Time pass ke liye MSD bhi bowling karta hai.
1389854673171980288,YeshwantChitte,2021-05-05 08:09:10,in,0,0,@im_akash196 @rajdeep189 Wkt thodi leta hai.
1389853871569195008,YeshwantChitte,2021-05-05 08:05:59,en,0,0,@rajdeep189 Bowling?
1389850059064287233,YeshwantChitte,2021-05-05 07:50:50,en,0,0,@Abhisayss Great news bro!
1389686664985907206,YeshwantChitte,2021-05-04 21:01:34,en,0,1347,"RT @Fact: No one is too busy, it's only a matter of priorities."
1389686328766341123,YeshwantChitte,2021-05-04 21:00:14,en,0,1,RT @RAnobreaks1978: @AMP86793444 Jiggery Pokery - The Duckworth Lewis Method (Shane Warne's Ball of the C... https://t.co/CzVZh8I1q3
1389686267655327747,YeshwantChitte,2021-05-04 20:59:59,en,1,1,@AMP86793444 Totally hilarious 🤣🤣. But what a composition for the dismissal.
1389683658689179648,YeshwantChitte,2021-05-04 20:49:37,und,0,23,RT @proxyae: @Big3Tennis https://t.co/CznowlNOTy
1389674144908775425,YeshwantChitte,2021-05-04 20:11:49,und,0,448,RT @BaraStrycova: 👋🏻👋🏻👋🏻 https://t.co/hHkCTsPsiO
1389674142098546688,YeshwantChitte,2021-05-04 20:11:49,en,0,0,@BaraStrycova Congrats on wonderful career &amp; Happy retirement. ❤️ https://t.co/dup7bF9tlW
1389671657812369408,YeshwantChitte,2021-05-04 20:01:56,en,0,0,"@rajdeep189 Opinion on Iyer captaincy. Same with Pant.
https://t.co/9KLXHhPR9A"
1389663173276422145,YeshwantChitte,2021-05-04 19:28:13,en,1,0,"@swaris16 If not replaced, then can play in Sept, Iyer wil not lead, Pant is DC's brand now."
1389661057556226048,YeshwantChitte,2021-05-04 19:19:49,in,4,0,@MoukthikS Ramulo Ramula https://t.co/aTH7xosAGz
1389660222239563776,YeshwantChitte,2021-05-04 19:16:30,und,2,0,@rajdeep189 @SrhMiddleOrder @ICT_SRHFAN 😂😂
1389656637690896387,YeshwantChitte,2021-05-04 19:02:15,en,1,0,@kyaaboltitu Then listen Pratyush &amp; Swapnil both have good voice.
1389656091949027333,YeshwantChitte,2021-05-04 19:00:05,und,1,0,@ICT_SRHFAN 🤣🤣
1389655835949690880,YeshwantChitte,2021-05-04 18:59:04,en,0,0,"@kyaaboltitu Priyansh space going on, come and sing."
1389654554946326531,YeshwantChitte,2021-05-04 18:53:59,en,0,69,"RT @__veebee31: 🆘URGENT🆘

NEED 6 VIALS OF REMEDESIVIR 100 mg. Asking for my very close friend’s Dad.

Location: BANGALORE 
Contact: Sai Kir…"
1389652928030339074,YeshwantChitte,2021-05-04 18:47:31,en,3,0,"Buttler
Baristow
Surya
Maxwell
Pollard
Russell https://t.co/w2P2welmkh"
1389638385837383680,YeshwantChitte,2021-05-04 17:49:44,en,1,0,@OfficialCSA Congrats @kappie777
1389636882166812673,YeshwantChitte,2021-05-04 17:43:45,en,0,1,"RT @hganjoo153: I also talked about this wonderful episode of the 81allout podcast on my Space, about narratives, writing and data. If you'…"
1389632795266338816,YeshwantChitte,2021-05-04 17:27:31,hi,0,0,"@Bansipunia Gaana hai, Suna hai kya?"
1389625700743671809,YeshwantChitte,2021-05-04 16:59:19,en,0,5,"RT @hganjoo153: I talked about applying the concepts of survival analysis, which is often used in clinical trials, to studying Test batting…"
1389625549320949762,YeshwantChitte,2021-05-04 16:58:43,en,0,45,RT @QuickWristSpin: AMPLIFY ❗ https://t.co/7jIZtJyBZM
1389625430240419841,YeshwantChitte,2021-05-04 16:58:15,hi,0,0,@siyaagrawal18 Congrats Madam. 💙 Ye Shafali ka haath kyu toda? Samaj nahi aaya.
1389623942751473669,YeshwantChitte,2021-05-04 16:52:20,hi,1,0,"@Bansipunia Rote rote, Hasna seekho, Haste haste rona."
1389622779478110208,YeshwantChitte,2021-05-04 16:47:43,en,0,1,RT @CricCrazyJohns: @DelhiCapitals @MishiAmit Too early to update.
1389622754098380805,YeshwantChitte,2021-05-04 16:47:37,und,0,0,@CricCrazyJohns @DelhiCapitals @MishiAmit 🤣🤣
1389622530894270467,YeshwantChitte,2021-05-04 16:46:43,en,0,910,"RT @rajasthanroyals: A special gift from a special opening partner. 💓

#HallaBol | #RoyalsFamily | @yashasvi_j | @josbuttler https://t.co/V…"
1389616069069869061,YeshwantChitte,2021-05-04 16:21:03,en,1,0,@hganjoo153 Enjoyed all 4 was informative.
1389608014227795971,YeshwantChitte,2021-05-04 15:49:02,en,0,1,"RT @hganjoo153: New space. 

https://t.co/6InOWjCuoX"
1389608002508902403,YeshwantChitte,2021-05-04 15:49:00,en,0,0,@hganjoo153 Every 30-40 minutes it goes down.
1389597610638409729,YeshwantChitte,2021-05-04 15:07:42,und,0,0,@hganjoo153 Yes.
1389589371418857478,YeshwantChitte,2021-05-04 14:34:58,und,0,79,RT @CarolinaMarin: 🖐️🍾🤗 https://t.co/JvEf4hJBB7
1389588304392192002,YeshwantChitte,2021-05-04 14:30:43,en,0,35,"RT @MutuaMadridOpen: An exceptional win! 🙌

🇧🇪 @elise_mertens defeats two-time champion of the tournament 🇷🇴 Simona Halep 46 75 75.

#MMOPE…"
1389567418574376966,YeshwantChitte,2021-05-04 13:07:44,en,0,268,RT @taapsee: Help needed in Mumbai
1389566942915141633,YeshwantChitte,2021-05-04 13:05:50,en,2,0,@nikhikalpita @siyaagrawal18 Well done Siya. We all are Proud of you. 💙
1389566148987875329,YeshwantChitte,2021-05-04 13:02:41,en,0,1,RT @hganjoo153: BCCI finished
1389565723463208964,YeshwantChitte,2021-05-04 13:01:00,in,0,0,"@nikhikalpita @siyaagrawal18 Abhi ctrl+z ka option nahi hai, warna undo kar deta."
1389565122792759300,YeshwantChitte,2021-05-04 12:58:36,et,0,0,@nikhikalpita @siyaagrawal18 Ab Delete karta hoon.
1389564560483307520,YeshwantChitte,2021-05-04 12:56:22,hi,0,0,"@nikhikalpita @siyaagrawal18 Dekha mene, 11 Min me kissi me nahi pakda tha, par aadat hai, galti sudharne ka."
1389563861548757001,YeshwantChitte,2021-05-04 12:53:36,en,0,0,"@nikhikalpita @siyaagrawal18 I knew appreciation tha, par mistake nikalne mein maaza alag hi hai."
1389563280910213120,YeshwantChitte,2021-05-04 12:51:17,en,1,0,@Deepti_Sharma06 Fluke one. 🔥🔥
1389560732346372097,YeshwantChitte,2021-05-04 12:41:10,en,0,0,8 people followed me and 3 people unfollowed me // automatically checked by https://t.co/in5Mfmmjob
1389547637523816450,YeshwantChitte,2021-05-04 11:49:07,en,0,1464,"RT @RandeepHooda: Ppl are dying due to lack of oxygen, help India breathe 🙏
@khalsaaid_india is providing
oxygen concentrators to reduce bu…"
1389545782022483968,YeshwantChitte,2021-05-04 11:41:45,und,0,0,@AbhinavKarthik_ Ok.
1389545662094716933,YeshwantChitte,2021-05-04 11:41:17,en,0,0,@AbhinavKarthik_ Give Link?
1389545092680196101,YeshwantChitte,2021-05-04 11:39:01,en,1,0,@SpiderManny_ Are how many times you get suspended?
1389544484556390400,YeshwantChitte,2021-05-04 11:36:36,en,0,277,"RT @TennisTV: Kei 💛 Madrid

A finalist in 2014 and semi-finalist in 2015-2016, @keinishikori gets off to a hot start in 2021, overcoming Kh…"
1389544351878033416,YeshwantChitte,2021-05-04 11:36:04,en,0,98,RT @sushantsinha: Got a dosage of Covishield. A relative helped me book the slot as I wasn't able to. Drove 50 kms and waited for 3 hours i…
1389543113782403084,YeshwantChitte,2021-05-04 11:31:09,en,0,0,"@deep_extracover @kartcric He might have not searched, people were RT that guy tweet after IPL suspension announcem… https://t.co/G44YPjXcXm"
1389539734590984197,YeshwantChitte,2021-05-04 11:17:43,en,0,518,"RT @DaleSteyn62: @GabbbarSingh @c_aashish Jeepers, took you a age to get that sentence out. And the only thing that’s bad, is this pandemic…"
1389539555301277699,YeshwantChitte,2021-05-04 11:17:01,et,1,0,"@nikhikalpita Maine kal hi predict kiya tha. Shafali crowd puller hai, tough call between Shafali &amp; Jemi.
https://t.co/Kx2qFz1N2q"
1389538066939867136,YeshwantChitte,2021-05-04 11:11:06,hi,0,0,"@nikhikalpita Mereko bhi pata nahi, balaji hamesha use karta hai jab bhi woh kissi se agree karta hai."
1389537690320736262,YeshwantChitte,2021-05-04 11:09:36,hi,0,0,@nikhikalpita Ye emoji ka matlab kya hai?
1389536990522081283,YeshwantChitte,2021-05-04 11:06:49,en,0,368,RT @surya_14kumar: @CandiceWarner31 So cute 😊
1389536338295201796,YeshwantChitte,2021-05-04 11:04:14,und,1,0,@Puneite_ 🤣🤣
1389536288332648454,YeshwantChitte,2021-05-04 11:04:02,hi,0,43,"RT @Puneite_: Covid ward mein IPL abhi bhi chalu hai 🤣🤣🤣
https://t.co/XmlDudZ0us"
1389535708625309697,YeshwantChitte,2021-05-04 11:01:43,und,1,0,@nikhikalpita 🤘
1389530640287113218,YeshwantChitte,2021-05-04 10:41:35,en,0,13,RT @absycric: This account always has the worst timing
1389530577070542848,YeshwantChitte,2021-05-04 10:41:20,en,0,53,RT @QuickWristSpin: AMPLIFY ❗ https://t.co/OxNzuLYWny
1389528135075471363,YeshwantChitte,2021-05-04 10:31:38,und,0,0,@ComeToGabbaMate 🤣🤣🤣🤣
1389526193280405512,YeshwantChitte,2021-05-04 10:23:55,en,0,388,RT @airfuuka: did you try closing the marriage in task manager and trying again
1389525882847469572,YeshwantChitte,2021-05-04 10:22:41,en,1,0,@arun_4_all Vijay Shankar steals the show. 🤣🤣🤣🤣
1389525636054609922,YeshwantChitte,2021-05-04 10:21:42,es,0,22,RT @arun_4_all: Orey entra idi.... https://t.co/M41HLtnHyM
1389522940740341763,YeshwantChitte,2021-05-04 10:10:59,en,0,7,RT @Puneite_: Bobby deol's movies aren't cancelled. Go watch them. https://t.co/NJpmFYQkOx
1389522852106235909,YeshwantChitte,2021-05-04 10:10:38,in,1,0,@Deep_Point_ Toh phir Lassi.
1389522553102868481,YeshwantChitte,2021-05-04 10:09:27,und,0,1583,RT @DaleSteyn62: @c_aashish Hi 😷
1389522533569884162,YeshwantChitte,2021-05-04 10:09:22,en,0,278,RT @DaleSteyn62: @c_aashish Haha you’re funny.
1389522316598681600,YeshwantChitte,2021-05-04 10:08:31,hi,0,0,"@Deep_Point_ Sab me soda hota hai, mereko bilkul bhi pasand nahi."
1389521660911493126,YeshwantChitte,2021-05-04 10:05:54,en,0,0,@Deep_Point_ Don't like any soft drink.
1389520531184132096,YeshwantChitte,2021-05-04 10:01:25,en,0,445,RT @AquariusUnite: There are times when an #Aquarius just hates everyone.
1389519782588948480,YeshwantChitte,2021-05-04 09:58:26,en,0,57,"RT @OfficialCSA: 🔝 on top of the world
🥇 Marizanne Kapp is the world's best WODI All-Rounder

#AlwaysRising https://t.co/ETxMyXe5ru"
1389519537448624129,YeshwantChitte,2021-05-04 09:57:28,en,0,3117,"RT @CandiceWarner31: Stay safe daddy, come home soon we love you. @davidwarner31 https://t.co/VXkrIzWomx"
1389517545732902913,YeshwantChitte,2021-05-04 09:49:33,en,0,14,"RT @Bibhu237: Aise hote h kuch Rcb fans....  
🤦😭🤣 https://t.co/K3cmQIUexq"
1389517515882221569,YeshwantChitte,2021-05-04 09:49:26,und,1,0,@Bibhu237 🤣🤣🤣🤣
1389516960594026499,YeshwantChitte,2021-05-04 09:47:14,en,0,1170,RT @ashwinravi99: 💔Ada ponga da! That helplessness written all over that doctors face is killing me
1389516538168872962,YeshwantChitte,2021-05-04 09:45:33,en,0,76,RT @back_foot_punch: *Tocilizumab* My friend father is affected by *corona* and he is *serious* now. Her dad wants this *injection* *(Tocil…
1389514589981790208,YeshwantChitte,2021-05-04 09:37:48,en,0,123,RT @QuickWristSpin: AMPLIFY ❗ https://t.co/9N0EbW3Iur
1389514539222319107,YeshwantChitte,2021-05-04 09:37:36,en,0,33,RT @QuickWristSpin: AMPLIFY ❗ https://t.co/LkbvVVRgrQ
1389508294448848900,YeshwantChitte,2021-05-04 09:12:47,en,0,38719,"RT @Official_aleey: Parents spot fake friends. 
Children spot fake relatives."
1389507475620057089,YeshwantChitte,2021-05-04 09:09:32,en,0,25,RT @QuickWristSpin: AMPLIFY ❗ https://t.co/V4tNEDe9OZ
1389506307388968964,YeshwantChitte,2021-05-04 09:04:54,und,0,19,RT @azkhawaja1: https://t.co/BcC4iNGp5s
1389503400794943495,YeshwantChitte,2021-05-04 08:53:21,und,0,436,RT @YoursEesha: #ipl2021  #iplcancel #bcci https://t.co/oKQ7RemNgM
1389493889095114752,YeshwantChitte,2021-05-04 08:15:33,en,0,0,@gurkiratsgill T20 WC which was supposed to take place in India during Oct-Nov would be postponed and IPL will star… https://t.co/mtwqHa0x0u
1389492907883732993,YeshwantChitte,2021-05-04 08:11:39,en,0,274,"RT @ovshake42: IPL suspended for the season.

Time to convert the venues into Covid-19 hospitals.

The Ahmedabad ground is already well-equ…"
1389492326427357186,YeshwantChitte,2021-05-04 08:09:20,en,0,0,"@gurkiratsgill UAE, T20 WC window."
1389491181835505665,YeshwantChitte,2021-05-04 08:04:47,en,0,0,*will not
1389487369318019074,YeshwantChitte,2021-05-04 07:49:38,hi,1,0,@siyaagrawal18 Jersey banane me kya jata hai? Free toh hai.
1389486837140316162,YeshwantChitte,2021-05-04 07:47:32,en,2,0,"@ImAbhay3 After what has happened in IPL, T20 WC not not take place in India even next year. Probably will have to… https://t.co/jyyLzxrJqk"
1389485087960584192,YeshwantChitte,2021-05-04 07:40:35,en,0,33,"RT @IndianMourinho: ""We can't hide cases anymore"""
1389476598848450560,YeshwantChitte,2021-05-04 07:06:51,und,1,0,@Thalanikki @siyaagrawal18
1389475669680082948,YeshwantChitte,2021-05-04 07:03:09,en,0,257,RT @Thalanikki: When https://t.co/bpzRWhjBZG
