id,username,created_at,lang,favorite_count,retweet_count,text
1390162052350713856,ZoeMcLaren,2021-05-06 04:30:35,en,0,0,Ok everyone you can take your concern about variants down a notch. https://t.co/zYs20a4QOq
1390161254287826946,ZoeMcLaren,2021-05-06 04:27:25,en,0,33140,RT @AOC: Let’s do insulin next https://t.co/VWhwyxbzd9
1390122232031154176,ZoeMcLaren,2021-05-06 01:52:21,en,1,0,@WilliamBHoenig 🤣🤣🤣Cackling. Perfect.
1390116855830953986,ZoeMcLaren,2021-05-06 01:31:00,en,10,0,"Tired: Scrambling for a vaccination appointment.
Wired: Scrambling for Broadway tickets. https://t.co/Ljfi3OXkMy"
1390109809710485505,ZoeMcLaren,2021-05-06 01:03:00,en,4,0,Ambition saves lives. https://t.co/j9OSAztnpT
1389997127393239040,ZoeMcLaren,2021-05-05 17:35:14,en,3,1,No surprise this is a last-minute Trump admin ruling that Biden must rescind. If they managed to reintegrate during… https://t.co/FmaLLj0gcg
1389983638436159496,ZoeMcLaren,2021-05-05 16:41:38,en,1,0,"@onceuponA It's the tenure clock, sorry."
1389982943788085255,ZoeMcLaren,2021-05-05 16:38:53,en,2,0,@MilesPerHoward I'm going to dress as an orc and come raid your camp.
1389959406541058056,ZoeMcLaren,2021-05-05 15:05:21,en,3,0,@mattyglesias Summers and Cutler estimated the pandemic costs $16B a day altogether iirc.
1389958135671136256,ZoeMcLaren,2021-05-05 15:00:18,en,1,0,@kmpjones Reach out to the student with the dilemma. Give them the option to submit work late and avoid the failing… https://t.co/orPBz9H1Ri
1389926207412707329,ZoeMcLaren,2021-05-05 12:53:26,en,1,0,@SarahHBana @DKThomp We don’t want to leave things like this to health insurance providers.
1389925974700175362,ZoeMcLaren,2021-05-05 12:52:30,en,0,0,@notdred Do I need to send you a picture of a tasty sandwich or come over and show you how to make it?
1389925787495718912,ZoeMcLaren,2021-05-05 12:51:45,en,2,0,@RidleyDM @Brian_Orak @notdred No. Music streaming.
1389925623389376516,ZoeMcLaren,2021-05-05 12:51:06,en,0,0,@Merz @chrislhayes Um no. But it speeds the process. A lot. Pharma is a high risk resource intensive business. More… https://t.co/U9uiOenDVN
1389925354521911296,ZoeMcLaren,2021-05-05 12:50:02,en,0,0,@CSMRachel It was expected we just need to do more outreach.
1389924941164945411,ZoeMcLaren,2021-05-05 12:48:24,en,0,0,"@ON4Sport @robbwolf The cost of acquiring “natural” immunity is staggering - look at the number of illnesses, hospi… https://t.co/9qqf0wnAJS"
1389795304719986691,ZoeMcLaren,2021-05-05 04:13:16,en,0,599,"RT @chrislhayes: Imagine a ""Global War on Terror"" but instead it's a Global War On COVID and instead of lots of weapons and violence we're…"
1389767930603257856,ZoeMcLaren,2021-05-05 02:24:29,en,1,0,"@thehowie @MollyJongFast Not “PTSD”, actual PTSD."
1389766192014020609,ZoeMcLaren,2021-05-05 02:17:35,en,0,9558,"RT @ASlavitt: There is one thing virtually everyone dying from COVID has in common. 

They haven’t been vaccinated."
1389766162657988608,ZoeMcLaren,2021-05-05 02:17:28,en,18,4,These are not just financial incentives. They help normalize getting vaccinated especially among resistant groups. https://t.co/JnphOF8HzT
1389765113192894467,ZoeMcLaren,2021-05-05 02:13:18,en,0,37,RT @Bob_Wachter: One characteristic of Biden's Covid approach has been underpromise &amp; overdeliver. So when they say they have a goal of 70%…
1389744653663195142,ZoeMcLaren,2021-05-05 00:52:00,en,5,1,The CDC guidance changed a week ago and it's a lot to process. Give people time. It's not affecting hesitancy at al… https://t.co/IKqn5JP5l1
1389742784567992324,ZoeMcLaren,2021-05-05 00:44:34,en,0,657,RT @OhDionne: keep in mind that all of this is happening DESPITE variants circulating. why? because not a single current variant is resista…
1389740926306856970,ZoeMcLaren,2021-05-05 00:37:11,en,0,305,"RT @Noahpinion: People who worry about unknown and unknowable long-term vaccine risks for kids, but who don't worry about long-term COVID r…"
1389739911981551624,ZoeMcLaren,2021-05-05 00:33:09,en,0,128,"RT @jburnmurdoch: To reiterate: do not point to a resurgence at the aggregate level and say ""see, vaccines aren’t working against new varia…"
1389733077350592522,ZoeMcLaren,2021-05-05 00:06:00,en,15,3,"Excellent article that goes deeper into what we can expect in the next phase of the pandemic.

Bottom line: If we c… https://t.co/E4mYjM3aes"
1389723640300773377,ZoeMcLaren,2021-05-04 23:28:30,en,6,0,@Merz @chrislhayes Allllll of it. Pour crazy amounts of money in. Try many different avenues. Expect failure and ke… https://t.co/kWITiH0o6E
1389723250821943302,ZoeMcLaren,2021-05-04 23:26:57,en,13,0,"@mattyglesias @Popehat Almost everyone has mild PTSD from the pandemic.

So they process information more slowly, g… https://t.co/XLQ9xyaKfj"
1389720599375892483,ZoeMcLaren,2021-05-04 23:16:25,en,0,0,@BlatnerGretta @JenniferNuzzo Where did you get it? AMAAAAAZING.
1389720546166849536,ZoeMcLaren,2021-05-04 23:16:12,en,0,1,RT @BlatnerGretta: @JenniferNuzzo My DC centric one... https://t.co/iCdUd99InJ
1389719925061824512,ZoeMcLaren,2021-05-04 23:13:44,en,0,173,"RT @EricTopol: The UK achieved containment of covid. But that's not enough. They are pursuing crushing it with free, rapid home tests, unli…"
1389719237292433411,ZoeMcLaren,2021-05-04 23:11:00,en,0,2587,"RT @chrislhayes: I think there is every reason for the US to basically treat global vaccination as our absolute key global priority, a spar…"
1389716197231448066,ZoeMcLaren,2021-05-04 22:58:55,en,9,1,@chrislhayes It can be done but it would take a lot of money and involve a lot of risk (which means costing even mo… https://t.co/3NuluhLJE0
1389714975414005765,ZoeMcLaren,2021-05-04 22:54:04,en,61,5,Biden should declare the week of July 4th a national holiday if we can get to 70% vaccination coverage by then.
1389714794354257922,ZoeMcLaren,2021-05-04 22:53:21,en,3,0,So if we get to 70% vaccination by July 4th what kind of fireworks are we talking about? https://t.co/AgYQG8ULlM
1389714389918486531,ZoeMcLaren,2021-05-04 22:51:44,en,1,0,@drvolts Win-off: (noun) when absolutely everyone wins.
1389699550114455554,ZoeMcLaren,2021-05-04 21:52:46,en,3,0,@tiaghose @notdred I'm also an HIV researcher and I disagree with her on many things.
1389699430635479047,ZoeMcLaren,2021-05-04 21:52:18,en,9,0,@RuchiraDShah @notdred If you've only had 600 deaths then maybe i't sthe right amount of caution...
1389699045002776580,ZoeMcLaren,2021-05-04 21:50:46,en,4,0,@ENirenberg @notdred Most of us don't even think about him at all.
1389698889599623173,ZoeMcLaren,2021-05-04 21:50:09,en,3,0,@Merz @notdred @BrianRWasik This is too mean a tweet for me to like but it made me laugh Alex.
