id,username,created_at,lang,favorite_count,retweet_count,text
1388424482423980033,adamboultwood,2021-05-01 09:26:06,fr,2,0,@Dizzness Elite tweet.
1388118438170832900,adamboultwood,2021-04-30 13:10:00,en,0,1,"RT @ummofficialuk: We will be joining sports clubs, organising bodies, broadcasters and individuals in switching off their social accounts…"
1388085890401120258,adamboultwood,2021-04-30 11:00:40,en,39,1,there’s only one answer now https://t.co/andpLfpqaL https://t.co/LQC4qj4iDh
1386398212789989379,adamboultwood,2021-04-25 19:14:26,en,0,2,"RT @ummofficialuk: Fancy winning a brand new Ranger Rover? Of course you do. 🚗

For your chance to win all you have to do is:

✅ Enter here…"
1385315815038271488,adamboultwood,2021-04-22 19:33:22,en,0,22,"RT @ummofficialuk: Twitter's a bit boring tonight, isn’t it. Here’s a video of a lad hitting a crossbar to win a PS5 off @callux.

Absolute…"
1385291351311454210,adamboultwood,2021-04-22 17:56:10,en,7,0,@jamesallcott @chrismd10 @Chelsearory And yet Allcott was the best player on the pitch...
1385212603664904194,adamboultwood,2021-04-22 12:43:15,en,67,4,Bruno really said https://t.co/ykttFPN8HG https://t.co/4634J6RIpm
1384969946371854341,adamboultwood,2021-04-21 20:39:01,en,0,12,RT @ummofficialuk: WE LOVE TO SEE IT. Our guy @daRealAkinfenwa scores his first goal in the Championship and is mobbed by his teammates 👏…
1384897259427569666,adamboultwood,2021-04-21 15:50:11,en,13,0,"Giving away a PS5 with a crossbar challenge? Yeah, this was a lot of fun to make. https://t.co/TOauq0pZgz"
1384779196380164098,adamboultwood,2021-04-21 08:01:03,en,0,3895,RT @Ankaman616: Kick off times. Ticket Prices. Funding for the women's game. Lasting Anti-racism initiatives. Proper wealth distribution. R…
1384630686670282754,adamboultwood,2021-04-20 22:10:55,en,11,0,@dshanahan930 Embarrassing isn’t it. Arsenal’s the only one even close to sounding like a  sincere apology
1384628139008081922,adamboultwood,2021-04-20 22:00:48,en,56,2,"“We regret the anxiety and upset caused.”

No real apology. No shame. https://t.co/1OZcsieDt3"
1384589624606089216,adamboultwood,2021-04-20 19:27:45,en,67,0,tears in my eyes the timeline is absolute chaos https://t.co/6imINFMuuC
1384589237673205762,adamboultwood,2021-04-20 19:26:13,en,432,13,"we just got rid of one dickhead mate, we don't need another one https://t.co/3yzeSPTyJS"
1384575014666743808,adamboultwood,2021-04-20 18:29:42,en,6,0,@Debaser92 I want a 48 part series detailing every hilarious hour of its sorry existence
1384573096984776707,adamboultwood,2021-04-20 18:22:05,en,953,77,"Twitter is class at times like these. Huge breaking news you can't keep up with, absolute chaos, memes flying all o… https://t.co/tjgfF495U5"
1384572606112845825,adamboultwood,2021-04-20 18:20:08,und,390,3,https://t.co/LGN8YKsgy2 https://t.co/KkgeaUjbhP
1384567862396956673,adamboultwood,2021-04-20 18:01:17,en,84,0,"pink Fila tracktop, purple jeans and a lukewarm Stella in hand? Roman was bricking it"
1384565949760786436,adamboultwood,2021-04-20 17:53:41,en,1205,10,I understand the club saw @Chelsearory down at Stamford Bridge earlier and knew they'd lost https://t.co/ZKECKtgIKc https://t.co/P7oDj93Hjk
1384537523947442185,adamboultwood,2021-04-20 16:00:43,en,0,2,"RT @ummofficialuk: 🔥 24 HOUR ASSISTANT IS BACK🔥

@Callux is back on UMM for a 24 Hour Assistant with a difference. Our friends @Vanarama se…"
1384521763363737605,adamboultwood,2021-04-20 14:58:06,en,103,0,surely not - doesn't sound like Dan to misjudge the mood of fans https://t.co/uvWhn6NpuI
1384089418122686466,adamboultwood,2021-04-19 10:20:07,en,1,0,@smivadee he didn't. He's still a villain haha
1384080652077735942,adamboultwood,2021-04-19 09:45:17,en,29,1,Not true as it turns out. Didn't feel right having respect for Mourinho even if it was for 5 minutes https://t.co/vrSpkjVM7V
1384077515627499528,adamboultwood,2021-04-19 09:32:49,en,815,119,Mourinho going out as....a hero?? These last 12 hours in football have been a real head spinner https://t.co/4ruB1LH4Lj
1384076940357767171,adamboultwood,2021-04-19 09:30:32,en,39,0,what a time to be alive https://t.co/fm5nc7duyk
1383425220728397832,adamboultwood,2021-04-17 14:20:50,und,1794,44,https://t.co/3Dze3Fipcg https://t.co/x44mU5CaRK
1382612696487624708,adamboultwood,2021-04-15 08:32:09,en,157,1,"I, for one, welcome our new canine manager https://t.co/nCWIpVfIzV"
1381315550274543618,adamboultwood,2021-04-11 18:37:45,en,1,0,@georgeachillea it's over George haha
1381297954158415875,adamboultwood,2021-04-11 17:27:50,en,27,0,More like the botched bank job in Heat as it turns out https://t.co/Lt5tjiLDGl
1381279242940526602,adamboultwood,2021-04-11 16:13:29,en,53,2,Biggest daylight robbery since Fast &amp; Furious 5 if we win this
1380872220906504194,adamboultwood,2021-04-10 13:16:07,en,51,1,This was a fun one. Shout out @FabrizioRomano for getting involved and answering these super serious rumours... https://t.co/mOxAiSiRZZ
1380608382164418566,adamboultwood,2021-04-09 19:47:43,und,0,0,@HelenVonPeas 🤩
1379172998914179080,adamboultwood,2021-04-05 20:44:01,en,0,4,RT @ummofficialuk: Jesse Lingardinho this season...🇧🇷 https://t.co/Vv2uKyFncI
1376820528586035201,adamboultwood,2021-03-30 08:56:08,en,0,19,"RT @FCNotAlone: 🆕🔽

Our new website is live! 

✨ https://t.co/DgBJGOBJIk ✨

You can expect loads of new great content on a daily basis, so…"
1376212670966300681,adamboultwood,2021-03-28 16:40:44,en,1,0,@RonanMcGeough He does. Similar rate of success unfortunately....
1375974288017219586,adamboultwood,2021-03-28 00:53:29,es,0,0,@Rob_Arms_ Delete.
1374761597277720584,adamboultwood,2021-03-24 16:34:41,en,0,3,"RT @ummofficialuk: ""𝙄'𝙢 𝙨𝙘𝙖𝙧𝙚𝙙 𝙩𝙤 𝙩𝙖𝙘𝙠𝙡𝙚 @VivianneMiedema!"" 👀

@leahcwilliamson joins @harrypinero to reveal what it's like facing the 🐐 in…"
1374365446716145664,adamboultwood,2021-03-23 14:20:31,en,273,4,"ah yes, the classic ‘athlete/teacher’ job. Two roles that are so similar you may as well throw them together https://t.co/Hda0kFNbpm"
