id,username,created_at,lang,favorite_count,retweet_count,text
1389982171599831043,amitabhnews18,2021-05-05 16:35:48,en,0,0,"#COVID19 supplies received from Global Community have been Effectively Allocated to States/UTs by Govt of India 
*1… https://t.co/jTSaFWzDpm"
1389901073477931020,amitabhnews18,2021-05-05 11:13:33,en,2,0,"India @MEAIndia strongly condemns terror attack in Logar,Afghanistan leaving 21 innocent dead&amp;over100 injured 
*nee… https://t.co/tDVy3YGzMg"
1389896762651860996,amitabhnews18,2021-05-05 10:56:25,en,4,1,Cabinet #CCEA chaired by PM @narendramodi approves strategic disinvestment&amp;transfer of management control in… https://t.co/FokCAHUW34
1389862545930932225,amitabhnews18,2021-05-05 08:40:28,en,1,1,Atal Bihari #Vajpayee #COVID19 hospital setup by @DRDO_India in Lucknow made operational today on 5 May… https://t.co/UmJfApxwu7
1389631246314065920,amitabhnews18,2021-05-04 17:21:21,en,3,0,"Delhi to receive 244 tonnes more #Oxygen Today. Now, Oxygen Express would deliver nearly 450 MT of #LMO to #Delhi a… https://t.co/mVyKzpqbst"
1389627177805570048,amitabhnews18,2021-05-04 17:05:11,en,24,10,. @India_NHRC takes cognizance of alleged post poll violence in Bengal. Orders investigation. A fact finding team r… https://t.co/dW6z2UXf2m
1389574429919698944,amitabhnews18,2021-05-04 13:35:35,en,4,1,"India-UK ‘Global Innovation Partnership’ was announced
*Johnson invited PM Modi to visit UK for G-7 Summit https://t.co/SSAOpFMqjx"
1389573672994676738,amitabhnews18,2021-05-04 13:32:35,en,6,1,"PM @narendramodi &amp; #UK PM @BorisJohnson Virtual Summit 
*Roadmap 2030’ adopted  to a Comprehensive Strategic Partne… https://t.co/bNtsUouGWt"
1389568717697077249,amitabhnews18,2021-05-04 13:12:53,en,20,10,". @DRDO_India to install 5 Medical #Oxygen Plants in Delhi &amp; Haryana within 1st week of May 
*Equipment arrives at… https://t.co/BbAzN2UmM2"
1389533072840740866,amitabhnews18,2021-05-04 10:51:15,en,6,0,"Effective Allocation by Centre of #COVID19 supplies received from Global Community @MoHFW_INDIA
*Medical Infrastruc… https://t.co/8H8Fio3m0s"
1389521746286497795,amitabhnews18,2021-05-04 10:06:15,en,3,1,Production of #Remdesivir increased at a rapid pace. #India achieved 3 times production capacity of Remedesvir &amp; wi… https://t.co/1X7DQYJxR1
