id,username,created_at,lang,favorite_count,retweet_count,text
1389982059062603783,anildash,2021-05-05 16:35:22,en,0,75,"RT @Femmefeministe: For @WearYourVoice, I finally wrote about the precarious position young BIPOC writers find themselves in as freelance w…"
1389980950625402886,anildash,2021-05-05 16:30:57,en,1,0,"@Experience_Jeff That would, indeed, be as nonsensical as using email to deliver web pages, but here we are."
1389980777006370819,anildash,2021-05-05 16:30:16,en,2,0,"@chartier @feedbin @feedly I know, but... whyyyy. Next they'll send us a png of the text of the newsletter, and the… https://t.co/M2ih6lASFD"
1389964003619835906,anildash,2021-05-05 15:23:37,en,13,0,"@MelissaRyan Gahhh I know this is a common thing, but the idea of generating *more* email for myself on purpose gives me hives."
1389963231268122625,anildash,2021-05-05 15:20:33,en,5,0,@KenGoldsholl I don’t really want email involved at all.
1389962993929228294,anildash,2021-05-05 15:19:36,en,0,12,RT @CarlinaRivera: This is exactly the type of reimagining we hope to encourage with #OpenStreetsNYC. https://t.co/byoGOIskzG
1389962412967792643,anildash,2021-05-05 15:17:18,en,150,10,"I don’t want to read substantive things in email, I want to read things in my web browser. Or in reading apps, if t… https://t.co/iYkE37faUR"
1389948437152649216,anildash,2021-05-05 14:21:46,en,0,130,"RT @ParkerMolloy: So many ""The internet is in an uproar!"" stories are exactly this. It's terrible journalism."
1389948314322448385,anildash,2021-05-05 14:21:16,en,0,133,"RT @hmcghee: It’s official: the Obamas’ Higher Ground will produce a #TheSumofUsBook podcast on forging cross-racial solidarity, exclusivel…"
1389946014619119618,anildash,2021-05-05 14:12:08,en,2,0,@NewkThaGod @uche_blackstock It may be that they don’t feel comfortable expressing it around you given that assumpt… https://t.co/TA5ph4AqBg
1389936147757928452,anildash,2021-05-05 13:32:56,en,0,0,@FlantasticDan @glitch We haven’t announced any changes there yet; our current thinking is we’ll likely have someth… https://t.co/fnK0fAidTe
1389935623755243523,anildash,2021-05-05 13:30:51,en,3,0,@capndesign @beep Makes obvious they went to art school.
1389932679035035650,anildash,2021-05-05 13:19:09,en,0,51,RT @uche_blackstock: Maybe if every person who has already  been vaccinated commits to encouraging one important person in their life to ge…
1389932341439737856,anildash,2021-05-05 13:17:48,en,0,195,RT @GodisRivera: As the parent of a Black child in private school (&amp; a former student myself) these hot takes from white parents about thei…
1389931122528858115,anildash,2021-05-05 13:12:57,en,86,0,"@janecoaston It’s because they’re afraid when he’s in a bad mood, like all people in a codependent relationship with an abuser."
1389930926629691392,anildash,2021-05-05 13:12:11,en,32,1,@edzitron Literally millions of people in dozens of countries regularly wore masks ever since SARS hit 15+ years ag… https://t.co/m9MuXcCtu7
1389824963306299392,anildash,2021-05-05 06:11:07,en,5,1,@sassycrass @InADash LOL I only call it that because it makes them as uncomfortable as they ought to be. Not gonna tip ‘em tho!
1389824738449666048,anildash,2021-05-05 06:10:13,und,1,0,@SabiaScientist @coryprovost @sassycrass @LeslieMac Yep.
1389823376798126080,anildash,2021-05-05 06:04:49,en,8,2,"@sassycrass @InADash Every time I’ve had to go to the TSA champagne room, you can guess the demographics of everyon… https://t.co/0U6ULEiLiQ"
1389823126758961156,anildash,2021-05-05 06:03:49,en,0,39,"RT @josie_huang: The last few weeks have been particularly painful in the Indian American community. 

The Fed Ex mass shooting. The 2nd wa…"
1389822850173919233,anildash,2021-05-05 06:02:43,en,0,11,"RT @rahaeli: I miss the internet we've mostly lost, goddammit"
1389803716941844485,anildash,2021-05-05 04:46:42,en,47,14,"There's a prehistory to the loot boxes in today's games that was kind, sweet, and thoughtful instead of extractive… https://t.co/KptQLbLkmi"
1389791555616223235,anildash,2021-05-05 03:58:22,en,40,3,@coryprovost @sassycrass @LeslieMac Do we remember the white guy who flew a plane into a federal building in Texas… https://t.co/YqyANU0Eyh
1389771249476308994,anildash,2021-05-05 02:37:41,en,0,0,"@rwoster @manriquechacin @Karnythia Cool, would a normal human talk about race online a lot and never once address… https://t.co/VmlbSO0iXZ"
1389766148909150209,anildash,2021-05-05 02:17:25,en,0,0,@taffeelion nope.
1389766079153688581,anildash,2021-05-05 02:17:08,en,0,0,"@rwoster @manriquechacin @Karnythia Yes, we know your entire thing is denying that race has any implications in soc… https://t.co/HTazUDC6fF"
1389755330687606792,anildash,2021-05-05 01:34:25,und,0,51,RT @Sifill_LDF: https://t.co/t4iSNpqv6c
1389755271199838208,anildash,2021-05-05 01:34:11,en,0,20801,RT @amyis_trying: trying to act casual so the printer doesn't realize this is time sensitive
1389755200785850368,anildash,2021-05-05 01:33:54,en,2,0,@noahfeehan @rsnous Idea: *reverse* alphabetical. Or sort the letters by which were most recently added to the alphabet.
1389754974993895426,anildash,2021-05-05 01:33:01,en,0,3959,RT @Karnythia: This video is going to live in my head for a long time... https://t.co/xptAuer11v
1389752172745609220,anildash,2021-05-05 01:21:52,en,0,80,RT @melissagira: The right wing moral panic about Drag Queen Story Hour already feels like it was a million years ago; the wave of anti-tra…
1389751420153442305,anildash,2021-05-05 01:18:53,en,0,904,RT @Sifill_LDF: You must read this article or thread. You MUST.
1389750801334145027,anildash,2021-05-05 01:16:26,en,0,163,RT @djsoulsister: May the 4th be with you. Ronald Neil Clark (https://t.co/dWJL55OGf5) posted this and I’m still laughing hours later. What…
1389748836491579399,anildash,2021-05-05 01:08:37,en,32,1,Reminds me that @rianjohnson said that the Apple TV dronecam videos were the most influential cinematography of the… https://t.co/7o1Iq3ePpT
1389748834687930374,anildash,2021-05-05 01:08:37,en,18,2,These are a sweet (and short) couple of films put out on Disney+ for #StarWarsDay and they were fun to watch with m… https://t.co/Lvt132frZx
1389748138412544000,anildash,2021-05-05 01:05:51,en,0,3357,RT @AyannaPressley: Abolish the death penalty.
1389736193139556356,anildash,2021-05-05 00:18:23,en,0,264,"RT @ayanaeliza: On June 1st, @NatGeo will delete the 50+ blog posts I wrote from 2013-2018, as part of ""reimagining"" their website. If you…"
1389718022462529539,anildash,2021-05-04 23:06:10,en,1,0,@goldman @seldo New features in Dano are incredible.
1389714987321544708,anildash,2021-05-04 22:54:07,und,1,0,@Chad_Hurley ☑️
1389714590007709696,anildash,2021-05-04 22:52:32,en,0,0,@MichaelCarusi @backlon The lack of an XML file is not the failure here.
1389713229522391048,anildash,2021-05-04 22:47:08,en,16,0,@backlon Missed the chance to be the first feed banned on Google Reader.
1389713044759007232,anildash,2021-05-04 22:46:24,en,0,3,RT @aframevr: @glitch is a wonderful tool for the @aframevr community to learn and help each other 👏
1389710048906125315,anildash,2021-05-04 22:34:29,en,0,188,"RT @DrRJKavanagh: Can I also say, fuck the way this story is reported here - even after being executed, even after being exonerated, an ""in…"
1389709915581730825,anildash,2021-05-04 22:33:58,en,2,0,@BunchesOfBees @vogon Oh wow just imagined a great t-shirt
1389704565617008648,anildash,2021-05-04 22:12:42,en,8,0,@AllanCanSeeYou @MaraWilson There’s an entire community obsessed with the use of these samples in decades of pop mu… https://t.co/tjjLZdoqEa
1389703990653329409,anildash,2021-05-04 22:10:25,en,7,0,@darlingnisi So rare to catch him running game on camera.
1389703650075811843,anildash,2021-05-04 22:09:04,en,1,1,@alexwilliams There’s no story about Prince that’s too fantastic to be true. https://t.co/j3j7bKLEOt
1389703397129994242,anildash,2021-05-04 22:08:03,en,7,0,@MaraWilson https://t.co/dYqBoL5BPE I got good news for ya!
1389701783409278976,anildash,2021-05-04 22:01:39,en,38,0,@MaraWilson Noooo that sample is so important!!!
1389700495212744711,anildash,2021-05-04 21:56:32,en,1,0,"@alexwilliams Still one of my great regrets that I didn’t accept his invitation to his LA house, as he did joke abo… https://t.co/9a9Bmb2qts"
1389698484891275264,anildash,2021-05-04 21:48:32,en,4,0,@McKelvie @andylevy Pretty Darn Funny
1389692113269428226,anildash,2021-05-04 21:23:13,en,1,0,"@kimtv Yeah! A little tired but I mean, I been that way for a year"
1389690515189338113,anildash,2021-05-04 21:16:52,en,3,0,@owillis @espiers Don’t you dare
1389689093391589381,anildash,2021-05-04 21:11:13,en,4,0,@espiers Gotta start with the operating system. Rudy has to build him one so they know it’s secure.
1389688738134073344,anildash,2021-05-04 21:09:48,en,0,356,"RT @C_Stroop: But honestly have they tried just not being evangelical. I mean, no one is born evangelical. It’s a destructive lifestyle cho…"
1389688218401005571,anildash,2021-05-04 21:07:45,en,8,0,"@espiers Not the full punishment they deserve, but a start."
1389679354519736321,anildash,2021-05-04 20:32:31,en,0,13,"RT @CarlinaRivera: If we can reopen NYC, why not our senior centers?

Grateful to stand with my neighbors to call for the safe reopening of…"
1389679142728257542,anildash,2021-05-04 20:31:41,en,4,0,@DocDre @afrobella @awkward_duck Had this conversation this past weekend!
1389674746955116545,anildash,2021-05-04 20:14:13,en,0,904,"RT @nhannahjones: The arrogance of people who presume it's because people are being silly, or frail or anti-science. I know I am vaccinated…"
1389662771562811393,anildash,2021-05-04 19:26:38,ca,0,59,RT @Adriyoung: important PSA: https://t.co/vcNNyUUSt8
1389661932840488961,anildash,2021-05-04 19:23:18,en,0,163,"RT @AstroKatie: 📚 ANNOUNCEMENT! 🎉

The paperback version of my book is out TODAY! May the 4th! It is immensely exciting!

Features of the p…"
1389648377416232960,anildash,2021-05-04 18:29:26,en,4,0,@techgirl1908 Got to.
1389643764822593540,anildash,2021-05-04 18:11:06,und,10,0,@techgirl1908 Yooo
1389638263929987080,anildash,2021-05-04 17:49:15,en,0,2,"RT @ItsTheBrandi: The Iowa Butter Cow is one cow built on a frame. Butter is applied and sculpted. The butter is sometimes recycled. 

MN h…"
1389635481017716738,anildash,2021-05-04 17:38:11,en,0,59,"RT @anildash: This is a huge @Glitch update: You can build &amp; launch a full-stack or static site, using frameworks like React or Eleventy, i…"
1389635149415989252,anildash,2021-05-04 17:36:52,en,3,0,@gluemesh Hope you &amp; yours are doing as well as possible.
1389622685181923331,anildash,2021-05-04 16:47:20,en,1,0,"@BrandonLive I used the skeeball ticket analogy here, indeed. https://t.co/GghscTMpNB"
1389618953656446978,anildash,2021-05-04 16:32:31,und,10,0,@TheWebbyAwards @prince @TheCurrent https://t.co/mPdFPn7RIi
1389618849591537666,anildash,2021-05-04 16:32:06,en,0,129,"RT @prince: The Official Prince Podcast series ""The Story of Sign O' The Times,"" produced with @TheCurrent, has been nominated in two separ…"
1389617404817330183,anildash,2021-05-04 16:26:21,en,0,246,RT @OhDionne: and we're seeing this happen in Minnesota right now!! about 59% of the adult population has had their first shot. 3 deaths re…
1389616025713446917,anildash,2021-05-04 16:20:53,en,0,36,"RT @ekp: Today marks 5 years since @projectinclude's launch. Thank you to everyone who has implemented our recommendations, amplified our m…"
1389613067227574273,anildash,2021-05-04 16:09:07,en,1,0,"@GloverLawFL @mattzollerseitz @jbouie Yep, we may be reading into it from our varied experiences."
1389612960583143435,anildash,2021-05-04 16:08:42,en,1,0,"@tinysubversions You can see we (uncharacteristically!) ended up with something of a ""why not both?"" answer with th… https://t.co/mTMn8lEUtj"
1389612616495112193,anildash,2021-05-04 16:07:20,en,2,0,"@littlecalculist @mattzollerseitz @jbouie ah yes, i remember that joy from my limited work in standards. Around abo… https://t.co/CMojdGlq5z"
1389612388417163266,anildash,2021-05-04 16:06:25,en,0,0,@GloverLawFL @mattzollerseitz @jbouie Sure. But the key here is how this intersects with things like microaggressio… https://t.co/33zPAGqf5i
1389612087236861952,anildash,2021-05-04 16:05:13,en,0,0,"@tinysubversions yyyeah we've been thinking about this a lot and part of the challenge is what the goals of that ""s… https://t.co/FbFlvhvWuB"
1389611736538435584,anildash,2021-05-04 16:03:50,en,0,0,"@GloverLawFL @mattzollerseitz @jbouie that's just more about people being shitty to strangers, which is a sign that… https://t.co/mXdrDCqWFS"
1389610663807438848,anildash,2021-05-04 15:59:34,en,0,0,"@GloverLawFL @mattzollerseitz @jbouie Maybe the more appropriate question is, ""who cares about someone emailing you… https://t.co/hK9Dgdce5w"
1389608612956413955,anildash,2021-05-04 15:51:25,en,0,4,RT @dollarshort: Good. Also let’s have the states compete and the first one to get to 90% vaccinated gets a pizza party.  https://t.co/bSCA…
1389599243388825602,anildash,2021-05-04 15:14:11,en,0,232,"RT @ShitUserStory: As a...
– potential customer
I want to...
– call for pricing
so that...
– I can enjoy a sales pitch and product demo htt…"
1389599208546750468,anildash,2021-05-04 15:14:03,en,5,0,@goldman @moskov This is another one of those situations where media companies should all be working from a shared… https://t.co/VSxnf5DDNf
1389591505090846723,anildash,2021-05-04 14:43:26,en,0,80,"RT @ruchowdh: It’s almost as if...code is a tool that (hear me out) can be utilized as a supplement to subject matter expertise. 

And to c…"
1389579178442375176,anildash,2021-05-04 13:54:27,en,0,69,RT @RevJacquiLewis: Vaccines are safe and effective
1389577051049496582,anildash,2021-05-04 13:46:00,en,26,2,@reckless Products for media junkies are important and valuable but never reach Silicon Valley scale and this entir… https://t.co/cRpGPdnSsE
1389573928176209921,anildash,2021-05-04 13:33:36,en,4,0,"@scottros @joshtpm @jbouie @mattzollerseitz Hell, I get this for DMs to my account. I always wonder what their ment… https://t.co/XTgiH5hXBh"
