id,username,created_at,lang,favorite_count,retweet_count,text
1390057472208084996,buissonnierem,2021-05-05 21:35:02,en,2,1,Hugely important first step - now time for the USG to use its leverage to get companies to share Vx know-how… https://t.co/4G14imCuD3
1390032832026890243,buissonnierem,2021-05-05 19:57:07,en,0,332,"RT @gregggonsalves: We have ALWAYS said #TRIPSwaiver was a start. We're now at the starting line. We need tech transfer now, need USG to us…"
1390024548737818626,buissonnierem,2021-05-05 19:24:12,en,0,17329,"RT @AmbassadorTai: These extraordinary times and circumstances of call for extraordinary measures. 

The US supports the waiver of IP prote…"
1389651383109013505,buissonnierem,2021-05-04 18:41:22,en,1,2,The US has the ability to mobilize resources and powerful leverage over companies that have so far resisted serious… https://t.co/SgSbqXaD8f
1389546723941490690,buissonnierem,2021-05-04 11:45:30,en,0,73,RT @akapczynski: Pharma claims that vaccines are too complex to be made in the global South. Check out how history has proven them utterly…
1389321069593518084,buissonnierem,2021-05-03 20:48:49,en,0,104,"RT @DrTomFrieden: It will take time to expand global vaccine production—we must start now. India, South Korea, Singapore, Brazil and other…"
1389212259109511171,buissonnierem,2021-05-03 13:36:27,en,2,0,"Uplifting news from DRC - last EVD outbreak is over, huge credit due to local health workers  https://t.co/EEX97pUXBn"
1388547305540837378,buissonnierem,2021-05-01 17:34:10,en,7,2,Your WE thread 👇👇👇 https://t.co/UVPK1twYH2
1387856421342035969,buissonnierem,2021-04-29 19:48:50,en,14,6,8% (1.2B doses) of manufacturers’ declared target for  2021 had been produced as of April. To reach the announced 1… https://t.co/PQ0fZsBdmY
1387829522028957699,buissonnierem,2021-04-29 18:01:57,en,28,11,Factory owners from Bangladesh to Canada have said they stand ready to retrofit facilities and move forward with Vx… https://t.co/gC9UDekwck
1385043954584981507,buissonnierem,2021-04-22 01:33:06,en,11,1,US gov can use its ownership of a crucial Vx patent to push companies to share their expertise w/ other manufacture… https://t.co/2pyO672g1B
1385038662648336391,buissonnierem,2021-04-22 01:12:04,en,0,21,"RT @LawrenceGostin: If the US donates 1 vaccine dose to a LMIC, it saves a life

If science &amp; tech are shared, it can save a nation

USG sh…"
1385012232057147398,buissonnierem,2021-04-21 23:27:03,en,0,66,"RT @realtahiramin: Fact check: @natashaloder.  I tweeted about this when Moderna made its statement . https://t.co/oF24AXatfx

If you read…"
1384996889318338564,buissonnierem,2021-04-21 22:26:05,en,0,2,RT @Jocelyn_Mackie: 👇🏻- this is why ⁦@gchallenges⁩ seeks a non-exclusive access license to intellectual property we fund for use in a publi…
1384574231594295297,buissonnierem,2021-04-20 18:26:35,und,13,7,👇 https://t.co/JCAK3C25Jl
1383791825639469059,buissonnierem,2021-04-18 14:37:35,en,0,98,"RT @ElsTorreele: In mere months, Moderna transformed an old Polaroid factory in America into a state-of-the-art vaccine-production centre.…"
1383059820916400133,buissonnierem,2021-04-16 14:08:51,en,0,390,RT @DrTomFrieden: mRNA technology is easier to tweak in case dangerous variants emerge and it's less susceptible to production problems tha…
1382037747926503426,buissonnierem,2021-04-13 18:27:30,en,0,10,RT @zainrizvi: .@DrTomFrieden making a powerful case for sharing mRNA technology to help ramp up global vaccine production. Companies have…
1377995741868793857,buissonnierem,2021-04-02 14:46:01,en,5,4,"""The pandemic treaty offers an opportunity to bring pol. power to a flailing governance mechanism. But there is no… https://t.co/If2R32QvbZ"
1377962427032207366,buissonnierem,2021-04-02 12:33:38,en,10,6,"""Our failure to translate tech progress into an effective global health response... and protect the most vulnerable… https://t.co/dx0k45l42J"
1377386095646711809,buissonnierem,2021-03-31 22:23:30,en,1,2,"As of March 30, 86% of shots had been administered in high- &amp; upper-middle-income countries. Only 0.1% had been adm… https://t.co/7bU6bYydw1"
1377223047170641921,buissonnierem,2021-03-31 11:35:36,en,8,10,Ever wondered about industry's points re. needing to charge high prices &amp; maintain strong IP protections to support… https://t.co/pJPltsHY5R
1376552626712670211,buissonnierem,2021-03-29 15:11:35,en,23,7,"Yes, well said @PeterASinger ! High time for tech transfer and scaling of manufacturing in LMIC, both urgently need… https://t.co/lgUEQKBzdR"
1375823334492020736,buissonnierem,2021-03-27 14:53:39,en,10,5,Your WE must read by @realtahiramin :  The Folly of Hoarding Knowledge in the COVID-19 Age https://t.co/TRnNOiQBnS via @ForeignAffairs
