id,username,created_at,lang,favorite_count,retweet_count,text
1388477346605277185,collinDcunha,2021-05-01 12:56:10,en,0,5294,"RT @venkateshprasad: "" Meet the Venkaboys "" https://t.co/ELkcpb9sxt"
1388025299623768068,collinDcunha,2021-04-30 06:59:54,en,0,6579,"RT @AC360: “This is truly a terrifying and epic crisis,” says @ClarissaWard, as a deadly coronavirus outbreak ravages India. “It is just st…"
1386741358824722438,collinDcunha,2021-04-26 17:57:59,en,0,376,"RT @Variety: Chloé Zhao explains the meaning behind Frances McDormand's #Oscars howl. It was a tribute for the late production sound mixer,…"
1386565432014901248,collinDcunha,2021-04-26 06:18:54,en,0,19,RT @RajaSen: Anthony Hopkins was great but you haven't seen The Father unless you've seen Naseeruddin Shah do it live on stage. A mastercla…
1386337625125048323,collinDcunha,2021-04-25 15:13:41,en,0,1714,RT @yogital: Sights you never thought you’d see. An oxygen tanker with police escorts. More precious than gold. #india #covid19 https://t.c…
1385820916379181057,collinDcunha,2021-04-24 05:00:28,en,0,411,"RT @yogital: Fear, anguish, helplessness, but also grit. What we saw in a #covid19 hospital in Delhi. #india"
1385675815384281091,collinDcunha,2021-04-23 19:23:53,en,32,9,"How many times must a man look up
Before he can see the sky?
And how many ears must one man have
Before he can hear… https://t.co/QbYhZb1i9B"
1385150552384802817,collinDcunha,2021-04-22 08:36:41,en,0,5546,RT @MumbaiPolice: We understand it’s essential for you sir but unfortunately it doesn’t fall under our essentials or emergency categories!…
1385119502531190785,collinDcunha,2021-04-22 06:33:18,en,0,930,"RT @yogital: This was hard to report on, and will be hard to watch. A small glimpse of what #COVID19 is doing to #India."
1384888239899561991,collinDcunha,2021-04-21 15:14:21,en,0,2329,"RT @barandbench: [BREAKING - Urgent hearing at 8 pm] 

Max Hospital Patparganj moves Delhi High Court. 

Max Patparganj has currently only…"
1382331423575605248,collinDcunha,2021-04-14 13:54:28,en,1,0,@Manbach12 Thank you 😊
1381577155457392649,collinDcunha,2021-04-12 11:57:16,en,1,0,@nitin_baid Same same https://t.co/JvzaTtckLb
1381342920704413699,collinDcunha,2021-04-11 20:26:31,en,4,1,Yuh-Jung Youn’s winning speech where she thanks British people also known as snobbish people 🤣 #Minari #Baftas https://t.co/JvpMRXNH8o
1381340722025144326,collinDcunha,2021-04-11 20:17:46,en,0,13,RT @Soni_Razdan: In my dreams there is no Covid...
1380866083574444032,collinDcunha,2021-04-10 12:51:44,en,15,0,#IsabelleHuppert spilling the tea about Bollywood Films in #CallMyAgent 🤣🤣 https://t.co/lrYnBIDiDf
1380580784327823360,collinDcunha,2021-04-09 17:58:03,en,4,0,"Who plays your parents in your biopic ? 

Only my biopic can’t be as boring as #Boyhood https://t.co/8FbnLT52QN https://t.co/IPzLa50kpz"
1380247941458300928,collinDcunha,2021-04-08 19:55:27,und,0,0,@Navjotalive https://t.co/kYNYN0zhXl
1380246003656314890,collinDcunha,2021-04-08 19:47:45,en,2,0,After one whole year of sanitising ... https://t.co/Y3qD3aeqdT
1379869375247835140,collinDcunha,2021-04-07 18:51:10,en,0,142,"RT @deemelinda: Meanwhile, elsewhere in the world:

Italy Abolishes Film Censorship, Ending Government Power to Ban Movies https://t.co/lqe…"
1377995239915409410,collinDcunha,2021-04-02 14:44:01,en,0,0,@cameron_tiff It was the first film that was screened for us as part of our daily screenings at the film institute… https://t.co/cNmrHdLzEo
1368607260788723713,collinDcunha,2021-03-07 16:59:33,en,0,0,@somenmishra0 @anupamsri Get an iPhone
1367372006438666240,collinDcunha,2021-03-04 07:11:05,und,11,0,😊😊❤️ https://t.co/qShdxnq4Uq
1367356733778243585,collinDcunha,2021-03-04 06:10:24,und,1,0,@m_samina 😊❤️
1367353022414807040,collinDcunha,2021-03-04 05:55:39,und,1,0,@karanjohar @apoorvamehta18 #ShashankKhaitan @collinDcunha #SharanSharma @raj_a_mehta @bps_91 @paraschakrvarti… https://t.co/NkmVgDnB8k
