id,username,created_at,lang,favorite_count,retweet_count,text
1390018340710719492,e2org,2021-05-05 18:59:32,en,5,2,The fact that there more Americans are employed by clean energy than fossil fuels is a message we need more America… https://t.co/HKH489XxbL
1390004716822728708,e2org,2021-05-05 18:05:24,en,0,58,"RT @ClimatePower: .@SecretaryPete gets it: Investing in clean energy = investing in good, union jobs. Rebuilding our infrastructure = rebui…"
1390004284561965068,e2org,2021-05-05 18:03:41,en,0,128,"RT @JohnArnoldFndtn: I often hear concerns about land requirements of renewable energy, including in a Bloomberg article last week. Two poi…"
1389985241486528516,e2org,2021-05-05 16:48:00,en,2,0,"3.3 MILLION -- That's how many jobs could be created globally by wind energy over the next 5 yrs, accd to analysis… https://t.co/j88zme34Qd"
1389672936769040400,e2org,2021-05-04 20:07:01,en,1,0,Electrifying buildings at the pace and scale needed to meet climate goals is an opportunity to create millions of f… https://t.co/fVHzTZAOT6
1389615804568637442,e2org,2021-05-04 16:20:00,en,2,0,Are YOU an aspiring business leader looking to work on smart climate policies that can lead U.S. economic growth in… https://t.co/dpBofY3jbP
1389610003179393024,e2org,2021-05-04 15:56:57,en,1,0,DID YOU KNOW: Even after a pandemic-fueled 2020 saw #cleanenergy jobs decrease for the 1st time since E2 began trac… https://t.co/QAnYB1flrg
1389608720020217860,e2org,2021-05-04 15:51:51,en,0,79,RT @EPAMichaelRegan: Breaking: ⁦@EPA⁩ is taking another significant step to address the climate crisis. The phasedown of #HFCs will promote…
1389263073303797765,e2org,2021-05-03 16:58:22,en,0,1,"200+ architects, contractors, and engineers agreed back in March in our letter to Congress.

Their message? Transit… https://t.co/ughylW2VtC"
1389262490794594309,e2org,2021-05-03 16:56:03,en,0,38,RT @jswatz: The E.P.A. estimated that the HFC rule will result in $283.9 billion in health and environmental benefits by the middle of the…
1389262159545311236,e2org,2021-05-03 16:54:44,en,6,3,"As @StephenYurek and E2's @bkeefee2 wrote in February, this move to crack down on HFCs will add thousands of new jo… https://t.co/YpmbovlJkK"
1388186571053146112,e2org,2021-04-30 17:40:44,en,0,54,RT @ENERGY: ♨️ HOT HOT HOT. We’re announcing $12 million to unlock the full potential of geothermal power to create good-paying jobs for oi…
1388186439058341889,e2org,2021-04-30 17:40:12,en,0,12,"RT @ACORE: 🚨MILESTONE ALERT🚨
On Saturday, renewables met 95% of the energy demand in California, one of the world's largest economies. Our…"
1388172155385491460,e2org,2021-04-30 16:43:27,en,2,2,There are just two more weeks to apply for the @1Hotels Fellowship at E2 for young entrepreneurs and business leade… https://t.co/bdQQxsHgBd
1388141101123518464,e2org,2021-04-30 14:40:03,en,2,0,"""It’s looking more and more as if [#solar #wind] constitute the world’s next great technological advance, a leap as… https://t.co/NeILVxrSK1"
1388139857185320967,e2org,2021-04-30 14:35:07,en,0,6,"RT @ACORE: ""The clean energy boom offers the rare glimmer not just of hope, but something more: excitement."" 

A new column from @fmanjoo t…"
1388122464488550403,e2org,2021-04-30 13:26:00,en,2,1,"Reminder: There are a lot of #cleanenergy jobs already in America, employing blue collar workers in every state.… https://t.co/0AK847NjjU"
