id,username,created_at,lang,favorite_count,retweet_count,text
1390074831589216261,eatright,2021-05-05 22:44:00,en,8,1,"When babies start to eat solid foods, their dietary needs change, and certain nutrients are key to growing and deve… https://t.co/SJiV51M6dA"
1390051356598226944,eatright,2021-05-05 21:10:43,en,0,1,"RT @DCDietitians: As we age, our bodies have different needs and certain nutrients become especially important for good health. Use these h…"
1390049667237523459,eatright,2021-05-05 21:04:01,en,4,3,"Since the evening of April 12, Muslims have been celebrating #Ramadan and practicing the act of fasting from dawn t… https://t.co/1n7JKo8Zfa"
1389992549545390081,eatright,2021-05-05 17:17:03,en,22,11,"Tonight, celebrate #CincodeMayo at home! 🥳 To prepare a delicious and nutritious spread for your family's fiesta, u… https://t.co/33xpA3juqQ"
1389988789532209155,eatright,2021-05-05 17:02:06,en,0,7,RT @EatRightOhio: #Magnesium is an important part of the more than 300 enzymes found in your body. These enzymes involved in processes that…
1389985779397668864,eatright,2021-05-05 16:50:09,en,0,4,"RT @LubbockAgriLife: 4 Simple Steps to Keep Food Safe
@eatright Cross-contamination is how bacteria can spread. It occurs when juices from…"
1389943470555545605,eatright,2021-05-05 14:02:01,en,10,7,Did you know people with #celiacdisease can alleviate symptoms through #nutrition? During the first week of… https://t.co/J37SHNDZwX
1389941298635976704,eatright,2021-05-05 13:53:24,en,0,1,RT @GingerHultinRD: Did you know an estimated 8% of American children are allergic to certain foods? Throughout National #FoodAllergy Aware…
1389717982251831296,eatright,2021-05-04 23:06:01,en,1,2,"Infused with Southeast Asian tradition and the flavor of outdoor grilling, satay makes a great warm-weather main di… https://t.co/pUp8caTftB"
1389703940439220224,eatright,2021-05-04 22:10:13,en,0,3,"RT @NutritiousTable: DYK May is #CeliacAwarenessMonth? Take a few minutes to learn about the risk factors, symptoms and diagnosis of celiac…"
1389668408111808515,eatright,2021-05-04 19:49:01,en,9,4,"Want to prepare more heart-healthy meals at home? Use these tips to reduce your sodium intake, cook with healthful… https://t.co/n6EhDmacJE"
1389623257083547654,eatright,2021-05-04 16:49:37,en,0,1,RT @NJKidsHealth: #Eatright.org has ideas on how to make exercising fun for the whole family! Check out the article below to get you and yo…
1389605238877958148,eatright,2021-05-04 15:38:01,en,41,16,"May is #NationalSaladMonth! To add variety and #nutrition to your salads, top them with these delicious, unexpected… https://t.co/LQjtjmZzUM"
1389579094510215172,eatright,2021-05-04 13:54:07,en,0,1,"RT @CarverCoPH: Did you know May is #CeliacAwarenessMonth? Take a few minutes to learn about the risk factors, symptoms and diagnosis of ce…"
1389351886302728193,eatright,2021-05-03 22:51:17,en,0,4,"RT @EatRightND: Did you know May is #CeliacAwarenessMonth? Take a few minutes to learn about the risk factors, symptoms and diagnosis of ce…"
1389346280791547906,eatright,2021-05-03 22:29:00,en,7,2,"During #NationalSaladMonth, prepare this #recipe that has the colors of the rainbow and uses handy ingredients such… https://t.co/oKkX2e0PR6"
1389251939821555716,eatright,2021-05-03 16:14:08,en,20,8,"Magnesium is an important mineral, and the amount required daily depends on a person's age and gender. Learn more a… https://t.co/TFQx8jdIAR"
1389230729129873416,eatright,2021-05-03 14:49:51,en,0,1,"RT @EatRightMO: Did you know May is #CeliacAwarenessMonth? Learn about the risk factors, symptoms and diagnosis of celiac disease:
https://…"
1389228610490445824,eatright,2021-05-03 14:41:26,en,0,3,"RT @VillanovaCOPE: It's May, which means its Older Americans Month. As we age, our bodies have different needs and certain nutrients become…"
1389228467544281090,eatright,2021-05-03 14:40:51,en,0,1,"RT @KentuckyAND: Did you know May is #CeliacAwarenessMonth? Take a few minutes to learn about the risk factors, symptoms and diagnosis of c…"
1389210134954524673,eatright,2021-05-03 13:28:01,en,1,1,"#Gout, a type of #arthritis, is a very painful condition that occurs in episodes or attacks.

While there is no cur… https://t.co/e4GGiIzqzi"
1388889025302368263,eatright,2021-05-02 16:12:02,en,6,3,"For a flavorful and protein-packed dinner, grill tuna steaks and serve with roasted tomatoes. Prepare this #recipe… https://t.co/RrtdOczO4e"
1388530524310933505,eatright,2021-05-01 16:27:29,en,0,2,RT @FoodNutriMag: On #WorldTunaDay enjoy this robust and easily customizable breakfast recipe that incorporates affordable ingredients. 🐟🥫🥚…
1388238482238287872,eatright,2021-04-30 21:07:01,en,1,1,"Called ""fruktsoppa"" in Swedish, fruit soup is prepared with raisins and other dried fruits you may already have on… https://t.co/PGfpDxrxzq"
1388103091816472585,eatright,2021-04-30 12:09:01,en,6,3,While government agencies in the United States have many protections in place to provide safe food and water to eve… https://t.co/MtkSDli6eJ
1387862254679465988,eatright,2021-04-29 20:12:01,en,9,3,"Perfect for spring barbecues and picnics, this simple broccoli salad #recipe is made with nuts, raisins and a tangy… https://t.co/Rez9Xkg2Sf"
1387785505450995713,eatright,2021-04-29 15:07:02,en,2,0,"As #AlcoholAwarenessMonth comes to an end, use these tips to enjoy alcoholic beverages safely if you choose to do s… https://t.co/yKapiaUtD3"
1387779127890034697,eatright,2021-04-29 14:41:42,en,0,0,@LigraniHeather Hi Heather! You can find ideas for exercising during any type of weather at https://t.co/Z62zscibNs.
1387771131877380106,eatright,2021-04-29 14:09:56,en,0,3,RT @shrinershosp: Eating a nutritious breakfast can help your teen get more nutrition and even perform better at school. Check out these fi…
1387771078878105603,eatright,2021-04-29 14:09:43,en,0,3,RT @eatrightwisc: IBS affects 10-15% of adults in the US. People with IBS have a sensitive GI in which stress and diet may play a role. A R…
1387768895407263750,eatright,2021-04-29 14:01:02,en,0,1,"RT @EatRightND: If you are of legal age and choose to drink alcoholic beverages, always do so responsibly. Review these helpful guidelines:…"
1387537111788707844,eatright,2021-04-28 22:40:01,en,14,5,Young people with a positive image of themselves feel more comfortable and confident in their ability to succeed. D… https://t.co/ctUISMSt4L
1387522592593129475,eatright,2021-04-28 21:42:19,en,0,1,RT @GingerHultinRD: April is #MoveMoreMonth! Learn more about the benefits of physical activity and how to incorporate movement into your f…
1387510697135902722,eatright,2021-04-28 20:55:03,en,13,2,"When feeding your baby, it's especially important to understand the difference between a #foodallergy and food sens… https://t.co/weyrQx8CWp"
1387472129101291526,eatright,2021-04-28 18:21:48,en,0,4,"RT @jerlynnutrition: While no food or supplement can combat stress, maintaining a nutritious eating plan and engaging in physical activity…"
1387400464740851713,eatright,2021-04-28 13:37:02,en,13,9,Today is #StopFoodWasteDay! @FDAfood has videos to help you learn about how you can take action to reduce food wast… https://t.co/dHkYRyXo4E
1387182274886705153,eatright,2021-04-27 23:10:01,en,14,3,Spring is the perfect time to go outside and enjoy the benefits of physical activity! Use these tips to get your en… https://t.co/rLTsPFa2XF
1387132197153423360,eatright,2021-04-27 19:51:02,en,8,11,"During #EveryKidHealthyWeek and beyond, get your kids involved in the kitchen and teach them basic cooking skills!… https://t.co/4f0tJhPXgC"
1387127209656193031,eatright,2021-04-27 19:31:13,en,0,5,"RT @LisaJonesLIVE: During #StressAwarenessMonth, use these tips: https://t.co/ZZqGZAoVyA #eatright #HealthyLiving"
1387121115106095111,eatright,2021-04-27 19:06:59,en,0,3,"RT @CarverCoPH: Did you know April is Irritable Bowel Syndrome Awareness Month? Take a few minutes to learn about this common condition:
ht…"
1387075604571430913,eatright,2021-04-27 16:06:09,en,0,2,"RT @HealthyAgingDPG: If you are of legal age and choose to drink alcoholic beverages, always do so responsibly. Review these helpful guidel…"
1387066864375898115,eatright,2021-04-27 15:31:25,en,0,4,RT @WtMgmtDPG: April is #MoveMoreMonth! Learn more about the benefits of physical activity and how to incorporate movement into your family…
1387062743434473485,eatright,2021-04-27 15:15:03,en,11,6,"From arugula to watercress, leafy greens are tasty, nutritious and versatile. When using them to prepare meals, alw… https://t.co/i1TRb9uDwZ"
1387059050672791552,eatright,2021-04-27 15:00:22,en,0,0,@rumbie_263 Hi Primrose! You can learn more about the qualifications and roles of registered dietitian nutritionist… https://t.co/UqB767bHzl
1386798745036152833,eatright,2021-04-26 21:46:00,en,22,14,"For people who struggle with #constipation, making smart #nutrition choices and adopting positive lifestyle habits… https://t.co/mfVULSoFIg"
1386680096816254988,eatright,2021-04-26 13:54:33,en,0,2,"RT @happyhealthyms: If you're looking for a new breakfast recipe, give this Go Bananas Parfait a try! 

https://t.co/rxYx8wdMGr

#EatRight…"
1386678481824755721,eatright,2021-04-26 13:48:07,en,0,1,"RT @GingerHultinRD: While no food or supplement can combat stress, maintaining a nutritious eating plan and engaging in physical activity c…"
1386678443178405888,eatright,2021-04-26 13:47:58,en,0,1,"RT @CarverCoPH: If you are of legal age and choose to drink alcoholic beverages, always do so responsibly. Review these helpful guidelines:…"
1386674175906131971,eatright,2021-04-26 13:31:01,en,2,0,"To add more texture and flavor to chicken breasts, coat them with crushed pretzels, bake them, then serve with a ho… https://t.co/MefJzFBc1e"
1385713847806435329,eatright,2021-04-23 21:55:01,en,8,2,"In honor of #NationalPicnicDay, enjoy a meal outdoors with your family! 🥖🥗🧀🍎🍓

To reduce your risk of foodborne ill… https://t.co/BdKQO1w1UG"
1385673293265620992,eatright,2021-04-23 19:13:52,en,0,2,"RT @KentuckyAND: If you are of legal age and choose to drink alcoholic beverages, always do so responsibly.

Review these helpful guideline…"
1385656881969041411,eatright,2021-04-23 18:08:39,en,0,2,RT @eatrightTN: Did you know April is Irritable Bowel Syndrome Awareness Month? Take a few minutes to learn about this common condition: ht…
1385644836678684675,eatright,2021-04-23 17:20:47,en,0,3,RT @EatRightOhio: Do you follow a gluten free diet? This article offers tips on how to build your shopping list when eating gluten free. ht…
1385631052425793538,eatright,2021-04-23 16:26:01,en,5,2,"Do you use a reusable grocery tote on your shopping trips? 🛒 To ensure your tote is clean and safe to use, always f… https://t.co/KXUv6HcSQK"
1385596623095537665,eatright,2021-04-23 14:09:12,en,0,4,RT @DietitianOnline: How to Prevent 7 Picnic Food Safety Mistakes. #eatright #NationalPicnicDay #FoodSafety  https://t.co/q364WP3InL
1385324532299452421,eatright,2021-04-22 20:08:01,en,16,11,"On #EarthDay, learn why going meatless once a week is good for your health and the environment. Use these tips to i… https://t.co/Ygru0ecWBy"
1385320344014266373,eatright,2021-04-22 19:51:22,en,0,1,RT @EatRightNewYork: Did you know April is Irritable Bowel Syndrome Awareness Month? Take a few minutes to learn about this common conditio…
1385278744349356035,eatright,2021-04-22 17:06:04,en,0,3,RT @EatRightOhio: Do you rely on a #microwave for cooking your food? Read on and learn how to take proper food safety precautions and heat…
1385251570779049985,eatright,2021-04-22 15:18:05,en,0,0,"@alirezaafg2017 Hi Noyan: Thanks for reaching out, but we aren’t able to provide individualized health advice via s… https://t.co/fjlgfiqAHL"
1385239085300781062,eatright,2021-04-22 14:28:29,en,2,0,@Aatsoo_Aalee @synapse101 @EnoJane Hi there! You can search for a registered dietitian nutritionist by zip code and… https://t.co/8ysGDEvBY9
1385226526472421387,eatright,2021-04-22 13:38:34,en,0,3,RT @GingerHultinRD: Celebrate #EarthDay with sustainable eating. Learn how you can make a big impact with these small changes: https://t.co…
