id,username,created_at,lang,favorite_count,retweet_count,text
1390030953284657154,edgbaston__149,2021-05-05 19:49:39,en,0,0,Done and dusted
1390028898415509504,edgbaston__149,2021-05-05 19:41:29,en,2,0,Mc Hazard do something
1390026699836854281,edgbaston__149,2021-05-05 19:32:45,und,0,0,😭😭
1390018632827117572,edgbaston__149,2021-05-05 19:00:42,es,0,0,VAMOSS!!!!!
1390015446292721664,edgbaston__149,2021-05-05 18:48:02,pt,0,107,"RT @realmadriden: VAM⚽️S!
💥 @Benzema 
💥 @hazardeden10 
💥 @lukamodric10 
#UCL https://t.co/yOyLinlj9D"
1390014382923423746,edgbaston__149,2021-05-05 18:43:48,tl,0,0,@stfupalakk Walak
1390013464475619328,edgbaston__149,2021-05-05 18:40:09,en,0,40,RT @flo_perez_: I act like I'm OK but deep down I want to win with a Sergio Ramos paneka🤧
1390010765160062984,edgbaston__149,2021-05-05 18:29:26,en,0,0,@borntoshine_07 I was joking 😶
1390008468585676806,edgbaston__149,2021-05-05 18:20:18,en,1,0,We believe https://t.co/Ak3I2BLpYq
1390006231796916226,edgbaston__149,2021-05-05 18:11:25,und,1,0,@stfupalakk https://t.co/U3s01tYDcG
1390002572094709762,edgbaston__149,2021-05-05 17:56:52,und,0,0,@Ambivert__Girl Ha😂
1390001455210274817,edgbaston__149,2021-05-05 17:52:26,und,0,0,@Ambivert__Girl 8 tk😬
1390000206771486721,edgbaston__149,2021-05-05 17:47:28,hi,0,0,@Ambivert__Girl Achha gya
1389999249388019712,edgbaston__149,2021-05-05 17:43:40,hi,0,0,@RIVERROADHABIT Abhi match hai dekh lena 😂
1389997776931463169,edgbaston__149,2021-05-05 17:37:49,und,0,0,@RIVERROADHABIT 😂😂
1389994728842678278,edgbaston__149,2021-05-05 17:25:42,es,0,0,@ChelseaFC 3-0 madrid
1389991082868449286,edgbaston__149,2021-05-05 17:11:13,en,0,381,"RT @realmadriden: 🏟️🚌🚶 On our way to the stadium! 
#UCL | @HUGOBOSS | #BOSSsports https://t.co/oRPg7b8WmY"
1389991071292084224,edgbaston__149,2021-05-05 17:11:10,es,1,0,@realmadriden @HUGOBOSS Vamos
1389988974546939907,edgbaston__149,2021-05-05 17:02:50,und,0,0,@StanVirat W
1389966719137972224,edgbaston__149,2021-05-05 15:34:24,en,0,429,"RT @realmadriden: ⚡ BRING ON TONIGHT! ⚡ 
#UCL https://t.co/z8bOz0h9uj"
1389966089509957633,edgbaston__149,2021-05-05 15:31:54,hi,1,0,"@diwakarkumar47 Virat Kohli
Rohit Sharma
Rishabh Pant
Kane Williamson
Babar Azam"
1389961029593964546,edgbaston__149,2021-05-05 15:11:48,en,0,0,@borntoshine_07 No one care
1389960913633959938,edgbaston__149,2021-05-05 15:11:20,en,0,0,@Ambivert__Girl Exam 😬🤕
1389959161203421186,edgbaston__149,2021-05-05 15:04:22,et,0,0,@Ambivert__Girl Hii Sidra🤕
1389938709676531714,edgbaston__149,2021-05-05 13:43:06,en,0,0,@peachworld26 Thik hoo
1389938538947387393,edgbaston__149,2021-05-05 13:42:26,und,1,0,@Ambivert__Girl Oh😍
1389938106376212482,edgbaston__149,2021-05-05 13:40:43,und,0,0,@peachworld26 ?
1389936536238526474,edgbaston__149,2021-05-05 13:34:28,und,0,3,RT @fratbucky: https://t.co/ebPvNgVK2J
1389935534219268104,edgbaston__149,2021-05-05 13:30:29,en,0,0,I am feeling a Sergio Ramos header today
1389933808145760262,edgbaston__149,2021-05-05 13:23:38,en,0,1555,RT @Iamrahulkanal: Meeting our Captain...Respect and love for the movement he has started working on for COVID relief... No words just Resp…
1389924693675712513,edgbaston__149,2021-05-05 12:47:25,en,0,0,@MadridXtra @miguelitocope Better than pink ones
1389865348082536449,edgbaston__149,2021-05-05 08:51:36,hi,0,0,@headingley_135 Kuch bhi nhi
1389860067986460675,edgbaston__149,2021-05-05 08:30:37,und,1,0,https://t.co/N8vjUBo1WM https://t.co/ZATkU2vh6o
1389858582238093312,edgbaston__149,2021-05-05 08:24:42,en,0,872,RT @CricCrazyJohns: This is the first time in Indian cricket history a wicket keeper batsman in Top 10 in ICC Test batsman ranking - Rishab…
1389858099134025730,edgbaston__149,2021-05-05 08:22:47,und,1,0,@ChetanshiB ☺️
1389857450661089282,edgbaston__149,2021-05-05 08:20:13,hi,0,0,@stfupalakk Phir tumhe bhi school jana padega
