id,username,created_at,lang,favorite_count,retweet_count,text
1389999156006113283,engineers_feed,2021-05-05 17:43:18,en,56,5,"World of Engineering Quiz:

I am the coldest planets and the farthest from the sun:"
1389973166747918336,engineers_feed,2021-05-05 16:00:02,en,487,27,What are some of the most useless inventions ever made?
1389961878290448389,engineers_feed,2021-05-05 15:15:10,en,2769,358,Turning screws inside a piece of wood using a magnetic drill 🧲 by @JeffMackDesigns https://t.co/mhLJiVQRQI
1389927860777926660,engineers_feed,2021-05-05 13:00:00,en,667,86,"“Perfection is achieved, not when there is nothing more to add, but when there is nothing left to take away.”
― Antoine de Saint-Exupery"
1389917410405371912,engineers_feed,2021-05-05 12:18:28,en,259,26,"Taking on Gravity. Book from the founder of Gravity Industries Ltd, Richard Browning: https://t.co/IJ9nVy9x0x https://t.co/HgZ03WNKvv"
1389917403090391042,engineers_feed,2021-05-05 12:18:26,en,7133,1103,Taking things to another level by @takeonGravity 🚀 https://t.co/nfogN0P0pB
1389852363217723392,engineers_feed,2021-05-05 08:00:00,en,618,40,"Term of the day: Centripetal force

Definition: A force acting against rotational acceleration."
1389828539046838273,engineers_feed,2021-05-05 06:25:20,en,1869,205,"Every pro was once an amateur. Every expert was once a beginner. So dream big. And start now.
📱… https://t.co/NmockVyVZj"
1389814307353944064,engineers_feed,2021-05-05 05:28:47,en,0,497,"RT @stem_feed: Automated floor transformation at Tobin Center for the Performing Arts

https://t.co/QE5cwIiqd2 https://t.co/uQixlVtI08"
1389805806221070342,engineers_feed,2021-05-05 04:55:00,en,888,101,"On May 5, 1835 – The first railway in continental Europe opens between Brussels and Mechelen. https://t.co/2RqP1LWSgA"
1389714957659373570,engineers_feed,2021-05-04 22:54:00,und,738,63,52135640 = 19⁵+19²+19¹+19³+19⁵+19⁶+19⁴+19⁰
1389664134464262147,engineers_feed,2021-05-04 19:32:03,en,0,320,"RT @nerds_feed: Stephen Wiltshire is a British artist with autism. He was flown around New York City in a helicopter, and then proceeded to…"
1389656517352247301,engineers_feed,2021-05-04 19:01:46,und,0,14158,RT @SpaceX: #MayThe4thBeWithYou https://t.co/1T7aXNZgkD
