id,username,created_at,lang,favorite_count,retweet_count,text
1393685764043595776,garyvee,2021-05-15 21:52:34,en,28,0,@ajv @innonate @msg Finally
1393685711526760456,garyvee,2021-05-15 21:52:21,en,341,37,4 minutes away from the final drop .. after that it’s all open market ... https://t.co/tukU45Zmog
1393654834918789127,garyvee,2021-05-15 19:49:40,en,0,20,"RT @TeamGaryVee: ""How To Respectfully Not Give A Damn About Other People's Opinions | Raising The Bar Podcast"" -- Listen now on @ApplePodca…"
1393631601507061760,garyvee,2021-05-15 18:17:20,en,355,28,Get one free MJ ... I’m doing giveaways next week on discord ♥️❤️ https://t.co/KoUtevvuYu
1393631532674437125,garyvee,2021-05-15 18:17:04,en,0,5,"RT @KaushalKakadia: @garyvee Hmmm keyword is ""initial"" 🤔"
1393628442374123521,garyvee,2021-05-15 18:04:47,en,102,10,More https://t.co/oSI3UAGH6L
1393625669972660231,garyvee,2021-05-15 17:53:46,en,257,18,Got confused lol 155 is when the floor hits .. lol .. 555 is last initial drop .. man this has been a long week ♥️ https://t.co/Q2vSNSFYqk
1393605157309591553,garyvee,2021-05-15 16:32:16,en,24,2,@BrianVlasich @veefriends Lava is just so ...
1393319057055756296,garyvee,2021-05-14 21:35:24,en,0,25,"RT @TeamGaryVee: ""How People Will Flex Their Public Wallets In The Digital World | Kyle and Jackie O Show"" @kyleandjackieo -- Listen now on…"
1393291047367753728,garyvee,2021-05-14 19:44:06,en,37,0,@UF7Gator @veefriends U can win one in my discord - giving away 50 tokens next week
1393289293083422720,garyvee,2021-05-14 19:37:08,en,4,0,@RickyDebler I like marathons
1393289133410357249,garyvee,2021-05-14 19:36:30,en,1073,123,"Caring about something “silly” I’d such a healthy balance to life 

Hobbies and passions are wonderful additions to… https://t.co/iXsokVpKGk"
1393272265396076544,garyvee,2021-05-14 18:29:28,en,2214,119,It was such a journey to launch ⁦@veefriends⁩ .. I’ll never forget it .. and now I get to build it for 45 years ❤️… https://t.co/X1kgxRBjEV
1393251396380676101,garyvee,2021-05-14 17:06:32,en,700,40,Anyone know company’s they are great at making Halloween costumes ??
1393238591384477698,garyvee,2021-05-14 16:15:39,en,0,18,RT @SteveElsewhere: Get you someone who holds you the way @garyvee holds a polycom https://t.co/TSs6rfMv21
1393226608522190851,garyvee,2021-05-14 15:28:03,und,5,1,@RoadSodaPod @veefriends @veeconference @mikefrizzelle 💔 ... lol
1393225934199791620,garyvee,2021-05-14 15:25:22,en,671,59,🐄 common sense is cool ♥️ https://t.co/MzWS43zFEl
1393201542594011140,garyvee,2021-05-14 13:48:26,en,0,19,"RT @TeamGaryVee: ""How People Will Flex Their Public Wallets In The Digital World | Kyle and Jackie O Show"" @kyleandjackieo -- Listen now on…"
1393063691550085121,garyvee,2021-05-14 04:40:40,und,5,0,@alexmarks3D @veefriends TY
1393057709046517767,garyvee,2021-05-14 04:16:54,en,0,10,RT @brianjeronimo: Proud owner of an Epic Dapper Dachshund @veefriends @garyvee #veefriends https://t.co/uZe13hL2gu
1393012655976222728,garyvee,2021-05-14 01:17:52,en,0,19,"RT @beaveefriend: As far as I can tell, #ObservantOyster is the only token that has BOTH, the number 5 incorporated and @garyvee’s signatur…"
1393012598677835784,garyvee,2021-05-14 01:17:39,en,0,11,RT @nhojkedals: Look at this cute fellow I found playing in my backyard. #veefriends @veefriends @garyvee https://t.co/oVxrciWiUD
1393012208179814408,garyvee,2021-05-14 01:16:06,en,0,9,RT @thelabchick: @BigMeesh33 @garyvee @veefriends @Lakers @nbatopshot @NBA I am now! https://t.co/anGKWQbxLC
1393012073144127488,garyvee,2021-05-14 01:15:33,en,0,12,RT @decryptmedia: .@garyvee: The Decrypt Interview https://t.co/PLq6VBd1o3
1392962798599221255,garyvee,2021-05-13 21:59:45,en,0,27,"RT @TeamGaryVee: ""Why Your Business Will Need an NFT Strategy | CNN Interview"" @CNN -- Listen now on @spotifypodcasts https://t.co/Lc6Uvr5j…"
1392954637901254663,garyvee,2021-05-13 21:27:20,en,485,44,3rd drop of @veefriends @ 555pm ET .. see u soon ♥️
1392945125748355072,garyvee,2021-05-13 20:49:32,und,326,24,https://t.co/RyAg4oYqab
1392941106308993038,garyvee,2021-05-13 20:33:33,und,6,0,@SKULLSCROWNS @BigMeesh33 @veefriends @Lakers @nbatopshot @NBA ♥️
1392940934330036225,garyvee,2021-05-13 20:32:52,en,157,12,Too good https://t.co/GgdsjE1Gj5
1392940808794411015,garyvee,2021-05-13 20:32:23,en,115,18,"https://t.co/N2vnjmaozw

Lobe doing in depth interviews about the space and @veefriends"
1392875514252218368,garyvee,2021-05-13 16:12:55,en,18,0,@ramiroitu Dude !!!! I love that
1392874627798609920,garyvee,2021-05-13 16:09:24,en,176,19,I always doodle in meetings and interviews .... :) now I doodle a lot more ✅✅✅✅ @veefriends https://t.co/iQmOa5K6eA
1392874427382128644,garyvee,2021-05-13 16:08:36,en,140,18,A 2013 doodle ... I love a good white board doodle ... hey @Benrubi u have that paper ? https://t.co/GoPHTk1RN5
1392841238689239045,garyvee,2021-05-13 13:56:43,en,3,0,@MurphyJason I so so so respect that ... ps 40% of them hit the floor at .5Eth if they get there which is $1900 and… https://t.co/A8lPPHBNQw
1392839642253254660,garyvee,2021-05-13 13:50:23,en,24,0,@SKULLSCROWNS @YENIFERCARBAJA2 I respect that so much ♥️
1392839421423235079,garyvee,2021-05-13 13:49:30,en,313,18,True 🇬🇧 https://t.co/T1iC9NSRFx
1392838589281710083,garyvee,2021-05-13 13:46:12,en,2,1,@MurphyJason I hope to earn your respect on what happens from this tweet on .. I am hopeful to earn it in spades ..… https://t.co/vPKTnLEwnG
1392837892569960451,garyvee,2021-05-13 13:43:25,en,3,0,@Mcfetch12 @TeamGaryVee @veefriends Love this
1392837749120643074,garyvee,2021-05-13 13:42:51,und,3,0,@jgalassodesign @reberrys @the_david_hu ;)
