id,username,created_at,lang,favorite_count,retweet_count,text
1390155936052834309,jimmy9toes,2021-05-06 04:06:17,en,0,0,"@thegoldenmuzzy Feel bad for Mantha, should have been Wilson visiting the dentist tomorrow."
1390142428334592005,jimmy9toes,2021-05-06 03:12:37,en,1,0,@SimonTSN690 What did i do?
1390130775933083650,jimmy9toes,2021-05-06 02:26:19,en,3,0,@RRRawlings @mixmastermike @Nelly_Mo @lavacantinatc Bestie Boys?
1390124580228849669,jimmy9toes,2021-05-06 02:01:41,en,0,0,"@Mr_JJT @dsimmons44 @expomick It’s a rule, look it up. I reffed for 30 years."
1390120028616331266,jimmy9toes,2021-05-06 01:43:36,en,1,0,@expomick I’m a Habs fan and I agree.
1390119845614686210,jimmy9toes,2021-05-06 01:42:53,en,0,0,@Mr_JJT @expomick Can’t have a third man in if no fighting majors are called.
1390115641177174021,jimmy9toes,2021-05-06 01:26:10,en,0,0,@CanadiensMTL Habs deserve this ass kicking. Playing like shit.
1390107599702347778,jimmy9toes,2021-05-06 00:54:13,en,0,0,@KarineGHG No comeback this time. No one playing to win.
1390105278687760386,jimmy9toes,2021-05-06 00:45:00,en,1,0,@cloutkaniemi Yup. No passion.
1390105145459896322,jimmy9toes,2021-05-06 00:44:28,en,0,0,@cloutkaniemi Habs deserve this tonight.
1390103460142489605,jimmy9toes,2021-05-06 00:37:46,en,3,0,@HunterZThompson Flops like a fish in a boat.
1390098892125970436,jimmy9toes,2021-05-06 00:19:37,en,0,0,@KarineGHG Habs lost all 4 defensive zone face offs on the PK.
1390043149607731200,jimmy9toes,2021-05-05 20:38:07,da,0,0,@seanrcampbell @MitchyGallo @HunterZThompson @joeyalfieri Trevor Linden
1390025736447094786,jimmy9toes,2021-05-05 19:28:55,en,1,0,@LaughlinSXM One of my all time favourite movies.
1390024172898709504,jimmy9toes,2021-05-05 19:22:42,und,1,0,@LaughlinSXM https://t.co/a65AUdhr3f
1390017101000110082,jimmy9toes,2021-05-05 18:54:36,en,0,0,@ZigFracassi So Tom Wilson fired Davidson and Gorton?
1390008453133869056,jimmy9toes,2021-05-05 18:20:14,en,3,1,@LeslynLewis Not enough first nations votes for Trudeau to care about.
1389983684166524930,jimmy9toes,2021-05-05 16:41:49,en,1,0,"@StLouisBlues Wakey, wakey, Backes."
1389706930034184192,jimmy9toes,2021-05-04 22:22:06,en,0,0,@thegoldenmuzzy It had to be said.
1389706764833091587,jimmy9toes,2021-05-04 22:21:26,en,0,0,@grantmccagg Tuan Whitney is a clown.
1389706564823441408,jimmy9toes,2021-05-04 22:20:39,en,0,0,@JasonGregor 30 other NHL teams would chip in to pay the fine.
