id,username,created_at,lang,favorite_count,retweet_count,text
1390049999107641351,jlkowalik,2021-05-05 21:05:20,en,0,32,"RT @TobaccoFreeKids: We stand with over 80 civil rights, public health, medical and other organizations strongly supporting @FDATobacco's b…"
1389618346098892807,jlkowalik,2021-05-04 16:30:06,en,0,0,@DanRShafer @MKE_CC Good work! On a @Bucks related note- I’ll always appreciate that the @MilwaukeeTool font was us… https://t.co/IGbByHx90U
1389313459381223427,jlkowalik,2021-05-03 20:18:35,en,0,8,RT @ninjasforhealth: Congrats @lilliann_paine for joining @BirthEquity! “We are beyond fortunate to have someone of Lilliann’s caliber in o…
1389243349526319109,jlkowalik,2021-05-03 15:40:00,en,0,4,RT @HealthyAmerica1: In TFAH’s new report experts provide strategies to ensure people who are homebound are vaccinated @JohnAHartford @Camb…
1388984041244868614,jlkowalik,2021-05-02 22:29:36,en,1,0,@TKG414 You already know! ✈️ #vaxxed
1388976052182134790,jlkowalik,2021-05-02 21:57:51,en,1,0,@TKG414 Looking forward to more come playoffs! 💫🏆
1388495116042702849,jlkowalik,2021-05-01 14:06:47,und,1,0,@Angela_Lang 👀 #streetziswatchin
1388494878179536899,jlkowalik,2021-05-01 14:05:50,en,1,1,@hoboarchitect @UWM @MIAD_edu @MSOE @AlvernoCollege @MarquetteU @matcmilwaukee &amp; the other private colleges. In ter… https://t.co/wuuTn7RpOg
1387900612189249541,jlkowalik,2021-04-29 22:44:26,en,2,0,@doccrearperry @CBSNews @BirthEquity 🗣 Preach!
1387899543275048960,jlkowalik,2021-04-29 22:40:11,en,0,1023,"RT @BerniceKing: Acknowledging racism doesn’t = divisiveness.

However, racism = divisiveness, destruction, danger, and dehumanization.

Im…"
1387826727653724172,jlkowalik,2021-04-29 17:50:51,en,0,1,RT @HealthyAmerica1: @HealthyAmerica1 supports @US_FDA action to prohibit menthol cigarettes. Menthol tobacco marketing  targets Black Amer…
1387826662662975489,jlkowalik,2021-04-29 17:50:35,en,0,4,RT @HealthyAmerica1: TFAH &amp; @JohnAHartford today launched a comprehensive new site focused on #PublicHealth’s role in #HealthyAging. https:…
