id,username,created_at,lang,favorite_count,retweet_count,text
1389976820750209028,katiewadington,2021-05-05 16:14:33,en,0,47,RT @thehill: #BREAKING: Federal judge vacates CDC's eviction moratorium https://t.co/hoMgIKoGzu https://t.co/F6fyFMoG0v
1389967211998105607,katiewadington,2021-05-05 15:36:22,en,1,0,What does the Facebook decision mean for Donald Trump? @djusatoday breaks it down https://t.co/9kvgUFo47D
1389937639642607617,katiewadington,2021-05-05 13:38:51,en,0,2,"RT @usatodayDC: Four months after his ouster from Facebook and Instagram, Trump's ban has been upheld, but Facebook must reconsider indefin…"
1389933373594931208,katiewadington,2021-05-05 13:21:54,en,0,163,RT @kevinroose: It’s pretty wild that FB set up an entire quasi-judiciary branch in order to give people someone besides Mark Zuckerberg to…
1389604008067837953,katiewadington,2021-05-04 15:33:07,en,1,0,@ByEllaLee That's HUGE! Congrats!
1388923060691079172,katiewadington,2021-05-02 18:27:17,en,0,5,"RT @lhorwich: How President Biden confronted racism and injustice in his first 100 days
https://t.co/3N9mKa0Kfx"
1388852249552637954,katiewadington,2021-05-02 13:45:54,en,0,142,RT @axios: Twitter on Monday will launch a major advertising and social media campaign urging people to follow local journalists and suppor…
1388142508979412994,katiewadington,2021-04-30 14:45:39,en,0,1,"RT @asheville: If you're looking for blueberries in the produce aisle and coming up short, you aren't alone. https://t.co/tZjTw7X1kU"
1388122480687165441,katiewadington,2021-04-30 13:26:04,en,5,0,"Just stumbled on my iPhone wallet, which apparently includes ghosts of Before Times: my last concert tickets and bo… https://t.co/5y7JJK76rq"
1387904950403928064,katiewadington,2021-04-29 23:01:40,en,0,5,"RT @dpfunke: Over the past few days, the New York Post, Republican lawmakers and Fox News have all promoted the claim that officials are ha…"
1387860029877927937,katiewadington,2021-04-29 20:03:10,en,3,0,👀 big implications here https://t.co/LmDVpII7jm
1387831496585760771,katiewadington,2021-04-29 18:09:48,en,2,1,India + COVID-19 in pictures. Just gut-wrenching. https://t.co/kiEpBUJFwQ
1387827818403450886,katiewadington,2021-04-29 17:55:11,en,0,1,"RT @usatodayDC: In his first address to a joint session of Congress, President Joe Biden got some facts wrong and stretched others, mainly…"
1387766115246432258,katiewadington,2021-04-29 13:49:59,en,1,1,"Excellent analysis from @BrettKelman @VincentDGabriel that is def worth your time: ""The link between Trump votes an… https://t.co/96CU4vGjEN"
1387739256962129923,katiewadington,2021-04-29 12:03:16,en,0,3,RT @usatodayopinion: Did you see President Joe Biden's speech last night? Our David Mastio (@DavidMastio) and Jill Lawrence (@JillDLawrence…
1387737294464036867,katiewadington,2021-04-29 11:55:28,en,0,0,"Republicans aren't at their best right now, starkly divided over the party's direction. But they rallied around how… https://t.co/GZIevmYFJb"
1387737293176414208,katiewadington,2021-04-29 11:55:28,en,0,0,Missed Biden's speech? Here are @usatodayDC's key takeaways from @RebeccaMorin_ and @JeanineSantucci https://t.co/HPmbiHdbqs
1387736565821198341,katiewadington,2021-04-29 11:52:34,en,1,2,"It was indeed ""a reminder of the extraordinary times we are in,"" as Biden said. From @LedgeKing, a look at how the… https://t.co/9J7F0GEsrz"
1387708969746063361,katiewadington,2021-04-29 10:02:55,en,0,34,RT @CaseyBlakeAVL: The First Amendment is only a string of words if officers with weapons in riot gear refuse to respect it in the streets.…
1387500056731914240,katiewadington,2021-04-28 20:12:46,en,1,0,"@chiaravep @ericlitke That is nuts! The road across the street has been under construction for, oh, 12 hours and I’ve had it."
1387499691139551233,katiewadington,2021-04-28 20:11:19,en,0,12,"RT @jasondebruyn: Not to put too fine a point on this, but allow me to go through in detail why media attorneys with 
@ncmedialaw disagree…"
1387499365993000961,katiewadington,2021-04-28 20:10:02,en,0,0,"Twist at the end of this case, for sure
https://t.co/ltqEZzWbYr"
1387454062384271365,katiewadington,2021-04-28 17:10:00,en,0,17,RT @NCOpenGov: Short explainer thread on the relevant portions of NC's body cam law and media petition for release of video from #AndrewBro…
1387389280385896454,katiewadington,2021-04-28 12:52:35,en,1,0,Among the pillars of this proposal: Nationwide pre-K and free community college.  https://t.co/CIVsFl6O76
1387118794699640832,katiewadington,2021-04-27 18:57:46,en,0,0,"I’ve seen these a couple of times on a very small scale and they’re just so cool. Someday, Smokies https://t.co/rBy4Nyi3Vb"
1387056137271382017,katiewadington,2021-04-27 14:48:48,en,4,0,"Tenacious reporting on this, top to bottom, from @KarenChavezACT and @asheville https://t.co/BLh9Mg3TKE"
1386714637282906116,katiewadington,2021-04-26 16:11:48,en,1,2,"Framing it in the most American of terms: At 3pm, we'll find out the winners and losers in the population game, as… https://t.co/SZzLvGxlYm"
1386312195500384257,katiewadington,2021-04-25 13:32:38,en,0,2,Biden's first 100 days may be best defined by these 15. https://t.co/AWHfZNlzzr
1385331643699826691,katiewadington,2021-04-22 20:36:16,en,2,2,"Nope, not a hoax. #EarthDay #FactCheck 
https://t.co/bs34vS0JDE"
1385322347041800194,katiewadington,2021-04-22 19:59:20,en,0,1,"RT @HannahGReports: “I knew I was going to be asked to serve under conditions of hardship, but this was an unreasonable ask, to experience…"
1385321533267185666,katiewadington,2021-04-22 19:56:06,en,0,0,Love seeing all the journalists posting about their summer @DJNF jobs. My Dow Jones copy editing internship (back i… https://t.co/JHYFmYCN12
1384913776856735747,katiewadington,2021-04-21 16:55:49,en,0,8,RT @ericlitke: Lots of great work from the @USATODAY Fact Check Team on the onslaught of misinformation about Derek Chauvin and George Floy…
1384856643683463170,katiewadington,2021-04-21 13:08:47,en,1,1,Quick work here from @devonslink to debunk allegations that a coordinated day of sexual assaults was coming on Apri… https://t.co/KT2udCA2SF
1384131792437878789,katiewadington,2021-04-19 13:08:29,en,0,1,"RT @KarenChavezACT: Hikers: Beware of Blue Ridge Parkway, Mountains-to-Sea Trail I-40 tunnel, dangers https://t.co/gxc4YfaF1K via @ashevill…"
1383866900761833474,katiewadington,2021-04-18 19:35:54,en,0,16,RT @usatodayDC: The French president said Sunday that officials are looking for ways for vaccinated people to travel more freely. He is in…
1383405393829711882,katiewadington,2021-04-17 13:02:02,en,6,0,Good morning from the Plott Balsams https://t.co/qiEAAsk8ok
1383225571765751811,katiewadington,2021-04-17 01:07:30,en,8,1,"Halloween candy, hiding in the pantry for months. It should’ve gone to a newsroom on Nov. 1, to be eaten by journal… https://t.co/pB0klCTdsL"
1383204972309983234,katiewadington,2021-04-16 23:45:38,en,0,14,"RT @BlueRidgeNPS: Parkway officials are pleased to announce the selection of the park's new superintendent, Tracy Swartout.
Tracy joins the…"
1382749782154874882,katiewadington,2021-04-15 17:36:52,en,0,0,"Critical help is coming to the child care industry, which was crushed by the pandemic. Exclusively, from @cmsub: https://t.co/10EKd1jd7Q"
1382480299490152449,katiewadington,2021-04-14 23:46:03,en,2,0,@dpfunke @USATODAY Truly thrilled you’re bringing your skills and expertise to our Team Fact-Check. Welcome!
1382479473442967558,katiewadington,2021-04-14 23:42:46,en,0,1,"RT @dannowicki: ""Afghanistan withdrawal draws strong Capitol Hill reactions, making some strange alliances."" (via @katiewadington) https://…"
1382114998462341126,katiewadington,2021-04-13 23:34:28,en,0,1,"RT @LedgeKing: What do I do if I've gotten the Johnson &amp; Johnson COVID-19 shot? Your questions, answered https://t.co/1uallamooF via @usato…"
1379059689036582912,katiewadington,2021-04-05 13:13:46,en,0,2,RT @therealco: It's official-official: first day on the Politics beat. 🙌Follow me for nationwide breaking news coverage.
1379055273923461129,katiewadington,2021-04-05 12:56:13,en,16,0,Had a dream last night with Sen. Chuck Grassley in it. So I suppose my transition from local news to DC Bureau journalist is now complete.
1378148737114107909,katiewadington,2021-04-03 00:53:58,en,2,0,@mrbrownsir How many days has the flag not been at half-staff in the last few weeks? So sad.
1376974689042624512,katiewadington,2021-03-30 19:08:43,und,2,0,#journalismmatters https://t.co/Jowo33pwTq
1376607455145156608,katiewadington,2021-03-29 18:49:28,en,12,0,"Oh come on now, @CityofAsheville. Nice try, as though ideas generated in a closed session aren't worth sharing with… https://t.co/7PbsNuExs4"
1376565422980354049,katiewadington,2021-03-29 16:02:26,en,0,7,"RT @lindsdee: Oral arguments have just begun in the murder trial of Derek Chauvin, charged in the death of George Floyd. Get text updates a…"
1375499282405593096,katiewadington,2021-03-26 17:25:59,en,0,0,@MattBurkhartt That looks Friday perfect
1375451249575923714,katiewadington,2021-03-26 14:15:07,en,0,2,RT @manny_garcia1: 'Bathroom bill 2.0': Effort to bar transgender athletes in Texas schools gets hearing https://t.co/TC2y7Cabjs via @state…
1375435120518311948,katiewadington,2021-03-26 13:11:01,en,0,1,"The best punny headline you'll see this week, guaranteed. Plus, a good read at the intersection of business and COV… https://t.co/ZMA0RXr2My"
1375088785726275589,katiewadington,2021-03-25 14:14:49,en,0,3,"RT @mcollinsNEWS: What would statehood for Washington, DC mean — and could it finally happen? https://t.co/PZ7aEpZ9rY via @usatoday @SavBeh…"
1375074003606454273,katiewadington,2021-03-25 13:16:04,en,1,0,@CarolynMorrisro Total flashback. I vividly remember all those ads.
1374716194687754246,katiewadington,2021-03-24 13:34:16,en,0,1,"Starting now: A House hearing on #EqualPayDay, featuring @mPinoe. Get the background here, from @SavBehrmannDC:  https://t.co/mxn9zGBHoB"
1374339593437331456,katiewadington,2021-03-23 12:37:47,en,0,0,Senate Judiciary was already set to hear today about 2 bills that close gun background check loopholes. https://t.co/97E4aGls33
1373279373260898306,katiewadington,2021-03-20 14:24:51,en,1,1,What's the big deal about the filibuster? @mrbrownsir gives context to a rule that could derail the Democrats' agen… https://t.co/sGgc62PYf5
1373060063473106950,katiewadington,2021-03-19 23:53:24,en,0,0,And the dessert. Chocolate custard and pistachio biscotti. Magical. https://t.co/4c19rpkVBF
1373056261709832193,katiewadington,2021-03-19 23:38:17,en,4,1,"Asheville: If you haven’t tried the meal box from New Stock, you are missing. out. It is the best dinner of my week… https://t.co/INfh54wi4f"
1372986301989978112,katiewadington,2021-03-19 19:00:17,en,0,5,"RT @SusanPage: Quick: Who's president? On some Florida GOP websites, it's still Donald Trump. By my @USATODAY Network colleague Joshua Solo…"
1372969008694235138,katiewadington,2021-03-19 17:51:34,en,0,1,The White House's trips to push the stimulus package just happen to be to places that put Biden in the White House… https://t.co/4NVxbVVWf9
1372893678600093701,katiewadington,2021-03-19 12:52:14,en,2,0,"@mackensy @FarmBurger @MeherwanIrani @blacktablecloth I ❤️ food halls, and this lineup looks so delicious."
1371889276351315970,katiewadington,2021-03-16 18:21:06,en,6,0,Fact-checking isn't all politics or COVID. Sometimes we dig into why helicopters can actually fly on Mars. Excellen… https://t.co/iGVLAGQeYf
1371867033764237315,katiewadington,2021-03-16 16:52:43,en,0,0,"I'll admit to being a half-hearted basketball fan, for an IU grad. So I appreciate the catch-up here, as well as th… https://t.co/uxzpBdVJVC"
