id,username,created_at,lang,favorite_count,retweet_count,text
1279177851628072960,lisaschwarzbaum,2020-07-03 22:19:00,en,23,1,"@LinerElaine @brucefretts @nytimesarts I am so shocked and heartbroken. I can still hear his laugh, and feel his pl… https://t.co/2sQX27DfNh"
1231589880616099840,lisaschwarzbaum,2020-02-23 14:41:24,en,1,0,@michaelbierut @DesignMuseum Gene Mackles?
1145917551135903744,lisaschwarzbaum,2019-07-02 04:50:08,en,3,0,@MrJeffGiles “wuz” is always better.
1131581363960918016,lisaschwarzbaum,2019-05-23 15:23:15,en,4,0,@szacharek It’s all coming back to me! Losing all sense of personhood because you can’t get into a screening! Of an… https://t.co/nDdvJXHQM2
1097328543804112901,lisaschwarzbaum,2019-02-18 02:54:46,de,4,0,@emilynussbaum Shtissel! Netflix
1069237795682729984,lisaschwarzbaum,2018-12-02 14:32:10,en,26,5,Books about Hollywood--I've read a few. https://t.co/6zheeKTGHx
1068608134841860101,lisaschwarzbaum,2018-11-30 20:50:07,pt,5,0,@MarkHarrisNYC Bravo.
1064981817151885313,lisaschwarzbaum,2018-11-20 20:40:26,en,2,0,"@emilynussbaum @zinoman @dankois @sternbergh —Rabbi, how come our people are not allowed to eat pork?
—We’re not? U… https://t.co/UNvXZtKjcf"
1064316457654382592,lisaschwarzbaum,2018-11-19 00:36:32,en,7,0,@emilynussbaum Burning
1062468042330963968,lisaschwarzbaum,2018-11-13 22:11:35,en,5,0,"@MarkHarrisNYC ""AIIEEEEAARRGGHHHHHHH!"" That's a quote."
1061769245191819264,lisaschwarzbaum,2018-11-11 23:54:49,en,8,3,"Portion of a letter from my grandfather, Hartley Schwarzbaum, to his sister, Elizabeth, Aug 8, 1918. Death notice f… https://t.co/Afa72tBUcS"
1051982892878979072,lisaschwarzbaum,2018-10-15 23:47:21,pt,2,0,@meeta Brava Meeta!
1045751928511238144,lisaschwarzbaum,2018-09-28 19:07:43,en,1,0,@LauraMLippman @tkodegard @lizzieohreally The one bright spot in a dark day!
1016858631000788992,lisaschwarzbaum,2018-07-11 01:36:04,en,0,0,@dave_kehr Well then!
1011936968308088832,lisaschwarzbaum,2018-06-27 11:39:08,en,1,0,@dave_kehr @MoMAFilm TIVOLI salutes you.
1011710369688104961,lisaschwarzbaum,2018-06-26 20:38:43,en,3,0,"@taffyakner @NYTmag Gorgeous, deep piece. I even take to Twitter to announce this."
1004838493946875905,lisaschwarzbaum,2018-06-07 21:32:20,en,2,0,@MarkHarrisNYC Mazel tov to David!
1002286826655272961,lisaschwarzbaum,2018-05-31 20:32:55,en,1,0,@Vilkomerson YIPPEEEEE! And brava!!!!!
1000789830819860480,lisaschwarzbaum,2018-05-27 17:24:24,und,2,0,@MrJessCagle @Mattney Mazel tov!!!
999049778288873472,lisaschwarzbaum,2018-05-22 22:10:03,da,2,0,@rshields37 Dangler
986367730080247808,lisaschwarzbaum,2018-04-17 22:16:07,en,8,2,"Really, @MarkHarrisNYC, this?
Sunday, Bloody Sunday
The Boy With Green Hair
His Girl Friday
David and Lisa
on to… https://t.co/O2aPfkkL6X"
985677214892150784,lisaschwarzbaum,2018-04-16 00:32:15,en,1,0,@TinaJordanNYT Wish I could be there!
975543339310309376,lisaschwarzbaum,2018-03-19 01:23:51,en,0,0,@annehelen Bullet Journal Roundhand Extra Fine
973933313193861120,lisaschwarzbaum,2018-03-14 14:46:11,en,2,0,"Detailed @nytimes reporting: ""Gov. Andrew M. Cuomo, a Democrat, joined one protest, lying on the ground with students to play dead."""
973674558170501120,lisaschwarzbaum,2018-03-13 21:37:59,en,0,2,RT @LauraGeringer: Here's my “shelfie”! Post YOUR picture with the hashtag #MagicofStorytelling to help @FirstBook provide 1M books to kids…
969680262375362561,lisaschwarzbaum,2018-03-02 21:06:04,en,0,1,RT @MrJeffGiles: from @kevsessums https://t.co/RvETeFaalQ
952537494112952322,lisaschwarzbaum,2018-01-14 13:46:50,en,0,79,"RT @rtraister: “Now a small part of the patriarchy is at risk. And let me say this for the patriarchy: It has never done anything to me, an…"
950506655296512002,lisaschwarzbaum,2018-01-08 23:17:00,en,3,0,@EWTinaJordan TIMES UP! Brava!
949332381932105728,lisaschwarzbaum,2018-01-05 17:30:52,en,0,869,"RT @frankpallotta: I know it's only January 4th, but this is an early contender for correction of the year. https://t.co/5nYXHxvK6X https:/…"
948981667573755906,lisaschwarzbaum,2018-01-04 18:17:15,en,7,0,Fabulous news about stellar @EWTinaJordan and indispensable @nytimesbooks https://t.co/IVCx5mwpL8
946885516527591424,lisaschwarzbaum,2017-12-29 23:27:54,en,0,13,"RT @Leahbats: How to even start to say goodbye to @EWTinaJordan ? Books goddess, literary Nostradamus (seriously: 6 months ahead on every p…"
946819335141634048,lisaschwarzbaum,2017-12-29 19:04:55,en,0,330608,RT @dustingriffie: I gave my nephew a banana for Christmas. I had avocado levels of success. https://t.co/P7qIOUJw4m
941349760405065728,lisaschwarzbaum,2017-12-14 16:50:46,en,0,1,"RT @msamywallace: God, me too. https://t.co/YELZUO66BK"
941018209817432064,lisaschwarzbaum,2017-12-13 18:53:19,en,1,0,"@NewYorker heh, they said paws"
940696965448392705,lisaschwarzbaum,2017-12-12 21:36:48,en,0,132100,RT @SenGillibrand: You cannot silence me or the millions of women who have gotten off the sidelines to speak out about the unfitness and sh…
939573306264612864,lisaschwarzbaum,2017-12-09 19:11:47,en,0,7995,"RT @SoVeryBritish: Christmassy things to do today:
Watch telly
Have a sleep
Overcook some veg
Have a big argument
Circle a car park for hou…"
938853530340872192,lisaschwarzbaum,2017-12-07 19:31:39,en,0,10,"RT @Vilkomerson: This is such a great short story and has now become one of the best things I've read this year. (No, not just bc of the ti…"
938835225882263552,lisaschwarzbaum,2017-12-07 18:18:55,en,0,33233,"RT @keithboykin: Donald Trump's 16 Accusers:
Kristin Anderson
Lisa Boyne
Rachel Crooks
Tasha Dixon
Jessica Drake
Jill Harth
Cathy Heller
Sa…"
938819958825476097,lisaschwarzbaum,2017-12-07 17:18:15,en,0,63,RT @emilynussbaum: Thread https://t.co/L3dFHvPZ3k
938238922018185216,lisaschwarzbaum,2017-12-06 02:49:25,en,0,1816,"RT @jodikantor: How did Harvey Weinstein rack up forty years of sexual abuse allegations? He had a lot of help. Our new investigation, just…"
937515775216283654,lisaschwarzbaum,2017-12-04 02:55:53,en,0,11321,RT @LettersOfNote: All other rejection letters can step down. We have a winner. https://t.co/dQijZsIgqL
936705201884553216,lisaschwarzbaum,2017-12-01 21:14:57,en,0,23,RT @dave_kehr: Maybe a naked man displaying his sword is not the image the Academy wants to go with right now.
934861359027810304,lisaschwarzbaum,2017-11-26 19:08:11,en,9,0,This effing thing.
934860798848933888,lisaschwarzbaum,2017-11-26 19:05:57,en,1,0,obably just out and about! I will check further.
934860798395949056,lisaschwarzbaum,2017-11-26 19:05:57,en,2,0,"Hi Brad, nice to hear from you. I spoke to Mom last night—she is pr"
933781584435609600,lisaschwarzbaum,2017-11-23 19:37:33,en,0,2818,RT @alexanderchee: Joan Crawford’s entertaining tips. https://t.co/eETg8YtWLa
931530676452634625,lisaschwarzbaum,2017-11-17 14:33:14,en,0,4,RT @WNYC: Photographer Stephen Shore is getting a much-deserved MoMA retrospective and it could not have come at a better time says @debora…
930612849235382272,lisaschwarzbaum,2017-11-15 01:46:07,en,0,25847,RT @melissaFTW: Transparent. Broad City. Fleabag. Insecure. Girls. Unbreakable Kimmy Schmidt. Crazy Ex-Girlfriend. Jessica Jones. Difficult…
