id,username,created_at,lang,favorite_count,retweet_count,text
1390198065500344323,malpani,2021-05-06 06:53:42,en,0,0,@Shashi_S_Pandey What a great title! Following you!
1390197681226539010,malpani,2021-05-06 06:52:10,en,0,0,@logical_singh So you feel panic and fear help you behave logically?
1390194650162417666,malpani,2021-05-06 06:40:07,en,10,1,"Isn't it ironic that the #CoronavirusVaccine clinical trials enrolled only young healthy people, whereas when it wa… https://t.co/SUi2Rm53dx"
1390192319656185861,malpani,2021-05-06 06:30:52,en,0,0,"@SanjogJZ Lots of hyperbole in the messages I am reading!
 Indian hospitals are being likened to Dante's inferno!"
1390191980899012610,malpani,2021-05-06 06:29:31,en,4,0,It's fun to teach children who want to learn! https://t.co/FqWUvhuz1f
1390191103681302530,malpani,2021-05-06 06:26:02,en,2,0,"Students learning how to use Google Translate at https://t.co/6U6AXZBeXK 
Online learning helps make them future re… https://t.co/PWWSPUPA2U"
1390190209921261572,malpani,2021-05-06 06:22:29,en,9,3,"This is a great book, written by a doctor who has summarised the scientific evidence so well that anyone can unders… https://t.co/X4FygoguUU"
1390189452492894209,malpani,2021-05-06 06:19:28,en,14,1,"High-end residential housing societies have different rules for testing and isolating servants for #COVID19 , and d… https://t.co/XOsX5suEuo"
1390187858837729280,malpani,2021-05-06 06:13:08,en,11,4,How do poor people get beds? https://t.co/QOcXKml0hl
1390183597227741190,malpani,2021-05-06 05:56:12,en,0,0,@souravroy1215 Please discuss after you have implemented it
1390183433771515904,malpani,2021-05-06 05:55:33,en,0,0,"@mano_si_ Yes, the truth is often bitter and unpalatable"
1390183266251022338,malpani,2021-05-06 05:54:53,en,14,0,"Once people have made up their mind that using face masks is effective for preventing #COVID19 transmission, they w… https://t.co/DKqHYg4Yes"
1390177828201586695,malpani,2021-05-06 05:33:17,en,6,0,People who are both #COVID19 #RTPCR positive and antibody positive are not likely to be able to infect  others
1390177067916881923,malpani,2021-05-06 05:30:15,en,9,1,"Forcing people to stay at home damages both their mental and their physical health, and this increases their risk of dying of #COVID19"
1390176591506853888,malpani,2021-05-06 05:28:22,en,7,0,"Goliath is the one who wins most of the time, but spectators find this boring"
1390176452893581312,malpani,2021-05-06 05:27:49,en,6,1,Slow and steady may win the race but then there is nothing for reporters to write about
1390176042912866305,malpani,2021-05-06 05:26:11,en,1,0,@IamSandeshSoni How do you pay attention to what the speaker is saying while working?
1390173926202875908,malpani,2021-05-06 05:17:46,en,0,0,@new_life444366 @khandekar_manas @AT90389519 Can I suggest a book you might want to read so you  understand the science and facts better ?
1390173510211825664,malpani,2021-05-06 05:16:07,en,7,0,Not every question deserves an answer - especially when it's clear the person has not bothered to try to find out the answer for themselves
1390171865067388934,malpani,2021-05-06 05:09:35,en,1,0,@devsbond007 That's why the data is so unreliable !
1390171769969909769,malpani,2021-05-06 05:09:12,en,1,0,@simplyamit And it's well worth the effort !
1390171685572153353,malpani,2021-05-06 05:08:52,en,35,0,The reason NRIs are panicking about the crisis in India is it makes them feel superior !
