id,username,created_at,lang,favorite_count,retweet_count,text
1390128564368969728,marshsutherland,2021-05-06 02:17:31,en,0,0,@dharmesh Thought about working with @AngelHack ?
1390111027958853639,marshsutherland,2021-05-06 01:07:50,en,1,0,@mvolpe Maybe people listed here? https://t.co/x2pzTA8xLG
1390064809354399744,marshsutherland,2021-05-05 22:04:11,en,0,0,@robgo I was told to drink a ton of water today and tomorrow. Have Tylenol and pedialyte handy
1390064541866811401,marshsutherland,2021-05-05 22:03:07,en,0,0,@robgo I get my Moderna 2 at 11 am at Gillette
1389998224199626752,marshsutherland,2021-05-05 17:39:36,en,1,0,@Patticus @ManOnThaStreet @ProfitWell @peterthekid I deleted.
1389950497365413895,marshsutherland,2021-05-05 14:29:57,en,0,6,"RT @uibglobal: YOU 😁
Experienced #FinanceManager w/
1) International #startup experience;
2) Degree in #Accountancy and/or #CPA; and
3) Mot…"
1389946928633368580,marshsutherland,2021-05-05 14:15:46,en,0,10,"RT @awwstn: if 100 people drop a 🏸 in the replies here, i'll let 1000 people off the https://t.co/hfRXjlLGAR waitlist tomorrow morning"
1389946914364350471,marshsutherland,2021-05-05 14:15:43,und,1,0,@awwstn @racket100 🏸
1389946757556146179,marshsutherland,2021-05-05 14:15:05,en,0,0,@robgo And for parents
1389946466731442176,marshsutherland,2021-05-05 14:13:56,en,0,64,"RT @epaley: Founders, if I told you that you could:

🧱 Increase productivity

♻️ Reduce turnover

🤗 Build loyalty

All in 15 minutes a day,…"
1389946441448177664,marshsutherland,2021-05-05 14:13:50,en,2,0,"@epaley I do this with my kids. 

They never talk back to me and thank me a lot also."
1389869338950356998,marshsutherland,2021-05-05 09:07:27,en,0,0,How @airbnb drives user actions with Landing Page design. Thanks for sharing Katelyn! https://t.co/aNEyd8TEvQ
1389711100011294721,marshsutherland,2021-05-04 22:38:40,en,0,8,RT @sequoia: We are so thrilled to be partnering with @TrustVanta on their journey to secure the internet. You can check them out on Produc…
1389620887800926212,marshsutherland,2021-05-04 16:40:12,en,0,0,"@englishpaulm I think their web pages still end in .aspx ? 

Or maybe that’s Florida"
1389619398508433408,marshsutherland,2021-05-04 16:34:17,und,1,0,@Zeninjor 😂😂😂
1389591990967414787,marshsutherland,2021-05-04 14:45:22,en,0,0,@englishpaulm I know @tomokeefe likes https://t.co/KNcU1L0WJC since he completely redesigned it 😉
1389580773808816130,marshsutherland,2021-05-04 14:00:48,und,1,0,"@mvolpe @thesmitpatel 😂😂

https://t.co/S2J4bPCkiD"
1389327160461176833,marshsutherland,2021-05-03 21:13:02,en,0,0,@kcline6 @VentureFizz I meant fizzy
1389286463855112192,marshsutherland,2021-05-03 18:31:19,en,0,0,@att why is your signal so non-existent at Milford high school in MA? Kids and I can’t contact each other.
1389256024834650116,marshsutherland,2021-05-03 16:30:22,en,5,0,"@dafrankel @englishpaulm “We need teams of missionaries, not teams of mercenaries.” - John Doerr 👍"
1389229004918558722,marshsutherland,2021-05-03 14:43:00,en,1,0,@kcline6 @VentureFizz It’s fuzzy! Love it!
1389173435448709120,marshsutherland,2021-05-03 11:02:11,en,0,0,9.5 @CharityMiles for @TheJimmyFund. #JimmyFundWalk for @bloomsday 2021 #bloomsday #bloomsday2021 https://t.co/7r1RtCqg23
1388820091148582916,marshsutherland,2021-05-02 11:38:07,en,1,0,Found my #doomsdayhill for #bloomsday2021 #12k 🏃‍♂️ https://t.co/GLIDwVMZOp
1388183360040841219,marshsutherland,2021-04-30 17:27:58,en,0,0,"*****HIRING ON THE SPOT this weekend from 9 am to 2 pm on May 1st and 2nd!!

Stop &amp; Shop needs to hire 300 employee… https://t.co/mufn4nuirR"
