id,username,created_at,lang,favorite_count,retweet_count,text
1393446120265764868,michaelmina_lab,2021-05-15 06:00:18,en,427,45,"Thanks @ASlavitt for everything you have been doing and will continue to do. 

Glad we will (likely)have you contin… https://t.co/k3RYqhRT6n"
1393443652727447553,michaelmina_lab,2021-05-15 05:50:30,en,7,0,@BillHanage Looking good @BillHanage
1393443198530379776,michaelmina_lab,2021-05-15 05:48:42,en,0,20,RT @JAMANetworkOpen: Modeling study by @CCDD_HSPH supports frequent screening testing to control nursing home outbreaks of #COVID19 and fin…
1393190913283919875,michaelmina_lab,2021-05-14 13:06:12,en,60,8,@CHeDS_ie Need not be mass frequent testing like I have called for to suppress outbreaks. That’s just one type of t… https://t.co/JHaCXxbqOD
1393188433691021312,michaelmina_lab,2021-05-14 12:56:21,en,59,4,@eosull @NewstalkFM @PatKennyNT @DonnellyStephen Trying to explain science is what scientists often do. It’s why we… https://t.co/rvWy9QFdxk
1393063390667546624,michaelmina_lab,2021-05-14 04:39:28,en,743,173,@NewstalkFM @PatKennyNT @DonnellyStephen Would the host of this show like to have me on to discuss this?… https://t.co/PsMmohYECH
1392939503782879232,michaelmina_lab,2021-05-13 20:27:11,en,9,3,@TakethatCt @anto_gunning @NewstalkFM @PatKennyNT @DonnellyStephen Correct. 28 is about ensuring sufficient materia… https://t.co/xzGxfwzy4I
1392844512695816194,michaelmina_lab,2021-05-13 14:09:44,en,2,0,@dvh13 @vipintukur @EastLondonGenes This is an appropriate assumption. When we actually measure ppl daily from befo… https://t.co/WTJRApq4Sh
1392843993046728707,michaelmina_lab,2021-05-13 14:07:40,en,1353,420,@boeingbus720 @NewstalkFM @PatKennyNT @DonnellyStephen I’m sorry for Ireland. It’s about time that they invite some… https://t.co/X0yVUWmYOT
1392753748745785345,michaelmina_lab,2021-05-13 08:09:04,en,3,1,"@dvh13 @vipintukur People do differ. By a few orders of magnitude. But across vs within, by far the greatest source… https://t.co/l11DDn6QS9"
1392753047302979585,michaelmina_lab,2021-05-13 08:06:17,en,3,0,"@BraveMonkeyBoo @JohnnyGleeson4 @thisisjohanna @President_MU We’ve shown, mathematically, that they do not outweigh… https://t.co/Y0hwb0FRS8"
1392738146895400962,michaelmina_lab,2021-05-13 07:07:04,en,0,89,"RT @vipintukur: A very interesting yet a bit complicated paper. First, let’s go through the key findings of the paper:

1) the distribution…"
1392722562925436929,michaelmina_lab,2021-05-13 06:05:09,en,77,16,"Brilliant work by @ChrisWymant @LucaFerrettiEvo @ChristoPhraser and colleagues. 

A pandemic in 2020 should not be… https://t.co/jEqA0DBesW"
1392720906947022854,michaelmina_lab,2021-05-13 05:58:34,en,0,433,"RT @VikiLovesFACS: This @NEJM paper did long-term follow-up on 3958 #pregnant ppl who received a #COVID19 #vaccine. 

👉🏻 No increased risk…"
1392717234821345282,michaelmina_lab,2021-05-13 05:43:58,en,6,0,@l00g33k @SierraCharlieBr @RTE_PrimeTime The best kind
1392716038861737985,michaelmina_lab,2021-05-13 05:39:13,en,439,40,"I knew that some day, working tirelessly for 16 months straight in this pandemic to research and advocate for publi… https://t.co/RodfhTaF7h"
1392711436170891265,michaelmina_lab,2021-05-13 05:20:56,en,0,46,"RT @ashishkjha: Deleted two tweets (see pics) b/c several folks pointed out it was easily misinterpreted. Sorry

Inelegantly tried to make…"
1392711102992113668,michaelmina_lab,2021-05-13 05:19:36,en,83,21,"“In fact we have seen more cases... identified from the [rapid] test than we have the [PCR] tests.”

“The rapid tes… https://t.co/6GFkbj6iKQ"
