id,username,created_at,lang,favorite_count,retweet_count,text
1389751570078658566,mipalkar,2021-05-05 01:19:29,und,72,8,#Assam https://t.co/T4AuF5L3Ta
1389433224883888128,mipalkar,2021-05-04 04:14:29,en,59,2,@AUThackeray @mybmc Great! Will wait to hear from you in this.
1389431509950484482,mipalkar,2021-05-04 04:07:41,en,322,42,@mybmc @AUThackeray Could you please suggest? https://t.co/WlZpkpNZSi
1388897208854990849,mipalkar,2021-05-02 16:44:33,und,52,23,SOS #Dehradun !!! https://t.co/40JZV6pQqM
1387283097415131136,mipalkar,2021-04-28 05:50:39,en,0,29,RT @MrAkvarious: The folks at @mpowerminds have been tirelessly doing some very necessary work for over a year now. Everyone can do with so…
1387283054293438469,mipalkar,2021-04-28 05:50:29,und,60,8,#Ahmedabad https://t.co/KDX2f283Q8
1386927206073397249,mipalkar,2021-04-27 06:16:28,en,333,78,"Patients in #Lucknow, #Agra and #Delhi have reached out in need for leads for ventilators. Please, please help if you have any!"
1386873003489697793,mipalkar,2021-04-27 02:41:05,en,0,160,"RT @JayminSOfficial: Urgent Ventilator need #Ahmedabad 🆘

Name: Kashmira Joshi
Age: 59
Hospital: Lotus 
SPO2: 45-50
Requirement: Ventilator…"
1386872831531573249,mipalkar,2021-04-27 02:40:24,en,0,721,"RT @bhumipednekar: Any #VentilatorBed in #Delhi #Noida ?Patient is critical, family down with covid. 

Name: Ruchi Verma
Age: 47 
Blood Gro…"
1386872809452756992,mipalkar,2021-04-27 02:40:19,en,0,214,"RT @bhumipednekar: Agra SOS- ICU bed with ventilator 
Patient with oxygen is holding 65 SPO2,
Name-Sunita Nayyar
Age-66
Number-9780010378
L…"
1386872659489611778,mipalkar,2021-04-27 02:39:43,en,0,132,"RT @HitanshJain30: Urgent ICU bed in Bangalore for a friend
1. Patient Name : Annuradha Mohan
2. Age : 56
3. Attender Mobile No : 965365628…"
1386672144780730377,mipalkar,2021-04-26 13:22:57,und,124,53,#Kanpur @janiceseq85 @bhumipednekar @KushaKapila @dollysingh https://t.co/n5APw8YBQ1
1386648539401445378,mipalkar,2021-04-26 11:49:09,en,85,12,Please take note #Delhi ! https://t.co/CCJsyiVERT
1386590588586250241,mipalkar,2021-04-26 07:58:52,und,0,19,"RT @janiceseq85: #Delhi #OxygenBed #Urgent 
Cc @bhumipednekar @tiscatime @mipalkar @awwwnchal @KushaKapila @deespeak"
1386590565819584516,mipalkar,2021-04-26 07:58:47,en,64,15,#Delhi please share leads! https://t.co/RIP4mG1fXe
1386590423225757697,mipalkar,2021-04-26 07:58:13,en,0,3717,"RT @Lavanya31805532: Please please please help 🙏
Contact me : 9999796864
I live in uttam nagar in new delhi
@ArvindKejriwal @narendramodi @…"
1375646977858228227,mipalkar,2021-03-27 03:12:52,und,30,0,@AahanaKumra @fpjindia @IamRoySanyal Yayyyy!
1375646956987445250,mipalkar,2021-03-27 03:12:47,en,0,6,RT @AahanaKumra: Happy World theatre day and thank you @fpjindia !! And so many friends @IamRoySanyal @mipalkar ❤️❤️❤️
