id,username,created_at,lang,favorite_count,retweet_count,text
1389399528093126659,nimishhalkar,2021-05-04 02:00:35,en,2,0,I thoroughly enjoyed #Sulthan because of the creative theme it took to deliver a commercial entertainer. It could h… https://t.co/WUZiF081iV
1389342382462746627,nimishhalkar,2021-05-03 22:13:31,und,0,38962,RT @BillGates: https://t.co/padmHSgWGc
1389014218104524801,nimishhalkar,2021-05-03 00:29:30,en,0,0,"Now watching #Sulthan 

#karthi #SulthanFromToday #RashmikaMandanna"
1388927180730683393,nimishhalkar,2021-05-02 18:43:39,en,0,0,"Now watching #Aspirants 

#tvfaspirants #TVFOriginal https://t.co/gbOsSVck60"
1388698407963971595,nimishhalkar,2021-05-02 03:34:35,en,0,0,"Finally watched #BangBaajaBaarat!! 

Hilarious Web Series by the genius #AnandTiwari!! 

Loved it!!"
1388592818113990664,nimishhalkar,2021-05-01 20:35:01,en,5,0,"#VakeelSaab - My first #POWERSTAR #PSPK #PawanKalyan Film!!

The direction of this movie is solid and barring a cou… https://t.co/ThbIurmUj7"
1388571456246792200,nimishhalkar,2021-05-01 19:10:08,und,2,3,#SSMB28 #MaheshBabu #Trivikram #MaheshTrivikram3 #SSMB28Update #SuperstarIsComing https://t.co/MYMyRIH4tP
1388311209930264580,nimishhalkar,2021-05-01 01:56:00,en,3,0,"Now Watching #Gajakesari 

#Yash #KGF2 #kannadacinema  #rockingstaryash https://t.co/z0FSyPPgmd"
1388309656112599040,nimishhalkar,2021-05-01 01:49:50,en,8,5,"#VakeelSaab - 👍 Good Remake with good performances by everyone!!  

#VakeelSaabOnPrime #VakeelSaabServedJustice… https://t.co/IUiRj52Wi5"
1388202093618606081,nimishhalkar,2021-04-30 18:42:25,und,3,4,#Thuramukham #NivinPauly https://t.co/k47uv2K1uu
1387233493453770752,nimishhalkar,2021-04-28 02:33:33,en,5,0,"#Kaamyaab - Incredible movie which keeps u entertained,  invested, and touches your heart in ways you cannot imagin… https://t.co/QRJHb1aIWG"
1387016222106079233,nimishhalkar,2021-04-27 12:10:11,und,1,1,"#MarakkarFromAugust12 

#MarakkarArabikkadalinteSimham #MarakkarArabikadalinteSimham #Mohanlal #Priyadarshan… https://t.co/nIUb6xkrWs"
1386899074289442817,nimishhalkar,2021-04-27 04:24:41,en,2,2,"#MarakkarArabikkadalinteSimham now postponed to August 12th 2021 

#Mohanlal #Marakkar… https://t.co/HlV5dpYs02"
1386892724150935553,nimishhalkar,2021-04-27 03:59:27,en,0,13582,"RT @POTUS: Today, I spoke with Prime Minister @narendramodi and pledged America’s full support to provide emergency assistance and resource…"
1386859211099881472,nimishhalkar,2021-04-27 01:46:17,en,1,0,@movingimages_yt I tried watching it twice but failed both times. Screenplay is weakkkkkkkkkkk https://t.co/zeBkMKEdoU
1386359965284192256,nimishhalkar,2021-04-25 16:42:27,en,1,0,"Now Watching my first ever #ChallengingStar film - #Roberrt 

Drop your other recommendations below!!  

#Darshan… https://t.co/zSvOfZ3kUw"
1386319487645913088,nimishhalkar,2021-04-25 14:01:37,und,9,2,"#Karthi #Sardar 
#SardarFirstLook https://t.co/GKrjbYseu7"
1386318131090665483,nimishhalkar,2021-04-25 13:56:13,en,0,210,RT @LetsOTT: The making of 1954's GODZILLA. https://t.co/NEIHY2B9Ln
