id,username,created_at,lang,favorite_count,retweet_count,text
1389983304477122565,nistula,2021-05-05 16:40:19,en,0,13,"RT @asiframeez: Required injection Remdesivir
6 nos (100mg)
Patient:Vicky Dongare (critical condition)
Aum hospital Dehu Road #Pune
Contact…"
1389983087031840770,nistula,2021-05-05 16:39:27,en,0,29,RT @kartikeya_1975: Oli government loses majority in Nepal
1389962721362268161,nistula,2021-05-05 15:18:31,en,0,51,"RT @BloodDonorsIn: #SOS
#Lucknow
Need #Blood Type :  O-positive
At : ERA's Medical College
Blood Component : Need Plasma from O+ve #Covid19…"
1389962692111179780,nistula,2021-05-05 15:18:24,en,0,57,"RT @BloodDonorsIn: #Lucknow
Need #Blood Type :  O-positive
At : ERA's Medical College
Blood Component : Need Plasma from O+ve #Covid19 reco…"
1389962683345031178,nistula,2021-05-05 15:18:22,en,0,48,"RT @BloodDonorsIn: #Agra
Need #Blood Type :  O-positive
At : Rainbow Hospital
Blood Component : Need Plasma from O+ve #Covid19 recovered pa…"
1389960379527172108,nistula,2021-05-05 15:09:13,en,0,101,"RT @ANI: Canada authorizes the use of Pfizer's #COVID19 vaccine for children from 12 to 15 age group, the first dose to be allowed for peop…"
1389959384017506307,nistula,2021-05-05 15:05:16,en,0,55,"RT @ananthkrishnan: China “concern and regret” at India’s 5G move, External Affairs Minister Jaishankar says “can’t have friction, coercion…"
1389955722981478404,nistula,2021-05-05 14:50:43,en,0,74,"RT @BloodDonorsIn: #Delhi
Need #Blood Type :  B-positive
At : Max , Shalimar Bagh
Blood Component : Need Plasma from B+ve/AB+ve #Covid19 re…"
1389954255511965698,nistula,2021-05-05 14:44:53,hi,0,92,"RT @AdityaJhamohan: पहली तस्वीर दरभंगा, मधुबनी के बॉर्डर सकरी में स्थित रामशिला हॉस्पिटल की है। ऑक्सीजन की कमी हो गई है, पेशेंट्स के परिजन…"
1389953712970362890,nistula,2021-05-05 14:42:43,en,0,59,"RT @BloodDonorsIn: #Jodhpur
Need #Blood Type :  B-positive
At : Marwar Hospital
Blood Component : Need Plasma from B+ve #Covid19 recovered…"
1389953625313607680,nistula,2021-05-05 14:42:23,en,0,28,"RT @andymukherjee70: Delhi, he’s someone living alone in Delhi. Needs help 🙏"
1389953562063425539,nistula,2021-05-05 14:42:07,en,11,15,Please help! https://t.co/U6I8urNkIh
1389952696430460929,nistula,2021-05-05 14:38:41,en,0,58,"RT @BloodDonorsIn: #Kolkata
Need #Blood Type :  A-negative
At : Medica
Blood Component : Need 2 Units of A-ve Blood
Number of Units : 2
Pri…"
1389952498291462145,nistula,2021-05-05 14:37:54,und,41,1,@vijaita https://t.co/V0Uaga5F89
1389946872496750600,nistula,2021-05-05 14:15:33,en,0,6,"RT @NEWS9TWEETS: '2nd wave was aided by elections, big religious gatherings and complete opening of economy'

TV9's @kartikeya_1975 speaks…"
1389943755529089027,nistula,2021-05-05 14:03:09,en,73,13,"Election Commission defers by elections to 3 Parliamentary and 8 Assembly seats due to COVID 19 surge, reports @DaminiNath @the_hindu"
1389937735176056841,nistula,2021-05-05 13:39:14,en,0,44,"RT @sang1983: All shops at Ritchie Street, the electronics market in Chennai will remain closed from tomorrow. R.Chandalia, Secretary, Chen…"
1389937692389953539,nistula,2021-05-05 13:39:04,en,0,6,RT @abee_law: Subrata Mukherjee to be SPEAKER in West Bengal Legislative Assembly @businessline @shobharoy https://t.co/8n6xAlU9wj
1389932473333653504,nistula,2021-05-05 13:18:19,en,0,36,RT @saurabh3vedi: Delhi police has arrested two cheaters in Shahdara area and recovered 532 'fire extinguisher' cylinders that were painted…
1389932439233908742,nistula,2021-05-05 13:18:11,en,0,4,"RT @asiframeez: Urgent:2 oxygen cylinders for an elderly couple in #Aligargh 
Contact:7983258789

Via: Mumtaz ul Isam my colleague at King…"
1389932424306454531,nistula,2021-05-05 13:18:08,en,0,30,RT @meshivamahuja: Any leads for #Ventilator and B+ #Blood #Plasma #Covi19 in #Ahemdabad cc @ektainlove @AmitHPanchal @rajeshkalra @nistula…
