id,username,created_at,lang,favorite_count,retweet_count,text
1390009822431612935,oakhcft,2021-05-05 18:25:41,en,0,1,"RT @andrewadams97: Today @oakhcft announced a $60M Series C in Groups Recover Together, a company whose accessible, respectful, and afforda…"
1390009306439954435,oakhcft,2021-05-05 18:23:38,en,0,1,"RT @PaxosGlobal: Miss the fireside chat between Paxos CEO Charles Cascarilla and @RobinhoodApp CEO @vladtenev, moderated by @laurashin? Cat…"
1390009262227824646,oakhcft,2021-05-05 18:23:27,en,0,3,RT @annielamont: Thrilled to announce @oakhcft’s participation in Groups Recover Together’s recent $60M #SeriesC. Groups’ strong commitment…
1390008909813911557,oakhcft,2021-05-05 18:22:03,en,1,0,We’re looking forward to seeing our Co-Founder and Managing Partner @annielamont join @oodahealth’s webinar with Da… https://t.co/MuGen87cnz
1390008553465856000,oakhcft,2021-05-05 18:20:38,en,0,2,RT @nancybrownoak: Excited to welcome Groups Recover Together to the @oakhcft family as they announce their recent $60M Series C! We look f…
1389934599782940675,oakhcft,2021-05-05 13:26:46,en,2,1,"We’re honored to announce the addition of Groups Recover Together to our portfolio! Today, the company announced th… https://t.co/2H9N9YL1sr"
1389657915720675335,oakhcft,2021-05-04 19:07:20,en,1,0,May is #MentalHealthAwarenessMonth and our team at Oak HC/FT wanted to recognize the amazing work our #healthcare p… https://t.co/c2E7f8tNSa
1389657658559549449,oakhcft,2021-05-04 19:06:19,en,0,1,RT @therapybrands: We are thrilled to announce our inaugural Therapy Brands Circle of Excellence award winners! These outstanding employees…
1389657632865144832,oakhcft,2021-05-04 19:06:12,en,0,2,"RT @RapydPayments: Fintech can solve more than just payments challenges, it can provide new opportunities.

Thomas Kang, Rapyd's Director o…"
1389258337078894598,oakhcft,2021-05-03 16:39:33,en,0,1,"RT @UniteUsHQ: ""With Unite Us, we are witnessing the technological enablement of kindness and care to scale."" – @VirginiaGarcia, our partne…"
1389258286772498438,oakhcft,2021-05-03 16:39:21,en,1,0,Congrats to @KomodoHealth on the expansion of their partnership with @SyneosHealth! This new integrated solution wi… https://t.co/rB1Czij2A1
1389258024880062464,oakhcft,2021-05-03 16:38:18,en,0,1,RT @hellobrightline: May is #MentalHealthAwarenessMonth and we're here to say: No matter where you and your family are in the process — we…
1388229627076820995,oakhcft,2021-04-30 20:31:49,en,0,0,“Not all fintech is created equal.” Oak HC/FT’s @MrAllenMiller and Tess Munsie wrote about the #fintech IPO gold ru… https://t.co/eMMxckF2aE
1388221025339457537,oakhcft,2021-04-30 19:57:38,en,0,2,"RT @MrAllenMiller: Just in time for your weekend reading. My @oakhcft colleague, Tess Munsie, and I discuss the #fintech gold rush and how…"
1388221008813957123,oakhcft,2021-04-30 19:57:35,en,0,10,"RT @TechCrunch: Amid the IPO gold rush, how should we value fintech startups? https://t.co/FUIURjIbEJ by @MrAllenMiller and @oakhcft"
1388178502403436547,oakhcft,2021-04-30 17:08:40,en,0,3,"RT @DigAssetMarkets: Congratulations to @PaxosGlobal for their fantastic #seriesD funding round, raising $300 million on a $2.4 billion dol…"
1388178480282624001,oakhcft,2021-04-30 17:08:35,en,1,0,Check out @PaxosGlobal CEO Charles Cascarilla on the @Unchained_pod for an in-depth conversation on founding Paxos… https://t.co/XalgALunvR
1388178336367718403,oakhcft,2021-04-30 17:08:01,en,0,7,"RT @Kr00ney: Paxos, PayPal's crypto partner, raises $300M at a $2.4B valuation 

- Oak HC/FT led the round, with participation from previou…"
1387852687820136455,oakhcft,2021-04-29 19:34:00,en,0,1,RT @sidviswanathan: Congrats to @oakhcft and team on leading the @PaxosGlobal Series D round. Paxos is such a brilliant infrastructure appr…
1387852645679960065,oakhcft,2021-04-29 19:33:50,en,0,1,RT @_PatriciaKemp: Few companies are approaching digital assets with such a clear vision as to how #blockchain technology can revolutionize…
1387852573500231690,oakhcft,2021-04-29 19:33:33,en,0,1,RT @romaindillet: Paxos raises $300 million to build a cryptocurrency infrastructure giant https://t.co/WP3oJl2Ara
1387852548237930496,oakhcft,2021-04-29 19:33:27,en,0,5,RT @technology: Blockchain startup Paxos Trust valued at $2.4 billion after raising $300 million from investors https://t.co/60QgIUi3AX
1387852378246946819,oakhcft,2021-04-29 19:32:46,en,0,0,Excellent recognition for our portfolio company @trov in @TechRoundUK's 2021 Top InsurTech Companies list!… https://t.co/6oxbxWWyyu
1387852046842347523,oakhcft,2021-04-29 19:31:27,en,0,6,"RT @cryptobuzznews: . @PaxosGlobal has raised $300M at $2.4B in Series D round led by @oakhcft and participation from Declaration Partners,…"
1387760643642626056,oakhcft,2021-04-29 13:28:15,en,2,1,"Welcome to the Oak HC/FT family, @PaxosGlobal! 

We recently led a $300M Series D in Paxos to support the company’s… https://t.co/6sB9Mk7otu"
1387431057247584261,oakhcft,2021-04-28 15:38:35,en,1,0,What does the pandemic mean for Medicare and health coverage? Read the latest Q&amp;A from @Advise_Medicare on this and… https://t.co/aJVy9XWX4x
1387430943561064448,oakhcft,2021-04-28 15:38:08,en,0,1,"RT @MrAllenMiller: Great article from #forbes on personalized marketing from the one and only @rudeegraap @sendosohq 

https://t.co/uX4KJI0…"
1387430921524203527,oakhcft,2021-04-28 15:38:03,en,0,3,RT @FTPartners: eCommerce funding platform @getclearco raises $100 million in Series C financing led by @oakhcft at a $2 billion valuation…
1387430900686852104,oakhcft,2021-04-28 15:37:58,en,0,1,RT @VestaHealthcare: We are thrilled to be among the Top 20 companies featured in the @NYCHBL #Healthcare Innovation Quarterly Report. Chec…
1387150509690261512,oakhcft,2021-04-27 21:03:48,en,2,1,Our portfolio company @KomodoHealth was named to the @Forbes list of 2021’s most promising artificial intelligence… https://t.co/f4zjhZ6c1N
1387150306941734915,oakhcft,2021-04-27 21:02:59,en,0,1,RT @UniteUsHQ: Unite Louisiana has expanded! Big thank you to our newest partners for joining our mission to help connect people to health…
1387150287106883587,oakhcft,2021-04-27 21:02:55,en,0,6,RT @KomodoHealth: We are proud to be recognized in the #ForbesAI50 list. Komodo Health's #AI-powered software allows our customers to unloc…
1386738654714998784,oakhcft,2021-04-26 17:47:14,en,0,2,"RT @oliveai__: ICYMI: Earlier this week, Olive CEO @unleashCbus spoke with Mark Komisky of CDHX about his journey to revolutionize #healthc…"
1386738551581286404,oakhcft,2021-04-26 17:46:49,en,1,0,"Read about how the partnership between @CareByFirefly and @DanaFarber helps provide patients with convenient, compr… https://t.co/hOtAPqVDbs"
1386738426465112068,oakhcft,2021-04-26 17:46:19,en,0,3,"RT @DispatchHealth: In recognition of #AutismAwarenessMonth, we're sharing five ways that in-home healthcare helps people with autism spect…"
1385649632831803394,oakhcft,2021-04-23 17:39:51,en,3,0,#ICYMI: Clearbanc is now Clearco! We’re proud to back @getclearco and excited for this next phase of growth!… https://t.co/9GT0p7oAlQ
1385649472030584832,oakhcft,2021-04-23 17:39:12,en,0,4,"RT @EversideHealth: This is #EversideHealth. We are so excited to announce the launch of our new website! 

Visit https://t.co/1bM4i5UQ6E t…"
1385649310776311808,oakhcft,2021-04-23 17:38:34,en,2,0,Congratulations to @truepill_rx founder and CEO @UAfridi for making the @SFBusinessTimes 40 Under 40 list!… https://t.co/YWVuPxISnB
1385649159856926720,oakhcft,2021-04-23 17:37:58,en,0,1,RT @feedzai: Even #AI is vulnerable to the #coronavirus disruptions. Behavioral changes due to the pandemic are straining some #machinelear…
1385323992651911171,oakhcft,2021-04-22 20:05:52,en,1,0,"Today and every day, we’re proud to back companies leveraging tech and innovation to create a better, healthier, mo… https://t.co/wQe3sKYEwk"
1385323111990562823,oakhcft,2021-04-22 20:02:22,en,0,1,RT @ethicinvesting: Renewable energy and #cleantech solutions offer hope for a more #sustainable future—but are they seeing widespread adop…
1385322879471005701,oakhcft,2021-04-22 20:01:27,en,1,1,Mark your calendars for @oodahealth's webinar on May 13 at 1pm ET! Co-founder and Managing Partner @annielamont wil… https://t.co/pKtetwtGwh
1385321917662498823,oakhcft,2021-04-22 19:57:37,en,0,2,"RT @insureon: Happy Earth Day! As an online agency, we keep our carbon footprint low, and encourage responsible use of energy resources eve…"
