id,username,created_at,lang,favorite_count,retweet_count,text
1388612820225433601,paigebueckers1,2021-05-01 21:54:30,en,1443,81,Happy birthday queen💙🤞🏼🕊 https://t.co/Qf2TzB5RRB
1388605421032771586,paigebueckers1,2021-05-01 21:25:06,en,3971,180,Took a much needed break from Twitter. Thank you for all the well wishes and prayers. God is still great and everyt… https://t.co/jMQBMATH3z
1315755996564918275,paigebueckers1,2020-10-12 20:47:29,en,0,196,"RT @UConnWBB: Come for the new unis 

Stay for the @aubrey_g44 dunk https://t.co/WFGh1QXPXs"
1315497463575384064,paigebueckers1,2020-10-12 03:40:10,en,0,32965,"RT @BleacherReport: Shoutout to Jimmy Butler.

Gave it everything he had. 

Certified star 🌟 https://t.co/nuftBJJpaT"
1315475764972675072,paigebueckers1,2020-10-12 02:13:57,en,2463,263,PUT SOME RESPECT ON HIS NAME @KingJames
1313968809137459201,paigebueckers1,2020-10-07 22:25:51,en,464,16,🤩🤩🤩 LOVE IT!! @mazo_kim https://t.co/m30KIJRMon
1313132384611639303,paigebueckers1,2020-10-05 15:02:11,en,0,85,"RT @maya_nnaji23: ‼️After much deliberation and prayer with my family, here is my Top 13‼️ https://t.co/Pryodfevuo"
1312789656484839426,paigebueckers1,2020-10-04 16:20:19,en,0,22,RT @maya_nnaji23: 🚨‼️top 13 coming soon‼️🚨 https://t.co/pwBcbq3shT
1310395209558241281,paigebueckers1,2020-09-28 01:45:38,en,192,0,Congrats Lee! Super happy for you💙 https://t.co/xXxTk6cas1
1310254162752548864,paigebueckers1,2020-09-27 16:25:10,en,0,6657,"RT @BleacherReport: LeBron (10) has more NBA Finals appearances than 27 franchises:

Sixers
Knicks
Pistons
Bulls
Spurs
Heat
Cavaliers
Rocke…"
1307162758702682112,paigebueckers1,2020-09-19 03:41:02,en,0,1796,"RT @S10Bird: “Women belong in all places where decisions are being made. It shouldn't be that women are the exception.” - RBG

Absolutely g…"
