id,username,created_at,lang,favorite_count,retweet_count,text
1387913810380525571,pilitobar87,2021-04-29 23:36:53,en,0,129,"RT @pilitobar46: More work to do but we are making progress at the border:
🔴Kids in CBP ⬇️ 84% in a month
🔴Almost 80% ⬇️ in time that kids…"
1385723111308414976,pilitobar87,2021-04-23 22:31:49,en,2,0,@danielaRfern They were clearly not impressed.
1383571162064506884,pilitobar87,2021-04-18 00:00:45,en,1,0,@ChristieCarr @dan_munz Dark.
1383556631959457798,pilitobar87,2021-04-17 23:03:00,en,86,6,4 year old Lily has a theory about the @Carole_King song “It’s too late.” She thinks the song is about getting to t… https://t.co/clJAwYBxSf
1382824555329257474,pilitobar87,2021-04-15 22:34:00,en,0,92,"RT @MGwin46: THREAD: Three polls out this morning, and all three show massive, bipartisan, majorities in favor of @POTUS' Jobs Plan.

@nyti…"
1382519743375151106,pilitobar87,2021-04-15 02:22:47,en,86,0,"To my 4 yr old I am apparently no longer “mommy,” now I’m “mama’s wife.” At least it’s accurate.  🤷🏽‍♀️😂 @ChristieCarr"
1377082488221278212,pilitobar87,2021-03-31 02:17:04,en,10,0,@ChristieCarr It’s a chupacabra clearly...
1375891934271651844,pilitobar87,2021-03-27 19:26:14,en,2,0,@Adrienne_DNC @adrienneelrod @ArkansasOnline Omg love it!
1370573564034879488,pilitobar87,2021-03-13 03:12:56,en,1,0,@adamslily Congratulations!!
1369793730253889538,pilitobar87,2021-03-10 23:34:09,en,57,7,"Vero is generous, kind &amp; always there to help — whether you’re a friend or someone she just met. She’s amazing at w… https://t.co/BbWax6Lyst"
1368295525792026625,pilitobar87,2021-03-06 20:20:49,en,0,15,RT @pilitobar46: The Senate passes the bipartisan American Rescue Plan! @POTUS’ #1 priority has been to help American businesses and famili…
1365458688371212292,pilitobar87,2021-02-27 00:28:14,en,0,65,"RT @pilitobar46: In 1st interview as President, @POTUS tells @iliacalderon that the vaccine is safe &amp; ppl should get it, including undocume…"
1365353710512128002,pilitobar87,2021-02-26 17:31:06,en,0,32,RT @pilitobar46: Today @POTUS &amp; @FLOTUS speak with @UniNoticias @iliacalderon. Tune in tonight at 6:30 ET!
1363993148784062464,pilitobar87,2021-02-22 23:24:43,en,0,313,RT @MegHays46: We remember. https://t.co/QNM5BiGepv
1363992979782918144,pilitobar87,2021-02-22 23:24:02,en,61,17,"Devastating. As @POTUS says, in grief we find purpose. While me mourn the lives lost, we have to keep working to pa… https://t.co/uIpOqo8VxB"
1363991903130288128,pilitobar87,2021-02-22 23:19:46,en,56,5,Such a powerful solemn moment as @POTUS @FLOTUS @VP @SecondGentleman hold a moment of silence for the 500k+ COVID v… https://t.co/LLZK4Fd3Eg
1363989062437269504,pilitobar87,2021-02-22 23:08:28,en,44,10,".@POTUS is honoring the lives of 500k+ Americans who have died from COVID-19. That's more lives lost than in WWI, W… https://t.co/EsY2LmkeDi"
1363195110796763140,pilitobar87,2021-02-20 18:33:36,en,0,0,@JHagner That looks amazing! 🤗
1362898235677954055,pilitobar87,2021-02-19 22:53:55,en,0,63,RT @pilitobar46: .@POTUS applauds @LGBTEqCaucus for introducing the #EqualityAct and calls on Congress to pass this legislation “because no…
1361074031202619393,pilitobar87,2021-02-14 22:05:11,en,115,3,"Find yourself a valentine that takes you skiing, laughs when you fall, but still skis behind you in the easy trail… https://t.co/zwent4qiBD"
1360442241551126529,pilitobar87,2021-02-13 04:14:40,es,0,2,RT @pilitobar46: #FF @FPizarro_DC 👇🏽 one of the best in the business. Felicidades Fernando! pero más a @NPR por contratarte.
1360367538706796549,pilitobar87,2021-02-12 23:17:50,en,7,0,"@XochitlHinojosa @TomPerez @samcornale You all rocked it. And working with you, as always, was great. Thank you!"
1360270324944826369,pilitobar87,2021-02-12 16:51:32,en,0,23,"RT @pilitobar46: These are the values @POTUS and @FLOTUS are leading with. Also, what they wish for the American people. They included the…"
1358899746308579330,pilitobar87,2021-02-08 22:05:21,en,28,4,Congratulations @SergGonzales! 🤗❤️ https://t.co/CRoaC71EYq
1358592649771556865,pilitobar87,2021-02-08 01:45:03,en,34,1,Yes. Completely agree. https://t.co/oYubNfufQr
1356622643357753348,pilitobar87,2021-02-02 15:16:57,en,1,0,@GeoffBurgan @farahsmelendez At least you tried!
1356614131558854657,pilitobar87,2021-02-02 14:43:08,en,2,0,@GeoffBurgan @farahsmelendez Those boots! 😂❤️
1356614036251623426,pilitobar87,2021-02-02 14:42:45,en,0,49,"RT @pilitobar46: Today @POTUS is taking Executive Action to strengthen our immigration system:
✔️Create a task force to reunify families…"
1356294717668007938,pilitobar87,2021-02-01 17:33:54,en,0,1183,RT @WhiteHouse: Tune in for a briefing with @PressSec Jen Psaki. https://t.co/WdPuSmDzYX
1355166775059607556,pilitobar87,2021-01-29 14:51:51,en,3,1,@emmyruiz Happy birthday Henry!! And congrats to your moms. 🤗
