id,username,created_at,lang,favorite_count,retweet_count,text
1390006113970442240,pudiharicharan,2021-05-05 18:10:57,en,0,0,@ikaipullai Start one no ?
1390002897769832448,pudiharicharan,2021-05-05 17:58:10,en,0,0,@PinkCancerian iPhone
1390001306278850560,pudiharicharan,2021-05-05 17:51:51,en,0,0,"@PinkCancerian Yeah. When it’s bug-free, it works fine. I’m trying to join a few spaces, getting pushed out."
1390000956834648065,pudiharicharan,2021-05-05 17:50:27,en,0,0,@PinkCancerian Still beta kada. There’ll be bugs.
1389990641619320836,pudiharicharan,2021-05-05 17:09:28,en,0,4,RT @theindustryman1: Right ra! Rightuuu. https://t.co/UO9LYojtBe
1389987671670333441,pudiharicharan,2021-05-05 16:57:40,en,1,0,@Velvetyvirgo Think some issue with Spaces on Android
1389980196409798656,pudiharicharan,2021-05-05 16:27:58,en,2,0,@kishendas Please try it. Do let me know 😀
1389978903322652672,pudiharicharan,2021-05-05 16:22:49,en,33,0,"Dinner was fun. 4 eggs and some homemade whey ice cream. 

Whey ice cream:-
1 frozen banana 
Cocoa powder 
10 gm pe… https://t.co/QINqAnYaG5"
1389965501531508736,pudiharicharan,2021-05-05 15:29:34,en,8,1,"#MumbaiSagaOnPrime - Vintage Bollywood style action, the fine line between right and wrong and stunning acting perf… https://t.co/elQ96FvQpO"
1389936481888727042,pudiharicharan,2021-05-05 13:34:15,en,1,0,@Vasheegaran My condolences. Please stay strong 🙏
1389934207007268865,pudiharicharan,2021-05-05 13:25:13,en,1,0,"Here's the glimpse of #WWWlockdown Promotional Rap Song (Tamil) from #WWWmovie.

https://t.co/W3UwMKo9gB

@kvguhan… https://t.co/R4H9hg16ku"
1389914291155787777,pudiharicharan,2021-05-05 12:06:05,en,0,9,"RT @Binged_: #AhaVideo is on a roll!

It's adding *Blockbuster Content* for overseas Telugu audiences!

Check out the complete, super inter…"
1389903925743075333,pudiharicharan,2021-05-05 11:24:53,en,0,33,"RT @vrindaprasad: A friend reached out to me earlier today. #Chennai makkal can any of you help. Still in need of 6units.  #Covid19 
@ThisI…"
1389903810034757635,pudiharicharan,2021-05-05 11:24:26,en,0,0,@shubhragupta Glad to know you’re doing well. Please take care 👍
1389902583574056961,pudiharicharan,2021-05-05 11:19:33,en,3,0,"@angadadlakha @iKunaal As a platform, I think we should support and appreciate one another as much as possible. Esp… https://t.co/WbFWrN9EDg"
1389897379046854657,pudiharicharan,2021-05-05 10:58:52,en,1,0,@Dineshk4302 @jack @actorvijay The actor has officially announced.
1389891082834436099,pudiharicharan,2021-05-05 10:33:51,en,3,0,@iKunaal @angadadlakha I’m a random stranger too. But I followed him his transformation was really inspiring 😀
1389871582760382464,pudiharicharan,2021-05-05 09:16:22,en,1,0,"@msuganth Honestly, I don’t think so much. If I have to step out, I ensure I’m all masked up and leave all my thoughts behind."
1389844642070372355,pudiharicharan,2021-05-05 07:29:19,en,0,0,@jaiv00 @oneplus I faced this with my 8 PRO and eventually gave up and switched to I 12
1389831145815085062,pudiharicharan,2021-05-05 06:35:41,en,7,0,@chiragbarjatyaa Tough to pick one industry because there’s good as well as trash content across regional industrie… https://t.co/CCxocDTUpL
1389825697200238592,pudiharicharan,2021-05-05 06:14:02,en,2147,456,Malayalam actor #ShineTomChako on board #Thalapathay65 https://t.co/LPo7xATnad
1389825435463151616,pudiharicharan,2021-05-05 06:13:00,en,1101,431,"Superb fan made poster of #Pushpa 👌

No wonder it caught the attention of #AlluArjun https://t.co/VFfv5Y0GYI"
1389822631528988673,pudiharicharan,2021-05-05 06:01:51,en,1,0,@vilakudy @jpoomath Oh wow. Interesting.
1389821800020811783,pudiharicharan,2021-05-05 05:58:33,en,0,0,@jpoomath Oh cool. Will search and see
1389820192268578819,pudiharicharan,2021-05-05 05:52:10,en,1,0,@jpoomath Out anywhere?
1389813814808367107,pudiharicharan,2021-05-05 05:26:49,en,0,55,RT @Vedhika4u: Huge congratulations to actor Harish Patel sir 4 his next Marvel's #TheEternals directed by Academy winning Chloe Zhao of No…
1389811575322681350,pudiharicharan,2021-05-05 05:17:55,en,29,2,"Keeping the current #Covid19 Pandemic in mind, release of @RaviTeja_offl's #Khiladi has been postponed!… https://t.co/6LlGhw91uW"
1389803749145677824,pudiharicharan,2021-05-05 04:46:49,en,13,0,Happy birthday @vishakhasingh55. Wishing you a wonderful day and year ahead 😀
1389622005566042114,pudiharicharan,2021-05-04 16:44:38,en,78,6,Eagerly looking forward to Malayalam survival thriller #Nayattu which is expected to land on Netflix from May 9. https://t.co/A92V3Q63kD
1389621147424104450,pudiharicharan,2021-05-04 16:41:14,en,0,11,"RT @Binged_: #Bollywood and #Mollywood are the two film industries that are worst hit by #Covid_19

More #Malayalam films than ever are tak…"
1389612668684697608,pudiharicharan,2021-05-04 16:07:32,en,0,0,@Sucheritha_ There there 😀
1389592440588312583,pudiharicharan,2021-05-04 14:47:09,en,19,0,"Quite liked #TheInnocent on @NetflixIndia. Another Harlan Coben thriller that isn’t as effective as, say Safe and T… https://t.co/X4jpgmnE8c"
1389589228653219847,pudiharicharan,2021-05-04 14:34:24,en,5,0,It was a super breezy evening in the society. Didn’t want to miss walking 😀 https://t.co/YaYbRC8QYN
1389567861354500097,pudiharicharan,2021-05-04 13:09:29,en,0,1,@fitdelhigirl Please take whatever available. Don’t fall for WhatsApp university fwds about one being better than the other.
1389540159251755018,pudiharicharan,2021-05-04 11:19:25,en,659,263,Have you watched #VakeelSaabOnPrime yet? @PawanKalyan succeeds at bringing justice and being at his natural best. https://t.co/T4AMN60KNw
1389525377333166084,pudiharicharan,2021-05-04 10:20:40,en,2,0,I was amazed when I read Mondelēz International’s Second Annual  #StateOfSnacking  Report stating that the pandemic… https://t.co/CqHurLvZWJ
1389505893234999301,pudiharicharan,2021-05-04 09:03:15,en,1,0,"@TheFitGujju Just sit down with them over some chai and share what you have. Simple 😀

If only it’s as easy as I just made it sound 😂😂"
1389500498298867716,pudiharicharan,2021-05-04 08:41:49,et,0,81,RT @theindustryman1: Neenga Nalla adrathu Antha andavan ke porukkala. Ee saala cup govindha! https://t.co/OUWvVqTApE
1389491399775571968,pudiharicharan,2021-05-04 08:05:39,en,49,9,Well done 👏 Full respect ✊ https://t.co/3qe6LGxFuT
1389490694633439239,pudiharicharan,2021-05-04 08:02:51,en,1,0,@srimad Sshhh fans will gang up 😂
1389490426525065220,pudiharicharan,2021-05-04 08:01:47,en,0,0,@kowshikbio We will see we can reschedule. That means indefinitely nanba. No fixed time.
1389489549223489542,pudiharicharan,2021-05-04 07:58:18,en,0,0,@kowshikbio Go see properly
1389489436845649921,pudiharicharan,2021-05-04 07:57:51,en,0,0,@Miths_STR Naan CSK fan boss
1389489223162494977,pudiharicharan,2021-05-04 07:57:00,en,1,0,@kowshikbio Suspended indefinitely nanba.
1389489112034385921,pudiharicharan,2021-05-04 07:56:34,en,2,1,@srimad CSK was also playing well after last season’s horrible run
1389488528451510272,pudiharicharan,2021-05-04 07:54:15,et,164,10,Ee Saala Cup Govindaaa Govinda 😂
1389485254310830081,pudiharicharan,2021-05-04 07:41:14,en,0,0,@rajuvijai She’ll be back soon
1389484826323865601,pudiharicharan,2021-05-04 07:39:32,en,99,4,Ok right. Even 7 onwards spaces dhan pola 😬
1389483643794427905,pudiharicharan,2021-05-04 07:34:50,en,69,4,#IPL2021 is suspended for the time being
1389471203438571526,pudiharicharan,2021-05-04 06:45:24,en,0,218,RT @actorprashanth: The gentleman #trafficramasamy  who dedicated his life for voicing out the concerns of the public is right now fighting…
1389459435072802816,pudiharicharan,2021-05-04 05:58:38,en,0,28,"RT @blogeswari: Request leads for veg food for Covid+ persons in #Tnagar #Chennai please.

The 'Meals for Madras' folks are unable to servi…"
1389459343129513985,pudiharicharan,2021-05-04 05:58:16,en,38,5,Birthday wishes to the supremely talented and beautiful @trishtrashers. Have a fabulous year ahead 😀 https://t.co/hmWbTO4Ppr
1389455200620990465,pudiharicharan,2021-05-04 05:41:49,en,23,12,"Panorama Studios International acquires the Hindi remake right of Drishyam 2 - The Resumption

@kumarmangat… https://t.co/uSEjwTESnj"
1389448796090732544,pudiharicharan,2021-05-04 05:16:22,en,3,0,Hot wheels and care free riders. #CruisingLegends: DawnPatrol is a breather in such tough times. 4 stars to… https://t.co/ESSbSgQW0w
1389439414703575042,pudiharicharan,2021-05-04 04:39:05,en,0,2469,"RT @PiaBajpai: I need urgent help in district Farukhabad , kayamganj block .UP.. a bed wd ventilator ..my brother is dying ..any lead plz h…"
1389314378567012353,pudiharicharan,2021-05-03 20:22:14,und,1,0,@iskarthi_ Sshhh 😬
1389314191828287489,pudiharicharan,2021-05-03 20:21:30,en,68,3,Finished 5 episodes of #TheInnocent on Netflix and I find that one spaces is still on when I started watching. Dei 🙏😂
1389227348281622536,pudiharicharan,2021-05-03 14:36:25,en,0,9,"RT @Binged_: After #Bollywood boxing films, here is our curated list of the best #Hollywood boxing films to watch before #Toofaan releases!…"
1389195889911214081,pudiharicharan,2021-05-03 12:31:24,en,0,75,RT @shriiiitt: ICU LEADS CHENNAI QUICK!!!
1389193442123653120,pudiharicharan,2021-05-03 12:21:41,en,0,113,"RT @dilani_r: ❗️URGENT REQUEST❗️ for anyone in #Chennai: 
Needed TOCILIZUMAB injection for a patient 56/M who is in Ventilator support in C…"
1389147658938245122,pudiharicharan,2021-05-03 09:19:45,en,0,0,@Sucheritha_ Haha ya. Just saying
1389147363319549953,pudiharicharan,2021-05-03 09:18:35,en,0,0,@Sucheritha_ Instead connect over a regular call 😂
1389145843702198276,pudiharicharan,2021-05-03 09:12:32,und,0,0,@Sucheritha_ 😬
1389133473470844935,pudiharicharan,2021-05-03 08:23:23,en,59,54,#StayHome &amp; secure yourselves financially by paying EMIs on time. Boost your #CIBIL taki kabhi koi emergency aye &amp;… https://t.co/UMZnIOFQr3
1389106281147887618,pudiharicharan,2021-05-03 06:35:20,en,67,3,Today's IPL game between KKR and RCB to be postponed. #IPL2021
1389099633910059009,pudiharicharan,2021-05-03 06:08:55,en,3,0,"With the help of MG Motor India, the average daily medical oxygen production of Devnandan Gases has now jumped 15.2… https://t.co/wLI3k95VNW"
1389095898022481921,pudiharicharan,2021-05-03 05:54:04,en,14,7,"Here’s the First Look of #Induvadana 👩‍❤️‍👨 

@itsvarunsandesh @TheFarnazShetty @SriBalajiOffcl @MsrDirector… https://t.co/pZhIOwN9rV"
1389095201809960960,pudiharicharan,2021-05-03 05:51:18,en,1,0,@TheSoothsayer_ Haha people have no better job here. I got mine too and I had to face similar reactions. Really didn’t care 😀
1389078467665219584,pudiharicharan,2021-05-03 04:44:49,en,186,6,A glimpse of @soundarya_20’s character from the second season of #Raktanchal. It’s going to be a very interesting c… https://t.co/AZLSTApd6S
1388873127095005185,pudiharicharan,2021-05-02 15:08:52,en,0,82,"RT @Binged_: 13 years for #IronMan 🔥❤️

Marvel Cinematic Universe began on May 2, 2008, 13 years ago today with #IronMan 

Share your memor…"
1388797416418070530,pudiharicharan,2021-05-02 10:08:01,en,0,0,@BurgerrB That’s a dachshund?
1388590649302142978,pudiharicharan,2021-05-01 20:26:24,hi,3,0,@iskarthi_ @sidhuwrites @LMKMovieManiac @TheVinothCj Vaaya 😂
1388589937348386818,pudiharicharan,2021-05-01 20:23:34,en,12,0,@sidhuwrites @LMKMovieManiac @TheVinothCj Great session. Hope to do one soon.
1388554971675697155,pudiharicharan,2021-05-01 18:04:38,en,198,20,"That Pollard drop catch by Faf was the match. There was no coming back from that. 

Nevertheless, a great game."
