id,username,created_at,lang,favorite_count,retweet_count,text
1389541452812795907,rakeshrussell52,2021-05-04 11:24:33,en,0,0,@FIH_Hockey @TheHockeyIndia Even the home match against New Zealand in bhubaneswar?
1389541013467930625,rakeshrussell52,2021-05-04 11:22:48,en,0,10,"RT @FIH_Hockey: India’s upcoming #FIHProLeague away matches against Spain and Germany, scheduled on 15-16 May and 22-23 May respectively, h…"
1388933903801532418,rakeshrussell52,2021-05-02 19:10:22,en,0,1,RT @JaspreetSSahni: Pls help. Those who can. 🙏
1388847480515739652,rakeshrussell52,2021-05-02 13:26:57,en,0,0,@hockeyind Hi when will the 16 members squad of our hockey teams will be announced?
1388445022391988225,rakeshrussell52,2021-05-01 10:47:44,en,0,1,RT @TheHockeyIndia: FIH Hockey Pro League 2021-22 schedule is out. India will be ready to start the campaign taking on New Zealand followed…
1388133029554663424,rakeshrussell52,2021-04-30 14:07:59,en,0,14,RT @FIH_Hockey: FIH and the #FIHProLeague participating National Associations are glad to announce that the match schedule of the third sea…
1387115256154034180,rakeshrussell52,2021-04-27 18:43:43,en,0,6,RT @RudawEnglish: LATEST: Iraqi Airways has officially suspended flights to India until further notice due to the rapid increase in coronav…
1387115230984118276,rakeshrussell52,2021-04-27 18:43:37,en,0,0,@news7tamil @sunnewstamil @PTTVOnlineNews Now Iraq also suspended flights to India https://t.co/Nydd5V1ix1
1387114791370694664,rakeshrussell52,2021-04-27 18:41:52,en,0,0,@TheHockeyIndia Does main players will play in this event?
1387091700720545792,rakeshrussell52,2021-04-27 17:10:07,en,0,23,"RT @FIH_Hockey: #Hockey5s

@Olympic_Capital will host the first ever Senior World Hockey5s event on 11-12 September 2021

The participants…"
1387091673898000392,rakeshrussell52,2021-04-27 17:10:00,en,0,0,@FIH_Hockey @Olympic_Capital @LausanneCO Is there any age restrictions? Or main players can also play in it?
1387091397505916938,rakeshrussell52,2021-04-27 17:08:54,en,0,0,@Sohailhockeypk @PHFOfficial @TheHockeyIndia @imsardarsingh8 Really this is the right time to start the bi lateral series
1387091077786652677,rakeshrussell52,2021-04-27 17:07:38,en,0,14,"RT @FIH_Hockey: We are delighted to announce that we will organise first ever senior World Hockey5s event on 11 and 12 September 2021, in L…"
1385631455837966338,rakeshrussell52,2021-04-23 16:27:37,en,0,0,@FCGoaOfficial @JuanFerrandoF @eastlowerarmy @fcgoafanclub C'mon team go for it
1385461010794954754,rakeshrussell52,2021-04-23 05:10:20,nl,0,0,@16Sreejesh @Olympics @NBCOlympics @hockeyindia Steel man
1385460760105693184,rakeshrussell52,2021-04-23 05:09:20,en,0,6,"RT @TheHockeyIndia: When you’re done with the week 😩 but remember tomorrow is Friday 😌

#IndiaKaGame https://t.co/LryL63LfiP"
1384943632738922496,rakeshrussell52,2021-04-21 18:54:27,en,0,8,RT @FIH_Hockey: @TheHockeyIndia Deeply saddened by the passing away of Indian hockey statistician Mr. B.G. Joshi. He had a huge passion for…
