id,username,created_at,lang,favorite_count,retweet_count,text
1393860761651277831,revathii95,2021-05-16 09:27:56,en,0,37,"RT @ThePrintIndia: In ThePrint's #50WordEdit: 

Arrests for anti-Modi posters is vindictive intimidation. Last heard, India was a democracy…"
1393819289962958851,revathii95,2021-05-16 06:43:09,en,0,54,"RT @abantika77: #COVID19India

“Overnight, daily medical oxygen demand exploded from 1,000 metric tonnes to almost 10,000, crashing a syste…"
1393807227132076035,revathii95,2021-05-16 05:55:13,hi,0,1228,RT @DeependerSHooda: मानवता और इंसानियत भी एक विचारधारा होनी चाहिए।
1393282397441990656,revathii95,2021-05-14 19:09:44,en,3,0,@ptrmadurai @Sanjay_Pinto Some great lessons! Thank you for sharing
1393276432436973575,revathii95,2021-05-14 18:46:01,en,14,2,"As the call to utilise the Integrated Vaccine Complex at Chengalpattu for COVID vaccines intensifies, re-upping thi… https://t.co/5ZBytdOBWJ"
1393219567392989190,revathii95,2021-05-14 15:00:04,en,0,355,RT @ShekharGupta: Our #50WordEdit on TN CM Stalin seeking consensus on Covid response https://t.co/T9oalTP51t
1393218537070620682,revathii95,2021-05-14 14:55:58,en,0,9,"RT @ThePrintIndia: Outlook’s ‘missing govt’ cover page goes missing online, magazine says part of new format

Revathi Krishnan @revathii95…"
1393037482820726785,revathii95,2021-05-14 02:56:31,en,0,528,"RT @christophclarey: Nadal

noun

1.  a Spanish tennis player who will fight no matter the score and usually find a way to win

2.  clay ht…"
1393035092050649088,revathii95,2021-05-14 02:47:01,en,0,2,RT @khanthefatima: Life as a Palestinian.
1392810342930022402,revathii95,2021-05-13 11:53:57,en,0,4,"RT @ShekharGupta: US probes ‘mystery episodes’ causing brain injuries to its personnel abroad since 2016: NYT

Revathi Krishnan @revathii95…"
1392779313620033543,revathii95,2021-05-13 09:50:39,en,5,0,Significant faces of the Makkal Needhi Maiam - Santhosh Babu and D Padma Priya say they are quitting the Kamal Haas… https://t.co/7Pq3ILSMjj
1392583212509978625,revathii95,2021-05-12 20:51:25,fi,0,4,"RT @KsRadhakrish: Alapuzha, Kerala https://t.co/NkVmr4NK8p"
1392516333506498560,revathii95,2021-05-12 16:25:40,et,18,1,Tera Mujhse Hai Pehle Ka Nata Koi💛 https://t.co/ywxUKicO6M
1392496428736413700,revathii95,2021-05-12 15:06:34,en,0,7,"RT @revathii95: Net. Across. Ganges. To. Catch. India. Covid-19. Corpses....

Read this again...."
1392444526359244805,revathii95,2021-05-12 11:40:20,en,0,129,RT @mahajournalist: #BREAKING  TN government will float global tender for #COVID19 vaccine procurement: @mkstalin  #VaccineForAll
1392426701917876224,revathii95,2021-05-12 10:29:30,en,20,7,"Net. Across. Ganges. To. Catch. India. Covid-19. Corpses....

Read this again.... https://t.co/H5sEttiRSd"
1392089923851747332,revathii95,2021-05-11 12:11:16,hi,0,2,"RT @ThePrintHindi: दिल्ली : गुरुद्वारा रकाबगंज साहिब में 400 बेड का कोविड सेंटर शुरू

दिप्रिंट की रेवथी कृष्णन @revathii95
की रिपोर्ट

http…"
1392040865925787649,revathii95,2021-05-11 08:56:19,en,0,5,"RT @ThePrintIndia: To help tackle the ferocious 2nd Covid wave, a 400-bed facility became operational Monday in Delhi's Rakab Ganj gurdwara…"
