id,username,created_at,lang,favorite_count,retweet_count,text
1389996321658966018,rssharma3,2021-05-05 17:32:02,en,0,28,"RT @ndtv: .@OnReality_Check | Dr  RS Sharma (@rssharma3), Chairperson Empowered Committee for the administration of #Covid19 vaccine, on wh…"
1389618655160242176,rssharma3,2021-05-04 16:31:19,en,0,0,@22NehaAgarwal @narendramodi That is not true Neha. We have not opened the Registration and Booking for third parties as yet.
1389556347515985927,rssharma3,2021-05-04 12:23:44,en,2,0,"@pavanvd Thanks, @pavanvd for your suggestion."
1389535039499632640,rssharma3,2021-05-04 10:59:04,en,0,201,RT @PIBFactCheck: A message claims that people can register for #COVID19Vaccination by downloading a mobile application through the given l…
1389428895305265152,rssharma3,2021-05-04 03:57:17,en,1,1,@bmkj9 @samirsinha69 @nath_ngatey This is at discretion of State Governments.
1389428654246010881,rssharma3,2021-05-04 03:56:20,en,1,0,@pavanvd Thanks. Will do.
1389174982983393281,rssharma3,2021-05-03 11:08:20,en,0,4,"RT @CNBCi: More than 170 million people have registered on India's online vaccine platform, says @rssharma3, CEO of Indian National Health…"
1389174858685194240,rssharma3,2021-05-03 11:07:50,en,2,0,@ashims1515 We will deploy this in very near future.
1389127348046290947,rssharma3,2021-05-03 07:59:03,hi,0,0,@pushpendrakum Kuchh apni buddhi bhi lagao bhatije! Kewal cut and paste se kaam nahin chalega. Ismein agle sentence… https://t.co/vnXMTKtc7T
1389126419096031236,rssharma3,2021-05-03 07:55:21,en,62,28,Co-WIN Public API discussion forum for developers is now active at https://t.co/LmH76w0Z1q This forum is for any he… https://t.co/Sx3UAD0Mxj
1388541886944612354,rssharma3,2021-05-01 17:12:38,en,3,0,@harish_sarma @PMOIndia @narendramodi @drharshvardhan Checking utility is already live at https://t.co/YhG7gjKdEm.… https://t.co/jpIqxIApaQ
1388342766132891649,rssharma3,2021-05-01 04:01:24,en,0,10,"RT @CNNnews18: #EXCLUSIVE | Co-WIN Chief, Dr RS Sharma (@rssharma3) spoke to @Runjhunsharmas ahead of phase 3 of the vaccination drive.

""P…"
1388313227071684611,rssharma3,2021-05-01 02:04:01,en,0,9,RT @ETNOWlive: #VaccineFor18Plus | Why did the govt start the registration process for 18-44-year-olds to get vaccinated when they can’t ge…
1388170210738245635,rssharma3,2021-04-30 16:35:43,en,2,0,@mootabaacha @SetuAarogya @PMOIndia @drharshvardhan Thanks. Good idea. Will do.
1387809600804507652,rssharma3,2021-04-29 16:42:47,hi,0,48,"RT @MoHFW_INDIA: #LargestVaccineDrive #Unite2FightCorona 

क्या है अस्पतालों की CoWIN से जुड़ने की प्रक्रिया? जानिये 'डॉ राम सेवक शर्मा, मु…"
1387739151659765763,rssharma3,2021-04-29 12:02:51,en,0,10,RT @ETNOWlive: #LIVE | Watch @rssharma3 on #COVID19Vaccination for 18+ on #CowinApp  and registrations for Phase 3    @AyushmanNHA @Nayanta…
1387737170576740352,rssharma3,2021-04-29 11:54:59,en,0,11,"RT @TimesNow: CoWIN portal will also now show the vaccines that are being delivered by private sector &amp; their prices: @rssharma3, CEO, NHA…"
1387737099504283650,rssharma3,2021-04-29 11:54:42,en,0,62,RT @TimesNow: 1.37 crore people have registered on CoWIN portal for vaccination in 8 hours after it was launched at 4 pm yesterday: @rsshar…
1387668730021224449,rssharma3,2021-04-29 07:23:01,und,0,24,"RT @MoHFW_INDIA: #LargestVaccineDrive 
#Unite2FightCorona 

@PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive @airnewsalert…"
1387668631740248067,rssharma3,2021-04-29 07:22:38,en,0,19,RT @QualityCouncil: #Hospitals which are already certified by national/international recognised accreditation body can apply for #ABPMJAY S…
1387476056563601410,rssharma3,2021-04-28 18:37:24,en,12574,1766,We close the day with  1.33 Crore Registrations on Co-Win and delivered 2.78 crore SMSes.
1387438242199261187,rssharma3,2021-04-28 16:07:08,en,0,4570,RT @SetuAarogya: Vaccination appointments for 18 plus will be possible once the State Governments and Private Vaccination Centers schedule…
1387437878335078400,rssharma3,2021-04-28 16:05:42,en,0,19,"RT @invest_mutual: 55000 hits per second.
Almost 80 Lakh registrations!!!!"
1387437806667014149,rssharma3,2021-04-28 16:05:25,en,0,8,"RT @PradeepHardikar: Be proud. Coming from a career software developer, it is a great achievement to scale up that much. My experience and…"
1387437665474080774,rssharma3,2021-04-28 16:04:51,en,0,6,"RT @AEHarshada: Despite the hiccup  day 1 of registration seems to have kicked of pretty well. 3 hours Nearly 8 lakhs registered, and 55k h…"
1387437512612663298,rssharma3,2021-04-28 16:04:15,en,0,4,"RT @sakhedkar: Excellent job. Need to give credit and appreciate folks behind this. Good software architecture, implementation and Q/A."
1387437087020838912,rssharma3,2021-04-28 16:02:33,en,0,141,"RT @MoHFW_INDIA: #LargestVaccineDrive 

With more than 80 L registrations &amp; 383 million API hits till 7 pm, #CoWIN Digital Platform continu…"
1387425219707478041,rssharma3,2021-04-28 15:15:24,en,125,14,@anandmutha There is no Cowin App!
1387412652020752384,rssharma3,2021-04-28 14:25:27,en,6874,1345,"There have been 79,65,720 registrations on Co-WIN today, most of these in the last three hours (16:00-19:00) and mo… https://t.co/A6odydHAib"
1387353397398016004,rssharma3,2021-04-28 10:30:00,en,117,54,Registration for age 18 to 44 opened at https://t.co/YhG7gk1P2W
1387252842667208704,rssharma3,2021-04-28 03:50:26,en,743,330,"Today, we have opened  Co-Win APIs for vacancies search and downloading certificates of vaccinations for third part… https://t.co/LbsSb2MNdS"
1387214288348090372,rssharma3,2021-04-28 01:17:14,en,3,1,@iambhutia @CovidIndiaSeva It will open at 4 PM today.
1387214163206832129,rssharma3,2021-04-28 01:16:44,en,1,0,@3e02070480c945a @PMOIndia @narendramodi It will open at 4 PM today.
1387084095096647688,rssharma3,2021-04-27 16:39:53,hi,0,5,"RT @Akshayjainzee: रजिस्ट्रेशन से वैक्सीनेशन तक की पूरी जानकारी...

नेशनल हेल्थ अथॉरिटी के CEO और CoWIN एम्पावर्ड कमिटी के चेयरपर्सन आर एस…"
1387083896697745412,rssharma3,2021-04-27 16:39:06,en,0,22,RT @CNNnews18: #EXCLUSIVE | 6 to 7 million registrations are expected in a day. We are ready to take care of all the rush which can come in…
1387082908045778953,rssharma3,2021-04-27 16:35:10,en,0,13,RT @CNNnews18: #EXCLUSIVE | We are continuously organising training programs for the states. We have updated every manual on the portal and…
1387016577757839360,rssharma3,2021-04-27 12:11:36,en,0,3,"RT @CNNnews18: Vaccine for 18+ from May 1. Decoding phase-3.

Join RS Sharma (@rssharma3, CoWIN app chief) in conversation with @maryashaki…"
1386634744121610242,rssharma3,2021-04-26 10:54:20,en,0,2,RT @AyushmanNHA: @Projectstepone @rssharma3 Response to the said letter is enclosed. https://t.co/0kSuOSvM2h
1386585977917820932,rssharma3,2021-04-26 07:40:33,en,0,4,"RT @anujmagazine: Year 2021, in a nutshell

 #WorldBookDay2021 @OlympianBen @JohnPKotter @wvraman @HowIBuiltThis @guyraz @Viral_B_Shah @Nan…"
1386585840512430080,rssharma3,2021-04-26 07:40:00,en,0,8,"RT @AyushmanNHA: ""We are having a registry of healthcare providers, hospitals and laboratories, and together with them, we can develop a pl…"
1385827080986710021,rssharma3,2021-04-24 05:24:58,en,0,12,RT @monikareporter: The CoWin platform has been fully upgraded to take on the rush expected with the expansion from May 1 of the vaccinatio…
1385436839515852800,rssharma3,2021-04-23 03:34:17,en,0,5,"RT @ETNOWlive: #COVIDSecondWave | Free vaccine from Central #Govt will be only for 45+ years, clarifies NHA CEO RS Sharma. Listen in

@rssh…"
1385436825200697348,rssharma3,2021-04-23 03:34:13,en,0,3,RT @ETNOWlive: #COVIDSecondWave | Will open #vaccine registrations for those above 18 years soon; asking private #hospitals to update in th…
