id,username,created_at,lang,favorite_count,retweet_count,text
1389749819229437959,sign_up1029,2021-05-05 01:12:31,en,0,0,@ChaseGrizzly Better life hack: throw out the juul
1389327738125828100,sign_up1029,2021-05-03 21:15:19,en,0,0,@Cat_superiority @quarantinebeat @stevesilberman @ChuckWendig @BillBramhall Call people stupid but not fat? Whats the logic here
1389280309284282369,sign_up1029,2021-05-03 18:06:51,en,0,0,@funkmacker First you need to define what ‘hard’ means
1389116028811055106,sign_up1029,2021-05-03 07:14:04,en,0,0,@reeeeeeeeboi15 @JiriThunderDome @JayMMA4 “I hate UFC 4” *100+hours played*
1389046365896937479,sign_up1029,2021-05-03 02:37:15,en,4,0,@reeeeeeeeboi15 @JiriThunderDome @JayMMA4 You don’t get good at a game if you don’t like it haha
1389043527166820356,sign_up1029,2021-05-03 02:25:58,en,2,0,@reeeeeeeeboi15 @JiriThunderDome @JayMMA4 So y’all are grinding a game that you don’t even think is good?
1389012717181104129,sign_up1029,2021-05-03 00:23:33,en,3,0,"@LamebredFighter Reyes needs 12+ months off, not a fight with another rising star"
1388923831188811779,sign_up1029,2021-05-02 18:30:20,en,1,0,"@DovySimuMMA Reyes might be looking at retirement right now, or at least some time off"
1388716917213466624,sign_up1029,2021-05-02 04:48:08,en,0,53,"RT @AlexBehunin: Strickland vs. Holland would be fun and needs to happen next. 
Two infamous talkers.
#UFCVegas25 https://t.co/1nSnZFOWsf"
1388716724921401348,sign_up1029,2021-05-02 04:47:22,en,0,0,That was hard to watch tbh... really brutal fight #UFCFightnight
1388702140021960704,sign_up1029,2021-05-02 03:49:25,en,0,0,@MacMallyMMA They say you’re only as good as your last performance
1388700754509058048,sign_up1029,2021-05-02 03:43:55,en,0,0,@heyyydoc What’s boring about that? Lol
1388689710520758277,sign_up1029,2021-05-02 03:00:02,en,0,0,"Never seen Sean Strickland fight before tonight, does he always walk dude’s down like this? Scary lol #UFCVegas25"
1388297466705944577,sign_up1029,2021-05-01 01:01:24,en,0,0,@allaroundplays Yessirrrr let’s get it 🙌 https://t.co/xg2WK3ZKmN
1387939121725775872,sign_up1029,2021-04-30 01:17:27,und,1,0,@MataiSamoa https://t.co/j2hvIxCo8W
1387862296488124417,sign_up1029,2021-04-29 20:12:11,en,0,0,@ChoboKnows @OlDirtyChi @ESPNRingside @MikeTyson @LennoxLewis I didn’t say it had anything to do with me. I said I don’t understand it.
1387837815812145155,sign_up1029,2021-04-29 18:34:54,en,0,0,@stargazer109 @SchaubShow He said if Gaethje utilizes that gameplan he can win. Gaethje didn’t use the gameplan so… https://t.co/f6CGdUhsC1
1387835793926885378,sign_up1029,2021-04-29 18:26:52,und,0,0,@stargazer109 @SchaubShow https://t.co/nAZEftKYAf
