id,username,created_at,lang,favorite_count,retweet_count,text
1388083939936456709,stephaniekotuby,2021-04-30 10:52:55,en,0,2670,"RT @SollenbergerRC: SCOOP: In a confession letter, @repmattgaetz's good pal Joel Greenberg said Gaetz paid for sex with a 17-year-old girl.…"
1387939329272655876,stephaniekotuby,2021-04-30 01:18:17,en,0,69,"RT @nytimes: People now live 73 years on average globally, more than twice as long as they did a century ago, but huge gaps remain in progr…"
1387895973976936448,stephaniekotuby,2021-04-29 22:26:00,en,0,1950,"RT @kylegriffin1: Breaking NYT: At least one of the Giuliani warrants was seeking evidence related to Marie Yovanovitch.

Federal authoriti…"
1387561043820417026,stephaniekotuby,2021-04-29 00:15:07,en,0,107,RT @erinschaff: National Guard patrol outside the Capitol before President Biden's joint address to Congress on April 28. https://t.co/307z…
1387482794310443011,stephaniekotuby,2021-04-28 19:04:11,und,0,0,https://t.co/5iq9covksF
1387183589192867844,stephaniekotuby,2021-04-27 23:15:14,en,0,1143,RT @AP: President Biden will call for free preschool for all three- and four-year-old children as part of a $1 trillion package focusing on…
1387183422574059525,stephaniekotuby,2021-04-27 23:14:35,en,0,251,RT @kaitlancollins: President Biden plans to reference the January 6 riot during his first address to Congress tomorrow night. The presiden…
1387031808164892676,stephaniekotuby,2021-04-27 13:12:07,en,0,206,RT @seungminkim: Big news from ⁦@jestei⁩: More senators aligning with Gillibrand’s call to overhaul how sex assault cases are handled in th…
1386808239862554624,stephaniekotuby,2021-04-26 22:23:44,en,0,63,RT @axios: West Virginia will offer $100 savings bonds to people from 16-35 who get vaccinated https://t.co/AAXWlBmm6x
1386772396279881728,stephaniekotuby,2021-04-26 20:01:18,en,0,82,"RT @axios: A Census official said if New York had counted 89 additional people, the state would not have lost a congressional seat and Minn…"
1386766811719471106,stephaniekotuby,2021-04-26 19:39:07,en,0,37,"RT @mkraju: Dick Durbin, No. 2 Senate Democrat, said he doesn’t know yet if he’s been invited to attend Biden’s speech to Congress on Wedne…"
1386764682313207811,stephaniekotuby,2021-04-26 19:30:39,en,0,2682,"RT @Redistrict: BREAKING: new Census apportionment counts...

TX +2
FL +1
CO, MT, NC, OR +1

CA, IL, MI, NY, OH, PA, WV -1"
1386637645208502273,stephaniekotuby,2021-04-26 11:05:51,en,1,0,And now for your feel good story of the week.... https://t.co/Q1nrmp5zyy
1386633253759721478,stephaniekotuby,2021-04-26 10:48:24,en,0,190,"RT @JenniferJJacobs: By assassinating Soleimani in Iraq, US delivered major blow to Iran, more damaging than if it had wiped out an entire…"
1386328064683036672,stephaniekotuby,2021-04-25 14:35:42,en,0,91,"RT @AP: After a year of being stuck in sweatpants and slippers, Americans are starting to dress up and buy clothes again, a hopeful sign fo…"
1386013854208077825,stephaniekotuby,2021-04-24 17:47:08,en,0,62,RT @thehill: Maryland launches a review of cases handled by ex-medical chief who served as expert for defense in Derek Chauvin trial https:…
1385718053330112513,stephaniekotuby,2021-04-23 22:11:43,en,0,51,"RT @JudyWoodruff: Dr. Anthony Fauci says the pause in authorization of the J &amp; J vaccine should be reassuring, rather than problematic: he…"
