id,username,created_at,lang,favorite_count,retweet_count,text
1387436218166784002,stew_boss,2021-04-28 15:59:06,en,0,2,"RT @MurphinDC: .@NCDemParty on Budd: ""A far-right Freedom Caucus extremist, Congressman Budd followed Donald Trump off the election fraud c…"
1387429541749141516,stew_boss,2021-04-28 15:32:34,en,0,13,RT @dscc: Rep. Ted Budd is a far-right Freedom Caucus extremist who spread dangerous conspiracy theories &amp; voted to overturn the election r…
1387414677748080645,stew_boss,2021-04-28 14:33:30,en,1,1,"What you need to know about far right extremist Congressman Ted Budd &amp; the GOP's increasingly ""ugly"" #NCSen primary… https://t.co/sc8ZrHjXq1"
1387413113293754368,stew_boss,2021-04-28 14:27:17,en,0,12,"RT @NCDemParty: Congressman Ted Budd, a far-right Donald Trumper extremist, is throwing his hat into the ring for the #ncsen. When Trump wa…"
1387390525075083267,stew_boss,2021-04-28 12:57:32,en,8,3,"AJC: ‘Astounding’: Big-name Republicans are shirking a matchup against @ReverendWarnock #GASen #gapol 
https://t.co/fC8VxqevrX"
1387049637199040531,stew_boss,2021-04-27 14:22:58,en,0,16,RT @dscc: Every Republican Senator needs to condemn Senator Ron Johnson’s reckless attacks on COVID-19 vaccines. https://t.co/FB9yTYM1tT
1387045299982536704,stew_boss,2021-04-27 14:05:44,en,1,4,"Wisconsin Physicians Blast @SenRonJohnson For Promoting Vaccine Hesitancy, Endangering Lives
 
""By sowing more unfo… https://t.co/seiFZTBuGV"
1386855459857043461,stew_boss,2021-04-27 01:31:22,en,0,14,RT @CNNPolitics: Former President Donald Trump's effort to overturn loss becomes 2022 GOP litmus test in key Senate races https://t.co/lC96…
1386743251986755586,stew_boss,2021-04-26 18:05:30,en,0,1,RT @DavidABergstein: Every Republican Senator already voted against coronavirus relief for Americans -- the least they can do is join their…
1386667641218215936,stew_boss,2021-04-26 13:05:03,en,0,3,RT @DavidABergstein: Rick Scott Ripped After Saying He Gave Trump 'Freedom' Trophy Because 'He Worked Hard' https://t.co/S29vqWiwnV
1386469469770371076,stew_boss,2021-04-25 23:57:35,en,0,20498,"RT @POTUS: Get vaccinated, folks."
1385783337273499648,stew_boss,2021-04-24 02:31:08,en,0,96,"RT @thehill: Fauci slams Johnson's questioning of vaccine effort: ""How can anyone say that 567,000 dead Americans is not an emergency?"" htt…"
1385688826971054080,stew_boss,2021-04-23 20:15:35,en,0,11,"RT @VanityFair: Senator Ron Johnson is “highly suspicious” of the campaign to vaccinate Americans, for some reason. https://t.co/0znNTth3eZ"
1385679369662836736,stew_boss,2021-04-23 19:38:01,en,5,0,@RileySnyder @MichelleRindels congrats to you both! great news
1385669530207334400,stew_boss,2021-04-23 18:58:55,en,0,4,"RT @ammarmufasa: Tough day for @SenRonJohnson 

#WISen https://t.co/pSkpkMJZfV"
1385649886826307588,stew_boss,2021-04-23 17:40:51,en,0,1,"RT @zach_hudson: ""The remarks from @RonJohnsonWI  questioning the need for vaccines could lead to more hesitancy to get vaccinated."" #wisen…"
