id,username,created_at,lang,favorite_count,retweet_count,text
1389978568118075394,sudhirsrinivasn,2021-05-05 16:21:29,und,12,0,@RaunaqMangottil https://t.co/d35rU46tsz
1389970983281336320,sudhirsrinivasn,2021-05-05 15:51:21,en,1,0,"@_tharkuri @Aravind_SA JK. More seriously though, if some singing spaces were around, say, in a couple of hours or so, happy to join!"
1389970386729672710,sudhirsrinivasn,2021-05-05 15:48:59,et,0,0,@_tharkuri @Aravind_SA Romba kalaaikaringa. Usual-a #runs nu vera poduvinga.
1389969722700046337,sudhirsrinivasn,2021-05-05 15:46:20,und,1,0,@Aravind_SA @_tharkuri 😂
1389946861549613062,sudhirsrinivasn,2021-05-05 14:15:30,en,0,19,"RT @bulletpaandy: 1. Name: Malathi R
2. Age/Gender: 68/F
3. Phone No: 9940305758
4. Area/District: Navalur/Chennai
5. RT-PCR: +ve
6. Name o…"
1389820457575059463,sudhirsrinivasn,2021-05-05 05:53:13,en,87,2,"Been catching films that slipped under the radar. Wonder Woman 1984, among them. Unrewarding stunt sequences, a gen… https://t.co/vvqUtu3c3b"
1389670612868616193,sudhirsrinivasn,2021-05-04 19:57:47,en,0,8,RT @ranjim: @meenaharris Most of us in the South eat meat 😭 Much more than those in northern India! https://t.co/6lXpooDNtI
1389511604178391040,sudhirsrinivasn,2021-05-04 09:25:56,und,0,3,RT @ahana_02: #ChennaiCovidhelp #chennaiSOS @ChennaiCovid19 @ChennaiCares @sudhirsrinivasn @singersrinivas @covid19_innn https://t.co/xeLea…
1389191237270327297,sudhirsrinivasn,2021-05-03 12:12:55,en,0,547,"RT @deepusebastian: The Print outdoes itself by insulting two incoming South Indian Chief Ministers within a span of 24 hours, by comparing…"
1388732651268317185,sudhirsrinivasn,2021-05-02 05:50:40,en,0,4950,RT @devisheth: My grandfather just passed away this morning. He just had a pacemaker installed last month. It's in perfect condition and we…
1388732135826092032,sudhirsrinivasn,2021-05-02 05:48:37,und,9,0,@arjunvish7 ❤️
1388701723024265222,sudhirsrinivasn,2021-05-02 03:47:46,en,3,0,@startmeesik Coming from a professional like you... 🙏🏽
1388605424887222273,sudhirsrinivasn,2021-05-01 21:25:06,en,237,12,"🤗 Quiet midnights got a bit more musical. A good way to unwind after rigorous days, while in the presence of shared… https://t.co/EqRbvYYHNx"
1388590610999701504,sudhirsrinivasn,2021-05-01 20:26:15,pt,3,0,@aashameera @jaggenius *eduthutom
1388585736258027520,sudhirsrinivasn,2021-05-01 20:06:52,pt,15,0,@jaggenius Professional a paadravar neenga... 🙏🏽
1388513373566898181,sudhirsrinivasn,2021-05-01 15:19:20,en,0,0,@swarna_visu Thanks Swarna! 😌
1388504328302776323,sudhirsrinivasn,2021-05-01 14:43:23,et,4,0,"@TheHatmanTweets @Tattamizhguy @XpressCinema @gopi_rajen Enna Avi, unga koodave pesikkaringa..."
1388502236859310085,sudhirsrinivasn,2021-05-01 14:35:05,en,0,2,RT @Tattamizhguy: What can be the best b'day gift than rewinding the entire filmography of great persona n humble human #Thala. Amazing spa…
1388487822575751170,sudhirsrinivasn,2021-05-01 13:37:48,en,72,0,I think a Twitter version of the drinking game would be to start Spaces and have a shot each time you get kicked ou… https://t.co/8fCyDYQ006
1388481829972238337,sudhirsrinivasn,2021-05-01 13:13:59,und,2,0,@Aravind_SA ❤️
1388460737618616327,sudhirsrinivasn,2021-05-01 11:50:10,en,0,5,"RT @XpressCinema: From #Thenmavinkombathu to #Sivaji, and #KadhalDesam to #Mudhalvan... here's @TheHatmanTweets listing some of his favouri…"
1388406639766642691,sudhirsrinivasn,2021-05-01 08:15:12,en,0,54,"RT @Iamnavein: URGENTLY NEED REMDISVER

Patient name: Dinesh Kumar
Age: 41
Corona positive
Oxygen saturation: 90
PLACE: TRICHY (BUT I CAN C…"
1388406480831881222,sudhirsrinivasn,2021-05-01 08:14:35,en,5,0,@Teekkayy Thanks da! 😌
1388398429211009028,sudhirsrinivasn,2021-05-01 07:42:35,und,7,0,@biowannabe ❤️
1388345297865035780,sudhirsrinivasn,2021-05-01 04:11:27,und,0,2840,RT @ShreevarKheruka: https://t.co/kt6A7ZyynZ
1388231531617947649,sudhirsrinivasn,2021-04-30 20:39:23,en,1,0,"@ahana_02 You're very generous, Ahana. 🤗 And yes, #rajarocks."
1388227638406254595,sudhirsrinivasn,2021-04-30 20:23:55,und,2,0,@aceanusha ❤️
1388226690891927553,sudhirsrinivasn,2021-04-30 20:20:09,en,3,0,"@ajithkanth009 Haha, it's okay. Didn't expect to see. Hence my surprise."
1388221462914363394,sudhirsrinivasn,2021-04-30 19:59:23,en,0,2605,"RT @neeros5: Dear @Actor_Siddharth would really appreciate your help if u could pass this on,I am one of the respiratory physicians from Be…"
1388221081052278786,sudhirsrinivasn,2021-04-30 19:57:52,in,0,1,"RT @balki96: @sudhirsrinivasn ""Azhagana Paata kekkara Yaarume Kettavangala iruka mudiyadhu"" &lt;3 😍😍😍

Vera level voice"
1388218928782921732,sudhirsrinivasn,2021-04-30 19:49:19,en,468,9,"Ada paavigala. Spaces laam apdiye poidum naanga. Indha madhri technology laam vechu lock panlaama? 
Careful a irukk… https://t.co/kvfQDOwBaE"
1388216747837124608,sudhirsrinivasn,2021-04-30 19:40:39,et,1,0,"@jayanthan Haha, naan rasikkara padangalukku, ennikkum ennudaya paraattugal undu."
1388215795763716096,sudhirsrinivasn,2021-04-30 19:36:52,und,1,0,@ramaaiyer ❤️
1388215636749262849,sudhirsrinivasn,2021-04-30 19:36:14,en,3,0,@AltofRad 🤗 Next time for sure.
1388215405349511169,sudhirsrinivasn,2021-04-30 19:35:19,tl,26,0,Haha. ❤️ https://t.co/2u9a0EiTwV
1388140783379779586,sudhirsrinivasn,2021-04-30 14:38:47,en,158,9,"You may not have realised it then, but these were images that played their part in defining a period for an entire… https://t.co/yuYgGQTmir"
