id,username,created_at,lang,favorite_count,retweet_count,text
1389941421344321537,taran_adarsh,2021-05-05 13:53:53,en,0,390,"RT @mybmc: #MyBMCUpdates

To Avail Information Regarding COVID-19, Bed Availability Or COVID Vaccination Centre, Kindly Contact Your Ward W…"
1389452210640064524,taran_adarsh,2021-05-04 05:29:56,en,2799,281,IT'S OFFICIAL... Kumar Mangat Pathak and Abhishek Pathak [of Panorama Studios International] acquire *#Hindi remake… https://t.co/vZ22z9ca0k
1389251225628024833,taran_adarsh,2021-05-03 16:11:17,en,0,204,"RT @mybmc: #CoronavirusUpdates
3rd May, 6:00pm

Positive Pts. (24 hrs) - 2,662

Discharged Pts. (24 hrs) - 5,746
Total Recovered Pts. - 5,8…"
1389199133701931012,taran_adarsh,2021-05-03 12:44:18,en,1913,107,#TOOFAAN POSTPONED... OFFICIAL STATEMENT FROM PRODUCERS... #Toofaan - which was supposed to stream from 21 May 2021… https://t.co/7aB6UFpbdw
1389060950116900864,taran_adarsh,2021-05-03 03:35:12,en,0,150,"RT @mybmc: Dear Mumbaikars 

A few important reminders 

- Vaccination only for 18-44 year olds today 

- Only 18-44s who have booked a slo…"
1388861788976947200,taran_adarsh,2021-05-02 14:23:48,en,0,147,"RT @mybmc: #CoronavirusUpdates
2nd May, 6:00pm

Positive Pts. (24 hrs) - 3,672

Discharged Pts. (24 hrs) - 5,542
Total Recovered Pts. - 5,8…"
1388472833731305476,taran_adarsh,2021-05-01 12:38:14,en,5087,1876,MAHESH BABU - TRIVIKRAM: THE BIGGG COMBO REUNITES... After 11 years... #MaheshBabu and director #TrivikramSrinivas… https://t.co/4jIvYg6w1L
1388414358821040128,taran_adarsh,2021-05-01 08:45:53,en,2877,334,OFFICIAL STATEMENT... #BELLBOTTOM PRODUCERS ISSUE CLARIFICATION... #AkshayKumar #VaaniKapoor #HumaQureshi #LaraDutta https://t.co/8qUUDf8UOJ
1388385795619184640,taran_adarsh,2021-05-01 06:52:23,en,0,142,"RT @mybmc: Good morning Mumbai. 

Registration for vaccination of our 18-44 year old Mumbaikars, at 5 centres, is now open on https://t.co/…"
1387761422264905741,taran_adarsh,2021-04-29 13:31:21,en,0,784,RT @AshwiniBhide: All senior citizens in #Mumbai r kindly requested nt 2 crowd or stand in long queues @ #vaccination centres.Vaccine is in…
1387478327661719553,taran_adarsh,2021-04-28 18:46:26,en,0,718,"RT @mybmc: Good News Mumbai! 

We are receiving a fresh stock of #Covishield tonight to be distributed only in Gov &amp; MCGM hospitals/ centre…"
1387381498119016452,taran_adarsh,2021-04-28 12:21:40,en,1749,102,Fantastic decision 👍👍👍 https://t.co/qIHaAR4Fgc
