id,username,created_at,lang,favorite_count,retweet_count,text
1389986606522773508,terryshumaker,2021-05-05 16:53:26,en,0,2502,"RT @marceelias: From the Desk of Marc Elias

Donald Trump is a failed one term president who is still peddling the Big Lie. House Republica…"
1389984963030880263,terryshumaker,2021-05-05 16:46:54,en,0,0,And that Heidi that Trump thinks is so ugly. https://t.co/weYjxBtmo8
1389774851808841731,terryshumaker,2021-05-05 02:52:00,en,0,0,@MattBoxer94 Val is my Gal
1389770336586145798,terryshumaker,2021-05-05 02:34:03,en,0,0,@ThatEricAlper Cry Baby. Janis Joplin
1389399157727797251,terryshumaker,2021-05-04 01:59:07,en,1,0,Think Whigs https://t.co/iLHyKKco2P
1389398821495508993,terryshumaker,2021-05-04 01:57:47,en,0,0,@DrewHampshire So how does one best warm them? (asking for a friend)
1388973365969444866,terryshumaker,2021-05-02 21:47:10,en,0,0,@DrewHampshire Was thinking more of Dylan. How many Nobel Prizes did that guy win?
1388936465745317890,terryshumaker,2021-05-02 19:20:33,en,0,0,"@DrewHampshire Question was music, not English Whig Prime Ministers"
1388916773513318405,terryshumaker,2021-05-02 18:02:18,en,2,0,1960's self-evident; no explanation necessary https://t.co/k8CVf2dHor
1388897030483988481,terryshumaker,2021-05-02 16:43:51,en,1,0,Or how about the Dakota's which were made two states out of one territory because Republicans controlled Congress a… https://t.co/Q7uVNXhzrc
1388652416078340098,terryshumaker,2021-05-02 00:31:50,en,0,0,@PamelaApostolo1 OMG  I am at 9; interesting
1388593797265825795,terryshumaker,2021-05-01 20:38:54,en,0,220,"RT @kenolin1: It’s tough to do, but The Former Guy has done it. He’s more pathetic than Nixon. https://t.co/jNsEHdOcPJ"
1388593081604349955,terryshumaker,2021-05-01 20:36:04,en,0,0,@amyewalter It's a rule
1388235909578072066,terryshumaker,2021-04-30 20:56:47,en,0,5804,RT @BeschlossDC: Sure would be nice to rescue our White House Rose Garden from its evisceration by previous administration: https://t.co/3U…
1387948902750597120,terryshumaker,2021-04-30 01:56:19,en,0,0,Abbey Road redux https://t.co/WAdt6wV9EX
1387936297864646656,terryshumaker,2021-04-30 01:06:14,en,1,0,@JoeBiden always my first choice since April ‘19 and his first prez run in 1987! https://t.co/uyc42IzcUz
1387780691480432647,terryshumaker,2021-04-29 14:47:55,en,0,0,@DragonKing____ I’ve been waiting 35 years to call you Mr. President! (Was on his ‘87 campaign in NH)
1387525552593149962,terryshumaker,2021-04-28 21:54:05,en,0,339,RT @joelockhart: When are they going to search Bill Barr’s house?
1387212872598507524,terryshumaker,2021-04-28 01:11:36,en,1,0,In 1904 my grandfather who was born/grew up in western PA speaking no English learned it shorthand and typing. Was… https://t.co/DS6t9O9gLb
1387210767997538310,terryshumaker,2021-04-28 01:03:14,en,0,0,@deanbarker Golf
1387124053249609729,terryshumaker,2021-04-27 19:18:40,en,1,0,"Well, ok, but I draw the line at plant-based wine or orange juice. https://t.co/JNIO6Vwwta"
1386864777797017601,terryshumaker,2021-04-27 02:08:24,en,1,0,@MrWalterShapiro you are one of a kind! https://t.co/PmKW3gb12q
1386858598563815427,terryshumaker,2021-04-27 01:43:51,en,1,0,@Bkara1 Any prescription drug ad--- they should all be banned.  Let the doctors decide what to prescribe.
