id,username,created_at,lang,favorite_count,retweet_count,text
1389988173665562626,trilbyberesford,2021-05-05 16:59:39,en,0,7,RT @THR: Audible has partnered with independent podcast company Treefort Media to produce original scripted audio series as part of a multi…
1389378202775158785,trilbyberesford,2021-05-04 00:35:51,en,0,2,"RT @THR: From 'A Quiet Place II' to 'Mass Effect Legendary Edition,' find out the latest entertainment picks from Heat Vision https://t.co/…"
1389364062404812802,trilbyberesford,2021-05-03 23:39:40,en,0,12,RT @THR: ‘League of Legends’ Animated Series Set at Netflix https://t.co/98zQKrpc30
1389335143760875523,trilbyberesford,2021-05-03 21:44:45,en,0,0,@ThierryNguyen Nice one!
1389291785373978624,trilbyberesford,2021-05-03 18:52:28,en,0,7,RT @THR: Epic v. Apple Antitrust Trial Begins https://t.co/Wj0CJ3CoUD
1389273243903692802,trilbyberesford,2021-05-03 17:38:47,en,1,0,Was a pleasure to chat with director @DougLiman last week about his #Verizon 5G gaming spot: https://t.co/pv2xaLZXxU https://t.co/wgzP5Z9xk2
1388925439561801728,trilbyberesford,2021-05-02 18:36:44,en,0,20,RT @TheRyanParker: 'Simpsons' legend John Swartzwelder finally granted an interview — and it doesn't disappoint https://t.co/M58Tl3UL9d
1388165437339308032,trilbyberesford,2021-04-30 16:16:45,en,0,11,RT @THR: Call of Duty Endowment Launches Campaign to Raise $3M for Military Veterans https://t.co/acpVHuetUi
1387800105453977603,trilbyberesford,2021-04-29 16:05:03,en,0,9,RT @THR: Moviepass Co-Founder Launches App for Gamers With $3 Million in Seed Funding https://t.co/tB2DmiGSn3
1387543323901005824,trilbyberesford,2021-04-28 23:04:42,en,1,0,Mobile gaming company @wildlifestudios launches a second independent studio with a team in Texas and Australia: https://t.co/QtO5DxMzuS
1386498816489123847,trilbyberesford,2021-04-26 01:54:12,en,23,1,"Respawn Entertainment’s short film @ColetteDocShort, which appears in VR video game ‘Medal of Honor: Above and Beyo… https://t.co/oXu6PZQV5I"
1386145426227744771,trilbyberesford,2021-04-25 02:29:57,en,0,1,"RT @AussieTheatre: In an Australian theatre first, Melbourne Opera’s Macbeth will be LIVE VR streamed to anyone with virtual reality headse…"
1386046138185240578,trilbyberesford,2021-04-24 19:55:25,en,1,0,@LexyJPerez What did you get? Send me a pic of the stack!
1385694938701045762,trilbyberesford,2021-04-23 20:39:53,en,2,0,Getting the second vaccine is like... https://t.co/UV65EGIxBi
1385309082203033600,trilbyberesford,2021-04-22 19:06:37,en,5,0,"‘Hades’ takes top honors at the #DICEAwards, including game of the year, best game direction and game design: https://t.co/cCdBU36cAG"
1385272454306697220,trilbyberesford,2021-04-22 16:41:04,en,4,0,"I got to chat with the team from British studio @VariableState, known for their award winning debut ‘Virginia,’ abo… https://t.co/F3W36wb73H"
1385253499273842694,trilbyberesford,2021-04-22 15:25:45,en,0,2,RT @theage: Cinema legend Bruce Beresford is directing an opera that will be broadcast live in virtual reality. When he put on the goggles…
1385110522798829571,trilbyberesford,2021-04-22 05:57:37,en,9,1,"So proud of my dad for giving VR a test run, literally. He will be involved in a live broadcast of a professional o… https://t.co/Vpcr688fBU"
1385022293336739845,trilbyberesford,2021-04-22 00:07:01,en,0,25,RT @THR: 'Harry Potter' actors James and Oliver Phelps will moderate an Instagram Live event with the developers of Jam City's mobile game…
1384956660473638913,trilbyberesford,2021-04-21 19:46:13,en,0,0,It’s hard to fathom these figures https://t.co/dzFMoYoqTc
1384625069293330438,trilbyberesford,2021-04-20 21:48:36,en,0,20,RT @THR: Hollywood Reacts to Guilty Verdict in Derek Chauvin Trial: “A Small Grain of Hope for Our Future” https://t.co/QA01zoD5zB
1384624436729376770,trilbyberesford,2021-04-20 21:46:05,en,0,33,RT @THR: Derek Chauvin Guilty on All Three Counts in George Floyd Death https://t.co/qLz3PSf7bo
1384616366968164358,trilbyberesford,2021-04-20 21:14:01,en,1,0,"Or more like, thank god."
1384615690095665158,trilbyberesford,2021-04-20 21:11:20,en,3,0,Phew
1384588381422714887,trilbyberesford,2021-04-20 19:22:49,en,4,0,I got to nerd out and chat with writer @Christosgage and artist @Reilly_Brown about 'Batman/Fortnite: Zero Point' f… https://t.co/YbcPyQuyvJ
1384553644004052996,trilbyberesford,2021-04-20 17:04:47,en,0,4,"RT @THR: ‘Ghost of Tsushima,’ ‘Hades,’ ‘The Last of Us Part II’ Lead Game Developers Choice Awards Nominees https://t.co/cIeRe3Yahf"
1384230966365888514,trilbyberesford,2021-04-19 19:42:34,en,0,8,RT @THR: Amazon Cancels Massive ‘Lord of the Rings’ Game https://t.co/DqBipeiPSU
1384178761868795906,trilbyberesford,2021-04-19 16:15:08,en,104,13,"Last year, I chatted with @Respawn’s Peter Hirschmann and film director Anthony Giacchino about the short film… https://t.co/egiUk6TtL8"
1384176689568043021,trilbyberesford,2021-04-19 16:06:54,en,0,0,Great to reconnect with the team behind @Respawn’s #Oscar winning short film @ColetteDocShort: @medalofhonor: Above… https://t.co/ck1WSRszfu
1383174176932990977,trilbyberesford,2021-04-16 21:43:16,en,0,6,"RT @AaronCouch: Welcome back to the @HeatVisionBlog newsletter: @RICHARDLNEWBY has another must-read #FalconandtheWinterSoldier piece, @Dan…"
1383167072599826433,trilbyberesford,2021-04-16 21:15:02,en,1,0,@sarahwynter Getting mine next week and then working till 11pm four nights in a row. Pretty scared!
1383147630528647168,trilbyberesford,2021-04-16 19:57:47,en,0,5,RT @THR: ‘Hitman’ Developer Launches New Game Studio in Spain https://t.co/p82TeMfdKY
1383139760194002947,trilbyberesford,2021-04-16 19:26:30,en,0,8,RT @THR: Video Game Spending in U.S. Hit $5.6B in March Amid Soaring Hardware Sales https://t.co/Z4169tRt5T
1383127334954225664,trilbyberesford,2021-04-16 18:37:08,en,0,34,RT @THR: Hollywood Pays Tribute to Helen McCrory: “An Extraordinary Actress and a Wonderful Woman” https://t.co/keSjBSrgH2
1382828772248879106,trilbyberesford,2021-04-15 22:50:45,en,0,36,RT @THR: ‘The Last of Us’ HBO Series Adds Gabriel Luna to Cast https://t.co/LpBoudZqm1
1382784805872361474,trilbyberesford,2021-04-15 19:56:03,en,1,0,@pshanley88 Congrats Patrick!!
1382766587984322560,trilbyberesford,2021-04-15 18:43:39,en,1,0,"@bsinitials @CoreGames Literally just had the same thought! Although to be honest, not having a PC has been a problem for a while for me..."
1382715844367577089,trilbyberesford,2021-04-15 15:22:01,en,10,3,News this morning: @ManticoreGames has launched its video game platform @CoreGames in the @EpicGames Store and… https://t.co/ACjIhNCj5t
1382072296370622470,trilbyberesford,2021-04-13 20:44:47,en,1,0,YouTube and Twitch streamer @kyedae signs with @100Thieves https://t.co/DArMP5qdYC
